ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.2509766,-0.7939453,0.5092773,0.2202148,0.7084961,0.5996094,4,-7,17,-6,-4,2,31,12,-19,16,13,35,3,0,-1,-2,-35.375,-35.375,-35.375,-68.6875,-68.6875,-68.6875,3.308942,4.853542,2.496702,6.268921,4.509438,9.657152,0.2288644,-0.0764625,1.34871,0.2376662,-0.200433,1.498822,0.2489695,0.3974598,1.717588,0.22381,-0.1120714,1.361,0.2167064,-0.1150895,1.364,0.2336458,-0.06687105,1.711879,0.2272746,-0.3878877,1.692412,0.06561315,0.1236303,1.689554,0.1399008,-0.3777816,1.660601,-0.009998757,-0.1060373,1.602253,0.4462111,-0.1175793,1.685581,NA,NA,NotTracked,Unknown,
0.2612305,-0.8022461,0.515625,0.06396484,0.5756836,0.7207031,11,1,2,-2,1,-3,4,-1,14,-5,0,-4,0,2,6,5,-29.75,-29.75,-29.75,-90.8125,-90.8125,-90.8125,3.278056,4.869465,2.503377,6.11418,4.846838,9.678699,0.2193936,-0.06663049,1.337162,0.2157004,-0.07104757,1.340055,0.2488665,0.3975745,1.71921,0.2361266,-0.09811306,1.346905,0.2607463,-0.05663056,1.303089,0.2336229,-0.0662501,1.712374,0.2273538,-0.3866382,1.692867,0.06624421,0.1246518,1.685806,0.140337,-0.3767519,1.660587,-0.01010239,-0.1054396,1.594089,0.4372702,-0.1162952,1.646213,NA,NA,NotTracked,NotTracked,
0.1499023,-0.8671875,0.4926758,-0.02148438,0.5708008,0.7084961,-15,-6,11,-2,-5,-3,25,-2,-2,18,5,37,-2,-1,-4,-5,-15.9375,-15.9375,-15.9375,-18.625,-18.625,-18.625,3.238715,4.899688,2.511687,6.007302,5.243691,9.678352,0.2236364,-0.05576163,1.327984,0.213737,-0.05582593,1.329403,0.2486864,0.3977236,1.720568,0.240594,-0.08212817,1.319533,0.2549976,-0.03614544,1.290591,0.2335431,-0.06539012,1.712915,0.2271542,-0.3844498,1.69334,0.06631965,0.1249493,1.683562,0.1406664,-0.374822,1.660353,-0.00547818,-0.1007593,1.576656,0.4313301,-0.1206709,1.634269,NA,NA,NotTracked,NotTracked,
0.08886719,-0.8466797,0.4589844,-0.2080078,0.4697266,0.7192383,-2,2,-7,1,-1,6,16,14,6,-3,-10,-32,1,-1,-1,1,-4.75,-4.75,-4.75,-14.9375,-14.9375,-14.9375,3.233977,4.911261,2.512043,5.97333,5.44975,9.667406,0.2254317,-0.05051353,1.324094,0.2155801,-0.0492612,1.324744,0.2482768,0.3978655,1.72166,0.2496123,-0.07359293,1.314889,0.2563132,-0.02607308,1.28729,0.233469,-0.06368205,1.713427,0.2272921,-0.3792966,1.693912,0.06566761,0.1259253,1.681475,0.1416928,-0.3702586,1.658474,-0.004365796,-0.1005088,1.573003,0.431235,-0.1201202,1.632802,NA,NA,NotTracked,NotTracked,
0.06640625,-0.8979492,0.4492188,-0.2705078,0.4946289,0.7319336,7,-2,25,-6,-9,-6,-21,-15,6,-2,0,-2,-1,0,-1,-3,-4.25,-4.25,-4.25,6.1875,6.1875,6.1875,3.224504,4.919179,2.508797,5.972989,5.560704,9.659373,0.2272336,-0.04742289,1.323075,0.2140252,-0.04390782,1.322769,0.2474618,0.3980196,1.722914,0.2856141,-0.06217024,1.3244,0.2542597,-0.02388106,1.2848,0.2333235,-0.06340427,1.713544,0.2271552,-0.3791492,1.693793,0.06494164,0.1264598,1.680275,0.1416133,-0.3701946,1.658459,-0.004536632,-0.098356,1.570255,0.4305911,-0.1206294,1.629993,NA,NA,NotTracked,NotTracked,
0.03955078,-0.9121094,0.4511719,-0.4282227,0.4604492,0.765625,4,1,2,5,3,4,-5,2,-34,-14,-1,43,-3,-4,-10,-17,-2.3125,-2.3125,-2.3125,-1.4375,-1.4375,-1.4375,3.222338,4.929442,2.506426,5.962331,5.620624,9.649395,0.2294357,-0.04495605,1.321571,0.2141145,-0.03042703,1.318556,0.2467766,0.3979758,1.723867,0.279076,-0.06290796,1.3242,0.2471959,-0.01863706,1.283345,0.2331853,-0.06327169,1.713604,0.2268637,-0.3791125,1.693608,0.06447033,0.1269014,1.679572,0.1413578,-0.3702686,1.658604,-0.003736505,-0.09749068,1.566966,0.4302165,-0.1199054,1.627374,NA,NA,NotTracked,NotTracked,
0.015625,-0.9301758,0.4619141,-0.4047852,0.5209961,0.7275391,-2,3,-5,-7,-6,-2,10,7,8,-8,-15,-18,-16,-3,-6,-2,2.4375,2.4375,2.4375,5.375,5.375,5.375,3.223959,4.944881,2.499951,5.954347,5.640242,9.625342,0.2299023,-0.04226929,1.323151,0.215252,-0.02694884,1.320203,0.246021,0.3981731,1.724625,0.264496,-0.06540954,1.32095,0.2511868,-0.007937967,1.289652,0.2329932,-0.06341302,1.713428,0.2265851,-0.3792333,1.693293,0.06410478,0.1272412,1.679026,0.1411042,-0.3704823,1.658769,-0.00327465,-0.09641057,1.564876,0.4282116,-0.1202404,1.623756,NA,NA,NotTracked,NotTracked,
-0.0009765625,-0.9243164,0.4658203,-0.5878906,0.5493164,0.6152344,0,-2,-2,-5,-1,4,-12,-7,10,19,4,10,2,-1,-4,9,1.125,1.125,1.125,9.0625,9.0625,9.0625,3.225204,4.949764,2.49608,5.959436,5.629226,9.592042,0.243497,-0.03462305,1.324268,0.2778889,0.126251,1.473455,0.2453884,0.3981735,1.725177,0.2562606,-0.06214341,1.32075,0.2866999,0.101549,1.419727,0.2327299,-0.06331101,1.713396,0.2261954,-0.3793297,1.692937,0.06384003,0.1274844,1.678533,0.1408022,-0.3706502,1.658864,-0.002941009,-0.0960712,1.56468,0.4202595,-0.1181595,1.6109,NA,NA,Unknown,NotTracked,
0.03955078,-0.9311523,0.4838867,-0.4487305,0.5561523,0.6835938,11,4,-6,8,7,-6,-68,-16,23,-29,-5,45,2,-3,3,-4,2.125,2.125,2.125,35.8125,35.8125,35.8125,3.232576,4.976538,2.465553,5.986586,5.533228,9.520584,0.2322619,-0.02807399,1.332438,0.2263575,-0.01639294,1.328887,0.2448706,0.398289,1.725805,0.26741,-0.04603373,1.321,0.2632184,0.00681932,1.298234,0.2325777,-0.06318175,1.713427,0.2259379,-0.3792473,1.692668,0.06370026,0.1276313,1.678195,0.140671,-0.3706616,1.658847,-0.002793807,-0.0961356,1.564477,0.4069857,-0.1146161,1.587538,NA,NA,NotTracked,NotTracked,
-0.02783203,-0.9404297,0.5117188,0.4228516,0.7045898,1.167969,-6,-11,5,-1,-1,11,9,-50,-17,-10,8,26,13,2,0,-7,13.0625,13.0625,13.0625,21.375,21.375,21.375,3.249854,5.024625,2.422519,6.002628,5.251942,9.445992,0.2406047,-0.00743083,1.336579,0.241839,-0.01097069,1.338064,0.2447112,0.3983631,1.726233,0.2689648,-0.03835589,1.330692,0.2888624,0.0005625865,1.306693,0.232397,-0.06292979,1.713439,0.2258137,-0.3789935,1.69223,0.06427905,0.1269705,1.678429,0.1405775,-0.3704144,1.657981,-0.002411685,-0.0959287,1.563272,0.3924821,-0.1116471,1.562918,NA,NA,NotTracked,NotTracked,
