ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9375,0.2607422,0.1879883,0.9165039,0.3227539,-0.01611328,-2,-1,0,0,-1,-1,-2,0,0,1,1,3,1,1,-2,-2,-0.4375,-0.4375,-0.4375,0.125,0.125,0.125,6.460663,3.020933,2.121415,7.738652,3.034331,0.3174313,-0.1313381,-0.4226066,1.452711,0.3101523,-0.4377168,1.465815,0.1209604,0.399568,1.520884,-0.09017359,-0.4171832,1.417981,0.2635224,-0.4240671,1.432898,0.09201292,-0.06247815,1.535823,0.08564847,-0.3881803,1.523308,-0.09146141,0.1385209,1.534895,-0.003822968,-0.3771636,1.488674,-0.147817,-0.1121284,1.551789,0.3175125,-0.1372569,1.539934,NA,NA,NotTracked,NotTracked,
0.9394531,0.2568359,0.2006836,0.9238281,0.3085938,-0.01708984,0,-2,-1,-3,-4,-1,0,0,-2,-2,-1,-1,-6,-2,-1,-4,0.4375,0.4375,0.4375,-0.75,-0.75,-0.75,6.460153,3.021214,2.121761,7.733383,3.034626,0.3196339,-0.1315687,-0.4220688,1.453516,0.3100275,-0.4381693,1.465712,0.1216072,0.3992955,1.520408,-0.08963637,-0.4182141,1.418663,0.2633676,-0.4201907,1.432608,0.09224763,-0.06261437,1.535328,0.085904,-0.3881819,1.522577,-0.09107653,0.138372,1.534312,-0.003581342,-0.3771354,1.487904,-0.1478404,-0.1122302,1.550899,0.3175793,-0.1372859,1.539701,NA,NA,NotTracked,NotTracked,
0.9438477,0.2470703,0.2001953,0.9228516,0.3085938,-0.02490234,1,-2,-3,0,-1,-1,-2,-1,1,-2,-1,-2,-3,-2,-2,-1,0.75,0.75,0.75,2.5625,2.5625,2.5625,6.460084,3.020848,2.121819,7.732186,3.032316,0.3237904,-0.1315755,-0.4219773,1.453608,0.310424,-0.4377807,1.465041,0.1223383,0.3988044,1.519498,-0.09063387,-0.4182031,1.417162,0.2638988,-0.4153669,1.432092,0.09243641,-0.06281392,1.534787,0.08605935,-0.3882459,1.521797,-0.09065425,0.1383804,1.533485,-0.003443378,-0.3771362,1.486996,-0.1476587,-0.1121295,1.550354,0.3177529,-0.1373702,1.539487,NA,NA,NotTracked,NotTracked,
0.940918,0.2524414,0.190918,0.9169922,0.3120117,-0.01416016,-2,0,-2,0,2,-2,1,-1,-4,2,-2,-1,0,0,-1,-2,2.1875,2.1875,2.1875,2.25,2.25,2.25,6.462916,3.018914,2.124667,7.737104,3.029608,0.321252,-0.1318047,-0.421896,1.453344,0.3102531,-0.4377501,1.463571,0.1230835,0.3981514,1.517919,-0.08925796,-0.4153963,1.419147,0.2634059,-0.4184476,1.430951,0.0926957,-0.0630985,1.534253,0.08632018,-0.3883674,1.521263,-0.09037229,0.1383326,1.533135,-0.003200109,-0.3772413,1.486414,-0.1474673,-0.1122095,1.549656,0.3179007,-0.137716,1.539072,NA,NA,NotTracked,NotTracked,
0.9296875,0.2685547,0.203125,0.9277344,0.3198242,-0.02001953,-1,-2,-2,-1,-2,-2,0,-2,0,-3,0,0,-2,1,1,-3,2.8125,2.8125,2.8125,2.875,2.875,2.875,6.465854,3.016133,2.126747,7.741465,3.027025,0.3208424,-0.1310477,-0.4255593,1.452335,0.3105817,-0.4388788,1.463053,0.1236019,0.3976682,1.516726,-0.08931538,-0.4135182,1.420157,0.2637013,-0.4182228,1.430914,0.09288595,-0.06337245,1.533589,0.08644042,-0.3885405,1.520555,-0.09003379,0.1382813,1.532479,-0.003123242,-0.3773753,1.485756,-0.1472694,-0.1122058,1.549174,0.3179988,-0.1380792,1.538547,NA,NA,NotTracked,NotTracked,
0.9379883,0.2763672,0.2041016,0.9145508,0.3095703,-0.03466797,-1,-2,0,-1,-1,0,-4,-1,0,-2,-2,-3,-1,1,1,2,1.375,1.375,1.375,4.875,4.875,4.875,6.468124,3.012844,2.126877,7.748713,3.024266,0.3216214,-0.131131,-0.4259943,1.452738,0.3107469,-0.4384494,1.462749,0.1241395,0.3975598,1.515562,-0.08951051,-0.4185986,1.417737,0.2633564,-0.4335635,1.426555,0.09315386,-0.06348404,1.533017,0.08659889,-0.3885736,1.520229,-0.08967394,0.138355,1.532021,-0.002962736,-0.3774163,1.485404,-0.1472236,-0.1120325,1.548918,0.3181695,-0.1381441,1.53783,NA,NA,NotTracked,NotTracked,
0.9355469,0.2680664,0.1928711,0.9301758,0.3032227,-0.02392578,0,-2,-1,0,-1,-2,-1,-1,0,-1,0,-2,-2,-1,-2,-2,1.75,1.75,1.75,2.25,2.25,2.25,6.472033,3.012084,2.12443,7.753747,3.022398,0.3206652,-0.1312041,-0.425715,1.453138,0.31047,-0.4381278,1.461443,0.1245119,0.397587,1.514473,-0.08944665,-0.4167986,1.419209,0.2644043,-0.419725,1.428014,0.0933556,-0.06352751,1.532435,0.08677955,-0.3886232,1.5198,-0.08936955,0.1383442,1.531465,-0.002802638,-0.3774459,1.485051,-0.1469874,-0.1120223,1.54842,0.3184621,-0.1382189,1.536791,NA,NA,NotTracked,NotTracked,
0.9418945,0.2558594,0.1987305,0.9111328,0.3105469,-0.02832031,-2,-2,-2,-1,0,-2,-4,-2,-1,-1,-3,1,0,0,0,-5,0.5,0.5,0.5,2.4375,2.4375,2.4375,6.472331,3.011912,2.124465,7.759931,3.019223,0.3169575,-0.1305799,-0.4223386,1.453589,0.3108777,-0.4382218,1.461864,0.1247852,0.3976677,1.513692,-0.08981238,-0.4140977,1.419463,0.26447,-0.4177859,1.427444,0.09364904,-0.0635011,1.531688,0.08691631,-0.3885383,1.519381,-0.08907926,0.1385504,1.531021,-0.002693792,-0.3773726,1.484748,-0.1466083,-0.1118346,1.54803,0.3187321,-0.1382701,1.536061,NA,NA,NotTracked,NotTracked,
0.9541016,0.2529297,0.190918,0.9594727,0.4760742,0.01757813,-4,-2,-2,0,-2,-2,-1,-1,2,4,20,5,-1,-3,1,15,2.625,2.625,2.625,-5.875,-5.875,-5.875,6.472729,3.011572,2.127463,7.719841,3.0272,0.3540094,-0.1306617,-0.4218848,1.453212,0.3114738,-0.4374866,1.460741,0.1249268,0.3977452,1.512879,-0.09289464,-0.4310677,1.425121,0.2640969,-0.4375736,1.425235,0.09393493,-0.06347454,1.530954,0.08707868,-0.3884558,1.518941,-0.08889427,0.1386516,1.530497,-0.002554741,-0.3773231,1.484396,-0.1460794,-0.1118235,1.547475,0.3188538,-0.1368991,1.534314,NA,NA,NotTracked,NotTracked,
0.9545898,0.2392578,0.1987305,1.109375,0.5849609,0.09082031,0,-1,-2,0,2,0,1,0,5,7,-14,-11,-6,-2,-1,-7,0.8125,0.8125,0.8125,76.8125,76.8125,76.8125,6.460113,3.012801,2.144143,7.531427,3.100868,0.6149346,-0.1302408,-0.4219718,1.452344,0.3129951,-0.4404097,1.450862,0.1248587,0.3980965,1.51212,-0.09061114,-0.4192789,1.413662,0.2637516,-0.4310998,1.425793,0.09425097,-0.06337412,1.529947,0.08731126,-0.388353,1.518352,-0.08871178,0.1387207,1.530095,-0.002342063,-0.3772252,1.48395,-0.145636,-0.1118247,1.547036,0.3203252,-0.1359254,1.531539,NA,NA,NotTracked,NotTracked,
