ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9335938,0.1884766,0.2578125,0.902832,0.3564453,-0.02099609,-2,0,-1,-3,-3,-2,-1,1,-1,-2,-1,-2,0,2,-1,-1,1,1,1,3.5,3.5,3.5,6.037722,3.024039,0.9207712,7.687733,3.117637,7.277489,-0.1682233,-0.4351915,1.408429,0.2958783,-0.4739333,1.378172,0.114155,0.3937818,1.481643,-0.1219992,-0.4386328,1.402624,0.2416247,-0.4526295,1.371897,0.07878618,-0.06953802,1.500948,0.07354633,-0.3965312,1.488568,-0.1070741,0.1307347,1.495408,-0.01489475,-0.3840472,1.451551,-0.1572407,-0.1227364,1.500909,0.2944627,-0.1454997,1.477903,NA,NA,NotTracked,NotTracked,
0.9306641,0.1977539,0.2626953,0.9018555,0.3583984,-0.01416016,-2,-2,-1,-9,-18,-7,-2,-2,-7,-4,1,1,0,0,-1,2,-1,-1,-1,-0.75,-0.75,-0.75,6.03625,3.018985,0.925071,7.68542,3.118826,7.281465,-0.167497,-0.4349694,1.408371,0.2966275,-0.4743899,1.377215,0.115535,0.3935977,1.480647,-0.1206959,-0.4358124,1.401056,0.242665,-0.4611141,1.368336,0.07979973,-0.06973418,1.500501,0.07429296,-0.3967701,1.48843,-0.1061225,0.130827,1.49536,-0.01418753,-0.3842003,1.451506,-0.1563038,-0.1226493,1.500822,0.2954048,-0.1457913,1.476941,NA,NA,NotTracked,NotTracked,
0.9375,0.2006836,0.2675781,0.8959961,0.3652344,-0.01708984,-3,0,0,-2,-6,-5,-3,0,3,1,0,-2,-2,-1,0,7,1.375,1.375,1.375,1.125,1.125,1.125,6.030818,3.014151,0.9302614,7.686821,3.117469,7.281963,-0.1667135,-0.4347855,1.409626,0.2965163,-0.4739258,1.376369,0.1166586,0.393514,1.479852,-0.1197905,-0.4408109,1.397909,0.2429415,-0.4608707,1.351973,0.08068189,-0.06983773,1.500092,0.07497759,-0.3968414,1.488194,-0.1049924,0.1310339,1.495208,-0.01350155,-0.3841252,1.451369,-0.1553915,-0.1224022,1.500693,0.2964315,-0.1459977,1.476115,NA,NA,NotTracked,NotTracked,
0.934082,0.2006836,0.2695313,0.8925781,0.3383789,-0.01953125,1,-2,-4,-6,-8,-6,-2,-1,-1,2,-1,-3,-1,-1,0,-9,-0.5625,-0.5625,-0.5625,0.4375,0.4375,0.4375,6.027115,3.011876,0.9350924,7.682244,3.114256,7.284988,-0.1664874,-0.4354766,1.410237,0.2981122,-0.4739204,1.376803,0.1177726,0.3933066,1.479075,-0.1203238,-0.4395331,1.399998,0.2451443,-0.4612203,1.376478,0.08151157,-0.06997961,1.499611,0.07557324,-0.3970376,1.487983,-0.1038936,0.1312249,1.495088,-0.01293454,-0.38424,1.45129,-0.1548918,-0.1220871,1.500637,0.2970757,-0.1462308,1.475666,NA,NA,NotTracked,NotTracked,
0.9379883,0.2045898,0.2792969,0.8999023,0.355957,-0.01074219,-3,1,-5,-5,-12,-3,0,0,0,1,1,1,-2,-2,-2,0,0.3125,0.3125,0.3125,2.1875,2.1875,2.1875,6.022396,3.012288,0.939189,7.680684,3.11414,7.290364,-0.1656739,-0.4352036,1.409772,0.2977883,-0.4736308,1.375134,0.1186327,0.3932147,1.478322,-0.1188176,-0.4413407,1.398297,0.2427758,-0.4574466,1.359484,0.08209482,-0.07012023,1.499215,0.07615489,-0.3972553,1.487591,-0.1030559,0.1311533,1.494846,-0.01240342,-0.3843342,1.451029,-0.1536387,-0.1222494,1.500377,0.2973909,-0.1464694,1.47527,NA,NA,NotTracked,NotTracked,
0.9335938,0.2021484,0.2729492,0.9272461,0.355957,-0.01757813,-2,-3,-3,-1,1,-4,-2,-2,-6,-3,-3,-1,-2,-2,-4,-7,-3.5,-3.5,-3.5,4.25,4.25,4.25,6.015401,3.014903,0.9427232,7.678788,3.111352,7.295374,-0.1654254,-0.4359703,1.409237,0.3010058,-0.4846992,1.37313,0.1195408,0.3926834,1.477248,-0.118223,-0.4399619,1.398034,0.2427485,-0.4611656,1.35508,0.08309469,-0.07054457,1.498503,0.07694295,-0.3976036,1.487012,-0.1019374,0.1311586,1.494405,-0.01164338,-0.3845811,1.450517,-0.1529185,-0.1221416,1.50019,0.2977818,-0.1469098,1.474978,NA,NA,NotTracked,NotTracked,
0.9467773,0.1933594,0.262207,0.9077148,0.3823242,-0.03564453,-1,0,-1,-6,-13,-6,-3,-2,-5,-6,-1,-1,-1,1,0,2,-5.6875,-5.6875,-5.6875,-6.375,-6.375,-6.375,6.010145,3.014607,0.942121,7.67664,3.109835,7.293791,-0.1653112,-0.435409,1.408378,0.3010495,-0.4858595,1.374036,0.1202381,0.3922797,1.476762,-0.1168508,-0.4451265,1.395106,0.2429196,-0.4583273,1.359577,0.08381126,-0.07077403,1.498019,0.07773092,-0.3977979,1.486321,-0.1009381,0.1310528,1.494175,-0.01085088,-0.3847486,1.449894,-0.1521153,-0.1222107,1.499947,0.2981652,-0.1470673,1.474735,NA,NA,NotTracked,NotTracked,
0.9428711,0.2084961,0.2583008,0.8984375,0.3779297,-0.0234375,-1,-2,-1,-7,-2,-2,-1,-2,-1,-4,-2,-2,-1,-1,-1,5,0.4375,0.4375,0.4375,-5.9375,-5.9375,-5.9375,6.003843,3.014913,0.9472919,7.667679,3.109707,7.289764,-0.1647899,-0.4359352,1.407623,0.3007901,-0.4863234,1.374454,0.1210505,0.3920281,1.476496,-0.1180943,-0.4412016,1.397231,0.2435057,-0.4583839,1.36039,0.08435825,-0.07096552,1.497602,0.07863085,-0.3980331,1.485589,-0.1003196,0.1309756,1.494108,-0.009981234,-0.3849176,1.449273,-0.1516305,-0.1222615,1.499877,0.2985411,-0.1475049,1.474712,NA,NA,NotTracked,NotTracked,
0.940918,0.1972656,0.2714844,0.9331055,0.3569336,0.008300781,-2,-2,-3,-3,0,2,-2,-2,-3,-4,-1,-3,-1,1,-1,0,-3,-3,-3,1.25,1.25,1.25,6.002661,3.017899,0.9435141,7.672582,3.110372,7.273349,-0.1653245,-0.4374914,1.406233,0.3013026,-0.4851503,1.37313,0.1217407,0.3919027,1.47633,-0.1164988,-0.444056,1.39448,0.2446299,-0.4645827,1.352382,0.08508474,-0.07120024,1.497154,0.07928357,-0.3982169,1.484932,-0.09954779,0.1310248,1.493947,-0.009359797,-0.3849935,1.448697,-0.1513638,-0.1221025,1.499789,0.2993743,-0.1477298,1.474472,NA,NA,NotTracked,NotTracked,
0.9501953,0.1894531,0.2714844,0.9277344,0.3735352,-0.008789063,-1,-2,-1,-2,3,0,-1,0,8,1,7,3,0,-3,2,12,-6,-6,-6,2.8125,2.8125,2.8125,5.999579,3.018725,0.9392498,7.660202,3.121205,7.293727,-0.1650055,-0.437286,1.405813,0.3020963,-0.481487,1.371076,0.1222927,0.3919004,1.476216,-0.1172762,-0.4431033,1.395867,0.2442466,-0.4669788,1.3625,0.08557286,-0.07121472,1.496915,0.07961145,-0.3981915,1.484666,-0.09846061,0.1312245,1.493488,-0.008979144,-0.3849199,1.448292,-0.1508348,-0.121784,1.499412,0.2998835,-0.1476728,1.474402,NA,NA,NotTracked,NotTracked,
1.03125,0.1640625,0.2685547,0.9897461,0.4072266,-0.006835938,1,0,0,-2,-7,-8,-2,-1,-2,-2,1,0,-10,-18,-13,-43,-15.75,-15.75,-15.75,-0.625,-0.625,-0.625,5.992847,3.025247,0.926386,7.63238,3.146275,7.323806,-0.1653737,-0.4359681,1.403525,0.2998238,-0.4735406,1.367241,0.1227713,0.3919788,1.476058,-0.1170332,-0.4400882,1.396997,0.2499176,-0.4625888,1.361697,0.08580913,-0.07115851,1.496722,0.0797459,-0.3981745,1.484532,-0.09796075,0.131261,1.49313,-0.008822386,-0.384895,1.448119,-0.1505322,-0.1216979,1.499164,0.3007589,-0.1477721,1.474408,NA,NA,NotTracked,NotTracked,
1.053711,0.2089844,0.3046875,1.088379,0.4902344,-0.05615234,-4,-2,-4,3,9,-2,-9,-9,-2,3,-9,-12,-8,-27,-38,25,-45.0625,-45.0625,-45.0625,0.75,0.75,0.75,6.03707,3.117287,0.8206933,7.514006,3.227764,7.443053,-0.1637473,-0.4274909,1.396173,0.3000855,-0.4513888,1.365785,0.1232336,0.3920211,1.475695,-0.1153243,-0.4290729,1.39825,0.2553817,-0.4672899,1.366863,0.08593742,-0.07101199,1.496542,0.0797618,-0.3980297,1.484458,-0.09760923,0.1314724,1.49288,-0.008848069,-0.3847397,1.448075,-0.1501171,-0.1213617,1.500274,0.3030488,-0.1473435,1.475594,NA,NA,NotTracked,NotTracked,
