ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9482422,0.2207031,0.21875,0.9248047,0.2973633,-0.01367188,1,-1,0,-1,0,-1,-1,0,11,3,-2,-1,0,-2,0,-2,-0.75,-0.75,-0.75,-1.375,-1.375,-1.375,6.256169,2.995416,5.37205,7.724161,3.029459,1.981494,-0.1469525,-0.4232321,1.463098,0.3184802,-0.4664263,1.484282,0.1120764,0.3967236,1.522602,-0.194163,-0.4315282,1.477829,0.3540091,-0.4241064,1.487123,0.08324119,-0.05312761,1.531837,0.07695165,-0.3643614,1.516122,-0.09680613,0.1321411,1.52977,-0.002178201,-0.3543736,1.480796,-0.1630478,-0.1405592,1.548969,0.3131332,-0.1598579,1.558388,NA,NA,NotTracked,NotTracked,
0.9453125,0.2241211,0.215332,0.9194336,0.3203125,-0.01513672,1,0,-1,-1,-2,-1,0,-2,-1,1,-3,-4,-2,-1,1,-2,-0.625,-0.625,-0.625,-2.375,-2.375,-2.375,6.256676,2.995352,5.372014,7.724538,3.027034,1.976681,-0.1466266,-0.4230815,1.463536,0.3193514,-0.4669004,1.484532,0.1125944,0.3967287,1.5223,-0.1937469,-0.4266191,1.483473,0.3552063,-0.4253235,1.489292,0.08354741,-0.05310058,1.531936,0.07713062,-0.3642973,1.516321,-0.09638795,0.1323179,1.529909,-0.001972934,-0.3542935,1.481059,-0.1627818,-0.1402028,1.549292,0.3133505,-0.1597841,1.558503,NA,NA,NotTracked,NotTracked,
0.9394531,0.2158203,0.2265625,0.9125977,0.309082,-0.01318359,-1,-1,-1,0,-3,-3,-1,0,-14,-2,-1,0,-1,-1,-2,-5,-1.625,-1.625,-1.625,-0.4375,-0.4375,-0.4375,6.250448,2.993564,5.373616,7.720854,3.025763,1.978011,-0.1468774,-0.4232501,1.464122,0.3199194,-0.466758,1.485123,0.1130804,0.3965749,1.52212,-0.1922318,-0.4368432,1.4809,0.3553275,-0.433341,1.492169,0.08386765,-0.05311365,1.531934,0.07727665,-0.3642592,1.516455,-0.09579486,0.1325642,1.529724,-0.001807395,-0.3542232,1.48123,-0.1624813,-0.1399406,1.549495,0.3135531,-0.15989,1.558687,NA,NA,NotTracked,NotTracked,
0.9438477,0.2202148,0.2250977,0.9223633,0.3154297,-0.015625,-1,-2,-1,1,-1,0,-1,0,-7,-1,-1,-2,-3,0,-2,0,-2.625,-2.625,-2.625,-0.5,-0.5,-0.5,6.247148,2.994012,5.374557,7.716395,3.025933,1.981617,-0.1470985,-0.4235567,1.463325,0.3187375,-0.4672878,1.4841,0.1140005,0.3962497,1.521578,-0.19193,-0.4291313,1.478209,0.3508238,-0.4491254,1.473167,0.08411428,-0.05311969,1.532015,0.07742301,-0.3642485,1.516672,-0.09523236,0.1326577,1.529528,-0.001669483,-0.3541766,1.481497,-0.162382,-0.1399279,1.549482,0.3137449,-0.1599374,1.558759,NA,NA,NotTracked,NotTracked,
0.9433594,0.2231445,0.2255859,0.9248047,0.3012695,-0.01660156,-1,-1,0,-1,-1,1,-3,-3,-6,-3,0,0,0,0,0,-3,-1.8125,-1.8125,-1.8125,0.9375,0.9375,0.9375,6.243711,2.992851,5.374935,7.712981,3.02365,1.983408,-0.1469374,-0.4246331,1.464892,0.319563,-0.4685769,1.485517,0.1145912,0.3962357,1.521384,-0.1948738,-0.4219188,1.485316,0.3557184,-0.4324127,1.493,0.084534,-0.05313705,1.532161,0.07765957,-0.3641752,1.51704,-0.09470663,0.1328045,1.529657,-0.001411137,-0.3540887,1.481967,-0.1621645,-0.1400209,1.549678,0.313924,-0.159865,1.558869,NA,NA,NotTracked,NotTracked,
0.9423828,0.2241211,0.2260742,0.921875,0.3022461,-0.0078125,-4,0,0,0,-2,-2,-2,-2,-6,-1,-1,-1,-4,-1,-1,-1,-2.5625,-2.5625,-2.5625,0.3125,0.3125,0.3125,6.235987,2.992047,5.376823,7.710612,3.023362,1.986625,-0.1468002,-0.4234947,1.463997,0.3189892,-0.4682297,1.485127,0.1152768,0.3960492,1.521166,-0.1937087,-0.4275705,1.483781,0.3536702,-0.4473616,1.483009,0.08495477,-0.0531113,1.532292,0.07786551,-0.3641329,1.51726,-0.09402139,0.1327811,1.529379,-0.001236783,-0.3540542,1.482128,-0.1620106,-0.1398786,1.549771,0.3140658,-0.159903,1.558957,NA,NA,NotTracked,NotTracked,
0.9423828,0.2167969,0.2333984,0.9980469,0.3388672,-0.002929688,-1,-1,0,0,-1,-1,0,-3,3,6,3,2,0,0,0,0,-1.625,-1.625,-1.625,4.6875,4.6875,4.6875,6.229096,2.99126,5.379237,7.67683,3.025344,2.024143,-0.1468822,-0.4244285,1.465464,0.3177423,-0.4682727,1.485418,0.1160956,0.3961298,1.521345,-0.196257,-0.4133641,1.488294,0.3563428,-0.4129121,1.4954,0.08528087,-0.05306706,1.532602,0.07817242,-0.3640565,1.517835,-0.09353983,0.1330476,1.529599,-0.0009468988,-0.3539593,1.482628,-0.161927,-0.1398102,1.549893,0.3146209,-0.1600234,1.559444,NA,NA,NotTracked,NotTracked,
0.9423828,0.2202148,0.2275391,1.128906,0.659668,0.03125,-1,-1,-3,0,-1,0,0,-1,0,-13,-12,-10,-4,0,-2,0,-0.5625,-0.5625,-0.5625,-57.75,-57.75,-57.75,6.221292,2.99128,5.384621,7.484119,3.080085,2.180853,-0.147152,-0.4243594,1.464027,0.3162916,-0.4656903,1.477773,0.1166069,0.3961314,1.521325,-0.1945977,-0.423378,1.485319,0.3535907,-0.4206276,1.483449,0.085609,-0.05302819,1.532644,0.07834018,-0.3640226,1.517919,-0.09314697,0.1330743,1.52938,-0.0007713421,-0.3539179,1.482666,-0.1618058,-0.1395419,1.549934,0.3150005,-0.1598008,1.559907,NA,NA,NotTracked,NotTracked,
0.9394531,0.2148438,0.2250977,1.257813,1.072754,0.5498047,0,-2,-2,0,-1,-2,-1,-1,-3,17,66,45,13,3,-1,-10,2.25,2.25,2.25,-34,-34,-34,6.216714,2.995515,5.389467,6.899339,3.363498,2.705092,-0.1469555,-0.423378,1.463842,0.3136013,-0.4375493,1.452718,0.1167488,0.3961694,1.521349,-0.1937484,-0.4242661,1.482549,0.3360979,-0.3988816,1.427205,0.08570383,-0.05295274,1.532765,0.07837798,-0.3639681,1.518079,-0.09287481,0.1330619,1.529162,-0.0007464936,-0.3538568,1.48285,-0.16174,-0.1389975,1.54986,0.3168692,-0.158993,1.561909,NA,NA,NotTracked,NotTracked,
0.90625,0.2460938,0.2167969,1.104004,1.056641,0.8432617,2,-1,-1,0,0,-1,1,-2,2,-14,14,2,-4,-2,-2,-1,2.9375,2.9375,2.9375,-25.8125,-25.8125,-25.8125,6.242662,3.005531,5.3739,6.608405,3.879097,2.998112,-0.1474718,-0.4206962,1.463641,0.3277708,-0.3948038,1.358924,0.1167989,0.3962086,1.521551,-0.1929394,-0.4304121,1.480459,0.309644,-0.4079464,1.283,0.08575709,-0.0527813,1.532989,0.07846384,-0.363654,1.518573,-0.09284103,0.1331228,1.529209,-0.0007038916,-0.3536063,1.483091,-0.1616851,-0.1389338,1.549938,0.3199006,-0.1523803,1.564368,NA,NA,NotTracked,Unknown,
