ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9008789,0.3330078,0.2368164,0.8955078,0.3842773,0.09570313,1,0,-1,0,-1,-2,0,1,-9,-4,-2,-1,-1,0,-1,-5,-1.3125,-1.3125,-1.3125,-1.625,-1.625,-1.625,6.487527,3.146264,8.876221,7.212352,3.141596,3.857889,-0.1446747,-0.418516,1.454036,0.2362731,-0.4611195,1.444714,0.09475841,0.3941722,1.557987,-0.1961059,-0.4198825,1.483143,0.1850797,-0.4914461,1.4224,0.06043167,-0.05432033,1.553605,0.05365914,-0.3668127,1.53268,-0.1213434,0.1304903,1.552463,-0.02509039,-0.3564001,1.497022,-0.1867314,-0.1310382,1.565891,0.2767847,-0.1548486,1.556123,NA,NA,NotTracked,NotTracked,
0.9257813,0.3208008,0.2338867,0.8989258,0.3842773,0.09228516,-1,-1,-1,-2,0,1,-2,0,1,-1,-1,0,0,-2,-2,-1,-0.4375,-0.4375,-0.4375,2.1875,2.1875,2.1875,6.489109,3.148209,8.874776,7.219381,3.144105,3.851679,-0.1435253,-0.418621,1.454156,0.2370151,-0.4614936,1.445516,0.09511397,0.394341,1.557702,-0.1928033,-0.4239193,1.478048,0.1902781,-0.451847,1.418711,0.06057318,-0.05427273,1.553563,0.05398903,-0.3668672,1.532668,-0.1212694,0.1304728,1.552498,-0.02478605,-0.3564717,1.497008,-0.1864768,-0.1310748,1.565852,0.2770236,-0.1547973,1.556102,NA,NA,NotTracked,NotTracked,
0.8876953,0.2963867,0.2255859,0.9179688,0.3867188,0.1103516,-1,0,0,-1,-2,-1,-2,0,3,1,-1,-4,-3,0,-1,-1,7.25,7.25,7.25,-0.4375,-0.4375,-0.4375,6.494851,3.153533,8.873808,7.226133,3.146421,3.842015,-0.1429531,-0.4166144,1.45387,0.2381547,-0.4617353,1.444573,0.09552997,0.3945579,1.557323,-0.1917486,-0.4250024,1.476054,0.1893668,-0.4575391,1.417884,0.06071792,-0.05414776,1.553497,0.05440125,-0.3669073,1.532588,-0.1211278,0.130484,1.552461,-0.02442099,-0.3565306,1.496931,-0.1861514,-0.1309391,1.565859,0.2773374,-0.1546627,1.555891,NA,NA,NotTracked,NotTracked,
0.8964844,0.3330078,0.2548828,0.8901367,0.3833008,0.08007813,0,-1,0,0,-1,-1,-1,-2,16,3,0,-1,-2,0,-2,4,3,3,3,10.9375,10.9375,10.9375,6.50848,3.153827,8.866524,7.260757,3.156655,3.821467,-0.143043,-0.4172683,1.455487,0.2391074,-0.4607451,1.444138,0.09595557,0.3948795,1.557737,-0.1928133,-0.4145375,1.4833,0.1898026,-0.4569914,1.41788,0.06083773,-0.05407023,1.553463,0.05482123,-0.3669855,1.532515,-0.1211053,0.1304755,1.552478,-0.02404597,-0.3566266,1.49688,-0.1859386,-0.1308589,1.56582,0.2776248,-0.1544648,1.555708,NA,NA,NotTracked,NotTracked,
0.9355469,0.3349609,0.2563477,0.8691406,0.362793,0.08642578,-2,-1,-1,-1,-1,-1,-2,-1,-10,-4,-3,-3,0,-2,-1,-5,0.5625,0.5625,0.5625,9.375,9.375,9.375,6.508111,3.161744,8.866424,7.274983,3.16486,3.822003,-0.142125,-0.4164819,1.454135,0.2400992,-0.4608367,1.44263,0.09608179,0.3949647,1.558069,-0.1955561,-0.4066292,1.488222,0.1906576,-0.4560863,1.417559,0.06090837,-0.05401466,1.553406,0.05511951,-0.3669682,1.532295,-0.1210818,0.1304725,1.552571,-0.02376862,-0.3566318,1.496655,-0.1855834,-0.1311089,1.565811,0.2781029,-0.1543703,1.555254,NA,NA,NotTracked,NotTracked,
0.9003906,0.3256836,0.2314453,0.8930664,0.390625,0.08056641,-2,-1,-2,-5,-5,-1,-1,-4,-5,-5,-4,-1,-1,-3,-3,-2,5.4375,5.4375,5.4375,0.0625,0.0625,0.0625,6.50907,3.171055,8.871627,7.27713,3.165189,3.830965,-0.1418768,-0.4172362,1.45292,0.240794,-0.4610001,1.441475,0.09583693,0.3951649,1.559094,-0.1893758,-0.437994,1.474476,0.1919022,-0.4505162,1.416464,0.06102729,-0.05394798,1.553426,0.05553646,-0.3668799,1.532135,-0.121025,0.1304318,1.552792,-0.02331756,-0.3565905,1.496553,-0.1852653,-0.1312637,1.56593,0.2784458,-0.1542559,1.554815,NA,NA,NotTracked,NotTracked,
0.9086914,0.328125,0.2392578,0.8945313,0.4077148,0.0703125,1,-1,-1,0,-2,-2,-2,-1,3,1,1,-6,-2,-1,-1,-2,2.6875,2.6875,2.6875,-10.875,-10.875,-10.875,6.507132,3.176204,8.881789,7.266264,3.165302,3.828568,-0.1417725,-0.4175944,1.453035,0.2409677,-0.4599061,1.441498,0.09548707,0.3952599,1.560257,-0.1907384,-0.4385014,1.480449,0.1923032,-0.4510762,1.41674,0.06124279,-0.0539419,1.553464,0.05594897,-0.3669775,1.531892,-0.1210783,0.1300791,1.553527,-0.02294169,-0.3567393,1.496424,-0.1847308,-0.1320638,1.566408,0.2786948,-0.1542744,1.554523,NA,NA,NotTracked,NotTracked,
0.9121094,0.328125,0.2480469,0.8901367,0.3999023,0.08740234,-1,-1,0,2,5,-1,0,-1,-4,-2,1,3,0,1,-1,-2,4.5,4.5,4.5,-11.25,-11.25,-11.25,6.506369,3.179518,8.891255,7.252077,3.169806,3.820757,-0.1412933,-0.417314,1.453179,0.2414118,-0.4602933,1.440544,0.09462,0.3952087,1.561744,-0.1942462,-0.408181,1.487934,0.1918774,-0.4547803,1.415908,0.06128632,-0.05395828,1.55347,0.05615517,-0.3670675,1.531566,-0.1210925,0.1298094,1.554252,-0.02274531,-0.3568981,1.496238,-0.1844992,-0.132229,1.566638,0.2790238,-0.1544016,1.554161,NA,NA,NotTracked,NotTracked,
0.9116211,0.3525391,0.2573242,0.8857422,0.4057617,0.0703125,-3,-2,0,0,-1,-2,1,-1,-1,0,7,0,-1,0,0,2,1.25,1.25,1.25,-8.5625,-8.5625,-8.5625,6.508139,3.177959,8.896441,7.245182,3.175221,3.811821,-0.1409779,-0.4179049,1.453683,0.2414003,-0.4604297,1.439851,0.09413036,0.3952225,1.56295,-0.1905611,-0.4513258,1.471455,0.1918742,-0.4549714,1.415598,0.06133205,-0.05394924,1.553542,0.05633672,-0.367111,1.531337,-0.1211198,0.1294573,1.555245,-0.0225706,-0.3569655,1.496126,-0.1840685,-0.1325651,1.567185,0.2793286,-0.1543819,1.554013,NA,NA,NotTracked,NotTracked,
0.9101563,0.3496094,0.2568359,1.236328,0.7260742,0.2978516,-2,-1,-1,-1,-1,-1,-1,-1,-13,-1,30,19,1,-1,-1,-7,-2.4375,-2.4375,-2.4375,-15.0625,-15.0625,-15.0625,6.496359,3.179781,8.902382,7.148584,3.261347,3.858201,-0.1408913,-0.4175494,1.455059,0.2418101,-0.4567973,1.435057,0.09333153,0.3955485,1.564763,-0.1904356,-0.4380156,1.477925,0.1950847,-0.4308944,1.418971,0.06146512,-0.0539412,1.553727,0.05650415,-0.3671314,1.531267,-0.1210988,0.1291707,1.556225,-0.02237554,-0.3570194,1.496165,-0.1838644,-0.1328488,1.56793,0.2798183,-0.1544112,1.553939,NA,NA,NotTracked,NotTracked,
