ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.8662109,0.4257813,0.04101563,-0.671875,0.4003906,0.5668945,-2,-2,-1,-3,0,-1,0,-3,2,-3,0,-3,-3,0,0,-4,-3.5,-3.5,-3.5,-4.9375,-4.9375,-4.9375,7.426805,3.256391,2.753795,5.759082,6.40687,7.489108,-0.8163515,-0.6799181,1.313302,-0.6974854,-0.5620871,1.48048,-0.810079,-0.1099088,1.499017,-0.7873582,-0.6828451,1.3375,-0.7511502,-0.519623,1.503464,-0.803963,-0.4704134,1.550007,-0.7747444,-0.7195994,1.565532,-0.9163497,-0.3004708,1.451762,-0.8060733,-0.7143695,1.505291,-0.9695984,-0.504061,1.441731,-0.630336,-0.4694718,1.67828,NA,NA,Unknown,Unknown,
0.8662109,0.4291992,0.04296875,-0.7182617,0.2827148,0.543457,0,1,-5,3,0,-2,-1,1,0,-6,1,-2,-1,-3,-2,-4,-4.6875,-4.6875,-4.6875,-21.625,-21.625,-21.625,7.419382,3.252446,2.752814,5.777333,6.391506,7.570847,-0.819909,-0.6818651,1.313299,-0.6975003,-0.5637075,1.480084,-0.8099572,-0.1132018,1.499557,-0.7854469,-0.6843765,1.332024,-0.7516762,-0.5229836,1.500816,-0.8038124,-0.4704869,1.54999,-0.7736959,-0.7202043,1.565075,-0.9161153,-0.300858,1.451661,-0.8048836,-0.7150464,1.504514,-0.9707229,-0.5040427,1.44102,-0.6347563,-0.4736056,1.687958,NA,NA,Unknown,Unknown,
0.8779297,0.4326172,0.04589844,-0.7114258,0.3310547,0.5214844,1,-2,-1,-1,-1,-2,-1,-4,4,2,3,3,-2,0,0,2,-7.5,-7.5,-7.5,-9.125,-9.125,-9.125,7.413431,3.245485,2.747503,5.857643,6.35925,7.702148,-0.8205767,-0.6805482,1.31138,-0.6997036,-0.565103,1.477108,-0.8097559,-0.1147262,1.500065,-0.7875469,-0.6842305,1.332622,-0.7533516,-0.523851,1.500211,-0.8032458,-0.4708867,1.549942,-0.7731526,-0.7204695,1.565054,-0.9159218,-0.3011343,1.451629,-0.8043357,-0.7153369,1.50446,-0.9713851,-0.5040464,1.441375,-0.6298834,-0.4756109,1.684723,NA,NA,Unknown,Unknown,
0.8833008,0.4296875,0.04638672,-0.7138672,0.4204102,0.5239258,-3,-1,-1,-2,0,-3,0,-1,3,-5,-4,-4,0,1,-2,0,-6,-6,-6,-6.25,-6.25,-6.25,7.410843,3.229816,2.729566,5.971233,6.311364,7.863142,-0.8211821,-0.6786849,1.31054,-0.7094495,-0.5712867,1.467878,-0.8096498,-0.1145521,1.500065,-0.7733094,-0.6954833,1.320455,-0.7573547,-0.5287503,1.477445,-0.8032377,-0.4706734,1.549942,-0.7730206,-0.7204091,1.564942,-0.9158693,-0.3011528,1.451639,-0.8042635,-0.7152792,1.50443,-0.9729682,-0.5035291,1.442395,-0.6274074,-0.4754208,1.68195,NA,NA,Unknown,Unknown,
0.8657227,0.4604492,0.03710938,-0.7797852,0.5087891,0.4956055,-1,-2,1,3,0,0,-2,0,-2,2,-5,2,0,4,0,0,-12.6875,-12.6875,-12.6875,-6.9375,-6.9375,-6.9375,7.415725,3.219915,2.706242,6.128618,6.235377,8.095327,-0.823667,-0.6804641,1.310599,-0.6975024,-0.5557089,1.483794,-0.8092679,-0.1134537,1.499646,-0.7838814,-0.6884505,1.332084,-0.7505887,-0.5211356,1.51,-0.8033115,-0.4700798,1.550098,-0.7729676,-0.7200207,1.565064,-0.9158649,-0.3010893,1.451675,-0.8042911,-0.7148397,1.504542,-0.9739131,-0.503146,1.443029,-0.626502,-0.4751866,1.681209,NA,NA,Unknown,Unknown,
0.8623047,0.425293,0.06787109,-0.7563477,0.5102539,0.5063477,-3,-1,-2,-1,1,2,0,1,-1,-4,-3,-7,-6,0,-2,-3,-6.5625,-6.5625,-6.5625,3.0625,3.0625,3.0625,7.415477,3.209166,2.673698,6.224256,6.177596,8.231194,-0.8332733,-0.6682342,1.355531,-0.6966389,-0.5610148,1.484681,-0.8092215,-0.1128339,1.499408,-0.806689,-0.6652259,1.377,-0.7234841,-0.5176783,1.488308,-0.8033087,-0.4702474,1.550002,-0.7731525,-0.7199829,1.565112,-0.9158777,-0.3010761,1.45167,-0.804562,-0.7147726,1.504654,-0.9652957,-0.5057154,1.44404,-0.6270203,-0.4756976,1.679674,NA,NA,NotTracked,Unknown,
0.8754883,0.440918,0.05078125,-0.7441406,0.5722656,0.5107422,4,-1,-3,-2,0,-3,0,2,2,-1,4,0,-7,2,1,3,3.9375,3.9375,3.9375,3.3125,3.3125,3.3125,7.433407,3.203603,2.65531,6.305272,6.12791,8.335979,-0.822062,-0.6856892,1.313917,-0.6974103,-0.5599274,1.483834,-0.8092538,-0.1127793,1.499457,-0.7925999,-0.6910809,1.338046,-0.716101,-0.5145231,1.490931,-0.8031527,-0.4709883,1.55025,-0.7732726,-0.7203717,1.565594,-0.9158853,-0.3011717,1.451756,-0.8045677,-0.7152205,1.50522,-0.9673227,-0.505204,1.445108,-0.6310102,-0.475327,1.687426,NA,NA,Unknown,Unknown,
0.8823242,0.4360352,0.05957031,-0.7402344,0.5639648,0.5249023,-2,-1,1,-3,-1,-1,1,-1,1,-5,-2,0,-1,-1,0,-2,5.1875,5.1875,5.1875,-1.6875,-1.6875,-1.6875,7.445155,3.199704,2.647904,6.347038,6.097923,8.405824,-0.8261528,-0.6844717,1.315986,-0.6973898,-0.5620751,1.482887,-0.809187,-0.1125885,1.499464,-0.8006221,-0.6807438,1.347205,-0.7518438,-0.5298463,1.489868,-0.8033736,-0.4709645,1.550413,-0.7735153,-0.7205707,1.565856,-0.9158984,-0.3011834,1.451862,-0.8048298,-0.7154332,1.50545,-0.970037,-0.5043358,1.447174,-0.6317573,-0.4760344,1.685563,NA,NA,Unknown,Unknown,
0.8759766,0.4267578,0.05712891,-0.6855469,0.5771484,0.5307617,1,-1,-1,-2,0,-1,1,-1,-1,-4,-3,3,-1,0,-5,0,14.25,14.25,14.25,-6.1875,-6.1875,-6.1875,7.450185,3.200256,2.665272,6.366136,6.074339,8.457193,-0.8256741,-0.6821806,1.320853,-0.697167,-0.5625864,1.483033,-0.8092566,-0.1120283,1.499569,-0.8060706,-0.6724406,1.3524,-0.7530661,-0.5210525,1.508303,-0.8035381,-0.4706867,1.550665,-0.7734778,-0.7206953,1.566153,-0.9159201,-0.301178,1.451927,-0.8047769,-0.7155914,1.505863,-0.974112,-0.5029337,1.449576,-0.632704,-0.4754943,1.688968,NA,NA,Unknown,Unknown,
0.875,0.4233398,0.03759766,-0.6411133,0.5898438,0.5175781,-1,0,-4,0,-1,-1,-2,0,1,4,1,-3,0,0,2,0,13.4375,13.4375,13.4375,-10.3125,-10.3125,-10.3125,7.448747,3.204162,2.69253,6.360265,6.064991,8.465848,-0.8263193,-0.6803679,1.32232,-0.6976965,-0.5629142,1.482662,-0.8093487,-0.1103664,1.498998,-0.7986894,-0.681304,1.347648,-0.7517664,-0.5246282,1.504236,-0.8035384,-0.4706987,1.550681,-0.7737426,-0.720359,1.566435,-0.9159483,-0.3011373,1.451959,-0.8051292,-0.7152327,1.506218,-0.9699951,-0.4909243,1.441012,-0.6294399,-0.4748706,1.686816,NA,NA,Unknown,Unknown,
0.8735352,0.4145508,0.0390625,-0.6025391,0.5419922,0.4931641,-1,0,-5,2,-2,-2,-3,1,-3,3,-5,-2,-4,0,-2,2,5.1875,5.1875,5.1875,-10.9375,-10.9375,-10.9375,7.437276,3.209817,2.718159,6.346304,6.042615,8.473866,-0.8228503,-0.6855676,1.318236,-0.6977126,-0.563484,1.482575,-0.809283,-0.110216,1.498922,-0.7939709,-0.6885581,1.341128,-0.7374682,-0.5255024,1.486053,-0.8034891,-0.4709123,1.550764,-0.7739462,-0.7203377,1.566639,-0.9159427,-0.301161,1.451996,-0.805372,-0.7151961,1.506418,-0.9669185,-0.5052928,1.446292,-0.6281992,-0.474846,1.685534,NA,NA,Unknown,Unknown,
0.8793945,0.4135742,0.03564453,-0.4921875,0.5756836,0.5053711,1,0,0,-2,2,0,0,1,-3,-2,-4,1,-1,-4,-3,1,4.0625,4.0625,4.0625,-3.6875,-3.6875,-3.6875,7.411377,3.214534,2.755399,6.350093,5.932528,8.503225,-0.8218737,-0.6861544,1.31609,-0.6979653,-0.564377,1.481831,-0.8091218,-0.1101103,1.498867,-0.7859416,-0.6942762,1.336383,-0.726923,-0.526032,1.477008,-0.8038948,-0.4706043,1.55104,-0.7742434,-0.7203864,1.566883,-0.9159521,-0.301154,1.452065,-0.8057101,-0.7152197,1.506667,-0.9653969,-0.5057517,1.445505,-0.6304163,-0.4744194,1.689994,NA,NA,Unknown,Unknown,
0.8808594,0.3969727,0.04736328,-0.4526367,0.5595703,0.4907227,-3,-1,2,2,0,0,-1,-1,2,2,3,-1,3,-3,-2,-2,3.1875,3.1875,3.1875,1,1,1,7.388563,3.213733,2.785259,6.362566,5.788834,8.530135,-0.8212411,-0.681538,1.329751,-0.6974954,-0.5638312,1.482805,-0.8092257,-0.1096252,1.499113,-0.8070698,-0.6701623,1.364967,-0.7545115,-0.5264031,1.498766,-0.8038819,-0.470738,1.551178,-0.7744795,-0.7203454,1.567197,-0.9159607,-0.3011833,1.452158,-0.8059836,-0.7151856,1.507079,-0.9756353,-0.5024151,1.450385,-0.6295132,-0.4748665,1.687058,NA,NA,Unknown,Unknown,
