ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.940918,0.2045898,0.2285156,0.9438477,0.2363281,0.03613281,0,-3,-2,-3,-2,-1,1,0,0,0,0,1,-3,0,-1,0,0.875,0.875,0.875,-4.6875,-4.6875,-4.6875,6.159243,2.97492,9.323155,7.470565,2.907292,8.400462,-0.1237264,-0.4313447,1.418054,0.2956222,-0.4382278,1.468128,0.1190932,0.4021571,1.526501,-0.1741787,-0.448728,1.423234,0.2469422,-0.4400722,1.421417,0.09600427,-0.04624604,1.523185,0.08955856,-0.3601994,1.507722,-0.08601437,0.1293953,1.502658,0.009627985,-0.3508356,1.472538,-0.1448398,-0.1412927,1.500387,0.3213935,-0.1483027,1.547541,NA,NA,NotTracked,NotTracked,
0.9467773,0.2104492,0.2236328,0.9482422,0.2431641,0.02929688,0,-1,-1,-1,-1,0,-1,-1,-2,-3,-1,0,0,-3,0,-1,0.875,0.875,0.875,1.5,1.5,1.5,6.17288,2.97802,9.311509,7.480681,2.907424,8.388859,-0.1243513,-0.431991,1.418106,0.2978785,-0.4242289,1.472652,0.1192027,0.4022266,1.52681,-0.1751946,-0.4421952,1.42585,0.2508718,-0.3963932,1.428539,0.09591677,-0.04636309,1.523605,0.08951303,-0.3602484,1.507911,-0.08608517,0.1293315,1.503146,0.00959539,-0.3508552,1.472613,-0.1448181,-0.14151,1.500821,0.3211583,-0.148407,1.547905,NA,NA,NotTracked,NotTracked,
0.9448242,0.2060547,0.2348633,0.9458008,0.2514648,0.03320313,-1,-2,0,-2,-2,-1,-1,0,-1,-2,-1,0,-2,0,4,0,-0.75,-0.75,-0.75,0.875,0.875,0.875,6.175194,2.97967,9.308005,7.492174,2.909724,8.380005,-0.1236863,-0.4323229,1.417896,0.2979611,-0.4242094,1.473499,0.1192474,0.4023923,1.527162,-0.1739104,-0.4384143,1.42475,0.2486887,-0.4179214,1.4254,0.09578048,-0.04641704,1.523971,0.08940277,-0.3602819,1.50826,-0.08619095,0.1292007,1.503643,0.009503502,-0.3508958,1.47291,-0.1450706,-0.1417224,1.50112,0.3209043,-0.1486731,1.548426,NA,NA,NotTracked,NotTracked,
0.9755859,0.215332,0.2338867,0.9477539,0.2509766,0.03808594,-1,-1,-2,0,-1,-2,0,1,-1,0,0,0,-1,-1,-2,0,-0.0625,-0.0625,-0.0625,-2.875,-2.875,-2.875,6.17782,2.980713,9.303737,7.499735,2.909401,8.367863,-0.1232957,-0.4314062,1.417006,0.2974585,-0.4243082,1.473811,0.1191878,0.4028104,1.527984,-0.1732147,-0.4435214,1.423667,0.2505103,-0.3961836,1.428744,0.09568536,-0.04640527,1.524344,0.08935068,-0.3602929,1.508626,-0.08627149,0.1291616,1.503951,0.009437633,-0.3509354,1.473338,-0.1452674,-0.1416845,1.501301,0.3206504,-0.1486425,1.548918,NA,NA,NotTracked,NotTracked,
0.9741211,0.2143555,0.2368164,0.9257813,0.2426758,0.02587891,-1,-1,-1,0,-2,-1,-1,-2,0,-1,-1,0,0,-2,-2,-1,-3.8125,-3.8125,-3.8125,-5.4375,-5.4375,-5.4375,6.177592,2.98156,9.300784,7.503201,2.909242,8.355138,-0.124157,-0.4320789,1.417424,0.2973993,-0.4252653,1.475246,0.1191902,0.4031432,1.528444,-0.1746622,-0.4466926,1.424015,0.2505119,-0.3982342,1.430283,0.09559991,-0.04627414,1.524875,0.08925609,-0.3602027,1.509107,-0.08637949,0.1292801,1.504283,0.009364191,-0.3508804,1.473693,-0.1453887,-0.1413089,1.501524,0.3202985,-0.1486082,1.549339,NA,NA,NotTracked,NotTracked,
0.9350586,0.1865234,0.2363281,0.9267578,0.2363281,0.02050781,-1,-2,-1,-1,-1,-1,-2,0,0,0,0,0,-1,-3,-1,-1,-5.4375,-5.4375,-5.4375,-5.125,-5.125,-5.125,6.165816,2.982646,9.303598,7.477838,2.906869,8.367849,-0.123726,-0.431268,1.415976,0.2969513,-0.424741,1.475093,0.1193756,0.4037402,1.529251,-0.1739551,-0.445451,1.422517,0.2485306,-0.4361073,1.427714,0.095493,-0.04600101,1.525386,0.08925389,-0.360099,1.509433,-0.08642701,0.1293817,1.504403,0.009372937,-0.3507908,1.473903,-0.1455467,-0.1407545,1.501534,0.3200206,-0.1486626,1.549738,NA,NA,NotTracked,NotTracked,
0.9272461,0.2226563,0.2177734,0.9575195,0.2504883,0.02880859,-1,-1,-1,-1,0,-1,-1,0,0,-1,0,-2,-1,-2,-2,-2,-7,-7,-7,-6.8125,-6.8125,-6.8125,6.164441,2.987581,9.293898,7.462324,2.905344,8.373317,-0.1239658,-0.431061,1.415856,0.2966546,-0.4248607,1.476514,0.1197494,0.4040402,1.529654,-0.1733523,-0.4380263,1.421134,0.2498707,-0.4023398,1.431596,0.09552668,-0.04594948,1.52563,0.08926719,-0.3600941,1.509684,-0.08637829,0.1295109,1.504514,0.009379025,-0.3507887,1.473996,-0.1457861,-0.1404773,1.501481,0.3195644,-0.1487417,1.550321,NA,NA,NotTracked,NotTracked,
0.9448242,0.1977539,0.2246094,0.9501953,0.2583008,0.0234375,-2,-1,1,-1,0,-1,-2,-2,-1,-1,0,0,0,-4,-3,-1,-8.25,-8.25,-8.25,-11.6875,-11.6875,-11.6875,6.147626,2.981479,9.29603,7.449893,2.906444,8.367653,-0.1250461,-0.4313098,1.416507,0.2967189,-0.4255049,1.476444,0.1202554,0.4043233,1.530386,-0.178031,-0.4414873,1.426079,0.2492297,-0.4069783,1.431032,0.09546,-0.04585798,1.525927,0.08919775,-0.3600718,1.509972,-0.08632425,0.1295245,1.504502,0.009339748,-0.3507502,1.474069,-0.1460533,-0.1403572,1.501189,0.3189501,-0.1488276,1.551051,NA,NA,NotTracked,NotTracked,
0.9458008,0.2006836,0.2226563,0.9296875,0.2509766,0.02636719,-1,-1,-1,-1,-1,0,-2,-2,-1,-2,1,0,1,-1,0,-1,-2.5,-2.5,-2.5,-10.8125,-10.8125,-10.8125,6.144123,2.977942,9.292971,7.440962,2.909991,8.348541,-0.1245394,-0.431676,1.415135,0.2963628,-0.4252507,1.476461,0.1205611,0.4044201,1.530749,-0.1745151,-0.4418818,1.419564,0.2504031,-0.3975196,1.432828,0.09546006,-0.04584012,1.526143,0.08919633,-0.3600681,1.510092,-0.08629736,0.1295059,1.504472,0.009342085,-0.3507417,1.474092,-0.1462547,-0.1400544,1.500898,0.3184859,-0.1487944,1.551799,NA,NA,NotTracked,NotTracked,
0.9414063,0.1987305,0.222168,0.9619141,0.300293,0.02197266,-1,-2,-3,-1,0,-2,-2,-2,-1,-1,-1,0,-1,-1,0,-6,-1.25,-1.25,-1.25,0.5,0.5,0.5,6.153616,2.981694,9.280298,7.449552,2.915475,8.331885,-0.1234594,-0.4309515,1.413383,0.296332,-0.4256504,1.4764,0.1209546,0.4046386,1.531263,-0.1759702,-0.4535521,1.418273,0.2497455,-0.4000584,1.431677,0.09541862,-0.04580599,1.526245,0.08919024,-0.360063,1.510104,-0.08620554,0.1295544,1.50442,0.009338371,-0.3507237,1.474054,-0.1463744,-0.1396342,1.50076,0.3181052,-0.1488575,1.552584,NA,NA,NotTracked,NotTracked,
