ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9350586,0.2832031,0.230957,0.9345703,0.2856445,0.008300781,-3,-1,0,-1,-1,0,0,-2,-3,-4,-1,-1,2,-1,-2,-1,-2.125,-2.125,-2.125,-10.875,-10.875,-10.875,6.385778,3.060598,6.428914,7.576016,2.980233,4.573593,-0.165287,-0.4296178,1.420785,0.2526969,-0.4334061,1.427112,0.04242203,0.4010298,1.510549,-0.2140774,-0.43759,1.428853,0.2895055,-0.4593281,1.40204,0.03973863,-0.04851272,1.505631,0.03907989,-0.3625172,1.488826,-0.1454612,0.1288,1.510609,-0.03952664,-0.3544247,1.458217,-0.1953674,-0.1476942,1.521365,0.2738421,-0.1511091,1.522392,NA,NA,NotTracked,NotTracked,
0.934082,0.2729492,0.2285156,0.925293,0.277832,0.008789063,0,-1,-3,0,-1,-3,0,-1,-1,-3,-1,2,3,-2,0,-3,-2.8125,-2.8125,-2.8125,-11.375,-11.375,-11.375,6.376529,3.065244,6.434917,7.549559,2.984273,4.581144,-0.1646417,-0.4285518,1.418403,0.2530471,-0.4336954,1.425883,0.04363577,0.4007702,1.510265,-0.2084022,-0.4783625,1.41575,0.2904675,-0.4597423,1.404246,0.04059896,-0.04858658,1.505747,0.03959155,-0.3626518,1.488496,-0.1445469,0.1287167,1.511267,-0.03904898,-0.3545115,1.457991,-0.1945984,-0.1476863,1.521194,0.2744643,-0.151107,1.522189,NA,NA,NotTracked,NotTracked,
0.9262695,0.265625,0.2338867,0.9331055,0.2963867,0.02490234,-2,0,-1,0,-1,-1,-1,1,-2,0,-3,-1,3,1,0,-1,-0.3125,-0.3125,-0.3125,-4.375,-4.375,-4.375,6.359694,3.07465,6.452312,7.513222,2.986701,4.603042,-0.1643724,-0.4298174,1.417518,0.2535798,-0.4331189,1.42591,0.04534066,0.4005631,1.510021,-0.2111286,-0.4356402,1.425687,0.2907476,-0.4518865,1.405896,0.04171861,-0.04893604,1.5058,0.03992954,-0.3628835,1.488171,-0.1431244,0.1288101,1.511636,-0.03870893,-0.3546683,1.45763,-0.1940191,-0.147594,1.521333,0.2750917,-0.1512364,1.522184,NA,NA,NotTracked,NotTracked,
0.9233398,0.2602539,0.2504883,0.9375,0.2944336,0.03369141,-1,-2,0,-2,-1,-3,-2,-2,0,1,0,-1,-1,-2,-1,0,-4.875,-4.875,-4.875,-1.375,-1.375,-1.375,6.349247,3.075912,6.459244,7.489521,2.985705,4.622159,-0.1648913,-0.429231,1.416485,0.2534058,-0.4332376,1.424242,0.04746223,0.4003362,1.509797,-0.2113456,-0.4426962,1.419308,0.2889273,-0.4600485,1.395385,0.04271797,-0.04914346,1.505871,0.04024613,-0.3630595,1.487688,-0.1415197,0.1289646,1.511925,-0.03842266,-0.3547078,1.457173,-0.193465,-0.1479264,1.52129,0.2755891,-0.1513327,1.52218,NA,NA,NotTracked,NotTracked,
0.9257813,0.2641602,0.2431641,0.9365234,0.2954102,0.02832031,0,0,-2,0,-2,-1,-1,-1,-1,0,1,-3,-4,1,1,0,-5.4375,-5.4375,-5.4375,-3.9375,-3.9375,-3.9375,6.336748,3.074679,6.463094,7.476951,2.987036,4.629358,-0.1644556,-0.4288529,1.415811,0.2540221,-0.4336836,1.423603,0.04999967,0.40016,1.509602,-0.2122636,-0.4708253,1.416,0.2896197,-0.4584159,1.400778,0.0436438,-0.04936563,1.505817,0.04053511,-0.3632836,1.487159,-0.1400803,0.1289411,1.511929,-0.03813669,-0.3548199,1.456544,-0.1927697,-0.1474977,1.521132,0.2759891,-0.1514678,1.522053,NA,NA,NotTracked,NotTracked,
0.9194336,0.2675781,0.2285156,0.9375,0.2856445,0.03173828,-1,0,0,0,-1,-1,-1,-1,1,-1,1,0,7,1,0,-1,-1.8125,-1.8125,-1.8125,-0.875,-0.875,-0.875,6.330667,3.071803,6.462985,7.474846,2.985605,4.625107,-0.1646144,-0.4288229,1.416968,0.2543603,-0.434556,1.424598,0.05237027,0.4001957,1.509662,-0.2116776,-0.4315585,1.425722,0.2894221,-0.4589835,1.402197,0.04453782,-0.0494252,1.505874,0.04095996,-0.3633647,1.486813,-0.1385624,0.1293104,1.512043,-0.03764524,-0.3548218,1.456016,-0.1925588,-0.1468774,1.52078,0.2764277,-0.1516514,1.522075,NA,NA,NotTracked,NotTracked,
0.9262695,0.2587891,0.2285156,0.940918,0.2841797,0.03466797,-2,-1,-2,0,-2,-2,-1,-2,-2,-2,-2,-1,1,-2,0,0,-1.8125,-1.8125,-1.8125,4.1875,4.1875,4.1875,6.332393,3.070955,6.457998,7.47943,2.983846,4.62372,-0.1643131,-0.4293278,1.416788,0.2550626,-0.4345469,1.423622,0.05398487,0.4001228,1.509547,-0.2118006,-0.4306174,1.427667,0.2857914,-0.460586,1.39281,0.0454786,-0.0495923,1.50587,0.04143218,-0.3635138,1.486427,-0.1377609,0.1292519,1.512006,-0.03718724,-0.3548312,1.455595,-0.1921246,-0.1461769,1.520733,0.2767297,-0.1517311,1.522083,NA,NA,NotTracked,NotTracked,
0.9277344,0.265625,0.2382813,0.9262695,0.2939453,0.02490234,1,-2,-3,-2,-2,-2,-1,-2,0,-1,-2,-1,1,1,-1,-1,2.9375,2.9375,2.9375,3.6875,3.6875,3.6875,6.340197,3.071334,6.454191,7.484945,2.986977,4.624353,-0.1637976,-0.4294211,1.415314,0.2558654,-0.4343047,1.422701,0.05539331,0.4002086,1.509464,-0.2097673,-0.4585766,1.410143,0.2929057,-0.4604846,1.400273,0.04641034,-0.0495984,1.505836,0.04198789,-0.3635052,1.486032,-0.1368444,0.1292637,1.511915,-0.03657995,-0.3546763,1.455115,-0.191726,-0.14568,1.520525,0.2771859,-0.1519378,1.521951,NA,NA,NotTracked,NotTracked,
0.9233398,0.2617188,0.2504883,0.9233398,0.3076172,0.01806641,-2,-2,-2,-1,-1,1,0,1,-3,1,0,-1,2,0,-2,-3,0.375,0.375,0.375,-1.8125,-1.8125,-1.8125,6.34583,3.070065,6.450776,7.483412,2.994246,4.626448,-0.1629809,-0.429058,1.416012,0.2559409,-0.4336534,1.422666,0.0562641,0.4003649,1.509717,-0.2073224,-0.4355431,1.417526,0.2915242,-0.4600475,1.398215,0.04682336,-0.04958833,1.505793,0.04242605,-0.3635831,1.485698,-0.1363686,0.129214,1.511851,-0.03615077,-0.3547357,1.454677,-0.1913111,-0.146045,1.520321,0.2775387,-0.1519893,1.521912,NA,NA,NotTracked,NotTracked,
0.9384766,0.2597656,0.2558594,1.006348,0.3813477,-0.02050781,-2,0,-2,0,-1,-1,-2,-1,0,6,-11,-6,-5,-1,3,12,-2.4375,-2.4375,-2.4375,-27.25,-27.25,-27.25,6.340767,3.069552,6.451968,7.472952,3.013495,4.610357,-0.1627133,-0.4292013,1.415672,0.2566225,-0.4314778,1.42092,0.05695169,0.400337,1.509827,-0.2103188,-0.4396052,1.423357,0.2914596,-0.4606012,1.395786,0.04712074,-0.0496002,1.505739,0.04269725,-0.3635798,1.485424,-0.1361099,0.1291223,1.511759,-0.03583568,-0.3546447,1.454247,-0.1909393,-0.1459999,1.520194,0.2779267,-0.1520455,1.521876,NA,NA,NotTracked,NotTracked,
