ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.96875,0.1499023,0.1074219,0.5053711,0.4536133,0.762207,3,-4,-8,1,9,1,-3,-16,2,0,2,10,2,5,1,0,-4.6875,-4.6875,-4.6875,61.125,61.125,61.125,6.56669,2.768579,5.107385,6.103938,5.014357,4.655786,0.5183591,0.08251383,0.5191365,0.5604893,-0.1951793,1.020771,0.4577781,0.1899124,0.8057195,0.5017618,0.06004601,0.4862579,0.5549216,-0.2356202,1.02725,0.5985832,-0.1497366,1.003628,0.6841337,-0.3482328,1.143909,0.4470176,-0.0736941,0.9919564,0.5982878,-0.3309927,1.216986,0.530748,-0.07344409,0.7546229,0.6164324,-0.2836919,0.8726991,NA,NA,NotTracked,NotTracked,
0.9716797,0.1225586,0.07470703,0.4536133,0.4677734,0.7045898,-5,-1,-3,-1,-2,3,3,-24,-7,5,-5,-6,-5,-4,-1,-4,-0.0625,-0.0625,-0.0625,52.4375,52.4375,52.4375,6.566003,2.761166,5.104964,6.190407,5.062395,4.648735,0.3984843,0.2827163,0.5341569,0.5209576,-0.1331104,1.147026,0.4652712,0.2042242,0.8226975,0.3851593,0.2548805,0.4995624,0.5169387,-0.1760386,1.150284,0.6124637,-0.1330727,1.042376,0.7094077,-0.3385056,1.198179,0.4523692,-0.05663494,1.014534,0.6145275,-0.3319975,1.23111,0.4152494,0.1243374,0.7690427,0.6167928,-0.2698029,0.9177032,NA,NA,NotTracked,NotTracked,
0.984375,0.1162109,0.06835938,0.06591797,0.5195313,0.6499023,13,-10,-16,-2,0,-1,-1,3,0,25,-10,-8,-5,0,-4,-2,0,0,0,34.1875,34.1875,34.1875,6.563513,2.75756,5.109437,6.258362,5.079785,4.708252,0.4322158,0.2659987,0.5104592,0.5492442,-0.1745642,1.156255,0.4695572,0.210351,0.8301774,0.4180187,0.2374472,0.4774401,0.5448458,-0.2157174,1.162014,0.6145294,-0.1322971,1.044996,0.709756,-0.3379234,1.197145,0.4550722,-0.05319287,1.020364,0.6194461,-0.3310983,1.242879,0.420678,0.1259121,0.7731601,0.602365,-0.2579285,0.8946173,NA,NA,NotTracked,NotTracked,
1.019531,0.1166992,0.1044922,-0.2290039,0.668457,0.6601563,11,-7,5,-3,-3,-4,-1,-4,-5,0,-1,0,0,-2,-2,-1,-0.75,-0.75,-0.75,22.375,22.375,22.375,6.517963,2.760424,5.15492,6.30563,5.125024,4.738873,0.4737345,0.2642782,0.5027261,0.5730162,-0.2980399,1.13199,0.4791586,0.2174702,0.8334368,0.4585915,0.2360149,0.4704014,0.5680386,-0.3389136,1.138924,0.621758,-0.1622811,0.9950399,0.6999971,-0.3958579,1.088603,0.4654652,-0.05120981,1.017269,0.6129409,-0.3887124,1.163569,0.4608549,0.1245349,0.765353,0.6029714,-0.2620298,0.8594693,NA,NA,NotTracked,NotTracked,
0.9697266,0.1484375,0.1225586,-0.3823242,0.7675781,0.6381836,-1,-6,-8,-2,2,-2,-2,1,0,-14,-13,-3,-2,-3,2,0,0.3125,0.3125,0.3125,-9.125,-9.125,-9.125,6.476524,2.765338,5.197773,6.3177,5.178482,4.749647,0.4662427,0.3153346,0.5734724,0.6264403,-0.4067464,1.093772,0.4884604,0.2131157,0.8488568,0.4525229,0.2862428,0.5403466,0.6209129,-0.4438406,1.101164,0.6016997,-0.1891601,0.9716355,0.661091,-0.4503162,1.033922,0.4679155,-0.03610795,1.056649,0.6003287,-0.4451869,1.015831,0.4529327,0.176215,0.8357784,0.5977029,-0.290643,0.8471506,NA,NA,NotTracked,NotTracked,
1.000488,0.1386719,0.1196289,-0.3061523,0.7114258,0.6401367,2,6,-6,1,5,6,-2,-3,-3,1,2,0,0,-1,0,-4,5.1875,5.1875,5.1875,-24.125,-24.125,-24.125,6.466025,2.766774,5.208147,6.297369,5.200422,4.750493,0.4612008,0.3060425,0.5493326,0.5664858,-0.1697231,1.050318,0.4893664,0.217812,0.843138,0.447217,0.2769502,0.516425,0.5602677,-0.2325814,1.029125,0.5976986,-0.1895247,0.960706,0.656234,-0.4629699,0.995548,0.4628211,-0.04589731,1.032614,0.5929705,-0.458592,0.9928226,0.4478754,0.166735,0.8117599,0.5603645,-0.235812,0.8406093,NA,NA,NotTracked,NotTracked,
0.9775391,0.1186523,0.1030273,-0.1181641,0.800293,0.675293,15,-6,0,-1,-1,-2,-3,5,1,-3,-1,3,-1,2,0,-2,-6.3125,-6.3125,-6.3125,13.6875,13.6875,13.6875,6.497932,2.766937,5.175196,6.309073,5.22021,4.746987,0.4587878,0.3031551,0.5440863,0.5799493,-0.2022801,1.064367,0.4908197,0.2189339,0.8420888,0.4447648,0.2740761,0.5112044,0.5657705,-0.2311517,1.038571,0.5966647,-0.1900035,0.9573748,0.6538886,-0.4657386,0.9905057,0.4603616,-0.04892584,1.02739,0.5885688,-0.4623485,0.9930155,0.4454423,0.1637904,0.8065432,0.5752918,-0.2320346,0.8504894,NA,NA,NotTracked,NotTracked,
0.9682617,0.1264648,0.08691406,-0.1376953,0.7705078,0.6992188,3,15,5,-1,1,-2,2,1,-2,1,-1,-1,-2,-1,-4,-5,1.25,1.25,1.25,7.375,7.375,7.375,6.502171,2.766542,5.168585,6.324091,5.228701,4.753138,0.4565366,0.3007616,0.5402769,0.5839739,-0.2146391,1.068395,0.4926442,0.2192871,0.8425807,0.4424926,0.2716965,0.507405,0.5714677,-0.2327326,1.043571,0.5968719,-0.1900301,0.957257,0.6538207,-0.4662791,0.9902728,0.4580633,-0.05143373,1.023596,0.5870098,-0.4642133,0.9957443,0.44317,0.1613493,0.8027563,0.5795227,-0.2298979,0.8606613,NA,NA,NotTracked,NotTracked,
0.9824219,0.1362305,0.1000977,-0.1538086,0.8017578,0.6738281,7,-8,5,1,2,5,-4,3,1,-1,-1,-5,1,-3,-1,0,-0.875,-0.875,-0.875,-0.6875,-0.6875,-0.6875,6.490952,2.768187,5.173433,6.333442,5.239959,4.759328,0.4550676,0.2993146,0.5381306,0.5869507,-0.2150312,1.073336,0.4943506,0.2197171,0.8436256,0.4411597,0.2704256,0.5055676,0.5767932,-0.2306529,1.04875,0.5976959,-0.1900246,0.9574225,0.6545061,-0.4664473,0.9905904,0.4565625,-0.0529494,1.021458,0.5874605,-0.464793,0.9984843,0.4416866,0.1598735,0.8006232,0.5817482,-0.227981,0.8635268,NA,NA,NotTracked,NotTracked,
0.9799805,0.137207,0.105957,-0.2348633,0.6865234,0.7094727,-2,0,1,-3,-3,0,1,7,5,26,16,3,-1,2,1,-6,-0.4375,-0.4375,-0.4375,-7.75,-7.75,-7.75,6.48997,2.769516,5.173546,6.300286,5.270308,4.782228,0.4542106,0.2987312,0.5372113,0.5920191,-0.1947496,1.08165,0.4962107,0.2204877,0.8455566,0.440791,0.2703371,0.5055282,0.5767438,-0.2093018,1.0575,0.5987863,-0.1904929,0.9589241,0.6555955,-0.4683535,0.9930747,0.4556874,-0.05356346,1.020544,0.5883556,-0.4656713,1.002838,0.4408213,0.159277,0.7997102,0.5876177,-0.2475498,0.873808,NA,NA,NotTracked,NotTracked,
0.9736328,0.1367188,0.1103516,-0.2583008,0.7602539,0.6665039,16,8,4,-3,-6,-3,2,8,0,-8,-5,6,-1,0,1,0,-2.3125,-2.3125,-2.3125,0.5,0.5,0.5,6.493111,2.770717,5.168346,6.307278,5.301163,4.801244,0.4568789,0.2990443,0.542893,0.5784601,-0.1589096,1.069669,0.5022153,0.2165507,0.8545839,0.4428524,0.2718884,0.509551,0.5806991,-0.1950816,1.0605,0.6028614,-0.1919877,0.9665489,0.6572866,-0.4730404,0.9991801,0.4583858,-0.05315829,1.026173,0.5911421,-0.4675698,1.008047,0.4435014,0.1596212,0.8053519,0.5937964,-0.2802303,0.8790413,NA,NA,NotTracked,NotTracked,
