ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.8881836,-0.5996094,0.6450195,1.083984,0.3349609,0.02734375,-3,9,13,5,-7,8,19,4,-3,-9,-6,6,-4,0,-27,-6,10.6875,10.6875,10.6875,-77.5,-77.5,-77.5,3.541605,3.69116,9.445549,6.793849,3.094621,1.299811,-0.08536438,-0.310666,1.388114,0.2085708,-0.4462743,1.460885,0.02744868,0.3724735,1.533659,-0.09276323,-0.2704505,1.324057,0.1690101,-0.4268842,1.43355,0.02650491,-0.06745373,1.556502,0.03149316,-0.377903,1.53895,-0.1415815,0.1229634,1.549548,-0.04805482,-0.3700868,1.507013,-0.1933004,-0.1195462,1.578515,0.2315792,-0.1424419,1.55971,NA,NA,NotTracked,NotTracked,
0.2197266,-0.5541992,0.5083008,1.117676,0.4355469,0.2773438,3,10,-10,-6,-11,-11,-4,3,5,-1,32,-7,4,4,-16,-13,-7.6875,-7.6875,-7.6875,2.6875,2.6875,2.6875,3.655022,4.237038,9.253692,6.549075,3.288751,1.4793,-0.05903982,-0.1974808,1.3584,0.2086611,-0.4192991,1.451751,0.0266583,0.371324,1.533669,-0.08216815,-0.1735103,1.305704,0.1689501,-0.4037873,1.433857,0.02639795,-0.06761717,1.556749,0.03136085,-0.3778237,1.539033,-0.1428971,0.1249025,1.554771,-0.04816825,-0.3699324,1.507108,-0.2005952,-0.09546692,1.585445,0.2348093,-0.1444932,1.565225,NA,NA,Closed,NotTracked,
0.08251953,-0.5068359,0.4179688,1.032715,0.5483398,0.6098633,-1,3,-2,3,5,7,14,5,7,-2,23,-8,4,-6,-3,-14,-19.0625,-19.0625,-19.0625,-6.0625,-6.0625,-6.0625,3.660839,4.570022,9.175281,6.415698,3.570879,1.63366,-0.04885146,-0.1318261,1.340562,0.1865675,-0.3832785,1.417658,0.02577251,0.3701886,1.533341,-0.07219925,-0.1121206,1.298333,0.1502788,-0.3637477,1.41475,0.02586454,-0.06764762,1.55701,0.02927013,-0.3768771,1.539092,-0.1432581,0.1262777,1.557078,-0.05068757,-0.3678865,1.507056,-0.2031972,-0.08738115,1.581573,0.2419635,-0.1372551,1.575104,NA,NA,Unknown,NotTracked,
0.1499023,-0.6616211,0.5727539,0.5400391,0.5595703,0.6489258,0,4,-7,-1,-5,-11,-44,-6,-6,-14,-13,2,38,-10,-12,-6,-11.1875,-11.1875,-11.1875,-40.8125,-40.8125,-40.8125,3.631778,4.745779,9.130966,6.287827,3.944749,1.747632,-0.04096923,-0.1070151,1.342233,0.1382784,-0.3150919,1.395724,0.02531932,0.368674,1.53328,-0.06630117,-0.08424015,1.296274,0.1499269,-0.2858892,1.342935,0.02493937,-0.06777303,1.557476,0.02643922,-0.3758451,1.539366,-0.1431312,0.1268094,1.558226,-0.05341678,-0.3661043,1.507355,-0.2041841,-0.08392796,1.575876,0.2502073,-0.121728,1.584755,NA,NA,Closed,Unknown,
0.2353516,-0.7055664,0.6274414,0.03076172,0.4331055,0.5195313,7,-2,5,2,-6,-4,29,5,1,2,-1,-3,-6,-41,-9,-12,-19.625,-19.625,-19.625,-20.5,-20.5,-20.5,3.611756,4.797297,9.098904,6.159778,4.490766,1.815742,-0.03933781,-0.1035991,1.342235,0.1122512,-0.1984916,1.375803,0.02544141,0.3672756,1.533057,-0.06046278,-0.07653552,1.296,0.1467721,-0.1922613,1.316604,0.02492069,-0.0678131,1.557554,0.02619795,-0.3753967,1.539262,-0.1428163,0.1270378,1.558668,-0.05350413,-0.3655995,1.507162,-0.205341,-0.08343254,1.572415,0.2520028,-0.113355,1.585579,NA,NA,Closed,NotTracked,
0.1601563,-0.7202148,0.6611328,-0.03710938,0.5634766,0.4101563,-7,2,-1,2,3,1,3,-5,13,3,-3,2,0,-12,-1,7,2.0625,2.0625,2.0625,35.875,35.875,35.875,3.61433,4.793895,9.075291,6.206829,4.772781,1.837347,-0.04284839,-0.09958874,1.334452,0.1042435,-0.1265691,1.375705,0.02587287,0.3652056,1.532876,-0.05727746,-0.07751651,1.294133,0.1314874,-0.1079725,1.317316,0.02491065,-0.06786849,1.557674,0.02612097,-0.3746949,1.539131,-0.1425845,0.1270214,1.558808,-0.05344535,-0.3649477,1.506874,-0.2075831,-0.08326234,1.568407,0.2522896,-0.1062091,1.581562,NA,NA,NotTracked,NotTracked,
0.1201172,-0.7612305,0.6616211,0.1391602,0.6660156,0.6337891,3,1,-2,-2,5,21,0,6,7,0,-2,-3,13,1,1,7,3.0625,3.0625,3.0625,14.1875,14.1875,14.1875,3.620847,4.794636,9.059366,6.242548,4.861415,1.847409,-0.04070076,-0.09927644,1.338079,0.1060888,-0.1012295,1.37262,0.02645149,0.3632287,1.532638,-0.0571561,-0.07850719,1.297149,0.124056,-0.07210473,1.318378,0.02488069,-0.0679285,1.557888,0.02644324,-0.3738216,1.539146,-0.142364,0.1269968,1.558876,-0.0528791,-0.3641868,1.506546,-0.2080257,-0.08333977,1.566375,0.2893717,-0.1196992,1.544759,NA,NA,NotTracked,NotTracked,
0.09472656,-0.7719727,0.6860352,0.1235352,0.7436523,0.71875,4,-2,-8,2,-9,-2,-2,2,-2,-7,5,-1,2,-4,-17,-50,6.3125,6.3125,6.3125,20.625,20.625,20.625,3.639264,4.800633,9.050205,6.281205,4.855763,1.86759,-0.03655522,-0.09744363,1.340786,0.09839728,-0.09631212,1.376487,0.0267251,0.3622134,1.532351,-0.0520706,-0.1137174,1.3025,0.1155545,-0.1128589,1.3265,0.02485826,-0.06787054,1.558026,0.02679603,-0.3725548,1.539133,-0.1421821,0.1269442,1.558935,-0.05222823,-0.3629467,1.505878,-0.2335674,-0.1253479,1.517259,0.2899876,-0.1198767,1.543877,NA,NA,NotTracked,NotTracked,
0.1513672,-0.7573242,0.6538086,0.05224609,0.7216797,0.7387695,1,0,-5,0,12,7,-3,-3,-1,0,-5,2,-7,-8,-4,-3,6.3125,6.3125,6.3125,-3.3125,-3.3125,-3.3125,3.646094,4.802787,9.047621,6.281343,4.853216,1.88363,-0.03597751,-0.09763516,1.340108,0.08970261,-0.09534395,1.373496,0.02673842,0.3611829,1.532139,-0.05416783,-0.1081354,1.301678,0.1224047,-0.07536081,1.323114,0.02485619,-0.06790473,1.558092,0.02697026,-0.372035,1.5391,-0.142169,0.126813,1.558942,-0.05192064,-0.3625278,1.505596,-0.2614786,-0.1335511,1.577883,0.2895487,-0.1184038,1.541362,NA,NA,NotTracked,NotTracked,
0.1347656,-0.6972656,0.6738281,0.04882813,0.7553711,0.6708984,1,3,1,0,0,5,-8,5,-18,-10,-11,-1,-4,-3,0,-14,1.25,1.25,1.25,3.3125,3.3125,3.3125,3.663564,4.796642,9.046571,6.291359,4.856445,1.888703,-0.03595788,-0.09802579,1.339628,0.09799198,-0.09086349,1.361653,0.0265625,0.3603075,1.532279,-0.0517698,-0.111611,1.301511,0.1169189,-0.07270641,1.314756,0.02486919,-0.06804787,1.558222,0.02698336,-0.3718209,1.539118,-0.1421733,0.1266215,1.559043,-0.05186048,-0.3623601,1.505525,-0.2313373,-0.1348188,1.521028,0.2894591,-0.1173515,1.540927,NA,NA,NotTracked,NotTracked,
