ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9379883,-0.3325195,0.04882813,0.9458008,0.2646484,0.005371094,-1,-1,-1,-2,-2,-2,-1,0,6,1,-2,-1,-6,-12,4,-2,1.4375,1.4375,1.4375,-18.25,-18.25,-18.25,2.746011,3.052355,0.9584681,7.023116,2.959124,0.4657143,-0.1026318,-0.4015898,1.478154,0.2785112,-0.4370883,1.482446,0.09607524,0.3770593,1.529655,-0.1390266,-0.4030212,1.492632,0.3129233,-0.4276407,1.494154,0.09466945,-0.06482507,1.555547,0.09807803,-0.3756072,1.543316,-0.07761272,0.1222807,1.547398,0.01643451,-0.3665694,1.509974,-0.1150002,-0.129963,1.558625,0.2946271,-0.1480829,1.566468,NA,NA,NotTracked,NotTracked,
0.9335938,-0.3383789,0.04345703,0.9399414,0.2338867,0.1181641,0,-2,-1,-1,-2,-1,1,0,-1,-1,-2,-5,2,1,4,-1,1.75,1.75,1.75,-14,-14,-14,2.74748,3.053602,0.9602919,6.969416,2.973466,0.4842387,-0.1029615,-0.4017532,1.478853,0.2784831,-0.4363537,1.48118,0.09607714,0.377097,1.529759,-0.1414889,-0.3963719,1.498828,0.3122964,-0.4266464,1.491,0.09465621,-0.06481151,1.555578,0.09806344,-0.3755968,1.543328,-0.07684378,0.1220966,1.545565,0.01641814,-0.3665634,1.509982,-0.1150189,-0.1299415,1.558668,0.2949575,-0.1480923,1.567065,NA,NA,NotTracked,NotTracked,
0.9282227,-0.3466797,0.05664063,0.8847656,0.2802734,0.140625,-1,-1,1,-2,-3,-3,-1,-4,1,-2,-2,3,6,-7,-3,-3,-1.25,-1.25,-1.25,8.5625,8.5625,8.5625,2.746891,3.053936,0.9609773,6.954805,2.974041,0.5038339,-0.1034219,-0.4006483,1.478716,0.2855227,-0.4125792,1.489019,0.09607802,0.3771576,1.529826,-0.1400651,-0.4028749,1.495562,0.3202242,-0.4018301,1.497714,0.09465966,-0.06480959,1.555579,0.09806018,-0.375605,1.543324,-0.07701329,0.1222461,1.545946,0.0164162,-0.3665666,1.509956,-0.1150958,-0.1296887,1.558605,0.2953558,-0.1475269,1.567894,NA,NA,NotTracked,NotTracked,
0.9355469,-0.3408203,0.06591797,0.9316406,0.2841797,0.07080078,-1,-1,-2,0,-2,-2,-2,0,3,-1,-2,-2,-5,1,-2,-3,-3,-3,-3,-0.875,-0.875,-0.875,2.751862,3.055898,0.9520401,6.958202,2.974676,0.5047477,-0.1029039,-0.4014231,1.478352,0.2847227,-0.4139619,1.490303,0.09606387,0.3771987,1.530239,-0.1403606,-0.3996733,1.495321,0.3166644,-0.4103562,1.495797,0.09463625,-0.06480113,1.555745,0.09805834,-0.3755993,1.543363,-0.07741709,0.1222908,1.546626,0.01641847,-0.366564,1.509957,-0.1151043,-0.1299401,1.55887,0.2955943,-0.1491364,1.569936,NA,NA,NotTracked,NotTracked,
0.940918,-0.3276367,0.03857422,1.022949,0.3041992,-0.02246094,1,-1,-1,-1,-3,-2,-2,-1,-29,-9,1,1,0,-2,-3,-4,-2.5,-2.5,-2.5,-1.1875,-1.1875,-1.1875,2.752565,3.057329,0.9450001,6.97434,2.980664,0.4908952,-0.1031294,-0.4009269,1.477906,0.2823766,-0.4247271,1.486059,0.09605172,0.3772239,1.530429,-0.1396025,-0.4036897,1.492643,0.3212686,-0.4016913,1.5015,0.09462889,-0.06480667,1.555784,0.09806412,-0.3756095,1.543351,-0.0775769,0.1222628,1.546912,0.01643925,-0.366586,1.5099,-0.1150806,-0.1300792,1.558663,0.2956544,-0.149273,1.570323,NA,NA,NotTracked,NotTracked,
0.9594727,-0.3413086,0.03613281,1.253906,0.4750977,-0.1801758,0,-1,-2,-1,0,0,2,2,-5,-6,25,-10,-23,-35,-10,-8,-0.5625,-0.5625,-0.5625,-114.4375,-114.4375,-114.4375,2.749784,3.057089,0.9464351,6.860864,3.054009,0.5156546,-0.09774677,-0.4226948,1.467978,0.285316,-0.4129058,1.485241,0.09604298,0.3773385,1.530725,-0.1372435,-0.4116349,1.48887,0.3174066,-0.4232162,1.492083,0.09458958,-0.06484656,1.555851,0.09802292,-0.3757625,1.54334,-0.07668038,0.1219668,1.545015,0.01640071,-0.3666882,1.50981,-0.11506,-0.1303895,1.55867,0.2968015,-0.149946,1.572301,NA,NA,NotTracked,NotTracked,
0.9370117,-0.3359375,0.01953125,1.492188,0.5854492,0.5810547,2,0,-3,-2,0,0,-3,2,25,26,5,-54,83,-15,-25,-6,8.25,8.25,8.25,-24.0625,-24.0625,-24.0625,2.742584,3.055289,0.9627264,6.547769,3.41697,0.6434276,-0.09819178,-0.4232103,1.468413,0.270074,-0.4045466,1.449064,0.09612857,0.377492,1.530867,-0.136507,-0.4177994,1.483818,0.3121273,-0.3887141,1.449577,0.09433974,-0.06478672,1.555809,0.09719522,-0.3758226,1.543109,-0.07716633,0.1220168,1.545717,0.01533612,-0.3666158,1.509234,-0.1151856,-0.130337,1.558689,0.3063291,-0.1478612,1.587815,NA,NA,NotTracked,NotTracked,
0.9545898,-0.3232422,0.05615234,0.6791992,0.6538086,0.8139648,-1,-3,-1,-1,0,-3,-5,0,-7,-6,8,34,-19,8,-2,-7,2.875,2.875,2.875,-126.875,-126.875,-126.875,2.733315,3.051065,0.9829863,6.340636,3.892638,0.7086695,-0.09936646,-0.4229497,1.469145,0.2526657,-0.3080635,1.406835,0.09632206,0.3776399,1.530961,-0.1386086,-0.4292967,1.493688,0.3160424,-0.2592371,1.391,0.09315785,-0.0646411,1.555633,0.09295003,-0.3756335,1.542815,-0.07717773,0.1221264,1.545878,0.01084706,-0.3656523,1.508706,-0.1154811,-0.1296218,1.558817,0.3205762,-0.1201376,1.615368,NA,NA,NotTracked,NotTracked,
0.90625,-0.3618164,0.06445313,-0.06494141,0.3500977,0.5375977,-4,0,-1,-1,1,0,0,-1,18,-18,6,-17,-120,-2,27,-38,-1,-1,-1,-23.6875,-23.6875,-23.6875,2.707155,3.048935,1.009665,6.233806,4.465288,0.7092969,-0.1018246,-0.4232081,1.469508,0.2401926,-0.1507671,1.364551,0.09671929,0.3776942,1.530795,-0.141796,-0.4208644,1.492471,0.2809997,-0.1741243,1.348762,0.09268848,-0.06455348,1.555269,0.09076209,-0.3751997,1.541962,-0.07677571,0.1223903,1.545834,0.008745834,-0.3649531,1.507817,-0.1155227,-0.1279958,1.558752,0.3242977,-0.08500015,1.621273,NA,NA,NotTracked,Unknown,
0.9311523,-0.3369141,0.06054688,-0.3115234,0.5761719,0.2045898,1,0,-2,0,0,-1,0,0,-17,29,46,88,101,55,-14,18,-2.125,-2.125,-2.125,82.8125,82.8125,82.8125,2.689631,3.049779,1.029179,6.345146,4.923735,0.673128,-0.1029099,-0.4190988,1.469816,0.2409348,-0.03039089,1.394928,0.09719077,0.3777435,1.5308,-0.1389478,-0.4290848,1.481007,0.2797244,-0.03251969,1.35529,0.09236201,-0.06448256,1.555056,0.08945297,-0.3749307,1.541524,-0.07620641,0.122414,1.54568,0.007733454,-0.3646451,1.507764,-0.1154935,-0.128013,1.558735,0.3114255,-0.08989667,1.480269,NA,NA,NotTracked,Unknown,
