ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9379883,-0.331543,0.07373047,-0.3515625,0.6450195,0.4897461,1,-1,-1,-1,-1,-1,0,-2,6,3,6,-16,-6,18,-15,29,-5.8125,-5.8125,-5.8125,33.25,33.25,33.25,2.87414,3.099294,7.795057,6.393457,5.567382,9.234921,-0.1630199,-0.4156409,1.54952,0.04279594,0.01526943,1.437391,0.03320061,0.3911809,1.61713,-0.1196603,-0.3972914,1.510628,0.05986919,0.009513374,1.381182,0.01953432,-0.06790158,1.649394,0.01786929,-0.3793304,1.639098,-0.1456996,0.120516,1.633277,-0.06024437,-0.3685232,1.599916,-0.1851778,-0.1286664,1.648617,0.2613503,-0.1408146,1.624768,NA,NA,NotTracked,Unknown,
0.925293,-0.359375,0.06787109,-0.3295898,0.6337891,0.4267578,0,-2,-1,0,-1,-1,2,0,-9,-5,0,2,-10,-27,-7,-24,-0.25,-0.25,-0.25,27.0625,27.0625,27.0625,2.855703,3.101158,7.808561,6.534482,6.04115,9.417134,-0.1628775,-0.4157717,1.548808,0.0419383,0.1068775,1.473534,0.03611704,0.3905384,1.616699,-0.1186103,-0.3869134,1.513116,0.04951673,0.1206522,1.41524,0.01969812,-0.06785915,1.649526,0.01803066,-0.3793161,1.639064,-0.1472302,0.1204982,1.629838,-0.060037,-0.3686177,1.600145,-0.1845073,-0.12827,1.648219,0.2173833,-0.09916279,1.573923,NA,NA,NotTracked,Lasso,
0.9335938,-0.3671875,0.07324219,-0.4492188,0.5708008,0.4130859,0,0,-1,-1,-2,-1,1,-1,7,1,-3,0,12,11,-5,11,1.75,1.75,1.75,4.375,4.375,4.375,2.845575,3.105092,7.821139,6.746451,6.347471,9.676454,-0.1628534,-0.4161058,1.549232,0.03631287,0.1615044,1.528252,0.03808293,0.3898191,1.616529,-0.1188395,-0.3803184,1.514396,0.05653652,0.2467584,1.475543,0.01964183,-0.06816791,1.649472,0.01802951,-0.3799396,1.639134,-0.1484286,0.1202385,1.627799,-0.06025781,-0.3698805,1.601278,-0.1841691,-0.1283967,1.648445,0.2075911,-0.08861423,1.547432,NA,NA,NotTracked,Unknown,
0.9150391,-0.3598633,0.07373047,-0.5820313,0.5019531,0.4121094,0,-2,-1,-2,-2,0,4,0,12,2,-1,4,8,2,1,-6,8.5,8.5,8.5,-5.625,-5.625,-5.625,2.849118,3.112889,7.829802,6.801908,6.371178,9.764576,-0.1632223,-0.4168139,1.549658,0.03879852,0.1759579,1.530621,0.03946609,0.3891427,1.616338,-0.1187124,-0.3892517,1.511586,0.06156627,0.2221915,1.472611,0.01937318,-0.06906442,1.649119,0.01791913,-0.3805932,1.638978,-0.148848,0.1201492,1.626978,-0.06059105,-0.3707599,1.601929,-0.1839041,-0.1289852,1.64859,0.2082295,-0.08614241,1.53751,NA,NA,NotTracked,Unknown,
0.918457,-0.362793,0.08984375,-0.7363281,0.5351563,0.3364258,0,-2,-1,1,-1,-2,-1,0,-17,-5,-3,-4,-2,4,-41,-24,9.5625,9.5625,9.5625,-4.5,-4.5,-4.5,2.856156,3.115609,7.840648,6.784937,6.368546,9.770686,-0.1625454,-0.4169844,1.551809,0.04006406,0.1898214,1.526008,0.04036337,0.3885202,1.616605,-0.1159179,-0.4014185,1.510689,0.05983329,0.2278752,1.473858,0.01905897,-0.06974029,1.649088,0.01766574,-0.3810316,1.639038,-0.1491218,0.1200778,1.62672,-0.06113373,-0.3714352,1.603027,-0.1837182,-0.1291081,1.649499,0.2070967,-0.08326227,1.530022,NA,NA,NotTracked,Unknown,
0.918457,-0.3935547,0.09472656,-0.7856445,0.6035156,0.3071289,0,-1,-1,0,-3,0,0,0,-2,1,-3,-3,9,-6,-16,10,3.25,3.25,3.25,-8.3125,-8.3125,-8.3125,2.859586,3.115786,7.851582,6.768396,6.383644,9.758096,-0.163127,-0.4167442,1.553112,0.04157602,0.1913361,1.525924,0.04045504,0.3880759,1.616687,-0.1165937,-0.4049665,1.510683,0.06067706,0.2116654,1.467713,0.0186268,-0.0703951,1.649093,0.01724648,-0.3814797,1.63907,-0.1474444,0.120211,1.632285,-0.06171495,-0.371861,1.603697,-0.1833995,-0.1286224,1.650622,0.2069155,-0.08246447,1.528187,NA,NA,NotTracked,Unknown,
0.9125977,-0.3955078,0.08691406,-0.8164063,0.6274414,0.2675781,-1,-1,-2,-1,-1,0,-1,-1,20,19,16,5,-4,1,5,10,-1.375,-1.375,-1.375,1,1,1,2.860104,3.117385,7.85228,6.766422,6.405037,9.759294,-0.1630616,-0.4168468,1.553281,0.04087601,0.1970098,1.525668,0.04057997,0.387715,1.616696,-0.1176254,-0.3974405,1.511881,0.06156569,0.2142413,1.468203,0.01836952,-0.07095335,1.649135,0.01695095,-0.3818818,1.639088,-0.1484472,0.1198558,1.630386,-0.06210433,-0.3723363,1.604307,-0.1832477,-0.1288349,1.651931,0.2060277,-0.081796,1.526289,NA,NA,NotTracked,Unknown,
0.9165039,-0.3769531,0.09326172,-0.7729492,0.6108398,0.2871094,0,-1,-1,-1,-1,-1,1,-1,13,4,0,1,3,1,-3,5,-4.375,-4.375,-4.375,8.375,8.375,8.375,2.86259,3.119078,7.843129,6.775531,6.403411,9.760292,-0.1627119,-0.4156238,1.552854,0.04097707,0.1971076,1.52648,0.04057083,0.3871246,1.616531,-0.1183422,-0.3807583,1.515242,0.06023166,0.2112179,1.466556,0.01824693,-0.07133567,1.649054,0.0168294,-0.3821559,1.639021,-0.1490185,0.1196574,1.62917,-0.06225657,-0.37263,1.604552,-0.1831559,-0.1290976,1.652164,0.2065069,-0.08176817,1.526201,NA,NA,NotTracked,Unknown,
0.9238281,-0.3623047,0.08496094,-0.7441406,0.6152344,0.2773438,-1,0,-2,-1,-1,-1,1,-1,-8,6,7,-3,-5,-4,-7,5,-2.6875,-2.6875,-2.6875,15.875,15.875,15.875,2.8681,3.118606,7.831711,6.788816,6.392009,9.7505,-0.1628421,-0.4165052,1.551697,0.04068473,0.1961766,1.526957,0.04060418,0.386703,1.616271,-0.1182452,-0.3812337,1.513939,0.06094152,0.2174285,1.468418,0.01816535,-0.07174028,1.64898,0.01676734,-0.382438,1.638985,-0.1477305,0.1198674,1.63209,-0.06234343,-0.3729467,1.604846,-0.1830348,-0.1290636,1.65237,0.2069668,-0.08172479,1.526083,NA,NA,NotTracked,Unknown,
0.9272461,-0.3789063,0.06738281,-0.6894531,0.684082,0.293457,-2,-1,-1,-1,-1,-1,-1,1,30,9,-2,-5,0,1,9,-4,-3.3125,-3.3125,-3.3125,19.3125,19.3125,19.3125,2.864471,3.115399,7.826017,6.811284,6.370222,9.736,-0.1625279,-0.41697,1.551878,0.04375191,0.1973401,1.529051,0.04049941,0.3866014,1.616176,-0.1181595,-0.3848567,1.515517,0.06912691,0.2090793,1.466692,0.01817096,-0.07206285,1.648945,0.0169203,-0.3828123,1.638986,-0.1474266,0.1199581,1.632106,-0.06215671,-0.3733783,1.605134,-0.1829721,-0.1289882,1.652367,0.2076174,-0.08166469,1.525955,NA,NA,NotTracked,Unknown,
0.9370117,-0.3647461,0.06933594,-0.9521484,0.6591797,0.2001953,-2,-1,0,-1,-1,-1,-1,-1,-11,0,-7,-6,3,11,10,7,4.25,4.25,4.25,20.5625,20.5625,20.5625,2.865136,3.115413,7.827796,6.90092,6.46452,9.789807,-0.1621677,-0.4153943,1.551597,0.05258461,0.2232875,1.538534,0.03967085,0.3862275,1.615937,-0.1176941,-0.3726216,1.517561,0.07425486,0.2904245,1.505212,0.01845757,-0.07225192,1.648633,0.01695003,-0.3831492,1.639084,-0.1456514,0.1201323,1.635439,-0.06211893,-0.3738138,1.605718,-0.182929,-0.1291449,1.652451,0.2124119,-0.08069413,1.525943,NA,NA,NotTracked,NotTracked,
0.902832,-0.3588867,0.07080078,-0.9355469,0.4287109,0.07666016,-1,-2,-1,1,-1,-2,-4,-1,41,6,1,-3,-6,13,25,30,-2.0625,-2.0625,-2.0625,49.375,49.375,49.375,2.858771,3.108553,7.839869,7.180342,6.642746,0.003742344,-0.1626731,-0.4159371,1.553946,0.07884514,0.1956827,1.551672,0.03797656,0.3852187,1.615858,-0.1170945,-0.3985046,1.512107,0.1066194,0.2748857,1.516696,0.01902764,-0.07225426,1.648338,0.01677996,-0.3833035,1.639124,-0.144635,0.1203349,1.636696,-0.06242826,-0.3739499,1.606078,-0.1828819,-0.1291824,1.65256,0.2201337,-0.07921466,1.527852,NA,NA,NotTracked,NotTracked,
0.918457,-0.3837891,0.1044922,-0.8452148,0.3818359,0.07373047,-1,-2,-2,-1,-1,-1,-1,1,-6,2,-1,-5,-13,-25,-9,13,-7.1875,-7.1875,-7.1875,32.75,32.75,32.75,2.847341,3.105449,7.838993,7.342566,6.655175,0.1116785,-0.1626058,-0.416472,1.553263,0.08709648,0.195242,1.555476,0.03648937,0.3840355,1.615557,-0.1163486,-0.3960856,1.513325,0.1102192,0.2673815,1.520174,0.0195774,-0.07222633,1.648302,0.01658371,-0.3834232,1.639193,-0.143971,0.1203377,1.63713,-0.06277107,-0.3740616,1.606453,-0.1826848,-0.1292072,1.652769,0.2279931,-0.07625667,1.525991,NA,NA,NotTracked,NotTracked,
