ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9189453,-0.3862305,0.09033203,-0.5249023,0.5395508,0.2202148,0,0,0,-2,-1,-1,-2,1,10,-2,1,3,2,1,-4,3,3.875,3.875,3.875,33.3125,33.3125,33.3125,2.90169,3.152765,7.576059,7.194822,6.500312,8.867849,-0.1138441,-0.4140379,1.489403,0.1614859,0.2596467,1.386313,0.06217571,0.3902693,1.586202,-0.06699324,-0.3941432,1.466261,0.1641155,0.2634787,1.323666,0.05546089,-0.06294526,1.616822,0.05695216,-0.3747988,1.601927,-0.111384,0.1222917,1.591564,-0.02399352,-0.3651456,1.562582,-0.1542228,-0.122621,1.591646,0.2783504,0.001321702,1.428117,NA,NA,NotTracked,Unknown,
0.9086914,-0.3911133,0.1108398,-0.5776367,0.4750977,0.1308594,1,0,-1,-2,-3,0,0,2,0,2,-1,2,2,2,11,-17,2.5,2.5,2.5,14.25,14.25,14.25,2.89281,3.156686,7.589605,7.46116,6.609689,9.155465,-0.1146387,-0.4141552,1.489091,0.1566939,0.272155,1.416873,0.06524557,0.3877007,1.583051,-0.06834754,-0.3762276,1.469097,0.1591577,0.2796715,1.359452,0.05671577,-0.0643099,1.617423,0.05594339,-0.3758275,1.60165,-0.1098974,0.1225837,1.591864,-0.02542627,-0.3660364,1.56238,-0.153823,-0.1217312,1.592108,0.2903417,0.003410878,1.414006,NA,NA,NotTracked,Unknown,
0.9047852,-0.3945313,0.1171875,-0.7822266,0.4907227,-0.08544922,-2,-2,-3,-2,1,1,-1,-3,-1,4,-3,-5,3,4,8,16,4.5,4.5,4.5,13.3125,13.3125,13.3125,2.901032,3.165411,7.601989,7.775278,6.665746,9.496838,-0.1153415,-0.4142081,1.489448,0.153319,0.2673092,1.437251,0.06677686,0.3868561,1.581412,-0.06877051,-0.3746825,1.469593,0.139088,0.3098375,1.380375,0.05713934,-0.06451635,1.617451,0.05496847,-0.376186,1.600988,-0.109466,0.1226214,1.592142,-0.02678785,-0.3663283,1.56197,-0.1535888,-0.1208376,1.592759,0.297983,0.007148513,1.411002,NA,NA,NotTracked,Unknown,
0.9086914,-0.4077148,0.1103516,-0.7792969,0.4204102,-0.1655273,1,0,-2,-1,1,5,1,1,68,21,-4,-4,1,0,-10,-16,3.375,3.375,3.375,-7.75,-7.75,-7.75,2.900642,3.166398,7.604546,7.870085,6.678639,9.587649,-0.1153537,-0.4133236,1.488457,0.1493926,0.2656085,1.449691,0.06731869,0.3864146,1.58096,-0.06870942,-0.3779395,1.467591,0.1502779,0.3023429,1.397632,0.05742187,-0.06463037,1.617417,0.05437373,-0.3762842,1.600491,-0.1090607,0.122339,1.5924,-0.02746309,-0.3664104,1.561687,-0.1532231,-0.1200859,1.593254,0.3010626,0.01122384,1.408978,NA,NA,NotTracked,Unknown,
0.9584961,-0.5917969,0.0625,-0.934082,0.4702148,-0.1694336,0,-1,0,-2,-5,-1,9,3,70,-12,-17,-12,-10,-19,-35,40,29.3125,29.3125,29.3125,28.6875,28.6875,28.6875,2.903265,3.199675,7.626909,7.719276,6.669152,9.345517,-0.1156674,-0.4107118,1.483468,0.1587321,0.2744255,1.438612,0.06777956,0.3856277,1.580613,-0.06779741,-0.3856602,1.465724,0.1563093,0.3236564,1.379687,0.05782893,-0.0645681,1.617332,0.05387501,-0.3765232,1.599954,-0.1084553,0.1224486,1.592973,-0.02795796,-0.3665838,1.561461,-0.153084,-0.1194153,1.59349,0.302373,0.01586105,1.406633,NA,NA,NotTracked,Unknown,
0.9375,-0.6108398,0.04296875,-1.034668,0.4926758,-0.1201172,1,-2,-7,7,2,25,22,3,41,8,-7,-7,-7,-15,-10,0,42,42,42,18.5,18.5,18.5,2.91932,3.222825,7.632627,7.587281,6.656533,9.149275,-0.1092537,-0.4092435,1.446874,0.167799,0.3016518,1.418205,0.06785668,0.3853704,1.581244,-0.07208459,-0.426767,1.460693,0.1717838,0.3345834,1.343563,0.05788272,-0.06466115,1.6176,0.05388132,-0.3765199,1.59998,-0.1067074,0.1225932,1.594324,-0.02799296,-0.3665519,1.56156,-0.1543012,-0.1135086,1.595334,0.3023427,0.02080105,1.404202,NA,NA,Unknown,Unknown,
0.9057617,-0.9135742,0.4770508,-0.9116211,0.5229492,0.01513672,-3,-1,2,0,-2,-22,-13,3,-28,-17,-2,10,-9,-23,1,-15,84,84,84,8.6875,8.6875,8.6875,3.224055,3.684438,7.493246,7.426711,6.63148,8.927492,-0.1106246,-0.34352,1.358739,0.1883757,0.2961903,1.384568,0.06673586,0.3855276,1.584161,-0.06690837,-0.3465529,1.370909,0.1993627,0.323978,1.313111,0.05729051,-0.06427328,1.617715,0.05473214,-0.3759448,1.600232,-0.1110546,0.1215825,1.596453,-0.02727945,-0.3662847,1.562012,-0.1604693,-0.1033452,1.596886,0.2873225,0.08944653,1.382119,NA,NA,Unknown,Unknown,
0.6669922,-0.9165039,0.6831055,-0.8618164,0.4589844,0.1640625,5,1,3,5,6,14,19,5,-50,-4,-3,-7,-11,-11,16,40,55.0625,55.0625,55.0625,11,11,11,3.377165,4.140773,7.432043,7.193307,6.594375,8.647703,-0.1210622,-0.2172649,1.27248,0.1968253,0.3097422,1.352354,0.06494574,0.3859231,1.587759,-0.0790159,-0.2036124,1.280572,0.2056212,0.3407902,1.277539,0.05702231,-0.06379398,1.618343,0.05709315,-0.3745667,1.600984,-0.1139617,0.1216861,1.5983,-0.02456084,-0.3651499,1.56292,-0.1709705,-0.0925568,1.59353,0.2956298,0.06456001,1.392607,NA,NA,Unknown,Unknown,
0.1049805,-0.925293,0.668457,-0.7836914,0.5605469,0.08007813,-9,-13,-6,-7,-7,-10,6,-7,17,-22,-4,-1,37,-38,-12,-9,13.125,13.125,13.125,-12.125,-12.125,-12.125,3.431196,4.69451,7.423841,7.056911,6.52307,8.474764,-0.1231999,-0.07037619,1.221253,0.2038417,0.312229,1.315853,0.06365342,0.3857856,1.590371,-0.0939882,-0.05700501,1.230143,0.2116999,0.321382,1.246,0.05640358,-0.06349225,1.620505,0.05687913,-0.3738571,1.602429,-0.1122574,0.1265122,1.603747,-0.02439976,-0.3641183,1.564963,-0.2211556,-0.06603044,1.571,0.2935459,0.06758542,1.392447,NA,NA,Unknown,Unknown,
-0.1611328,-0.8193359,0.5322266,-0.3852539,0.5493164,0.2597656,-16,-27,-16,-10,-16,-23,-31,-30,-54,-11,1,13,10,21,17,-1,-21.0625,-21.0625,-21.0625,-7.25,-7.25,-7.25,3.417257,5.218306,7.450548,6.860452,6.313231,8.234541,-0.1378171,0.04670851,1.207004,0.2096574,0.308987,1.261739,0.06209695,0.3855816,1.592178,-0.1019923,0.08024877,1.200534,0.2245923,0.2771115,1.21416,0.05486765,-0.06370113,1.622069,0.05603887,-0.3737881,1.604008,-0.108136,0.1309996,1.605523,-0.02491054,-0.3640604,1.566974,-0.2073881,-0.1240996,1.529312,0.2905892,0.07203638,1.391198,NA,NA,Unknown,Unknown,
