ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9321289,-0.3608398,0.07666016,0.8779297,0.3549805,0.2319336,1,1,2,1,-1,-2,-1,-1,9,1,0,6,4,1,-1,-2,0.75,0.75,0.75,-0.625,-0.625,-0.625,2.837796,3.108306,7.43497,6.63653,3.120153,7.922305,-0.1406865,-0.4301726,1.529038,0.2108821,-0.410427,1.538112,0.0530686,0.3901685,1.599514,-0.1890814,-0.4297607,1.538118,0.1661015,-0.399393,1.500842,0.0446238,-0.0687101,1.632121,0.04526313,-0.3813532,1.622083,-0.1209975,0.1179383,1.610563,-0.0333138,-0.3719322,1.584028,-0.1586411,-0.1386899,1.617803,0.2433618,-0.1412644,1.647789,NA,NA,NotTracked,NotTracked,
0.9282227,-0.362793,0.08154297,0.8369141,0.6772461,0.3549805,3,4,2,-3,-1,0,0,-1,-44,-6,-12,-7,-6,-2,-2,-10,1.9375,1.9375,1.9375,-19.5,-19.5,-19.5,2.837084,3.107252,7.438616,6.633616,3.243885,7.914655,-0.1405229,-0.4298159,1.529553,0.1993448,-0.4374451,1.517451,0.0532193,0.3901516,1.599277,-0.1894029,-0.4446633,1.54133,0.1521385,-0.4268242,1.497698,0.04463302,-0.06876341,1.632019,0.04522188,-0.3813917,1.622096,-0.1209527,0.1180278,1.610381,-0.03336225,-0.3719377,1.584007,-0.1586342,-0.1386958,1.617565,0.2437534,-0.1400165,1.645274,NA,NA,NotTracked,NotTracked,
0.918457,-0.3632813,0.08740234,0.9057617,0.7495117,0.402832,-1,-1,-3,-1,0,0,-1,0,2,10,18,4,4,-4,-2,-25,3.0625,3.0625,3.0625,-31.4375,-31.4375,-31.4375,2.847367,3.109824,7.433995,6.599255,3.437582,7.877767,-0.1403581,-0.4309915,1.529143,0.2030607,-0.4379062,1.480064,0.05342002,0.3901553,1.599181,-0.1899088,-0.4398738,1.54531,0.1682069,-0.4428667,1.503444,0.04482527,-0.06885036,1.63198,0.0452703,-0.3814425,1.62211,-0.1208001,0.1181339,1.610355,-0.03331257,-0.3719415,1.583981,-0.1586299,-0.1390992,1.617436,0.2432749,-0.1399662,1.631941,NA,NA,NotTracked,Lasso,
0.9291992,-0.394043,0.09033203,0.9609375,0.8632813,0.4951172,2,2,1,-2,-2,-1,0,-1,0,7,30,-7,-4,-4,7,-5,-13.3125,-13.3125,-13.3125,-13.5625,-13.5625,-13.5625,2.863702,3.117024,7.399236,6.57953,3.721564,7.867723,-0.1393984,-0.4300348,1.527631,0.2103242,-0.4041899,1.382547,0.05379981,0.3899689,1.599178,-0.1872738,-0.4220958,1.534476,0.2305237,-0.4150758,1.3777,0.04516798,-0.06893672,1.632055,0.04563268,-0.381457,1.622097,-0.1207221,0.1181827,1.610339,-0.03284484,-0.3719318,1.583751,-0.1584487,-0.139818,1.616892,0.2407189,-0.1396071,1.609462,NA,NA,NotTracked,Unknown,
0.9208984,-0.3720703,0.09179688,0.9003906,0.9228516,0.5810547,-3,0,-5,-3,-1,1,-1,-1,34,0,-6,-3,-2,1,-5,12,-18.625,-18.625,-18.625,21.125,21.125,21.125,2.864056,3.126665,7.368829,6.581624,4.103461,7.888294,-0.1363624,-0.434977,1.523257,0.2089645,-0.3185132,1.281913,0.05464998,0.3894633,1.599629,-0.1812306,-0.4407488,1.52016,0.2251961,-0.3499156,1.263875,0.04551684,-0.06907959,1.632528,0.04581247,-0.3814325,1.622137,-0.1206171,0.118181,1.610348,-0.03254787,-0.3718471,1.583588,-0.158262,-0.1386396,1.616308,0.2409859,-0.1204481,1.58176,NA,NA,NotTracked,Unknown,
0.9296875,-0.3710938,0.09033203,0.6538086,0.875,0.6318359,3,-1,1,-1,-1,0,-2,-1,-9,-3,17,-2,-1,2,3,1,-20.625,-20.625,-20.625,38.875,38.875,38.875,2.861595,3.13843,7.336337,6.628503,4.703134,7.955294,-0.1353346,-0.4355596,1.520042,0.2053965,-0.1924578,1.209832,0.05628768,0.3887439,1.600481,-0.1829022,-0.4225477,1.521286,0.1745398,-0.1702956,1.180067,0.04587294,-0.06905419,1.633429,0.04598978,-0.3811897,1.622311,-0.1198128,0.1184182,1.61065,-0.03236436,-0.3716143,1.583552,-0.1573602,-0.1366178,1.615842,0.2477309,-0.09302509,1.56046,NA,NA,NotTracked,Unknown,
0.9228516,-0.3525391,0.06005859,0.2910156,0.7680664,0.6083984,1,1,1,0,-1,-1,-1,-2,-11,-1,14,2,6,0,2,-12,-13.625,-13.625,-13.625,44.0625,44.0625,44.0625,2.84119,3.151997,7.317708,6.691072,5.182157,8.038234,-0.1353611,-0.4319139,1.517437,0.191304,-0.04137643,1.207097,0.05870588,0.3874931,1.601042,-0.1880134,-0.4414698,1.529714,0.1682141,-0.02137057,1.171833,0.04634663,-0.06910589,1.634409,0.04629245,-0.3809716,1.622362,-0.1187004,0.1186468,1.611039,-0.03207578,-0.3713783,1.583445,-0.156192,-0.1327189,1.614585,0.296294,-0.04187503,1.49082,NA,NA,NotTracked,Unknown,
0.9248047,-0.3530273,0.06298828,-0.05371094,0.6499023,0.4819336,3,-2,4,-2,0,1,-1,-1,-38,-4,7,4,0,2,20,14,2,2,2,39.8125,39.8125,39.8125,2.824947,3.154418,7.329058,6.78624,5.661689,8.154268,-0.1356254,-0.4316106,1.517601,0.1767269,0.1125628,1.204843,0.06042212,0.3862339,1.601098,-0.1865473,-0.4299682,1.527479,0.1432654,0.1394972,1.190562,0.04698749,-0.06972384,1.635211,0.04636259,-0.3810853,1.622342,-0.1170377,0.1186317,1.611512,-0.03199621,-0.3715815,1.583634,-0.1559021,-0.1324017,1.614438,0.2722345,-0.04477371,1.4352,NA,NA,NotTracked,Unknown,
0.9106445,-0.3818359,0.07568359,-0.3461914,0.4980469,0.277832,0,0,-5,-2,-3,-1,-1,2,23,8,5,-3,-4,-1,-1,-6,20.3125,20.3125,20.3125,32.0625,32.0625,32.0625,2.821828,3.149985,7.356857,7.00978,6.244423,8.400208,-0.1364128,-0.42969,1.521623,0.1613339,0.2358345,1.253364,0.06115135,0.3849479,1.600092,-0.1863018,-0.4346845,1.526571,0.1301094,0.2600348,1.25525,0.04848259,-0.06885605,1.635769,0.04522343,-0.3801621,1.621992,-0.1102052,0.1200161,1.612809,-0.03466085,-0.3698374,1.583908,-0.1549374,-0.1295311,1.614847,0.268784,0.01799472,1.419943,NA,NA,NotTracked,Open,
0.9179688,-0.3842773,0.09570313,-0.4804688,0.3549805,0.144043,-3,-1,-2,0,-1,-2,-1,0,-48,-6,2,-1,0,-4,-3,-4,18.5,18.5,18.5,18.8125,18.8125,18.8125,2.828189,3.142643,7.388626,7.278463,6.577948,8.697925,-0.1372274,-0.4304318,1.52338,0.1550553,0.3059177,1.320711,0.06203669,0.3816805,1.596184,-0.1891654,-0.424513,1.538692,0.1202123,0.3268602,1.3284,0.0486154,-0.06845096,1.635105,0.04456815,-0.3791698,1.621685,-0.1042164,0.1215006,1.612911,-0.03570286,-0.3682348,1.583607,-0.1540988,-0.1270317,1.615343,0.2696613,0.04201778,1.416585,NA,NA,NotTracked,Open,
0.9038086,-0.4145508,0.09960938,-0.6875,0.3359375,0.02392578,3,0,2,-1,-1,-2,0,-3,63,14,7,3,8,3,5,55,11.9375,11.9375,11.9375,-16.8125,-16.8125,-16.8125,2.840608,3.143186,7.406024,7.788418,6.835975,9.265457,-0.1364996,-0.4308667,1.523874,0.1508893,0.3343273,1.384619,0.06244066,0.3789529,1.591597,-0.1851696,-0.4250638,1.528524,0.1192705,0.3459297,1.408087,0.04888105,-0.06739951,1.634178,0.04349897,-0.3770486,1.621129,-0.1095932,0.1207075,1.614573,-0.03699871,-0.3658265,1.583232,-0.1534629,-0.1256852,1.615847,0.2900648,0.01493773,1.419195,NA,NA,NotTracked,Open,
