ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9257813,-0.3540039,0.1108398,0.9165039,0.2949219,0.1811523,-1,0,-1,-3,-1,-1,-1,-2,1,-4,-3,-2,-2,4,-2,-2,0.5,0.5,0.5,0.8125,0.8125,0.8125,2.973913,3.095489,6.957571,6.665301,3.08304,7.718134,-0.1242985,-0.4364292,1.495544,0.238824,-0.4207417,1.511656,0.07339953,0.3970042,1.569605,-0.07513624,-0.4201205,1.456348,0.1945482,-0.3994939,1.470387,0.06455301,-0.06470418,1.595308,0.06567831,-0.378823,1.586609,-0.09981074,0.1206361,1.580065,-0.0139253,-0.3688368,1.548837,-0.1415482,-0.1334776,1.591779,0.2673531,-0.1397151,1.613716,NA,NA,NotTracked,NotTracked,
0.9257813,-0.3535156,0.1088867,0.9331055,0.3149414,0.1669922,-1,-2,0,1,-1,-1,-2,-1,-2,0,9,-1,1,-5,-2,2,-1.0625,-1.0625,-1.0625,2,2,2,2.974327,3.096083,6.956456,6.666283,3.085827,7.719427,-0.1247101,-0.4362468,1.495587,0.2392451,-0.4202267,1.511704,0.07329478,0.3969809,1.569955,-0.07575382,-0.4014916,1.459114,0.1959543,-0.388471,1.472556,0.06446835,-0.06472098,1.59555,0.06564123,-0.3788376,1.58674,-0.1001736,0.1206027,1.580214,-0.01394343,-0.3688439,1.548939,-0.1416697,-0.1335114,1.592005,0.2672723,-0.1397128,1.613878,NA,NA,NotTracked,NotTracked,
0.9306641,-0.359375,0.1118164,1.042969,0.4174805,0.04541016,-1,-2,-1,-2,0,-1,-1,-1,4,-2,50,8,1,1,-1,14,-0.6875,-0.6875,-0.6875,-12.75,-12.75,-12.75,2.974627,3.09626,6.956154,6.665719,3.105474,7.716569,-0.1252621,-0.4361031,1.496146,0.2385056,-0.4224657,1.509998,0.07322992,0.397025,1.57005,-0.07517035,-0.4223439,1.455966,0.1948837,-0.397207,1.470924,0.06438613,-0.06467625,1.595709,0.06555371,-0.3788368,1.586857,-0.1003173,0.120619,1.58023,-0.01403998,-0.3688553,1.549043,-0.141675,-0.1334817,1.592025,0.2672782,-0.1398312,1.614088,NA,NA,NotTracked,NotTracked,
0.9301758,-0.3759766,0.1245117,1.135742,0.6542969,0.3071289,-2,-2,0,-2,0,0,-1,-1,6,-2,15,-6,-8,-7,-8,-2,-0.8125,-0.8125,-0.8125,-85.625,-85.625,-85.625,2.972722,3.098235,6.956652,6.537654,3.255663,7.75346,-0.124546,-0.43544,1.494679,0.2348547,-0.4178649,1.496342,0.07316512,0.39708,1.570328,-0.07547744,-0.4155177,1.457275,0.1892209,-0.408114,1.467867,0.06425517,-0.06466851,1.595848,0.06539331,-0.3788743,1.586911,-0.1006217,0.1205002,1.580233,-0.01419537,-0.368895,1.549061,-0.1416853,-0.1334904,1.592026,0.2680474,-0.1412831,1.614916,NA,NA,NotTracked,NotTracked,
0.909668,-0.3354492,0.09082031,0.8979492,0.8007813,0.6601563,0,-1,-1,-1,0,-3,-1,-1,7,18,40,6,97,-20,-11,-60,-1.25,-1.25,-1.25,28.25,28.25,28.25,2.980282,3.105819,6.951299,6.422528,3.698239,7.841084,-0.1248137,-0.4349742,1.493352,0.2152883,-0.3858772,1.457233,0.07315134,0.3970933,1.570672,-0.07791203,-0.399048,1.459852,0.1708917,-0.3620352,1.463587,0.06380434,-0.06469385,1.596065,0.06391914,-0.378991,1.586739,-0.1009161,0.1204725,1.580363,-0.01598621,-0.3685925,1.548592,-0.1417002,-0.1334766,1.592089,0.2709035,-0.1381921,1.618168,NA,NA,NotTracked,NotTracked,
0.9194336,-0.3637695,0.1303711,0.5585938,0.9023438,0.7739258,-1,0,-1,1,-2,-1,-2,-1,3,0,7,-26,49,24,2,-22,-12.625,-12.625,-12.625,-55.125,-55.125,-55.125,2.984445,3.107796,6.929354,6.390769,4.222536,7.854953,-0.1248814,-0.4345082,1.492882,0.1742399,-0.2857555,1.419531,0.0732106,0.3967734,1.571231,-0.07651788,-0.4024645,1.458523,0.115216,-0.26707,1.466429,0.06250019,-0.06496724,1.596642,0.06017407,-0.3793823,1.586895,-0.1012331,0.1203754,1.580533,-0.01943267,-0.3681771,1.548526,-0.1417192,-0.1334534,1.592083,0.2742686,-0.1126587,1.620036,NA,NA,NotTracked,Open,
0.9345703,-0.3535156,0.1235352,-0.4760742,0.5322266,0.7158203,-3,-1,-1,-1,-3,-2,0,0,13,19,13,-7,-12,4,8,12,-12.3125,-12.3125,-12.3125,-14.1875,-14.1875,-14.1875,2.981706,3.108198,6.911372,6.247952,5.101957,7.933896,-0.124112,-0.4369353,1.490351,0.1809421,-0.09799116,1.357682,0.07343129,0.3963226,1.571947,-0.07538918,-0.4224667,1.456229,0.1169115,-0.09089836,1.40505,0.06232604,-0.0648576,1.597328,0.06023854,-0.3789061,1.587089,-0.1012473,0.120424,1.580608,-0.01923915,-0.3678498,1.548792,-0.1417255,-0.1327962,1.59237,0.2959499,-0.09067349,1.563733,NA,NA,NotTracked,Unknown,
0.9287109,-0.3544922,0.1108398,-0.434082,0.5727539,0.7084961,0,-2,0,-2,-1,0,-2,-2,24,10,-1,6,85,17,8,-15,-9.375,-9.375,-9.375,11,11,11,2.984559,3.113811,6.888593,6.277342,5.75891,7.978469,-0.1231693,-0.4368883,1.490302,0.166825,0.07926696,1.359828,0.07438394,0.3952408,1.573174,-0.07599515,-0.4100619,1.457949,0.1239256,0.08800244,1.405889,0.06175102,-0.06614384,1.598658,0.06006716,-0.382155,1.587512,-0.09206314,0.1207884,1.587382,-0.01964719,-0.3718268,1.550453,-0.1417101,-0.1325833,1.592387,0.2861194,-0.07895767,1.494803,NA,NA,NotTracked,Unknown,
0.9194336,-0.3564453,0.1005859,-0.3061523,0.6474609,0.6318359,1,-3,-1,-2,-2,-2,-1,0,7,11,-1,-1,2,4,5,4,-6.5625,-6.5625,-6.5625,47.875,47.875,47.875,2.985602,3.119689,6.872934,6.35794,6.388259,7.985781,-0.1235102,-0.4360371,1.489731,0.1905457,0.1836541,1.381686,0.07426015,0.3945563,1.57384,-0.075405,-0.4017813,1.459168,0.1377904,0.1620636,1.429143,0.06186881,-0.06557252,1.599308,0.0596026,-0.3821672,1.587772,-0.09194953,0.1208839,1.588151,-0.02093966,-0.3718482,1.552475,-0.1416103,-0.1319463,1.592382,0.2915382,-0.07556406,1.482685,NA,NA,NotTracked,Unknown,
0.9287109,-0.3583984,0.1083984,-0.5424805,0.2495117,0.4301758,-3,-2,-1,-1,-2,-1,-1,-1,11,-6,-10,-5,28,-21,-8,-18,-2.8125,-2.8125,-2.8125,-19.6875,-19.6875,-19.6875,2.98868,3.123389,6.863369,6.374671,6.62618,8.039126,-0.1231234,-0.4361884,1.490191,0.1348698,0.2893247,1.448633,0.07527812,0.3926652,1.574191,-0.07572024,-0.4069505,1.458941,0.07473567,0.2708448,1.476646,0.06216058,-0.06461146,1.60021,0.05712224,-0.3792121,1.588616,-0.0895308,0.1214422,1.589896,-0.02486213,-0.3674368,1.553494,-0.1409915,-0.1290494,1.593052,0.29634,-0.05061257,1.439034,NA,NA,NotTracked,Unknown,
