ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9116211,-0.3847656,0.1367188,1.008789,0.4160156,0.1362305,-1,4,-1,-1,-3,0,0,-1,20,9,7,0,-5,2,1,-6,0.6875,0.6875,0.6875,-10.0625,-10.0625,-10.0625,3.055404,3.174801,6.322758,6.675615,3.119651,0.8980418,-0.1432472,-0.4230959,1.5318,0.2140151,-0.3969841,1.546385,0.04781387,0.3859821,1.60771,-0.1748837,-0.4485825,1.535833,0.2479009,-0.3887523,1.546105,0.04083222,-0.05793836,1.639878,0.04175898,-0.3555101,1.627545,-0.1251649,0.118653,1.628291,-0.02878845,-0.3469893,1.59261,-0.1599069,-0.134491,1.638688,0.2427058,-0.1465836,1.647171,NA,NA,NotTracked,NotTracked,
0.9091797,-0.3969727,0.1425781,1.087891,0.5283203,0.1762695,-2,-2,0,0,0,-3,-3,-1,0,-4,-1,17,-2,3,13,-12,0.1875,0.1875,0.1875,-61.3125,-61.3125,-61.3125,3.053781,3.177703,6.325734,6.587953,3.207991,0.9197543,-0.1435492,-0.4232467,1.53098,0.2124874,-0.3925384,1.537343,0.0477099,0.3859032,1.607729,-0.1811078,-0.4284386,1.544217,0.2390794,-0.4183291,1.528529,0.04061942,-0.05803436,1.639745,0.04139723,-0.3556401,1.627237,-0.1251906,0.1185999,1.628252,-0.02918721,-0.3471091,1.592289,-0.1600328,-0.1345339,1.638432,0.2428293,-0.1465434,1.647092,NA,NA,NotTracked,NotTracked,
0.9130859,-0.3725586,0.1230469,1.079102,0.996582,0.6625977,-3,-5,-3,-1,-1,-1,3,0,13,26,31,18,-1,9,25,-4,3,3,3,-14,-14,-14,3.057869,3.182106,6.327734,6.47172,3.574562,0.9889055,-0.1428585,-0.4236521,1.530584,0.1891079,-0.389663,1.489094,0.04767459,0.3858504,1.607764,-0.1814418,-0.4155369,1.54375,0.2171072,-0.382998,1.45914,0.0400545,-0.05808696,1.639628,0.03992707,-0.3556279,1.626706,-0.1252791,0.1184628,1.62829,-0.03105267,-0.3467391,1.591485,-0.1600879,-0.1341615,1.638445,0.2439219,-0.1460177,1.6468,NA,NA,NotTracked,NotTracked,
0.8813477,-0.3930664,0.1572266,0.7177734,0.8867188,0.9946289,-1,-1,-2,-1,0,-2,-1,0,50,41,91,31,66,-4,8,20,-7.625,-7.625,-7.625,-82.5625,-82.5625,-82.5625,3.068843,3.181065,6.307249,6.332259,4.096145,1.048303,-0.1427402,-0.426161,1.529208,0.1547498,-0.2857901,1.411458,0.0476463,0.3858277,1.607748,-0.180014,-0.4273339,1.543115,0.1741953,-0.2782243,1.355069,0.03922442,-0.05813877,1.639628,0.03780111,-0.3556995,1.626526,-0.1254241,0.1185086,1.628278,-0.0331542,-0.3460825,1.591114,-0.1603954,-0.1337252,1.638185,0.2460917,-0.1356303,1.642954,NA,NA,NotTracked,Open,
0.9301758,-0.394043,0.1796875,-0.09912109,0.637207,0.7866211,-5,1,-1,0,0,-1,0,-2,16,-36,-5,-15,96,5,-15,0,-13.1875,-13.1875,-13.1875,-75.8125,-75.8125,-75.8125,3.072062,3.183253,6.283945,6.198977,4.811521,1.076744,-0.1415054,-0.4259013,1.527831,0.152866,-0.09654904,1.365132,0.04782051,0.3856285,1.607751,-0.1779619,-0.4292721,1.538469,0.1542741,-0.09333026,1.310147,0.03901155,-0.05787565,1.639837,0.03804339,-0.3550313,1.626538,-0.1254202,0.1185339,1.628273,-0.03278407,-0.345698,1.591115,-0.1604413,-0.1334185,1.637643,0.2586245,-0.09043875,1.610493,NA,NA,NotTracked,Lasso,
0.9199219,-0.3847656,0.1113281,-0.6904297,0.3823242,0.6157227,3,0,-2,0,0,-2,-2,-1,-9,3,-3,29,-2,-40,-9,22,-12.3125,-12.3125,-12.3125,56.875,56.875,56.875,3.050914,3.193719,6.273156,6.204474,5.845482,1.111787,-0.1409004,-0.4274391,1.525578,0.15255,0.08808427,1.377725,0.04876469,0.3847013,1.608012,-0.1790175,-0.4280682,1.539744,0.09524624,0.103273,1.414111,0.04037507,-0.06083563,1.640424,0.03897575,-0.3622937,1.626742,-0.1251273,0.1186062,1.627612,-0.03193012,-0.3552586,1.595503,-0.1606383,-0.1334658,1.636955,0.2469438,-0.07802665,1.514672,NA,NA,NotTracked,Unknown,
0.9179688,-0.3886719,0.1181641,-0.4023438,0.6298828,0.527832,-2,2,-1,0,0,-1,-1,-1,-6,-15,-14,-22,25,25,-13,-4,-5.5625,-5.5625,-5.5625,54.5,54.5,54.5,3.038828,3.199781,6.271377,6.315484,6.356988,1.103539,-0.1407389,-0.428165,1.524082,0.154448,0.2193734,1.415043,0.04872399,0.3841245,1.607754,-0.1787056,-0.4526296,1.5354,0.1028522,0.207861,1.460154,0.04202462,-0.05807037,1.639483,0.03792931,-0.360167,1.626689,-0.1236218,0.1188537,1.628191,-0.03407524,-0.3517567,1.595955,-0.1604508,-0.130732,1.636884,0.2481847,-0.05007625,1.499736,NA,NA,NotTracked,Unknown,
0.8828125,-0.3881836,0.1411133,-0.1630859,0.3789063,0.4780273,8,-5,0,1,-3,-2,-4,-1,37,25,2,21,-38,-10,2,31,-4.4375,-4.4375,-4.4375,15.75,15.75,15.75,3.036937,3.206168,6.260992,6.406244,6.562871,1.158711,-0.1416933,-0.4245443,1.52523,0.1295052,0.3248986,1.453783,0.0505874,0.3818721,1.607447,-0.1803044,-0.4374145,1.540928,0.05473946,0.3204222,1.485,0.04431105,-0.05758974,1.641859,0.03673756,-0.3579338,1.62659,-0.1209171,0.1196201,1.628515,-0.03615989,-0.3481165,1.59516,-0.1599807,-0.1249846,1.637211,0.2329365,0.08593458,1.418919,NA,NA,NotTracked,Unknown,
0.9042969,-0.3789063,0.1342773,-0.5263672,0.3867188,0.355957,3,5,-1,-1,-1,-2,-3,-3,-12,20,1,2,94,-32,-26,5,11.5,11.5,11.5,9.75,9.75,9.75,3.045925,3.214341,6.263001,6.466958,6.589995,1.215349,-0.1420187,-0.4239509,1.524431,0.1369333,0.3269052,1.440754,0.05126103,0.3810343,1.607411,-0.1807004,-0.420178,1.535471,0.08330409,0.3336932,1.487912,0.04517642,-0.05744832,1.64161,0.03569404,-0.3564943,1.626518,-0.1205358,0.1199384,1.628366,-0.03757219,-0.3461912,1.594739,-0.1600205,-0.1209075,1.638072,0.2339899,0.08773268,1.417935,NA,NA,NotTracked,Unknown,
0.902832,-0.3891602,0.140625,-0.8227539,0.3510742,0.3427734,-7,-5,-2,-2,-1,-2,-3,-1,27,17,-15,-17,-14,15,-10,1,24.0625,24.0625,24.0625,-0.3125,-0.3125,-0.3125,3.067011,3.219218,6.277108,6.47972,6.612127,1.236724,-0.1424444,-0.4241963,1.526266,0.1365334,0.3259066,1.441706,0.05138654,0.3807113,1.607499,-0.1797944,-0.4278714,1.532381,0.07778773,0.3328726,1.477,0.04516045,-0.05737385,1.642025,0.03490431,-0.3555176,1.626379,-0.1201866,0.1202735,1.628364,-0.03851914,-0.3450651,1.594557,-0.1604326,-0.1158035,1.639497,0.2348207,0.08884068,1.417182,NA,NA,NotTracked,Unknown,
