ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.925293,-0.3637695,0.09228516,1.0625,0.6821289,0.4438477,-3,-1,-3,0,-3,0,-1,-1,4,-19,-103,-4,-2,0,18,-10,-1.4375,-1.4375,-1.4375,40.875,40.875,40.875,2.989122,3.111121,2.35628,6.438266,3.389396,3.272201,-0.1105048,-0.4354593,1.568877,0.2403283,-0.432813,1.540334,0.09174295,0.3943322,1.626371,-0.1620291,-0.4481328,1.6005,0.2748831,-0.453098,1.53381,0.08450004,-0.06694338,1.657084,0.08525111,-0.3803946,1.65145,-0.08324294,0.1224282,1.644389,0.005615365,-0.3715248,1.614707,-0.1253828,-0.1350301,1.66489,0.28906,-0.1393126,1.669397,NA,NA,NotTracked,NotTracked,
0.9165039,-0.3544922,0.1152344,0.8535156,0.762207,0.6762695,1,1,-2,1,0,-1,-1,-1,5,4,-14,-3,3,1,-11,-6,-11.5,-11.5,-11.5,14.4375,14.4375,14.4375,2.990264,3.111465,2.341335,6.366843,3.784529,3.411748,-0.1108324,-0.4353712,1.568861,0.2138355,-0.3744375,1.491098,0.09157166,0.3943778,1.626534,-0.1561525,-0.4594722,1.582367,0.2170314,-0.3699432,1.43985,0.08316439,-0.06666521,1.656917,0.08201806,-0.3797399,1.650893,-0.08351722,0.1224707,1.644271,0.001714396,-0.369778,1.613453,-0.1257068,-0.1348547,1.664938,0.3008555,-0.1727961,1.639708,NA,NA,NotTracked,NotTracked,
0.9243164,-0.362793,0.1186523,0.453125,0.6137695,0.6933594,-1,0,-1,-1,-1,-1,0,-1,-1,-3,10,-4,3,3,13,-4,-15.5625,-15.5625,-15.5625,21.5625,21.5625,21.5625,2.984742,3.110574,2.320515,6.347383,4.281814,3.486533,-0.1115503,-0.4359417,1.568989,0.1747677,-0.2754911,1.443492,0.09155277,0.3943252,1.626578,-0.1598038,-0.4452573,1.588516,0.1802829,-0.2438785,1.395758,0.08171369,-0.06693151,1.656896,0.07813058,-0.3804038,1.650573,-0.08366251,0.1223532,1.643992,-0.001342168,-0.3696423,1.613006,-0.1257907,-0.1343517,1.664847,0.3056594,-0.1044004,1.661431,NA,NA,NotTracked,Unknown,
0.9257813,-0.3535156,0.1157227,-0.008300781,0.6943359,0.5605469,5,-9,-3,-1,-1,-1,-2,-2,-5,8,16,-3,0,-2,-4,-12,-10.75,-10.75,-10.75,63.0625,63.0625,63.0625,2.981359,3.11331,2.293348,6.428971,5.015434,3.598557,-0.11157,-0.4353802,1.566971,0.1538815,-0.1229935,1.421197,0.09166162,0.394104,1.626538,-0.1596483,-0.4406615,1.584353,0.1682252,-0.1270594,1.363471,0.08166713,-0.06694671,1.657135,0.07871326,-0.3801976,1.650768,-0.08365855,0.122248,1.643778,-0.0005892281,-0.3697094,1.61292,-0.1258884,-0.1340073,1.664649,0.3140742,-0.09776758,1.644749,NA,NA,NotTracked,Unknown,
0.9311523,-0.3491211,0.1025391,-0.3549805,0.6625977,0.4262695,3,3,0,-2,-1,0,-1,0,-6,7,-7,-3,-3,-19,-1,0,-5.75,-5.75,-5.75,52.875,52.875,52.875,2.982519,3.116174,2.278964,6.55038,5.510578,3.715484,-0.1109833,-0.434247,1.565966,0.1475472,0.002320981,1.427226,0.09196615,0.3939235,1.626431,-0.1593558,-0.4353936,1.578882,0.1482881,0.006202195,1.374,0.08154876,-0.06673495,1.657482,0.0793047,-0.3793111,1.6512,-0.08346299,0.122294,1.643398,0.0001520809,-0.3691922,1.613062,-0.1262137,-0.1320904,1.663768,0.3156601,-0.09170398,1.58535,NA,NA,NotTracked,Unknown,
0.9208984,-0.355957,0.07666016,-0.3828125,0.6352539,0.4438477,-5,-2,-3,-1,-1,-2,-1,-2,-2,-15,-8,-7,-26,-20,-11,-15,-1.625,-1.625,-1.625,60.6875,60.6875,60.6875,2.977672,3.117491,2.271739,6.712364,5.892874,3.849182,-0.1112639,-0.4342004,1.56551,0.1437475,0.0898824,1.459838,0.0921649,0.3937746,1.62627,-0.1581591,-0.4422774,1.578422,0.1377859,0.07938587,1.408723,0.08147302,-0.06675682,1.657654,0.07932583,-0.379301,1.651233,-0.08386456,0.1225315,1.643346,6.393383E-05,-0.3694642,1.613427,-0.1264907,-0.1321639,1.663362,0.3644174,-0.1209162,1.58271,NA,NA,NotTracked,Unknown,
0.9287109,-0.3549805,0.1083984,-0.4936523,0.574707,0.3393555,6,-3,0,-1,-1,0,2,-1,-16,-6,-9,-7,0,0,2,19,-1.4375,-1.4375,-1.4375,27.875,27.875,27.875,2.972142,3.118207,2.273711,6.87218,6.158453,4.010928,-0.1114081,-0.4344183,1.565122,0.1109193,0.2178881,1.49963,0.09211119,0.3937989,1.626192,-0.1568644,-0.4436493,1.571904,0.1143538,0.3022176,1.5068,0.08084703,-0.06774556,1.657153,0.07923389,-0.3806887,1.651271,-0.0841817,0.1227177,1.643415,-0.0006454752,-0.3719091,1.615485,-0.1264982,-0.1320646,1.663152,0.3212278,-0.06773525,1.542475,NA,NA,NotTracked,Lasso,
0.9155273,-0.3544922,0.1132813,-0.5517578,0.5600586,0.2954102,-2,-4,-1,-2,-2,-1,0,-1,22,-6,-8,-1,4,1,0,-5,5.8125,5.8125,5.8125,10.3125,10.3125,10.3125,2.972412,3.121191,2.280294,7.032259,6.336283,4.192582,-0.1118942,-0.4347812,1.565532,0.1222049,0.2263629,1.517914,0.09172167,0.3933375,1.625914,-0.1596097,-0.4540518,1.572111,0.1389745,0.2110649,1.469216,0.08023095,-0.06874423,1.656428,0.07859954,-0.3822188,1.651316,-0.08429937,0.1227217,1.643474,-0.001831419,-0.3740152,1.617551,-0.1267238,-0.1321317,1.663057,0.3261753,-0.06527876,1.535572,NA,NA,NotTracked,Unknown,
0.9248047,-0.3725586,0.1157227,-0.7070313,0.5571289,0.1923828,4,0,-1,0,-1,-1,1,1,-5,-11,-8,-3,7,10,0,12,5.3125,5.3125,5.3125,0.75,0.75,0.75,2.976672,3.123294,2.288077,7.086275,6.392226,4.266184,-0.1133185,-0.4345129,1.567298,0.1217436,0.2376074,1.527641,0.09120028,0.3917032,1.625638,-0.1641454,-0.4487226,1.588333,0.0796984,0.3209166,1.4874,0.07976412,-0.06928988,1.656051,0.07774036,-0.3832916,1.651496,-0.08438087,0.12269,1.643572,-0.003014608,-0.3751534,1.618806,-0.1270302,-0.1320202,1.663232,0.3303732,-0.06057603,1.527338,NA,NA,NotTracked,Unknown,
0.9160156,-0.3710938,0.1142578,-0.7553711,0.5986328,0.1625977,-3,-2,0,-3,0,-2,1,-1,3,3,3,6,9,3,-1,-11,3.9375,3.9375,3.9375,-4.5,-4.5,-4.5,2.980443,3.123972,2.292752,7.091796,6.414363,4.282236,-0.1138437,-0.4338493,1.567719,0.121607,0.2384299,1.532511,0.09085198,0.3913181,1.625476,-0.1638516,-0.4538548,1.58675,0.1173866,0.3063078,1.502552,0.07943762,-0.06951202,1.655755,0.07673012,-0.3836381,1.651391,-0.08448333,0.1227948,1.643722,-0.004148008,-0.3753571,1.619282,-0.1271964,-0.1312827,1.663588,0.3305849,-0.05769768,1.522348,NA,NA,NotTracked,Unknown,
