ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9389648,-0.3242188,0.09179688,0.9111328,0.3193359,0.1577148,0,3,2,1,0,-1,-2,-1,-3,0,0,-1,0,0,-3,-1,0.9375,0.9375,0.9375,0.5625,0.5625,0.5625,2.873378,3.038375,5.68235,6.743198,3.097058,8.863892,-0.1265727,-0.3773874,1.450407,0.2153157,-0.3711116,1.417096,0.07593997,0.4934832,1.552792,-0.176243,-0.3515523,1.4423,0.2553119,-0.3578491,1.408739,0.05424489,0.02076528,1.56303,0.04746503,-0.3098187,1.548106,-0.1146981,0.1963819,1.539417,-0.03726483,-0.3019016,1.512263,-0.1625651,-0.07658932,1.521525,0.2691168,-0.08175106,1.504479,NA,NA,NotTracked,Unknown,
0.9443359,-0.3164063,0.09375,0.9116211,0.3168945,0.1572266,-1,-5,0,1,0,0,0,-1,0,-4,0,-1,-2,-1,-1,-2,-0.0625,-0.0625,-0.0625,-0.625,-0.625,-0.625,2.87536,3.038981,5.681304,6.743141,3.097376,8.863351,-0.1282408,-0.3708875,1.451325,0.2156108,-0.3713197,1.417142,0.07592083,0.4934354,1.552689,-0.1806857,-0.344977,1.450143,0.254386,-0.3662086,1.40881,0.05422635,0.02077839,1.563034,0.0474502,-0.3098091,1.548148,-0.1147073,0.1964291,1.539381,-0.03727821,-0.3018851,1.512313,-0.162568,-0.07660937,1.521536,0.2691153,-0.08172866,1.504503,NA,NA,NotTracked,Unknown,
0.9394531,-0.3208008,0.08203125,0.9101563,0.3193359,0.1635742,-6,4,0,-4,-4,-3,0,-1,0,-3,-2,-1,-5,-2,-2,0,-0.4375,-0.4375,-0.4375,-1.8125,-1.8125,-1.8125,2.875854,3.038783,5.680898,6.742389,3.096455,8.86215,-0.1275894,-0.3728367,1.450316,0.2155273,-0.3711981,1.417149,0.07589608,0.4934359,1.552515,-0.1762841,-0.3469282,1.438138,0.2544863,-0.3660132,1.408679,0.05423283,0.02079222,1.563023,0.04746431,-0.3098158,1.548142,-0.1147137,0.1964675,1.539262,-0.03726219,-0.3018926,1.512302,-0.1626207,-0.07659942,1.521452,0.2692606,-0.08189019,1.504279,NA,NA,NotTracked,Unknown,
0.940918,-0.3212891,0.08251953,0.9101563,0.3212891,0.1621094,-2,-2,0,-2,0,-3,-3,2,-1,-2,-1,-2,0,-2,2,-3,-2.0625,-2.0625,-2.0625,-0.6875,-0.6875,-0.6875,2.876638,3.038658,5.678677,6.74267,3.09638,8.860736,-0.1266737,-0.3762605,1.449591,0.2153667,-0.3710056,1.417302,0.07586293,0.493468,1.552419,-0.1744577,-0.3613504,1.4388,0.2472831,-0.3991066,1.401859,0.05422843,0.02079745,1.563023,0.0474625,-0.309818,1.548145,-0.1147816,0.1964501,1.539149,-0.03726184,-0.3019014,1.512313,-0.1624814,-0.07672931,1.521362,0.2692828,-0.08196351,1.504179,NA,NA,NotTracked,Unknown,
0.9355469,-0.3178711,0.08203125,0.9086914,0.3168945,0.1674805,-1,-3,-3,-2,-2,1,-1,-2,1,1,0,2,0,-1,-3,-1,-3.0625,-3.0625,-3.0625,-2.375,-2.375,-2.375,2.875566,3.038419,5.675931,6.741073,3.096839,8.858286,-0.126591,-0.3763862,1.448376,0.2155528,-0.3711456,1.416558,0.07578161,0.4933855,1.552138,-0.174749,-0.366491,1.444263,0.2535695,-0.3705786,1.406396,0.05418888,0.02078118,1.562873,0.0474269,-0.3098289,1.548095,-0.1147515,0.1964632,1.53892,-0.03729299,-0.3019069,1.51227,-0.1624362,-0.07672919,1.521211,0.2693458,-0.0820699,1.504029,NA,NA,NotTracked,Unknown,
0.9819336,-0.3325195,0.08496094,0.9121094,0.324707,0.1586914,-5,-4,-3,-4,-10,-18,-41,-12,-16,1,-2,-1,-2,-3,0,-2,-1.125,-1.125,-1.125,-1.625,-1.625,-1.625,2.877772,3.039463,5.671971,6.742817,3.097623,8.854383,-0.1270814,-0.3767088,1.449426,0.2155486,-0.3711527,1.417138,0.07575755,0.4934121,1.552038,-0.170772,-0.3861536,1.442625,0.2523004,-0.3782268,1.405986,0.05418595,0.02078437,1.562864,0.04742049,-0.3098166,1.548106,-0.1148337,0.1966229,1.538863,-0.03729684,-0.3018953,1.512271,-0.1625029,-0.07679663,1.521156,0.2694107,-0.08214509,1.504048,NA,NA,NotTracked,Unknown,
1.120117,-0.3525391,0.1557617,1.035645,0.3950195,0.1186523,-2,-3,-5,-13,-18,3,6,-29,-6,6,16,7,1,0,-2,2,47.875,47.875,47.875,-3.75,-3.75,-3.75,3.06471,3.089355,5.539868,6.72653,3.117971,8.871971,-0.1262684,-0.3765961,1.447249,0.2114638,-0.3811593,1.408831,0.07570232,0.4934633,1.551901,-0.1733316,-0.3666142,1.442159,0.243401,-0.4138229,1.392536,0.05417171,0.02079493,1.562849,0.04741997,-0.3098161,1.54811,-0.1148814,0.1965973,1.538735,-0.03729892,-0.3018951,1.512277,-0.1626133,-0.07675101,1.521173,0.2698767,-0.08130788,1.504767,NA,NA,NotTracked,Unknown,
1.057617,-0.3271484,0.1953125,1.030273,0.5947266,0.2338867,-4,-4,0,1,2,6,11,18,-6,-4,14,1,3,-1,-2,-11,34.125,34.125,34.125,-9.1875,-9.1875,-9.1875,3.309472,3.228298,5.385615,6.601682,3.267202,9.019027,-0.1240369,-0.3860511,1.43183,0.2029883,-0.388681,1.382418,0.07573543,0.4935067,1.551548,-0.1651413,-0.3889291,1.420065,0.2464448,-0.4045109,1.373381,0.05414453,0.02084918,1.562621,0.04739091,-0.3097468,1.547879,-0.1149683,0.1966092,1.538613,-0.03735426,-0.3018622,1.512065,-0.1637451,-0.07398016,1.524438,0.2723586,-0.07643599,1.510005,NA,NA,NotTracked,Unknown,
0.9570313,-0.7368164,0.465332,0.9677734,0.4902344,0.4394531,1,-6,-14,-4,-13,-7,-3,-2,2,4,-2,-3,-3,-5,-6,1,2.875,2.875,2.875,-2.5,-2.5,-2.5,3.368329,3.474588,5.306226,6.512291,3.48583,9.089998,-0.1215383,-0.3559481,1.389493,0.1890264,-0.3514304,1.338743,0.07570835,0.4937066,1.551009,-0.1434202,-0.3794936,1.342313,0.2003543,-0.3493226,1.296075,0.05389805,0.02078776,1.561861,0.04693705,-0.3098051,1.547281,-0.1152209,0.1965099,1.538516,-0.03799481,-0.3020248,1.511569,-0.1669293,-0.06871954,1.533255,0.2773211,-0.06397676,1.519017,NA,NA,Unknown,Unknown,
0.7363281,-0.6162109,0.465332,0.6782227,0.7236328,0.4438477,-18,-5,12,-9,-4,-3,2,3,4,7,8,1,0,2,11,27,-11.875,-11.875,-11.875,13.125,13.125,13.125,3.408352,3.887396,5.295563,6.527794,3.764988,9.112553,-0.1221122,-0.2905814,1.357538,0.1800205,-0.2815896,1.306688,0.07573581,0.4938399,1.550328,-0.1543999,-0.303502,1.339313,0.1869333,-0.2747274,1.261192,0.0534359,0.02080349,1.561047,0.04590829,-0.3096811,1.546139,-0.1155619,0.1966332,1.538533,-0.03914301,-0.3020098,1.510674,-0.1693116,-0.06061391,1.543843,0.2794228,-0.05602026,1.524508,NA,NA,Unknown,Closed,
