ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.953125,-0.2851563,0.01513672,0.9291992,0.2617188,0.1552734,0,-2,-1,0,0,-2,-2,0,6,0,0,0,0,-1,1,-1,-4.0625,-4.0625,-4.0625,-1.0625,-1.0625,-1.0625,2.539304,2.965063,7.643252,6.619747,2.996483,1.376291,-0.1418747,-0.4059019,1.591383,0.2501069,-0.4102709,1.538466,0.08927271,0.4912811,1.677423,-0.09338208,-0.3903298,1.567829,0.2890405,-0.4606553,1.5273,0.06993117,0.01970252,1.680835,0.05887786,-0.307988,1.665878,-0.09674822,0.1972049,1.665324,-0.02409765,-0.3004732,1.630845,-0.1518758,-0.08385023,1.65264,0.2902378,-0.08740377,1.623413,NA,NA,NotTracked,NotTracked,
0.953125,-0.2851563,0.01513672,0.9267578,0.2583008,0.1630859,0,-2,-1,0,0,-2,-2,0,3,0,-1,-1,0,1,-1,1,-4.0625,-4.0625,-4.0625,-0.5625,-0.5625,-0.5625,2.539304,2.965063,7.643252,6.618739,2.996614,1.376822,-0.1418031,-0.4055731,1.592742,0.2495852,-0.4153656,1.537178,0.08970367,0.4914253,1.677645,-0.09393199,-0.4006029,1.568605,0.2888014,-0.4376237,1.52783,0.07003231,0.01972716,1.680824,0.05888121,-0.3079916,1.665863,-0.09650236,0.1973173,1.665268,-0.02409882,-0.30047,1.63084,-0.1516966,-0.08322433,1.652736,0.2903255,-0.08805676,1.62343,NA,NA,NotTracked,NotTracked,
0.953125,-0.2851563,0.01513672,0.9326172,0.2592773,0.1547852,0,-2,-1,0,0,-2,-2,0,2,0,2,-2,-2,-1,-1,0,-4.0625,-4.0625,-4.0625,1.6875,1.6875,1.6875,2.539304,2.965063,7.643252,6.619144,2.996241,1.377995,-0.1425468,-0.3996517,1.592865,0.2489369,-0.4173748,1.536565,0.09000596,0.4914153,1.677769,-0.0936382,-0.3865148,1.568422,0.2893274,-0.4243222,1.531632,0.07013556,0.01980261,1.68081,0.05896276,-0.3078672,1.665819,-0.0962643,0.1973591,1.665169,-0.02400474,-0.3003709,1.630806,-0.1516373,-0.08375732,1.652466,0.290325,-0.08811569,1.623391,NA,NA,NotTracked,NotTracked,
0.953125,-0.2851563,0.01513672,0.9306641,0.2563477,0.159668,0,-2,-1,0,0,-2,-2,0,7,2,-2,0,-1,0,-1,1,-4.0625,-4.0625,-4.0625,1.9375,1.9375,1.9375,2.539304,2.965063,7.643252,6.619495,2.996252,1.381217,-0.1424724,-0.4016776,1.592824,0.2486902,-0.4176557,1.536783,0.09032235,0.4913594,1.678007,-0.09360753,-0.3922088,1.568812,0.2903363,-0.4161301,1.534,0.07018765,0.01982366,1.68084,0.05902977,-0.3078122,1.665809,-0.09607216,0.1974035,1.665097,-0.02391712,-0.3003179,1.630767,-0.1515531,-0.08323476,1.652662,0.2903484,-0.08807271,1.623461,NA,NA,NotTracked,NotTracked,
0.953125,-0.2851563,0.01513672,0.9267578,0.2578125,0.1538086,0,-2,-1,0,0,-2,-2,0,-7,-2,-1,-1,0,-1,1,-2,-4.0625,-4.0625,-4.0625,0.9375,0.9375,0.9375,2.539304,2.965063,7.643252,6.621092,2.995644,1.382306,-0.1424228,-0.4026852,1.59425,0.249138,-0.4178381,1.53743,0.0906513,0.4912339,1.678409,-0.09363542,-0.3936306,1.568756,0.2888617,-0.4189869,1.532444,0.07028335,0.01989949,1.680934,0.05916554,-0.3077035,1.665876,-0.09589653,0.1975495,1.665106,-0.02377829,-0.3002308,1.630828,-0.1515563,-0.08377336,1.652871,0.2903285,-0.08807519,1.623487,NA,NA,NotTracked,NotTracked,
0.953125,-0.2851563,0.01513672,1.004883,0.2851563,0.1225586,0,-2,-1,0,0,-2,-2,0,36,7,1,2,1,2,3,1,-4.0625,-4.0625,-4.0625,-1.5625,-1.5625,-1.5625,2.539304,2.965063,7.643252,6.628524,2.997479,1.374813,-0.142064,-0.403049,1.595443,0.2484486,-0.4174882,1.536729,0.09094915,0.491314,1.678791,-0.0940539,-0.3991484,1.571103,0.2860821,-0.4177082,1.528071,0.07042504,0.01994215,1.681049,0.05920222,-0.3076835,1.665943,-0.09566841,0.1976385,1.665119,-0.02374674,-0.3001991,1.630917,-0.1514281,-0.08396561,1.653084,0.2904108,-0.08789118,1.62374,NA,NA,NotTracked,NotTracked,
0.953125,-0.2851563,0.01513672,1.347168,0.3081055,0.3212891,0,-2,-1,0,0,-2,-2,0,10,-2,3,20,0,0,0,-2,-4.0625,-4.0625,-4.0625,-92.9375,-92.9375,-92.9375,2.539304,2.965063,7.643252,6.506718,3.065842,1.395355,-0.1415316,-0.4024661,1.594429,0.2433012,-0.4113554,1.516161,0.09111799,0.4912837,1.679,-0.09382883,-0.3946715,1.569921,0.264676,-0.413934,1.467308,0.07048064,0.01997935,1.681086,0.05921788,-0.3076475,1.665976,-0.09553145,0.1977558,1.665112,-0.02373674,-0.3001208,1.630914,-0.1511018,-0.08303128,1.65312,0.2915146,-0.08652852,1.626469,NA,NA,NotTracked,Unknown,
0.953125,-0.2851563,0.01513672,1.360352,0.4833984,0.6762695,0,-2,-1,0,0,-2,-2,0,3,-1,-23,-16,8,12,6,0,-4.0625,-4.0625,-4.0625,-28.5,-28.5,-28.5,2.539304,2.965063,7.643252,6.228872,3.350624,1.586476,-0.1420155,-0.4009696,1.595665,0.2411587,-0.3494611,1.450942,0.09120036,0.4913369,1.679068,-0.09349284,-0.3929545,1.569755,0.2424845,-0.343984,1.397143,0.0704231,0.02013903,1.681028,0.05872358,-0.3071535,1.666104,-0.0952292,0.1980191,1.66478,-0.02436957,-0.2995187,1.630906,-0.1510631,-0.08356707,1.653218,0.2951027,-0.08197264,1.640005,NA,NA,NotTracked,Unknown,
0.953125,-0.2851563,0.01513672,1.059082,0.8754883,0.8911133,0,-2,-1,0,0,-2,-2,0,0,3,2,13,-2,-2,-1,-2,-4.0625,-4.0625,-4.0625,70.3125,70.3125,70.3125,2.539304,2.965063,7.643252,6.245416,3.875948,1.684758,-0.1415839,-0.4021965,1.598826,0.2217675,-0.2158021,1.373588,0.09170368,0.4912496,1.678954,-0.09354357,-0.3937815,1.570637,0.2355219,-0.1947535,1.324364,0.06997928,0.02042178,1.68097,0.05566782,-0.3059772,1.666552,-0.09456041,0.198166,1.664216,-0.02749965,-0.2981939,1.63103,-0.1506869,-0.08193218,1.653483,0.2957892,-0.06846914,1.652406,NA,NA,NotTracked,Unknown,
0.953125,-0.2851563,0.01513672,0.1767578,0.5576172,0.7197266,0,-2,-1,0,0,-2,-2,0,-8,3,1,1,-2,4,3,0,-4.0625,-4.0625,-4.0625,5.875,5.875,5.875,2.539304,2.965063,7.643252,6.219368,4.754292,1.751565,-0.1418017,-0.4023451,1.600506,0.1954164,-0.03528849,1.324319,0.09265453,0.4910257,1.67842,-0.09363453,-0.3953841,1.571043,0.1694588,-0.01297863,1.3035,0.06997637,0.02062475,1.681094,0.05514817,-0.3053906,1.667272,-0.09303644,0.1980895,1.662746,-0.02792874,-0.2977701,1.631554,-0.1501742,-0.08167718,1.65301,0.3147001,-0.04482123,1.633498,NA,NA,NotTracked,Unknown,
