ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.956543,-0.2744141,0.03515625,0.9321289,0.2558594,0.08105469,-1,-1,-1,-1,-1,-3,-1,0,-2,1,1,0,0,-1,-1,1,-0.125,-0.125,-0.125,0.1875,0.1875,0.1875,2.723148,2.946433,6.337281,6.993611,2.941895,7.186948,-0.1550917,-0.4032217,1.510719,0.2238932,-0.3978077,1.474643,0.06038069,0.4919313,1.604155,-0.1062665,-0.379651,1.496386,0.2611353,-0.4066065,1.467111,0.04267308,0.01870325,1.616488,0.03646092,-0.311046,1.601489,-0.1270164,0.1929054,1.595147,-0.04764354,-0.304385,1.567011,-0.1733922,-0.08782385,1.575009,0.261961,-0.08855051,1.560554,NA,NA,NotTracked,NotTracked,
0.953125,-0.2783203,0.03369141,0.940918,0.2519531,0.08056641,1,0,-1,-1,-3,-2,0,0,2,2,0,-3,0,-1,0,1,0.25,0.25,0.25,-0.3125,-0.3125,-0.3125,2.723148,2.946433,6.337281,6.991687,2.941742,7.18811,-0.1548424,-0.4028497,1.510836,0.2238761,-0.3985164,1.475214,0.06053059,0.4918286,1.604122,-0.105472,-0.4002069,1.49675,0.2599228,-0.4246333,1.462058,0.04266858,0.01855533,1.616209,0.03646872,-0.3112204,1.601177,-0.1268064,0.1928523,1.594781,-0.04765181,-0.3045478,1.566766,-0.1733206,-0.08827979,1.574911,0.2619523,-0.08867632,1.560375,NA,NA,NotTracked,NotTracked,
0.9575195,-0.277832,0.02880859,0.9355469,0.2485352,0.08056641,-2,-1,0,-1,-2,-3,-1,-1,5,1,1,0,-1,-1,-1,5,0.5,0.5,0.5,-0.9375,-0.9375,-0.9375,2.72261,2.946559,6.337789,6.990869,2.941802,7.187403,-0.1548889,-0.4030705,1.510578,0.2240222,-0.3977541,1.474357,0.0606209,0.4918361,1.604101,-0.1063133,-0.3798283,1.497058,0.2603133,-0.4221515,1.462471,0.0427492,0.01855605,1.616096,0.03651159,-0.31122,1.601038,-0.1266721,0.1928938,1.594666,-0.04762953,-0.3045481,1.566644,-0.1732951,-0.08831704,1.574733,0.2619635,-0.08880628,1.56011,NA,NA,NotTracked,NotTracked,
0.9604492,-0.2734375,0.03222656,0.9394531,0.2514648,0.09375,-2,-2,-1,-1,0,0,-2,-4,-3,0,-4,-3,-2,-3,-3,-7,0.375,0.375,0.375,-1.875,-1.875,-1.875,2.721777,2.946501,6.338635,6.987018,2.942304,7.189302,-0.1548418,-0.403159,1.510898,0.2240249,-0.3977993,1.475046,0.0607918,0.4918447,1.604077,-0.1052621,-0.3903517,1.49607,0.2609966,-0.4125273,1.465963,0.04277966,0.01858158,1.615973,0.03653022,-0.3111377,1.600878,-0.1264554,0.1931443,1.594513,-0.04761469,-0.3044481,1.566484,-0.1732188,-0.08768319,1.574543,0.2620227,-0.08858889,1.559963,NA,NA,NotTracked,NotTracked,
0.9555664,-0.2744141,0.03710938,0.9399414,0.2587891,0.08203125,0,-3,-2,-3,-2,-3,-1,-1,-1,1,-2,-2,-2,-3,-3,-5,-0.1875,-0.1875,-0.1875,-1.8125,-1.8125,-1.8125,2.721777,2.946501,6.338635,6.985156,2.942137,7.189365,-0.1548592,-0.4037165,1.51075,0.2241082,-0.3981279,1.474753,0.06092392,0.4918435,1.604036,-0.1051456,-0.3845947,1.496306,0.2602457,-0.4215226,1.462313,0.04280613,0.01856606,1.615812,0.03652339,-0.3111364,1.600781,-0.1263989,0.1931492,1.594449,-0.04762494,-0.304456,1.566443,-0.1731074,-0.08777647,1.574453,0.262047,-0.08851904,1.559916,NA,NA,NotTracked,NotTracked,
0.9550781,-0.2753906,0.03271484,0.9384766,0.2504883,0.08886719,-3,0,-1,-2,-2,-1,-1,-1,1,0,0,-1,-2,-2,-3,-3,0,0,0,-0.375,-0.375,-0.375,2.721777,2.946501,6.338635,6.982036,2.942564,7.189258,-0.1543749,-0.4034629,1.509953,0.2242142,-0.3979599,1.474398,0.06121004,0.4917627,1.60397,-0.1053128,-0.3921763,1.495855,0.2621006,-0.4016809,1.469035,0.04286491,0.01853001,1.615673,0.03653141,-0.311168,1.600652,-0.126303,0.1932119,1.594369,-0.04762358,-0.3044753,1.566278,-0.1730337,-0.08776595,1.574345,0.2621519,-0.08847131,1.559809,NA,NA,NotTracked,NotTracked,
0.9575195,-0.277832,0.03222656,0.9394531,0.2519531,0.07910156,-1,0,-1,-1,-3,-1,-1,-1,3,-1,0,-1,-1,-2,-3,-4,0.25,0.25,0.25,0.25,0.25,0.25,2.721268,2.947067,6.339196,6.982998,2.94208,7.189247,-0.1546135,-0.4026925,1.509127,0.2237588,-0.3974356,1.473503,0.06135543,0.4917172,1.603864,-0.1047081,-0.378189,1.494633,0.25901,-0.4272619,1.460036,0.04287542,0.01850097,1.615495,0.03653886,-0.3112164,1.600391,-0.1259367,0.1933,1.59403,-0.04763699,-0.3044898,1.56602,-0.172875,-0.08830449,1.574165,0.2622191,-0.08848761,1.559607,NA,NA,NotTracked,NotTracked,
0.9584961,-0.2739258,0.03417969,0.9389648,0.2539063,0.08886719,0,-1,-3,0,0,-1,0,1,5,-4,-1,-1,-1,0,3,18,1.3125,1.3125,1.3125,1.1875,1.1875,1.1875,2.721716,2.946645,6.339903,6.983593,2.942166,7.188909,-0.1544884,-0.4032987,1.511031,0.2239301,-0.3981314,1.47519,0.06147274,0.4917744,1.603864,-0.1048309,-0.382704,1.496409,0.2602269,-0.4166649,1.463097,0.04290303,0.01854288,1.615432,0.03655899,-0.311193,1.600364,-0.1258753,0.1932765,1.593953,-0.04760573,-0.3044688,1.565977,-0.1728248,-0.08838102,1.574064,0.2623628,-0.08826828,1.559456,NA,NA,NotTracked,NotTracked,
0.965332,-0.269043,0.03027344,0.9638672,0.28125,0.08496094,-1,0,1,-2,-1,-1,0,-2,2,-16,-8,2,-1,-8,-3,-2,0.5,0.5,0.5,6,6,6,2.722129,2.946291,6.341248,6.997203,2.941048,7.181149,-0.1544255,-0.4034113,1.509426,0.2241672,-0.3977926,1.473325,0.06153439,0.4918264,1.603744,-0.1052341,-0.3876736,1.4956,0.2621368,-0.4082055,1.466619,0.04294131,0.0185209,1.615254,0.03660791,-0.3112544,1.600223,-0.1257637,0.1932325,1.593829,-0.04757764,-0.3045208,1.565877,-0.1728187,-0.08832759,1.573959,0.2623955,-0.08808738,1.55927,NA,NA,NotTracked,NotTracked,
0.9580078,-0.2612305,0.03076172,1.040039,0.4536133,0.09082031,0,-2,0,1,0,-1,-1,0,-8,-3,0,0,5,6,-27,-4,1.0625,1.0625,1.0625,-56.125,-56.125,-56.125,2.722387,2.945903,6.34297,6.957881,2.981795,7.184807,-0.1546603,-0.4028167,1.509209,0.2216547,-0.3949906,1.464147,0.06161554,0.4918158,1.603731,-0.1049898,-0.3861381,1.494861,0.2564785,-0.4206663,1.4446,0.04296053,0.01843096,1.615129,0.0366095,-0.3113732,1.600049,-0.1258198,0.1931405,1.59372,-0.0475969,-0.3046454,1.565706,-0.1727681,-0.08846248,1.573843,0.262483,-0.0879806,1.559272,NA,NA,NotTracked,NotTracked,
0.9394531,-0.2680664,0.05517578,1.044434,0.5439453,0.3769531,-1,-2,-1,-1,0,-2,0,-2,-13,-35,-11,-4,3,-14,-15,0,-0.4375,-0.4375,-0.4375,22,22,22,2.732263,2.943468,6.332485,6.617183,3.176233,7.501287,-0.1544997,-0.4028285,1.510508,0.2073196,-0.3793305,1.437213,0.06168919,0.4918192,1.603762,-0.1053252,-0.3879955,1.494722,0.2222907,-0.3641214,1.397048,0.04289524,0.01841983,1.615041,0.03639034,-0.3113476,1.599938,-0.1257926,0.1931424,1.593648,-0.0478634,-0.3046416,1.565578,-0.1726888,-0.08856796,1.573839,0.2636507,-0.08624284,1.560208,NA,NA,NotTracked,Unknown,
0.9682617,-0.2749023,0.04199219,1.07666,0.3979492,0.5551758,1,-2,1,0,0,-2,-1,-2,-3,8,-9,-10,-5,-14,5,-2,-7.625,-7.625,-7.625,48.375,48.375,48.375,2.722567,2.935674,6.333582,6.426722,3.443602,7.780677,-0.1544848,-0.4033613,1.512138,0.1770903,-0.3299637,1.384737,0.06179677,0.4918016,1.603692,-0.1049492,-0.4003137,1.497172,0.1737122,-0.3186785,1.337864,0.04239329,0.0185661,1.614858,0.03356588,-0.3105792,1.599614,-0.1256772,0.1931556,1.593489,-0.05098863,-0.3037081,1.565229,-0.1727506,-0.08826483,1.57376,0.2681592,-0.07330704,1.561487,NA,NA,NotTracked,Closed,
0.9672852,-0.2724609,0.03173828,0.96875,0.5932617,0.5732422,-1,0,-3,-1,-1,-3,-3,-3,11,10,10,2,-3,-6,4,10,-2.375,-2.375,-2.375,61.875,61.875,61.875,2.707128,2.939467,6.338613,6.362666,3.679257,7.947993,-0.1546628,-0.4033181,1.512282,0.1231974,-0.253782,1.355844,0.06204297,0.4917531,1.603544,-0.1048815,-0.3904141,1.495996,0.1242934,-0.234888,1.303348,0.04162398,0.01871476,1.614599,0.03124288,-0.3100576,1.599151,-0.1251693,0.1932624,1.593199,-0.05320569,-0.3027547,1.564552,-0.1726017,-0.08804987,1.573629,0.2718587,-0.05467086,1.557989,NA,NA,NotTracked,Closed,
0.956543,-0.2680664,0.03955078,0.5986328,0.5029297,0.6733398,1,0,-1,-1,-1,0,0,-1,26,20,6,5,-2,-10,-20,4,-6.625,-6.625,-6.625,39.375,39.375,39.375,2.705367,2.94629,6.330966,6.223643,4.369107,8.295313,-0.153743,-0.4038038,1.51022,0.07529064,-0.1496895,1.345206,0.06262793,0.4916722,1.603394,-0.1049815,-0.3882146,1.4964,0.1298185,-0.1426032,1.3337,0.04200701,0.01880317,1.614859,0.03242124,-0.3096423,1.600227,-0.1247291,0.1934905,1.593016,-0.05141814,-0.3027119,1.565653,-0.1720286,-0.08614928,1.573515,0.2749954,-0.04726258,1.547182,NA,NA,NotTracked,Unknown,
0.9555664,-0.2807617,0.02685547,0.3154297,0.7509766,0.722168,-1,0,-1,-2,0,-1,-4,-2,-34,-10,8,4,-5,10,7,-8,-3.4375,-3.4375,-3.4375,38.125,38.125,38.125,2.696442,2.950282,6.331395,6.259915,4.802125,8.508691,-0.1536311,-0.4032315,1.507589,0.02995936,-0.05461573,1.359989,0.06367373,0.4914015,1.603206,-0.1046995,-0.3889486,1.4951,0.01265785,0.005040938,1.384,0.04240659,0.0188915,1.615036,0.03275756,-0.3092201,1.600469,-0.1235072,0.1934947,1.59265,-0.05105919,-0.3024961,1.565834,-0.1716896,-0.0846256,1.573503,0.2802584,-0.04489439,1.531964,NA,NA,NotTracked,Unknown,
0.956543,-0.28125,0.0234375,-0.2133789,0.5200195,0.5200195,0,-2,0,-1,0,0,-1,0,-55,-8,-5,0,6,-2,-6,-13,-0.3125,-0.3125,-0.3125,34.25,34.25,34.25,2.692591,2.951527,6.335536,6.30526,5.32532,8.822037,-0.1528339,-0.4033292,1.507718,0.00178733,0.03734595,1.392975,0.06488468,0.4909414,1.603172,-0.104866,-0.3897511,1.495907,0.01348732,0.06859386,1.350433,0.04288993,0.01903817,1.615178,0.03301818,-0.3087178,1.600481,-0.1229633,0.193506,1.592702,-0.05043134,-0.3019108,1.566391,-0.1715525,-0.08469146,1.573427,0.2781886,-0.04234625,1.513749,NA,NA,NotTracked,Unknown,
0.9506836,-0.2890625,0.02246094,-0.2646484,0.5849609,0.5078125,0,-1,-3,-1,-1,0,-2,-1,9,7,-4,-4,-2,0,-5,-11,5,5,5,36.3125,36.3125,36.3125,2.685963,2.953467,6.347151,6.440386,5.620778,9.061154,-0.1518844,-0.4023739,1.508121,-0.01517051,0.1050446,1.428349,0.06633597,0.4908071,1.603127,-0.1029851,-0.3894578,1.494605,0.009784802,0.1448648,1.393146,0.04334678,0.01931625,1.61533,0.03321575,-0.3081635,1.600436,-0.1168721,0.1961426,1.592479,-0.0501582,-0.3014195,1.566729,-0.1705605,-0.08169102,1.573771,0.2700675,-0.03885405,1.495515,NA,NA,NotTracked,Unknown,
0.9638672,-0.3037109,0.02001953,-0.3227539,0.6210938,0.3867188,-2,-1,-1,-1,0,-1,-1,-2,22,-1,-1,-1,1,2,-3,-4,9.625,9.625,9.625,16.375,16.375,16.375,2.68147,2.958156,6.363456,6.534454,5.749554,9.209017,-0.1515072,-0.4021091,1.508437,-0.01397064,0.1355386,1.451756,0.06811604,0.4906927,1.603457,-0.1008574,-0.3768169,1.492056,0.004854034,0.1791648,1.421931,0.04384299,0.01944243,1.615428,0.03347875,-0.3079384,1.600227,-0.1119945,0.1960588,1.587041,-0.04994998,-0.3012329,1.566451,-0.170027,-0.0815188,1.573458,0.2606021,-0.03282019,1.477556,NA,NA,NotTracked,Unknown,
0.9521484,-0.2768555,0.02929688,-0.3212891,0.6933594,0.4746094,1,-1,0,-1,-2,-1,-3,1,-15,-1,0,1,7,0,-10,-3,10.3125,10.3125,10.3125,15.25,15.25,15.25,2.702685,2.971402,6.366145,6.682115,5.883314,9.503665,-0.1522961,-0.4025805,1.507902,-0.02884916,0.167071,1.485387,0.06949019,0.4905372,1.60379,-0.1028666,-0.3882851,1.494101,0.01661932,0.2091754,1.513281,0.04428073,0.01950258,1.615513,0.03372016,-0.3078235,1.59994,-0.1083952,0.196123,1.585743,-0.04969844,-0.3011369,1.565854,-0.1699207,-0.08167113,1.573386,0.2540564,-0.0293208,1.469352,NA,NA,NotTracked,Unknown,
0.9355469,-0.277832,0.03808594,-0.5332031,0.8330078,0.1318359,0,-1,-1,-1,1,-1,-1,-1,-16,0,-3,-6,-12,-4,-8,-14,8.5625,8.5625,8.5625,14.4375,14.4375,14.4375,2.724361,2.978722,6.356907,6.790843,5.898298,9.655529,-0.1519428,-0.4024973,1.505458,-0.02725866,0.1681929,1.501011,0.0701356,0.4902146,1.604078,-0.1021367,-0.3844429,1.493264,0.03551694,0.1925399,1.511744,0.04453229,0.01943187,1.61545,0.03371594,-0.3077018,1.599441,-0.107504,0.1961064,1.586173,-0.04974722,-0.3010792,1.565255,-0.1697242,-0.08198234,1.573342,0.2508787,-0.02731884,1.464768,NA,NA,NotTracked,NotTracked,
0.9443359,-0.2939453,0.06640625,-0.5239258,0.7919922,0.4633789,-1,-1,-1,-1,-1,-1,0,-1,-9,0,0,-4,-7,-1,-2,13,-0.25,-0.25,-0.25,-9.625,-9.625,-9.625,2.736243,2.980977,6.355082,6.798816,5.901826,9.650395,-0.1519687,-0.4024242,1.504858,-0.02703329,0.167267,1.498959,0.07048387,0.4900111,1.604409,-0.1024757,-0.3763679,1.492735,0.03350466,0.1950216,1.511483,0.04465348,0.01941717,1.615445,0.03361501,-0.3076254,1.598934,-0.1069733,0.195977,1.58663,-0.04987201,-0.3010184,1.564805,-0.1695853,-0.08066944,1.573622,0.2499374,-0.02655688,1.463343,NA,NA,NotTracked,NotTracked,
