ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.953125,-0.25,-0.00390625,0.9599609,0.1967773,0.09082031,0,11,0,0,0,-3,0,-1,0,-2,-1,0,-1,1,-1,-2,0.6875,0.6875,0.6875,5.375,5.375,5.375,2.478689,2.9144,5.977749,6.838397,2.853838,1.767075,-0.1403186,-0.3949252,1.594723,0.250871,-0.4061253,1.570293,0.0897435,0.4688573,1.584743,-0.09454367,-0.3878931,1.579141,0.2897907,-0.4160375,1.567987,0.06608229,0.01319303,1.669175,0.05784346,-0.3067448,1.6765,-0.09923926,0.1956712,1.638357,-0.02680319,-0.29978,1.639608,-0.1573877,-0.08591657,1.643012,0.2835406,-0.09347877,1.634961,NA,NA,NotTracked,NotTracked,
0.9658203,-0.2524414,-0.001464844,0.9570313,0.1928711,0.08398438,0,-2,-2,-2,-1,-2,-1,0,0,-2,-2,-1,-1,0,0,0,0,0,0,5.625,5.625,5.625,2.507651,2.920298,5.947931,6.838259,2.852065,1.776605,-0.1379235,-0.39723,1.591063,0.2506344,-0.4087657,1.5683,0.08944187,0.4686531,1.582833,-0.09151295,-0.3812726,1.578615,0.2891847,-0.4130451,1.564405,0.06648402,0.01284449,1.668018,0.05809592,-0.3068456,1.676566,-0.09909677,0.1956119,1.637488,-0.02657576,-0.2998958,1.639796,-0.1567143,-0.08385961,1.641735,0.283985,-0.09367709,1.632694,NA,NA,NotTracked,NotTracked,
0.9589844,-0.2548828,-0.0004882813,0.9604492,0.1914063,0.07128906,1,1,2,-2,-2,0,-1,0,-2,-2,0,-1,-1,-2,-1,-1,2.375,2.375,2.375,3.4375,3.4375,3.4375,2.52797,2.926018,5.928786,6.841964,2.852949,1.780325,-0.1377451,-0.3966795,1.589018,0.2501655,-0.4079993,1.565759,0.08892219,0.4685551,1.581661,-0.09140748,-0.3843247,1.577537,0.2903815,-0.4039672,1.564588,0.06664182,0.01265067,1.666845,0.05822039,-0.3069017,1.676473,-0.09919453,0.1956806,1.636727,-0.02649013,-0.2999465,1.639797,-0.1564245,-0.08415849,1.640865,0.2839903,-0.09385613,1.630399,NA,NA,NotTracked,NotTracked,
0.9526367,-0.2734375,0.004882813,0.9453125,0.190918,0.07519531,1,0,-1,-2,-2,-1,-1,0,0,0,0,-1,-2,-1,0,0,0.875,0.875,0.875,1.25,1.25,1.25,2.537649,2.931,5.920238,6.846776,2.856861,1.780162,-0.137687,-0.3987413,1.585623,0.2495004,-0.4080104,1.56289,0.08830421,0.4686127,1.580836,-0.09064495,-0.3782905,1.576329,0.2869181,-0.4396223,1.558,0.0666787,0.01259641,1.665541,0.05823021,-0.3069685,1.676086,-0.09932718,0.1956379,1.636059,-0.026494,-0.300032,1.639628,-0.1562265,-0.0843286,1.639797,0.2837876,-0.0937651,1.628494,NA,NA,NotTracked,NotTracked,
0.9599609,-0.2705078,0.01171875,0.9570313,0.1943359,0.08007813,0,-1,-2,1,1,-1,0,-2,-1,-2,0,-1,-1,0,1,-1,5.125,5.125,5.125,-1.8125,-1.8125,-1.8125,2.538275,2.9361,5.926599,6.85196,2.860932,1.774003,-0.138198,-0.3999164,1.584096,0.2492728,-0.4072835,1.561579,0.08739327,0.4691078,1.580648,-0.09233636,-0.3840438,1.575166,0.2901953,-0.407153,1.562,0.06638363,0.01275031,1.664595,0.05810157,-0.3069531,1.675457,-0.09941634,0.1957365,1.635671,-0.02658857,-0.3000582,1.639299,-0.1561779,-0.08451264,1.638809,0.2834448,-0.09371716,1.626588,NA,NA,NotTracked,NotTracked,
0.9790039,-0.2841797,0.01269531,0.9511719,0.1992188,0.09179688,0,0,2,2,4,3,2,0,-3,0,1,0,-1,-2,-1,-1,7.375,7.375,7.375,-5.1875,-5.1875,-5.1875,2.539041,2.943074,5.937779,6.847302,2.866368,1.768161,-0.1396057,-0.3989662,1.581934,0.248224,-0.4069436,1.558661,0.0859749,0.4697535,1.581417,-0.09039822,-0.385829,1.572174,0.2842618,-0.4212584,1.551667,0.06592843,0.01278131,1.663956,0.05780043,-0.3071193,1.674597,-0.09985007,0.1956761,1.635451,-0.02682843,-0.3002668,1.638673,-0.156289,-0.08484172,1.637822,0.2832449,-0.09399793,1.625429,NA,NA,NotTracked,NotTracked,
0.9936523,-0.2939453,0.05126953,0.9555664,0.2163086,0.09521484,0,-1,0,-1,-7,7,3,1,8,0,-1,0,-1,-1,0,1,17.8125,17.8125,17.8125,-3.75,-3.75,-3.75,2.628348,2.969495,5.874142,6.84371,2.871979,1.765218,-0.1398261,-0.4014544,1.577449,0.2470402,-0.4081062,1.556069,0.0841895,0.4710045,1.583719,-0.09016363,-0.3864872,1.56778,0.2817323,-0.4230849,1.544125,0.06534605,0.01292875,1.663498,0.05723601,-0.3073125,1.673174,-0.1009002,0.1952367,1.635564,-0.0273036,-0.3005234,1.637583,-0.1568483,-0.08516497,1.636561,0.2824656,-0.09401939,1.624196,NA,NA,NotTracked,NotTracked,
0.987793,-0.3803711,0.1352539,0.96875,0.2167969,0.09033203,-2,-3,-3,-7,-11,-4,-3,-2,-45,-10,0,0,1,0,-2,-6,26.8125,26.8125,26.8125,-5.4375,-5.4375,-5.4375,2.813544,3.017769,5.718399,6.829274,2.883949,1.771641,-0.1392661,-0.3953417,1.566026,0.2449179,-0.4072064,1.551891,0.08155444,0.4734965,1.588442,-0.08996634,-0.3764119,1.564786,0.2773845,-0.4465678,1.542444,0.0646737,0.01335825,1.663085,0.05668245,-0.3071517,1.671304,-0.1023757,0.195229,1.636253,-0.02769886,-0.3004117,1.636147,-0.1577096,-0.084733,1.635753,0.2815533,-0.09369774,1.622888,NA,NA,Unknown,NotTracked,
0.9995117,-0.4321289,0.2250977,1.055664,0.2397461,0.1162109,18,12,9,3,-5,4,3,7,-17,0,-3,-6,-1,-2,-3,-3,29.5625,29.5625,29.5625,-9.875,-9.875,-9.875,3.088819,3.115014,5.482509,6.709417,2.931548,1.876009,-0.1367653,-0.3841823,1.540866,0.239911,-0.4081272,1.543242,0.07921556,0.4758537,1.594432,-0.09840168,-0.3772627,1.564032,0.2743329,-0.4280081,1.526556,0.06392334,0.0138467,1.662778,0.05601074,-0.3071522,1.66892,-0.1045017,0.1949427,1.637575,-0.02831307,-0.300609,1.634067,-0.1590243,-0.08322786,1.635474,0.2809187,-0.09347565,1.622684,NA,NA,Unknown,NotTracked,
0.9775391,-0.4941406,0.375,1.06543,0.2641602,0.1391602,-3,-1,5,0,11,3,1,-6,2,2,9,7,1,-2,1,2,32.5,32.5,32.5,-10.125,-10.125,-10.125,3.408726,3.34287,5.196964,6.569328,2.991717,2.009272,-0.1327553,-0.3637945,1.498082,0.2266718,-0.4042974,1.523391,0.07724027,0.4780377,1.600733,-0.1123289,-0.3985462,1.528077,0.2591708,-0.4163886,1.49441,0.06293546,0.01442722,1.662615,0.0552229,-0.3067889,1.666308,-0.1075015,0.1941433,1.639951,-0.02915533,-0.3006765,1.63165,-0.1620099,-0.07883367,1.634832,0.2803721,-0.0914476,1.624922,NA,NA,Unknown,NotTracked,
0.8837891,-0.5205078,0.5058594,1.096191,0.3227539,0.4355469,-2,2,-2,-5,14,2,-1,-1,-9,-4,-15,-14,-5,0,0,-2,2.125,2.125,2.125,17.6875,17.6875,17.6875,3.569936,3.566293,5.030081,6.379048,3.154912,2.221462,-0.1175194,-0.3256691,1.45344,0.2066526,-0.3739215,1.493481,0.07419915,0.4801781,1.60906,-0.07812776,-0.362292,1.447727,0.2306244,-0.366453,1.449925,0.06178639,0.01517312,1.662587,0.0539532,-0.3058979,1.663376,-0.1099172,0.1937664,1.642587,-0.03064249,-0.3004145,1.629076,-0.1651826,-0.07024236,1.635082,0.2812675,-0.08579467,1.632576,NA,NA,Unknown,Unknown,
