ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9487305,-0.3051758,0.04736328,0.9306641,0.2539063,0.1123047,0,-2,-2,-1,-2,-1,-1,-1,1,0,-2,-1,0,1,0,0,-0.625,-0.625,-0.625,-0.5625,-0.5625,-0.5625,2.702417,2.994664,3.571994,6.878572,2.966273,6.069999,-0.1195061,-0.4062317,1.640732,0.2674321,-0.4102378,1.600319,0.1009441,0.4913069,1.732621,-0.1696877,-0.3943862,1.64402,0.3078642,-0.4264148,1.596875,0.08433373,0.02192131,1.740744,0.07903998,-0.3041789,1.72546,-0.08757793,0.1901239,1.721736,-0.003775771,-0.2973791,1.689428,-0.1352615,-0.0841925,1.70782,0.2973411,-0.08541054,1.67509,NA,NA,NotTracked,NotTracked,
0.9501953,-0.3037109,0.03759766,0.9355469,0.2548828,0.1074219,-1,-1,-2,-2,0,-2,-2,-2,0,-2,1,-2,-1,-1,0,-2,-1.3125,-1.3125,-1.3125,1.8125,1.8125,1.8125,2.704149,2.992289,3.566593,6.879202,2.966589,6.069018,-0.1188717,-0.4043671,1.640136,0.2674246,-0.409223,1.599598,0.1009021,0.4913959,1.733395,-0.1636703,-0.3968458,1.6299,0.3070055,-0.406701,1.592,0.08433982,0.02195659,1.740768,0.07901977,-0.3041311,1.725436,-0.08758894,0.1901383,1.721729,-0.003790439,-0.2973433,1.689395,-0.1353135,-0.08413264,1.70786,0.2971995,-0.08531327,1.674972,NA,NA,NotTracked,NotTracked,
0.9506836,-0.3071289,0.04492188,0.9360352,0.2631836,0.1025391,-1,-1,-2,1,-1,-1,0,0,-1,0,-3,-1,1,-1,0,0,-1.25,-1.25,-1.25,-0.5625,-0.5625,-0.5625,2.709768,2.990881,3.559211,6.883343,2.966095,6.065566,-0.1187167,-0.4042199,1.640964,0.2673562,-0.4099531,1.601859,0.1008717,0.4915103,1.734081,-0.1646087,-0.417523,1.6415,0.3122618,-0.3903664,1.605,0.08435458,0.0220828,1.740975,0.07900637,-0.3040451,1.725502,-0.08765522,0.1901862,1.721747,-0.003796472,-0.2972588,1.689466,-0.1353595,-0.08391003,1.707904,0.2971889,-0.08532156,1.674996,NA,NA,NotTracked,NotTracked,
0.949707,-0.3037109,0.0390625,0.9321289,0.2602539,0.1152344,0,-2,-1,0,-2,-1,1,0,-1,0,-1,-2,-2,-1,-1,0,-5.5625,-5.5625,-5.5625,-2,-2,-2,2.710478,2.988024,3.549198,6.88724,2.964818,6.058759,-0.1181712,-0.4045096,1.642336,0.2682018,-0.4092844,1.603204,0.1008498,0.4917565,1.735173,-0.1629859,-0.3911712,1.633393,0.3120123,-0.4367856,1.6,0.0843346,0.0221963,1.741163,0.07901988,-0.3039297,1.725687,-0.08759923,0.1903386,1.721694,-0.003784299,-0.297146,1.689685,-0.1353798,-0.08385084,1.707932,0.2971322,-0.08531116,1.67526,NA,NA,NotTracked,NotTracked,
0.956543,-0.3061523,0.03759766,0.9296875,0.2529297,0.1098633,-1,-2,0,-2,-1,1,-2,-2,-2,-2,0,0,0,0,-2,-2,-4.5625,-4.5625,-4.5625,-0.25,-0.25,-0.25,2.706569,2.986045,3.543998,6.889483,2.96167,6.054422,-0.1180096,-0.4044413,1.642684,0.2686458,-0.4092878,1.605382,0.1008475,0.4918138,1.735935,-0.1626389,-0.3960346,1.633196,0.3103661,-0.4301836,1.5915,0.08438027,0.02244907,1.741628,0.0791356,-0.3037029,1.726109,-0.08757791,0.190553,1.72171,-0.00367612,-0.2969745,1.690012,-0.1353574,-0.08373906,1.708046,0.2971049,-0.08514798,1.675669,NA,NA,NotTracked,NotTracked,
0.9516602,-0.3012695,0.03417969,0.9331055,0.2685547,0.1147461,-1,-1,-1,-2,-2,-1,-1,-2,-1,0,-1,0,-1,-1,-3,-1,-4.5625,-4.5625,-4.5625,0.25,0.25,0.25,2.702899,2.984792,3.540229,6.89209,2.960008,6.051763,-0.1177669,-0.405269,1.64288,0.2693189,-0.4098732,1.605898,0.1008253,0.491789,1.73628,-0.1639271,-0.4098908,1.640071,0.3120807,-0.4046168,1.601706,0.08442001,0.02255152,1.741851,0.07927854,-0.303586,1.726523,-0.08755168,0.1906646,1.721654,-0.003556038,-0.2968847,1.690288,-0.1353296,-0.08369853,1.708069,0.2970464,-0.08532386,1.676229,NA,NA,NotTracked,NotTracked,
0.9506836,-0.293457,0.03417969,0.9301758,0.2670898,0.1171875,1,-2,0,0,1,0,0,1,-3,-3,-1,0,0,0,-2,-1,-3.25,-3.25,-3.25,-1.0625,-1.0625,-1.0625,2.69901,2.983499,3.537388,6.891598,2.95962,6.050216,-0.1175567,-0.4026601,1.641611,0.2693949,-0.4096825,1.605071,0.1008325,0.4917569,1.736657,-0.1634237,-0.4055511,1.637306,0.3102509,-0.4020481,1.597667,0.08447552,0.02266903,1.742054,0.07942882,-0.3034563,1.726773,-0.08754879,0.1907577,1.721518,-0.003422515,-0.2967871,1.69049,-0.1352862,-0.083713,1.708086,0.2970588,-0.08525284,1.676586,NA,NA,NotTracked,NotTracked,
0.9907227,-0.3193359,0.05517578,0.9321289,0.2685547,0.1191406,-1,0,-1,-1,0,1,2,-2,-2,-2,-1,-1,-1,1,-1,-1,-3.5625,-3.5625,-3.5625,0.6875,0.6875,0.6875,2.695551,2.984075,3.534322,6.890327,2.96047,6.050766,-0.1173965,-0.4015568,1.64212,0.2698728,-0.4091656,1.605452,0.1008647,0.4918045,1.736776,-0.1633621,-0.3963019,1.638843,0.3110402,-0.4088094,1.598642,0.08453084,0.02279037,1.742249,0.07950433,-0.303353,1.726962,-0.08748484,0.1908772,1.721387,-0.003347633,-0.2966745,1.690651,-0.1352922,-0.08362301,1.708011,0.2971181,-0.08528446,1.676972,NA,NA,NotTracked,NotTracked,
0.9985352,-0.3339844,0.06494141,0.9785156,0.3496094,0.1132813,0,-1,1,-2,-1,2,2,0,15,-5,-14,-5,-3,1,1,-10,0.1875,0.1875,0.1875,1.0625,1.0625,1.0625,2.741365,2.994569,3.485663,6.896178,2.965582,6.049273,-0.1159521,-0.4016943,1.642172,0.2700412,-0.4103591,1.605305,0.1008962,0.4917594,1.736867,-0.1692357,-0.3608373,1.643842,0.3101912,-0.4246108,1.590214,0.08461133,0.02291444,1.742505,0.07968298,-0.303212,1.727318,-0.08749604,0.1910401,1.721315,-0.00317615,-0.2965223,1.690915,-0.1352706,-0.08359963,1.708064,0.2973639,-0.08529712,1.677421,NA,NA,NotTracked,NotTracked,
0.9921875,-0.3588867,0.1772461,1.04248,0.2705078,0.2387695,-2,0,-2,3,3,0,2,-2,0,-7,2,-2,0,-1,1,9,-12.875,-12.875,-12.875,-13.6875,-13.6875,-13.6875,2.881763,3.033547,3.334999,6.761506,3.004984,6.16379,-0.1127535,-0.3958713,1.635507,0.2657332,-0.4080824,1.591006,0.1009181,0.4917958,1.7369,-0.1641674,-0.3704034,1.634699,0.3002225,-0.4036842,1.564117,0.08469219,0.02301636,1.742538,0.07977742,-0.3030654,1.727381,-0.0875359,0.1912377,1.72129,-0.003086788,-0.296338,1.69094,-0.1354314,-0.08248718,1.70805,0.2976497,-0.08482131,1.677913,NA,NA,NotTracked,NotTracked,
0.9516602,-0.4624023,0.296875,1.029785,0.4648438,0.4863281,-1,-2,-4,-5,-3,0,2,-1,-7,-6,-4,-6,1,-1,1,-6,-60.1875,-60.1875,-60.1875,-7.4375,-7.4375,-7.4375,3.108369,3.158758,2.980679,6.504519,3.150294,6.429986,-0.1021144,-0.3881099,1.621018,0.2544188,-0.393531,1.548392,0.1010065,0.4917756,1.736885,-0.1431487,-0.3928064,1.613121,0.2636626,-0.4175155,1.487818,0.0847654,0.02312501,1.742523,0.07983866,-0.302822,1.727307,-0.08753169,0.1914259,1.721222,-0.00309157,-0.296069,1.690869,-0.1359129,-0.07877602,1.707596,0.2987532,-0.08181762,1.679486,NA,NA,Unknown,Unknown,
1.035645,-0.484375,0.3852539,1.001953,0.4492188,0.5610352,-1,1,0,4,9,-1,-5,4,5,-1,9,7,15,5,1,11,-85.625,-85.625,-85.625,5,5,5,3.259027,3.315549,2.682527,6.424578,3.222521,6.520473,-0.07608734,-0.3714136,1.594393,0.2203569,-0.3354341,1.495921,0.101105,0.4917841,1.73696,-0.1183726,-0.3797497,1.587,0.2300043,-0.334693,1.439473,0.08474947,0.02334422,1.742377,0.07957091,-0.3020217,1.726431,-0.08742975,0.1916333,1.721118,-0.003696111,-0.2952875,1.68994,-0.1374419,-0.0692448,1.70608,0.2998648,-0.07141853,1.678601,NA,NA,Unknown,Unknown,
0.9555664,-0.597168,0.4008789,0.9018555,0.5039063,0.7089844,-2,-1,-3,-6,-1,-1,2,3,-7,-7,-24,-10,-6,5,2,-1,-95.0625,-95.0625,-95.0625,50.125,50.125,50.125,3.353396,3.54021,2.388336,6.282581,3.747835,6.822775,-0.03024591,-0.3520604,1.561247,0.1676433,-0.2554701,1.450628,0.1013957,0.4916247,1.737066,-0.06782807,-0.3890141,1.565643,0.1866861,-0.2457008,1.407185,0.08491999,0.02370588,1.741999,0.07993594,-0.3006377,1.724042,-0.08638792,0.1926371,1.720979,-0.004048524,-0.2940439,1.687738,-0.1391133,-0.06112934,1.701952,0.3001631,-0.05188347,1.674077,NA,NA,Unknown,Unknown,
0.7290039,-0.7026367,0.4624023,0.7270508,0.5595703,0.7460938,-1,-3,1,2,4,1,-8,-5,6,10,5,3,19,10,5,0,-99.6875,-99.6875,-99.6875,44.8125,44.8125,44.8125,3.361821,3.898415,2.052311,6.2573,4.143175,6.989056,0.02078162,-0.3087757,1.532555,0.1168685,-0.1570488,1.427138,0.1018031,0.4913859,1.73724,-0.01138107,-0.3476968,1.5402,0.1273189,-0.1615172,1.36663,0.08534144,0.02406881,1.742232,0.08078853,-0.2998296,1.724113,-0.08489257,0.1938564,1.720605,-0.002705151,-0.2933623,1.687742,-0.1437287,-0.04691168,1.695857,0.3021691,-0.04408924,1.665027,NA,NA,Unknown,Unknown,
0.5166016,-0.5009766,0.2817383,0.3393555,0.6381836,0.715332,-5,11,-1,-2,-8,-18,-22,27,0,-1,-4,0,9,6,12,0,-165.75,-165.75,-165.75,29.5625,29.5625,29.5625,3.290437,4.14454,1.818327,6.254411,4.682969,7.210186,0.08441345,-0.2325761,1.547207,0.05997977,-0.06166722,1.411115,0.1027243,0.4913877,1.737752,0.04684769,-0.2719408,1.511418,0.06902454,-0.07636118,1.369857,0.08527374,0.02442727,1.743138,0.08023172,-0.2995628,1.725108,-0.08049545,0.1959331,1.720071,-0.002757638,-0.2930563,1.688306,-0.1451591,-0.03798136,1.684111,0.2971537,-0.0406494,1.639935,NA,NA,NotTracked,NotTracked,
