ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9555664,-0.2783203,0.05371094,0.9399414,0.2700195,0.1103516,0,0,1,-1,-2,-2,1,-2,0,-1,0,-1,-1,-2,-1,2,-1.5625,-1.5625,-1.5625,1.9375,1.9375,1.9375,2.768324,2.946573,4.400256,6.888805,2.976835,7.278037,-0.1261385,-0.4092968,1.573731,0.2699655,-0.4149418,1.535701,0.09496122,0.492138,1.673229,-0.1688216,-0.4088069,1.550571,0.2220116,-0.4050984,1.509393,0.08145329,0.0193761,1.676603,0.07223025,-0.3091987,1.659372,-0.08777244,0.1937833,1.657474,-0.01112016,-0.3025094,1.625463,-0.1399275,-0.1010802,1.63778,0.2984112,-0.09136929,1.617296,NA,NA,NotTracked,NotTracked,
0.9555664,-0.2783203,0.05371094,0.9321289,0.2670898,0.1040039,0,0,1,-1,-2,-2,1,-2,1,-1,-1,-1,-1,-1,0,1,-1.5625,-1.5625,-1.5625,1.3125,1.3125,1.3125,2.768324,2.946573,4.400256,6.891764,2.976867,7.278045,-0.125537,-0.4094687,1.574393,0.2701952,-0.4148152,1.534903,0.0949972,0.4920503,1.673045,-0.1750724,-0.3811079,1.577313,0.2220314,-0.4063371,1.509523,0.08143912,0.01934103,1.676521,0.07223195,-0.3092164,1.659312,-0.08774683,0.1937666,1.657356,-0.01112674,-0.3025475,1.625417,-0.139943,-0.1010386,1.637705,0.2984103,-0.09143523,1.617162,NA,NA,NotTracked,NotTracked,
0.9555664,-0.2783203,0.05371094,0.9370117,0.2641602,0.1103516,0,0,1,-1,-2,-2,1,-2,3,-1,-2,-2,0,-1,-2,-4,-1.5625,-1.5625,-1.5625,3.0625,3.0625,3.0625,2.768324,2.946573,4.400256,6.896482,2.976205,7.278742,-0.1255929,-0.4071676,1.574904,0.2700287,-0.4153171,1.535282,0.09496936,0.4920772,1.672945,-0.1722259,-0.3969686,1.56258,0.2219234,-0.4054264,1.508953,0.08142073,0.01931821,1.676453,0.07222412,-0.3092277,1.659268,-0.08779166,0.1937705,1.657367,-0.0111395,-0.3025526,1.625388,-0.1399603,-0.1009966,1.637721,0.2982654,-0.09139907,1.616998,NA,NA,NotTracked,NotTracked,
0.9555664,-0.2783203,0.05371094,0.9404297,0.265625,0.09765625,0,0,1,-1,-2,-2,1,-2,-1,-1,-2,-2,-2,-3,-1,1,-1.5625,-1.5625,-1.5625,1.4375,1.4375,1.4375,2.768324,2.946573,4.400256,6.902035,2.975551,7.277308,-0.1248928,-0.4078831,1.575891,0.2700388,-0.415273,1.536126,0.09491269,0.4920454,1.672855,-0.1658542,-0.3970066,1.555254,0.2221513,-0.4046703,1.509942,0.08138786,0.01927698,1.676354,0.07220057,-0.3092838,1.659234,-0.08790608,0.1935837,1.657353,-0.01117366,-0.3026133,1.625376,-0.1399466,-0.1010404,1.637718,0.2982439,-0.09161653,1.616915,NA,NA,NotTracked,NotTracked,
0.9555664,-0.2783203,0.05371094,0.9448242,0.2744141,0.1040039,0,0,1,-1,-2,-2,1,-2,-16,0,-2,-2,-1,-1,-1,-13,-1.5625,-1.5625,-1.5625,1.1875,1.1875,1.1875,2.768324,2.946573,4.400256,6.902652,2.976622,7.277161,-0.1253132,-0.4080249,1.574986,0.2699314,-0.4150812,1.534797,0.09479029,0.4920974,1.672761,-0.1701745,-0.3938035,1.559042,0.222017,-0.407476,1.509312,0.08131101,0.01919211,1.676157,0.07209487,-0.3094032,1.65917,-0.08794612,0.1935393,1.657363,-0.01125949,-0.3027206,1.625348,-0.1399508,-0.1010147,1.637757,0.2982367,-0.09166878,1.61684,NA,NA,NotTracked,NotTracked,
0.9555664,-0.2783203,0.05371094,0.9785156,0.3041992,0.08154297,0,0,1,-1,-2,-2,1,-2,13,-3,-3,-1,0,-2,-4,-10,-1.5625,-1.5625,-1.5625,-7.5,-7.5,-7.5,2.768324,2.946573,4.400256,6.89184,2.984524,7.285479,-0.1253143,-0.4078566,1.574808,0.2694314,-0.4142788,1.532555,0.0945969,0.4921219,1.67254,-0.1761827,-0.3853926,1.584545,0.2219622,-0.4091389,1.508837,0.08124878,0.01919771,1.676069,0.07212102,-0.3094107,1.659085,-0.08798524,0.1935408,1.657348,-0.01123081,-0.302742,1.625291,-0.1399657,-0.1013444,1.637637,0.2982778,-0.09168488,1.616875,NA,NA,NotTracked,NotTracked,
0.9555664,-0.2783203,0.05371094,1.022949,0.3608398,0.1831055,0,0,1,-1,-2,-2,1,-2,-6,0,-3,0,-2,-2,3,-2,-1.5625,-1.5625,-1.5625,-32,-32,-32,2.768324,2.946573,4.400256,6.717536,3.080926,7.388334,-0.1259071,-0.4076038,1.57599,0.2670114,-0.4114474,1.520086,0.09439211,0.4921491,1.672403,-0.1753201,-0.3790478,1.578,0.2196372,-0.4056027,1.507785,0.08120673,0.01920897,1.675995,0.07213383,-0.3094064,1.659048,-0.08803017,0.1935382,1.657375,-0.0112153,-0.3027436,1.625238,-0.1399869,-0.1013938,1.637663,0.2989422,-0.09163287,1.618283,NA,NA,NotTracked,Unknown,
0.9555664,-0.2783203,0.05371094,0.9511719,0.4477539,0.3569336,0,0,1,-1,-2,-2,1,-2,-8,-2,-3,-2,-4,-7,3,0,-1.5625,-1.5625,-1.5625,6.375,6.375,6.375,2.768324,2.946573,4.400256,6.585894,3.245967,7.52386,-0.1263059,-0.4070782,1.576966,0.2620433,-0.401283,1.494711,0.09404631,0.4921619,1.67204,-0.1774738,-0.3794685,1.57815,0.2165032,-0.3987682,1.498548,0.0810682,0.01926324,1.675848,0.07206093,-0.3093502,1.659001,-0.0880985,0.1935931,1.657318,-0.01130142,-0.3026748,1.625152,-0.1400249,-0.1015413,1.6377,0.3005667,-0.08790046,1.623631,NA,NA,NotTracked,Unknown,
0.9555664,-0.2783203,0.05371094,0.8408203,0.5664063,0.4047852,0,0,1,-1,-2,-2,1,-2,7,0,-3,-1,1,-4,-4,-7,-1.5625,-1.5625,-1.5625,32.5,32.5,32.5,2.768324,2.946573,4.400256,6.546098,3.549221,7.628541,-0.1257559,-0.4078527,1.576677,0.2604032,-0.3772041,1.45468,0.09388939,0.4921286,1.671756,-0.1716584,-0.395396,1.563484,0.2243258,-0.3824722,1.492611,0.08095054,0.01920895,1.675715,0.0718602,-0.3093979,1.658973,-0.08823084,0.1934976,1.657034,-0.01160746,-0.3026626,1.625004,-0.1399716,-0.1020012,1.637472,0.3019268,-0.08482321,1.62779,NA,NA,NotTracked,Unknown,
0.9555664,-0.2783203,0.05371094,0.7314453,0.5898438,0.4506836,0,0,1,-1,-2,-2,1,-2,2,1,-1,-1,-1,1,0,2,-1.5625,-1.5625,-1.5625,24.1875,24.1875,24.1875,2.768324,2.946573,4.400256,6.553097,3.802099,7.675811,-0.1261399,-0.4077769,1.576556,0.2517969,-0.3326686,1.417575,0.09378078,0.4918828,1.671353,-0.1749763,-0.3835999,1.573087,0.2516354,-0.392892,1.414625,0.08052108,0.01911942,1.675555,0.07061364,-0.3094615,1.658788,-0.08840526,0.1932417,1.656507,-0.01306547,-0.302514,1.624521,-0.1400797,-0.1018144,1.637285,0.302825,-0.07873508,1.630434,NA,NA,NotTracked,Unknown,
0.9555664,-0.2783203,0.05371094,0.6621094,0.6459961,0.4624023,0,0,1,-1,-2,-2,1,-2,-5,-1,-2,-2,-1,0,0,-6,-1.5625,-1.5625,-1.5625,24.25,24.25,24.25,2.768324,2.946573,4.400256,6.5585,3.970573,7.709212,-0.1260896,-0.4078335,1.575985,0.2378282,-0.2874612,1.387681,0.09369291,0.4918517,1.671005,-0.1730822,-0.3945329,1.568964,0.2129952,-0.3401944,1.46575,0.07964036,0.0192036,1.675407,0.06729268,-0.3090323,1.658584,-0.08839404,0.1932797,1.656271,-0.01657961,-0.3016167,1.62414,-0.1400943,-0.1019929,1.637116,0.3030184,-0.07026604,1.630929,NA,NA,NotTracked,Unknown,
0.9555664,-0.2783203,0.05371094,0.4335938,0.7163086,0.4931641,0,0,1,-1,-2,-2,1,-2,-8,-7,-3,-4,0,-1,-2,-12,-1.5625,-1.5625,-1.5625,22.5625,22.5625,22.5625,2.768324,2.946573,4.400256,6.584146,4.370952,7.791042,-0.1254737,-0.4076261,1.574432,0.2235133,-0.2369529,1.362132,0.09360749,0.4918031,1.670821,-0.1720679,-0.3972303,1.564669,0.1796947,-0.2558705,1.365588,0.07829911,0.01947352,1.675089,0.06360255,-0.3081148,1.65789,-0.08833065,0.1933346,1.656061,-0.02002189,-0.3006693,1.62356,-0.1401298,-0.1017443,1.636966,0.3018506,-0.05979234,1.629996,NA,NA,NotTracked,Unknown,
0.9555664,-0.2783203,0.05371094,0.2670898,0.6787109,0.4682617,0,0,1,-1,-2,-2,1,-2,-2,0,-1,-2,-3,-1,-2,1,-1.5625,-1.5625,-1.5625,4.3125,4.3125,4.3125,2.768324,2.946573,4.400256,6.580553,4.573873,7.83884,-0.1246018,-0.407606,1.572489,0.2090494,-0.1941913,1.343574,0.09353546,0.4917521,1.670594,-0.1681331,-0.3965058,1.55465,0.1635874,-0.201935,1.348688,0.07691251,0.01977355,1.674807,0.06033812,-0.3072805,1.657398,-0.08832052,0.1933456,1.656035,-0.02253084,-0.3002067,1.623292,-0.1401148,-0.1016581,1.636908,0.3012843,-0.05007624,1.627737,NA,NA,NotTracked,Unknown,
0.9555664,-0.2783203,0.05371094,0.1743164,0.7636719,0.4633789,0,0,1,-1,-2,-2,1,-2,3,12,5,3,0,0,0,-10,-1.5625,-1.5625,-1.5625,23,23,23,2.768324,2.946573,4.400256,6.598269,4.732038,7.890151,-0.1254113,-0.4071059,1.573511,0.1971846,-0.1582769,1.337719,0.0935118,0.4917389,1.670506,-0.1365851,-0.421542,1.526794,0.1780762,-0.1285016,1.313929,0.07625844,0.01992768,1.674717,0.05939987,-0.3069596,1.657386,-0.08833451,0.1932872,1.656053,-0.02326843,-0.3000538,1.623519,-0.1398939,-0.09502351,1.637312,0.3030953,-0.04785629,1.62258,NA,NA,NotTracked,Unknown,
0.9555664,-0.2783203,0.05371094,0.05615234,0.7543945,0.4804688,0,0,1,-1,-2,-2,1,-2,-8,-3,-1,1,2,-1,1,-8,-1.5625,-1.5625,-1.5625,4.25,4.25,4.25,2.768324,2.946573,4.400256,6.612658,4.886132,7.95224,-0.1258735,-0.4071876,1.574744,0.1867383,-0.1358486,1.336331,0.0933658,0.4917516,1.670455,-0.1681964,-0.4009836,1.556534,0.1430698,-0.1482712,1.330889,0.0758367,0.02007866,1.674723,0.05911785,-0.3067148,1.657331,-0.08844421,0.1932703,1.656394,-0.02353543,-0.2999737,1.623683,-0.1397192,-0.09354112,1.637845,0.3406502,-0.03533393,1.628241,NA,NA,NotTracked,Unknown,
0.9555664,-0.2783203,0.05371094,0.03564453,0.7641602,0.46875,0,0,1,-1,-2,-2,1,-2,-15,-2,0,0,0,-1,-2,-6,-1.5625,-1.5625,-1.5625,0.1875,0.1875,0.1875,2.768324,2.946573,4.400256,6.621295,4.954772,7.987929,-0.1263313,-0.4075882,1.575916,0.178678,-0.1241129,1.336376,0.09328859,0.4917307,1.670522,-0.1722373,-0.3962753,1.559079,0.1395237,-0.1215031,1.31708,0.07562716,0.02022261,1.674785,0.05900958,-0.3065569,1.657388,-0.0887181,0.1932931,1.65705,-0.02364004,-0.2999258,1.623897,-0.1398608,-0.09211933,1.638733,0.3456761,-0.03152001,1.630015,NA,NA,NotTracked,Unknown,
0.9555664,-0.2783203,0.05371094,0.01464844,0.7944336,0.480957,0,0,1,-1,-2,-2,1,-2,24,-9,-8,-5,-4,-3,-2,-13,-1.5625,-1.5625,-1.5625,8.0625,8.0625,8.0625,2.768324,2.946573,4.400256,6.627696,4.981503,8.015271,-0.1272849,-0.4079186,1.578324,0.1749008,-0.1173478,1.333768,0.09301248,0.4917988,1.670916,-0.1737139,-0.3925081,1.566363,0.1387759,-0.1060241,1.312278,0.07539029,0.02047746,1.674977,0.05888425,-0.3062007,1.657529,-0.089057,0.1936057,1.658168,-0.02376438,-0.2996596,1.624229,-0.1399391,-0.09143401,1.639452,0.3470812,-0.03105123,1.62969,NA,NA,NotTracked,Unknown,
0.9555664,-0.2783203,0.05371094,0.03027344,0.7910156,0.4926758,0,0,1,-1,-2,-2,1,-2,2,-20,-14,-5,-3,-1,-2,-1,-1.5625,-1.5625,-1.5625,1.625,1.625,1.625,2.768324,2.946573,4.400256,6.631089,4.973079,8.040607,-0.1274664,-0.40868,1.577516,0.170891,-0.10677,1.323391,0.09275934,0.4918461,1.671114,-0.1728075,-0.3945327,1.562684,0.1286375,-0.1088382,1.313,0.07527255,0.02056083,1.675063,0.05887897,-0.3061024,1.657554,-0.08918343,0.1935859,1.658587,-0.02378311,-0.2996315,1.624409,-0.1401039,-0.09194775,1.640056,0.3488202,-0.0416563,1.616729,NA,NA,NotTracked,Unknown,
0.9555664,-0.2783203,0.05371094,0.01513672,0.7851563,0.5063477,0,0,1,-1,-2,-2,1,-2,28,13,-11,-7,-5,-3,-1,-1,-1.5625,-1.5625,-1.5625,0.125,0.125,0.125,2.768324,2.946573,4.400256,6.628229,4.953815,8.059819,-0.1270723,-0.4084741,1.57624,0.1497115,-0.08937636,1.298808,0.09253211,0.4918709,1.671269,-0.1731706,-0.3936378,1.56437,0.1278448,-0.08687437,1.2922,0.07518577,0.02060128,1.675165,0.05891623,-0.3060037,1.657694,-0.08962688,0.1934134,1.659235,-0.02369989,-0.2996967,1.624849,-0.1406626,-0.09261813,1.64035,0.3485513,-0.05411673,1.609757,NA,NA,NotTracked,Unknown,
0.9555664,-0.2783203,0.05371094,0.0078125,0.8476563,0.4853516,0,0,1,-1,-2,-2,1,-2,-18,-12,-12,-6,-3,-2,-2,-5,-1.5625,-1.5625,-1.5625,10.5,10.5,10.5,2.768324,2.946573,4.400256,6.638046,4.928603,8.075046,-0.1271555,-0.4082187,1.575709,0.1645514,-0.06829914,1.342514,0.0922998,0.491844,1.671275,-0.1722078,-0.3967972,1.561934,0.1436861,-0.04201817,1.3008,0.07512129,0.02064142,1.675203,0.05901584,-0.3058605,1.657703,-0.09007791,0.1932121,1.659636,-0.02362068,-0.2997274,1.625015,-0.1406661,-0.09279713,1.640296,0.3133822,-0.04265659,1.606723,NA,NA,NotTracked,Unknown,
0.9555664,-0.2783203,0.05371094,0.04736328,0.9003906,0.4624023,0,0,1,-1,-2,-2,1,-2,0,-3,-9,-10,-8,-5,-3,-28,-1.5625,-1.5625,-1.5625,15.9375,15.9375,15.9375,2.768324,2.946573,4.400256,6.682258,4.873169,8.080037,-0.1270547,-0.4101609,1.575224,0.1744237,-0.05328546,1.362432,0.09201934,0.4918883,1.671316,-0.1725521,-0.3980859,1.562497,0.1476101,-0.08014361,1.372375,0.07503463,0.02073423,1.675266,0.0592007,-0.305568,1.657749,-0.09016079,0.1933986,1.659986,-0.02349959,-0.2995905,1.625175,-0.1406699,-0.09234834,1.640376,0.3106009,-0.04062863,1.601975,NA,NA,NotTracked,Unknown,
0.9555664,-0.2783203,0.05371094,0.06201172,0.878418,0.5205078,0,0,1,-1,-2,-2,1,-2,-42,-4,26,10,11,9,5,0,-1.5625,-1.5625,-1.5625,18.4375,18.4375,18.4375,2.768324,2.946573,4.400256,6.691764,4.866432,8.077741,-0.12685,-0.4095527,1.573336,0.1782413,-0.03474872,1.370541,0.09176945,0.4918131,1.671334,-0.1724758,-0.3964278,1.561738,0.1523376,-0.07734119,1.372349,0.07496719,0.02077954,1.675296,0.05920022,-0.3055377,1.657692,-0.09014705,0.1933891,1.660126,-0.02349493,-0.2996318,1.625167,-0.1406588,-0.09157281,1.640566,0.3115334,-0.04292243,1.59967,NA,NA,NotTracked,Open,
0.9555664,-0.2783203,0.05371094,0.07080078,0.9487305,0.480957,0,0,1,-1,-2,-2,1,-2,72,-8,-4,-9,-11,-15,-3,16,-1.5625,-1.5625,-1.5625,27.375,27.375,27.375,2.768324,2.946573,4.400256,6.718664,4.860289,8.0695,-0.1274589,-0.4099417,1.573461,0.1797204,-0.02732691,1.37383,0.09154223,0.4918047,1.671341,-0.1743102,-0.4047828,1.562,0.1576986,-0.08005222,1.376459,0.07486185,0.02083802,1.67532,0.0591964,-0.3054565,1.657682,-0.09014229,0.1933694,1.660119,-0.02348921,-0.2996187,1.625175,-0.1407955,-0.09316868,1.640409,0.3117068,-0.04428124,1.597828,NA,NA,NotTracked,Open,
