ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.956543,-0.2788086,0.01708984,0.9194336,0.2885742,0.1669922,-1,-3,-2,-1,-1,-4,-4,1,1,0,-1,-1,-1,-1,-1,0,0.3125,0.3125,0.3125,0.4375,0.4375,0.4375,2.605043,2.951638,2.316289,6.666745,3.048221,9.147052,-0.1759949,-0.4056491,1.616364,0.1940304,-0.4073296,1.566232,0.05126156,0.4938385,1.699875,-0.1247073,-0.3846306,1.592667,0.2296324,-0.439189,1.548334,0.02670519,0.02290823,1.707545,0.01707486,-0.3046,1.693798,-0.1356832,0.1962153,1.681232,-0.06585415,-0.2979417,1.655051,-0.1921179,-0.09723613,1.667515,0.2476757,-0.08343099,1.659284,NA,NA,NotTracked,Unknown,
0.9570313,-0.2841797,0.01757813,0.9169922,0.2871094,0.1689453,-1,-3,-2,-1,-2,-1,4,1,-2,0,-1,0,-1,0,0,-1,0.125,0.125,0.125,-0.25,-0.25,-0.25,2.605325,2.952544,2.316132,6.666429,3.04847,9.147297,-0.1765604,-0.406849,1.614002,0.1937493,-0.4079177,1.564822,0.05127141,0.4938672,1.699859,-0.1248358,-0.3942137,1.591986,0.2334746,-0.4193452,1.557534,0.02672428,0.02288504,1.707582,0.01706601,-0.3046275,1.693809,-0.1357257,0.1962122,1.681257,-0.06586873,-0.2979695,1.655033,-0.1921444,-0.09690426,1.667528,0.2476841,-0.08336083,1.659434,NA,NA,NotTracked,Unknown,
0.9599609,-0.2792969,0.02441406,0.9199219,0.2890625,0.1728516,-1,-2,-1,0,-2,0,-4,0,-2,-1,0,-1,-2,0,-1,-3,-0.375,-0.375,-0.375,-0.5625,-0.5625,-0.5625,2.609059,2.954658,2.311666,6.666429,3.04847,9.147297,-0.17655,-0.406488,1.613278,0.1937437,-0.4083476,1.564458,0.05127079,0.4938801,1.699819,-0.1252831,-0.4204785,1.590095,0.2336184,-0.4138754,1.555866,0.02672062,0.02288566,1.707599,0.01704964,-0.3046075,1.693806,-0.1357515,0.1962214,1.681286,-0.06588005,-0.2979412,1.655025,-0.192184,-0.09688281,1.667451,0.2476882,-0.08335447,1.659443,NA,NA,NotTracked,Unknown,
0.9580078,-0.2792969,0.02587891,0.9179688,0.2915039,0.1699219,0,-1,-1,0,-1,0,-10,-1,-2,-3,-2,-1,-1,-1,-1,2,0.1875,0.1875,0.1875,0.0625,0.0625,0.0625,2.611414,2.95553,2.309677,6.665383,3.049004,9.148046,-0.1766449,-0.4071039,1.612276,0.1935702,-0.4080828,1.563339,0.05122627,0.4938867,1.699678,-0.1248307,-0.3934249,1.588604,0.2303835,-0.4304893,1.548409,0.0267186,0.02287152,1.707586,0.01705196,-0.3046569,1.693701,-0.1357931,0.1961679,1.681287,-0.06588766,-0.2980312,1.654923,-0.1922472,-0.09687828,1.667295,0.2476764,-0.08334842,1.659417,NA,NA,NotTracked,Unknown,
0.9526367,-0.28125,0.0234375,0.9155273,0.2856445,0.1728516,0,0,0,-2,-2,-3,-1,-3,-2,0,1,-1,0,-1,-1,0,-0.125,-0.125,-0.125,-0.25,-0.25,-0.25,2.611901,2.95582,2.308615,6.665068,3.049253,9.148292,-0.1764011,-0.4075209,1.611812,0.1937635,-0.4081529,1.563103,0.05121558,0.4938312,1.699607,-0.1251966,-0.4175639,1.589957,0.2311147,-0.4279164,1.548815,0.02670207,0.02285028,1.707559,0.01706142,-0.3046712,1.693635,-0.1357925,0.1961599,1.681288,-0.06586275,-0.2980426,1.654809,-0.1922478,-0.09691067,1.667068,0.2476581,-0.08331769,1.659356,NA,NA,NotTracked,Unknown,
0.9628906,-0.2773438,0.02685547,0.9140625,0.2915039,0.1660156,-2,1,-2,-3,-2,-1,3,-1,0,-3,-1,-1,0,-1,1,1,-1.625,-1.625,-1.625,0,0,0,2.612065,2.955632,2.306774,6.665064,3.049299,9.148773,-0.1767937,-0.4081889,1.611527,0.193588,-0.4089481,1.563186,0.05121896,0.493843,1.69961,-0.1242359,-0.3975814,1.588,0.2345721,-0.4118418,1.558235,0.02668272,0.02285395,1.707541,0.01699014,-0.3046692,1.693503,-0.1357966,0.1961519,1.681269,-0.06591775,-0.2980159,1.654677,-0.1922809,-0.09693953,1.666937,0.2476457,-0.08331027,1.659356,NA,NA,NotTracked,Unknown,
0.9575195,-0.2817383,0.02001953,0.9208984,0.2856445,0.1699219,-2,-1,-1,0,-2,-1,-2,1,-1,1,1,-1,-2,-2,0,0,-1.0625,-1.0625,-1.0625,0.25,0.25,0.25,2.612429,2.95655,2.305406,6.66458,3.049397,9.149392,-0.176715,-0.4070612,1.609952,0.1935667,-0.408152,1.561752,0.05121789,0.4938318,1.69959,-0.1251179,-0.4126782,1.587822,0.2318971,-0.4214535,1.550487,0.02668345,0.02282507,1.707468,0.01696447,-0.3047278,1.693237,-0.1358314,0.1960687,1.681158,-0.06595778,-0.2980992,1.654383,-0.1923438,-0.09691557,1.66667,0.2475813,-0.08341329,1.65924,NA,NA,NotTracked,Unknown,
0.9560547,-0.2832031,0.01953125,0.9150391,0.2871094,0.1665039,0,-2,-2,-1,-2,0,-2,-1,0,-1,0,0,0,-1,-2,0,-0.6875,-0.6875,-0.6875,-0.6875,-0.6875,-0.6875,2.612396,2.956632,2.305465,6.664021,3.049833,9.149522,-0.1769363,-0.4075228,1.611085,0.193582,-0.408758,1.562363,0.05121365,0.4938154,1.699592,-0.1244669,-0.4036633,1.588035,0.2318623,-0.4229505,1.551211,0.02664858,0.02282632,1.707444,0.01685539,-0.3047365,1.69307,-0.135855,0.1960377,1.681071,-0.06605032,-0.2981123,1.654139,-0.1922972,-0.096999,1.666442,0.2475556,-0.08337946,1.659181,NA,NA,NotTracked,Unknown,
0.9560547,-0.2871094,0.01757813,0.918457,0.2919922,0.1757813,-1,0,-1,1,-1,0,2,0,-1,1,-1,0,0,-2,-1,0,-1.0625,-1.0625,-1.0625,-0.75,-0.75,-0.75,2.608255,2.957078,2.30647,6.664266,3.049646,9.149635,-0.1769107,-0.406302,1.610494,0.1935147,-0.4087314,1.562416,0.05121342,0.4938814,1.699708,-0.1254969,-0.4196127,1.589591,0.2308401,-0.42842,1.547501,0.02663219,0.0228115,1.707391,0.01687041,-0.304773,1.6929,-0.1358594,0.1960517,1.681042,-0.06604186,-0.2981785,1.653935,-0.1923516,-0.09682849,1.666146,0.2475159,-0.08336171,1.659134,NA,NA,NotTracked,Unknown,
0.9594727,-0.2827148,0.02685547,0.925293,0.3056641,0.1787109,-2,-1,1,-1,-1,2,7,0,1,1,-1,2,0,-1,-2,-1,-0.6875,-0.6875,-0.6875,-2.25,-2.25,-2.25,2.608249,2.956605,2.305511,6.658825,3.055597,9.151145,-0.1767031,-0.4069804,1.609139,0.1934275,-0.4082169,1.561399,0.0511972,0.4939063,1.699727,-0.1246519,-0.4123054,1.587232,0.2295468,-0.4316978,1.545435,0.02662322,0.02278571,1.707329,0.01687858,-0.3048328,1.69272,-0.1358998,0.1960261,1.681028,-0.06603497,-0.2982507,1.653749,-0.1924879,-0.0966449,1.665804,0.2474631,-0.08332758,1.659055,NA,NA,NotTracked,Unknown,
