ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.953125,-0.2817383,-0.004394531,0.9506836,0.2192383,0.04736328,0,-1,-2,-1,-1,-1,-4,-2,-3,-2,0,-2,-3,-3,0,0,-1.875,-1.875,-1.875,0.75,0.75,0.75,2.444264,2.965103,5.236445,7.149992,2.86171,9.286082,-0.1340728,-0.4065275,1.591217,0.2867848,-0.4184579,1.585877,0.1059649,0.4867871,1.673797,-0.1824956,-0.3874323,1.591417,0.2383739,-0.4092827,1.54211,0.08138388,0.01703669,1.685915,0.07298815,-0.3106547,1.671346,-0.08596478,0.19328,1.661233,-0.01071492,-0.3030606,1.633467,-0.1412832,-0.09313059,1.65618,0.2993325,-0.09263358,1.639671,NA,NA,NotTracked,NotTracked,
0.9589844,-0.28125,-0.0009765625,0.9492188,0.2138672,0.03515625,-2,-1,0,-1,0,1,1,-3,-1,-1,-2,0,-1,-2,-1,-4,-2.5625,-2.5625,-2.5625,0.6875,0.6875,0.6875,2.444464,2.964597,5.232246,7.165328,2.859578,9.272631,-0.135459,-0.406342,1.59249,0.2879283,-0.4187241,1.586456,0.1062596,0.4868065,1.674184,-0.1843403,-0.3953811,1.589337,0.2391734,-0.4104425,1.543256,0.08157527,0.01711282,1.686007,0.07316148,-0.3106107,1.671342,-0.08327348,0.1946629,1.658167,-0.01049639,-0.3030026,1.633462,-0.1412717,-0.09293022,1.656182,0.2993268,-0.09261235,1.639653,NA,NA,NotTracked,NotTracked,
0.9550781,-0.2836914,0.008789063,0.9472656,0.2124023,0.04296875,-2,-1,1,0,-1,-5,-9,0,0,-1,-2,0,0,-2,0,1,-3.25,-3.25,-3.25,0.0625,0.0625,0.0625,2.443169,2.963794,5.228855,7.178428,2.859085,9.258836,-0.1339839,-0.4067568,1.591249,0.2876182,-0.4175302,1.586264,0.1065888,0.4868148,1.674751,-0.1809547,-0.3866605,1.586218,0.2390761,-0.4134305,1.542528,0.08178235,0.01720762,1.686197,0.07330271,-0.3105626,1.671365,-0.08344613,0.1945253,1.658604,-0.01037575,-0.3029564,1.63349,-0.1412789,-0.09289149,1.656183,0.29939,-0.09261716,1.639698,NA,NA,NotTracked,NotTracked,
0.9545898,-0.2890625,0,0.9477539,0.21875,0.04394531,0,0,-1,-2,0,2,7,1,4,1,0,1,0,-2,0,7,-2.75,-2.75,-2.75,-0.3125,-0.3125,-0.3125,2.445212,2.963764,5.222717,7.184088,2.858209,9.253175,-0.1338171,-0.4068977,1.591513,0.2878647,-0.4174028,1.58679,0.1068751,0.4870407,1.675367,-0.1795613,-0.3892862,1.582844,0.2386459,-0.4132829,1.542135,0.081885,0.0173996,1.686404,0.07336687,-0.310442,1.671432,-0.08231032,0.1952436,1.657446,-0.01031621,-0.3028139,1.633536,-0.1413175,-0.09278436,1.656184,0.2995167,-0.09254242,1.639729,NA,NA,NotTracked,NotTracked,
0.9619141,-0.284668,0.01074219,0.9458008,0.2163086,0.03808594,-1,-1,-1,-1,0,0,3,-4,0,0,1,-1,0,-2,-2,0,-1.5,-1.5,-1.5,-0.75,-0.75,-0.75,2.459337,2.965949,5.204087,7.182468,2.859213,9.254457,-0.1336666,-0.4065088,1.590912,0.2876949,-0.4188281,1.586361,0.1071518,0.4872059,1.676262,-0.1800117,-0.4011284,1.581,0.2389041,-0.4146403,1.542643,0.08209693,0.0174466,1.686516,0.07360006,-0.3104074,1.671426,-0.08254936,0.1951596,1.658071,-0.01007428,-0.3028107,1.633535,-0.1413031,-0.09272484,1.656052,0.2995386,-0.09251463,1.639724,NA,NA,NotTracked,NotTracked,
0.9814453,-0.3349609,0.06689453,1.001953,0.265625,0.04931641,-2,-9,-3,-5,-7,-8,-3,1,-9,3,5,0,0,0,-1,1,-0.8125,-0.8125,-0.8125,0.1875,0.1875,0.1875,2.508577,2.973423,5.150313,7.139773,2.872913,9.297795,-0.1331622,-0.40649,1.589536,0.2863531,-0.4185849,1.582695,0.1073373,0.487372,1.677199,-0.1810976,-0.3892099,1.589002,0.2394508,-0.4043394,1.54371,0.08230908,0.01750302,1.686709,0.07389775,-0.310355,1.671461,-0.08298216,0.1949398,1.658991,-0.009703114,-0.3027701,1.633528,-0.1412138,-0.09266406,1.656062,0.2996582,-0.09237321,1.639919,NA,NA,NotTracked,NotTracked,
0.9643555,-0.2890625,0.1040039,1.099609,0.3530273,0.1474609,1,6,10,1,-2,3,2,1,-15,4,4,12,1,-1,-3,0,-41.25,-41.25,-41.25,-8.875,-8.875,-8.875,2.606997,2.985789,5.008918,6.982401,2.927313,9.452459,-0.1299675,-0.4040464,1.584594,0.2802102,-0.4137256,1.565911,0.1076344,0.487623,1.67835,-0.174056,-0.3979115,1.574,0.2381351,-0.4128925,1.540749,0.08236755,0.01763422,1.68689,0.07389433,-0.3102086,1.671447,-0.08167301,0.195596,1.657699,-0.009747388,-0.3025905,1.633497,-0.1409269,-0.090075,1.655629,0.3003147,-0.09163602,1.64086,NA,NA,NotTracked,NotTracked,
0.9287109,-0.3945313,0.1689453,1.041504,0.4316406,0.4326172,-8,-11,0,1,-6,-8,-18,-17,-3,-2,-2,2,-5,-3,-2,-3,-81.75,-81.75,-81.75,50.5,50.5,50.5,2.75424,3.034191,4.69033,6.557455,3.126671,9.949265,-0.1227337,-0.4004621,1.571936,0.2563506,-0.391238,1.533282,0.1078356,0.4878184,1.679412,-0.1756441,-0.370627,1.598571,0.2114926,-0.3971683,1.517727,0.08240262,0.01790625,1.687023,0.07386363,-0.3097401,1.671365,-0.0821327,0.195719,1.658935,-0.00984224,-0.3021107,1.633248,-0.1402372,-0.08648878,1.653764,0.3026939,-0.08735576,1.644411,NA,NA,NotTracked,Unknown,
0.9511719,-0.3867188,0.2119141,1.01416,0.5195313,0.5356445,-14,-8,-13,-13,-6,-8,-12,-17,-1,1,-4,-10,-11,0,2,-2,-102.0625,-102.0625,-102.0625,65.8125,65.8125,65.8125,2.836594,3.09006,4.439907,6.452725,3.299746,0.145071,-0.1097768,-0.3900129,1.552869,0.2213035,-0.3542716,1.480255,0.1081351,0.4879902,1.680177,-0.1557399,-0.354566,1.53504,0.1814278,-0.3780244,1.4914,0.08226927,0.01831279,1.687134,0.07288835,-0.3082786,1.67076,-0.08247853,0.1958085,1.659728,-0.01117046,-0.3006254,1.632413,-0.138282,-0.07892565,1.647204,0.3052698,-0.07879245,1.646186,NA,NA,NotTracked,Unknown,
0.543457,-0.4902344,0.2348633,0.8803711,0.671875,0.6738281,8,10,39,1,3,-4,-1,1,-7,1,1,-3,-22,2,-1,-6,-128.25,-128.25,-128.25,72.5,72.5,72.5,2.892483,3.17724,4.124217,6.388364,3.773103,0.4581121,-0.08773433,-0.3802033,1.529042,0.160779,-0.2776675,1.439082,0.108289,0.488037,1.680935,-0.1259705,-0.3842451,1.511428,0.125815,-0.2858817,1.470667,0.08182624,0.0188422,1.687276,0.07079981,-0.3067101,1.669768,-0.08245029,0.1963041,1.660612,-0.01402072,-0.2979879,1.630787,-0.1331537,-0.07355472,1.633277,0.307592,-0.05773205,1.64366,NA,NA,Unknown,Unknown,
