ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9438477,-0.2504883,0.1513672,0.9467773,0.2172852,0.128418,-2,0,-1,-2,-2,-1,-1,-1,-2,-1,-2,-3,-4,0,-1,-1,1.5,1.5,1.5,0.0625,0.0625,0.0625,3.41362,2.987911,5.435348,6.625531,2.912762,3.276367,-0.1140464,-0.3980975,1.577289,0.2143837,-0.3947223,1.576714,0.05737515,0.4483564,1.640406,-0.07155927,-0.3913997,1.574913,0.1711652,-0.3776419,1.557213,0.0566791,-0.02467825,1.683453,0.05469135,-0.350383,1.676519,-0.1267099,0.1677975,1.664138,-0.0330224,-0.3424259,1.637064,-0.1628008,-0.07825911,1.662225,0.2744915,-0.08648671,1.67186,NA,NA,NotTracked,NotTracked,
0.9516602,-0.2563477,0.1665039,0.9545898,0.2104492,0.1240234,-2,2,0,-2,-3,0,0,-2,-2,-1,-2,2,-1,-10,-5,-3,-0.75,-0.75,-0.75,-1.1875,-1.1875,-1.1875,3.413072,2.988153,5.436572,6.625584,2.911754,3.275202,-0.1145545,-0.3981705,1.576894,0.2144542,-0.3940034,1.576415,0.05734631,0.4483607,1.640358,-0.07241882,-0.3903831,1.574979,0.171555,-0.3757462,1.556988,0.05663905,-0.02469767,1.683394,0.05464188,-0.3504134,1.67644,-0.1266938,0.1677679,1.664103,-0.03308922,-0.3424622,1.636982,-0.1629428,-0.07813025,1.662194,0.2744571,-0.08638178,1.671684,NA,NA,NotTracked,NotTracked,
0.9511719,-0.2529297,0.1699219,0.9467773,0.2114258,0.1191406,0,-1,-1,-1,-1,0,-2,0,0,-2,0,18,1,-1,-1,0,0.25,0.25,0.25,-0.4375,-0.4375,-0.4375,3.413072,2.988153,5.436572,6.624876,2.911089,3.274534,-0.1141472,-0.3981767,1.576929,0.2145095,-0.3943404,1.576051,0.0573229,0.4483527,1.640288,-0.07147874,-0.3922841,1.573532,0.1713682,-0.3761482,1.557782,0.05660679,-0.02467692,1.683288,0.054589,-0.3504,1.676309,-0.1266919,0.167747,1.663951,-0.03314223,-0.3424318,1.636791,-0.1630439,-0.07799111,1.662033,0.2742635,-0.08670042,1.671215,NA,NA,NotTracked,NotTracked,
0.949707,-0.2543945,0.1630859,0.9492188,0.2167969,0.1357422,-8,0,1,-2,0,-1,0,0,-2,-2,0,-5,-1,3,2,2,0,0,0,-0.6875,-0.6875,-0.6875,3.413512,2.988265,5.436069,6.624876,2.911089,3.274534,-0.1148446,-0.3980159,1.576587,0.2146112,-0.3945503,1.576618,0.05730563,0.4483879,1.640228,-0.07176974,-0.3916746,1.574926,0.1714131,-0.373926,1.556809,0.05660289,-0.02466493,1.683201,0.05450416,-0.3504198,1.676184,-0.12668,0.1677008,1.663856,-0.03323685,-0.3424372,1.636622,-0.1631221,-0.0780211,1.661947,0.2741957,-0.08674332,1.671018,NA,NA,NotTracked,NotTracked,
0.9501953,-0.2504883,0.1577148,0.9482422,0.2114258,0.1303711,-1,0,-2,0,-2,0,0,-1,2,0,0,-2,0,1,-1,-1,-0.5625,-0.5625,-0.5625,-0.25,-0.25,-0.25,3.414306,2.988182,5.435322,6.625137,2.911132,3.274133,-0.114705,-0.3982018,1.576675,0.2143882,-0.3940839,1.576261,0.05727959,0.4484065,1.640205,-0.0717765,-0.3838902,1.573045,0.1726878,-0.3993158,1.550631,0.05659469,-0.02463987,1.683128,0.05444166,-0.3503643,1.676097,-0.1266656,0.1676534,1.663774,-0.03329216,-0.3423755,1.636544,-0.1631468,-0.07812661,1.66184,0.2741505,-0.08678067,1.670907,NA,NA,NotTracked,NotTracked,
0.9482422,-0.2519531,0.1645508,0.9477539,0.2192383,0.1235352,-1,1,1,6,4,0,-23,-5,-2,-1,0,0,-3,-3,0,-1,0,0,0,0,0,0,3.413866,2.98807,5.435826,6.625677,2.910962,3.272761,-0.1146898,-0.3983605,1.577164,0.214294,-0.3946236,1.577353,0.05727656,0.4484268,1.640025,-0.07289796,-0.3924237,1.574216,0.1712173,-0.3754402,1.559829,0.05649179,-0.02468589,1.682974,0.05442747,-0.3504109,1.675932,-0.126614,0.1676743,1.663616,-0.0333092,-0.3423919,1.636404,-0.1632849,-0.0780689,1.661695,0.2740933,-0.08679809,1.670798,NA,NA,NotTracked,NotTracked,
0.9814453,-0.284668,0.1567383,0.9379883,0.2060547,0.140625,-2,-3,-2,-4,-2,-4,-6,1,-1,0,-1,13,1,-6,0,0,-6.375,-6.375,-6.375,0.0625,0.0625,0.0625,3.426811,2.999593,5.417834,6.619645,2.912041,3.27519,-0.1133885,-0.3964282,1.57242,0.2144694,-0.3949001,1.577205,0.05729128,0.4484246,1.639982,-0.07475738,-0.3862893,1.576002,0.1708962,-0.3814796,1.558651,0.05651869,-0.02466701,1.682912,0.0544116,-0.3504204,1.675864,-0.1265843,0.1676223,1.663617,-0.03332546,-0.3424051,1.636327,-0.1634588,-0.07775953,1.661792,0.2740598,-0.08678602,1.670777,NA,NA,NotTracked,NotTracked,
0.9614258,-0.3276367,0.2319336,0.9580078,0.2304688,0.140625,2,-1,1,0,-4,5,2,0,-1,-1,0,-4,0,-3,-2,-2,5.375,5.375,5.375,1.3125,1.3125,1.3125,3.478598,3.076664,5.371223,6.624146,2.914355,3.275947,-0.1109907,-0.3920313,1.561899,0.2141555,-0.3938713,1.576578,0.05731235,0.4484224,1.639986,-0.08090678,-0.3658626,1.584369,0.1709522,-0.3773761,1.557607,0.05661478,-0.0246829,1.682797,0.05450508,-0.3504219,1.675685,-0.1265699,0.1676395,1.663616,-0.03325123,-0.342406,1.636099,-0.1638509,-0.07693914,1.662669,0.2740546,-0.08674993,1.67076,NA,NA,NotTracked,NotTracked,
1.134277,-0.3232422,0.2353516,0.9555664,0.1977539,0.121582,3,3,24,-16,-42,7,5,-2,-2,-1,-1,0,1,2,1,-2,-2.8125,-2.8125,-2.8125,-0.0625,-0.0625,-0.0625,3.523874,3.182055,5.322011,6.620737,2.915844,3.279617,-0.1131088,-0.3360978,1.555228,0.2143209,-0.394634,1.576837,0.05742875,0.4484455,1.640054,-0.08206708,-0.3142122,1.575305,0.1707076,-0.3818977,1.556872,0.05680147,-0.0247024,1.682611,0.05528354,-0.350483,1.675152,-0.1264866,0.1677095,1.663646,-0.03253241,-0.3426471,1.635509,-0.1646829,-0.0751335,1.665192,0.2740567,-0.08671857,1.670747,NA,NA,NotTracked,NotTracked,
1.131836,-0.5380859,0.4101563,0.956543,0.1904297,0.1088867,-7,-2,-1,38,88,28,-1,-6,1,0,0,2,-2,8,0,0,-27.3125,-27.3125,-27.3125,-2.0625,-2.0625,-2.0625,3.576595,3.404744,5.228323,6.617871,2.918274,3.279422,-0.07224698,-0.308848,1.520645,0.2145341,-0.3944715,1.576243,0.05756325,0.4484395,1.640157,-0.02918171,-0.343136,1.557455,0.1711262,-0.3822882,1.557174,0.05764605,-0.02457505,1.682195,0.05811118,-0.3500957,1.673721,-0.1259499,0.1683579,1.663943,-0.02985825,-0.3427466,1.634185,-0.1668741,-0.06403086,1.674756,0.2741039,-0.08648749,1.670888,NA,NA,Unknown,NotTracked,
