ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9580078,-0.2460938,0.1479492,0.9414063,0.2333984,0.121582,3,0,-1,-2,-1,-2,-2,-1,0,1,-3,-2,-1,1,3,0,-0.625,-0.625,-0.625,-0.4375,-0.4375,-0.4375,3.360457,2.958976,7.102469,6.698379,2.936831,7.86731,-0.1285293,-0.4078393,1.590669,0.184614,-0.3997234,1.592357,0.04015272,0.4469522,1.678116,-0.1714871,-0.421978,1.589561,0.136522,-0.4031499,1.575105,0.0336224,-0.02632212,1.708044,0.0329283,-0.3510617,1.693915,-0.1493796,0.1641828,1.680138,-0.05342112,-0.343188,1.651703,-0.1834641,-0.07399725,1.663857,0.2390969,-0.08627665,1.691045,NA,NA,NotTracked,NotTracked,
0.9560547,-0.237793,0.1416016,0.9384766,0.2338867,0.1132813,1,1,-1,0,0,0,0,0,-1,-1,1,3,-1,5,5,0,-0.4375,-0.4375,-0.4375,-2.75,-2.75,-2.75,3.360457,2.958976,7.102469,6.698701,2.937144,7.864084,-0.1287746,-0.40756,1.591062,0.1847474,-0.3991984,1.592452,0.04017266,0.446886,1.678144,-0.1743044,-0.4210652,1.598786,0.1401005,-0.3777257,1.576584,0.03363186,-0.02634824,1.708107,0.03293638,-0.3510775,1.693938,-0.1493642,0.164253,1.679872,-0.05341538,-0.3431951,1.65175,-0.1833889,-0.07405765,1.663982,0.2391845,-0.0863575,1.691086,NA,NA,NotTracked,NotTracked,
0.953125,-0.2470703,0.144043,0.9448242,0.2314453,0.1333008,-2,-2,-2,1,2,-2,0,-1,1,0,-1,-4,-5,-11,-3,-1,-0.1875,-0.1875,-0.1875,-1.1875,-1.1875,-1.1875,3.359335,2.959333,7.102867,6.695198,2.937375,7.864916,-0.127948,-0.4074244,1.58953,0.1842429,-0.4026519,1.590802,0.04025806,0.4468197,1.678233,-0.1725589,-0.4234488,1.592086,0.1386389,-0.3776793,1.576196,0.03366299,-0.02637161,1.708128,0.03295104,-0.3510797,1.693949,-0.1496279,0.1645733,1.678506,-0.05339668,-0.3431984,1.651763,-0.1832671,-0.07400956,1.664021,0.239211,-0.08638172,1.691091,NA,NA,NotTracked,NotTracked,
0.9570313,-0.2412109,0.1474609,0.934082,0.2319336,0.1240234,-2,-1,0,0,-3,0,0,-2,-1,-1,0,-2,0,-4,-2,0,-1.0625,-1.0625,-1.0625,-2.1875,-2.1875,-2.1875,3.358236,2.958658,7.103602,6.692838,2.937905,7.864177,-0.128552,-0.4077812,1.591028,0.1843049,-0.402918,1.592647,0.04034664,0.4467972,1.678393,-0.1732969,-0.4188147,1.597232,0.1348056,-0.4074942,1.574,0.03366747,-0.02635709,1.708297,0.03296747,-0.3510045,1.69408,-0.1495091,0.1645867,1.679028,-0.05336427,-0.3430998,1.651885,-0.1832443,-0.07371766,1.664246,0.2392571,-0.08635651,1.691227,NA,NA,NotTracked,NotTracked,
0.9560547,-0.2358398,0.1416016,0.9448242,0.2333984,0.1289063,-1,1,0,-2,-2,0,0,-1,1,0,-1,1,2,17,-3,0,-1.375,-1.375,-1.375,-1.5,-1.5,-1.5,3.358014,2.958725,7.102238,6.695347,2.938319,7.856818,-0.1283666,-0.4077052,1.589965,0.1840542,-0.4023351,1.591493,0.04038154,0.4467559,1.678405,-0.1725709,-0.4211735,1.593661,0.1377591,-0.3802787,1.576268,0.03371145,-0.02637002,1.708347,0.03303659,-0.3510159,1.694127,-0.149747,0.1647281,1.678166,-0.05326051,-0.3431331,1.651981,-0.1831731,-0.07384604,1.664302,0.2393392,-0.08643821,1.691284,NA,NA,NotTracked,Unknown,
0.9541016,-0.2338867,0.1430664,0.9404297,0.2451172,0.1230469,-1,-3,-2,-1,-2,1,-1,-1,0,0,0,-2,-3,6,1,-2,1.125,1.125,1.125,0.5625,0.5625,0.5625,3.360808,2.958923,7.100143,6.696708,2.938399,7.855606,-0.1281827,-0.4075454,1.589768,0.1845967,-0.398907,1.592029,0.0404078,0.4467228,1.678428,-0.1729183,-0.425539,1.591917,0.1384373,-0.3834229,1.575788,0.03370124,-0.02638791,1.708351,0.0329947,-0.351052,1.694077,-0.1499207,0.1647933,1.67744,-0.05332693,-0.3431935,1.651911,-0.1832356,-0.07372642,1.664293,0.2393759,-0.08664753,1.691225,NA,NA,NotTracked,NotTracked,
0.9580078,-0.2387695,0.1494141,0.9477539,0.2851563,0.1328125,-2,-1,-1,-1,-1,-1,0,-1,0,0,0,-1,-1,-3,1,3,2.6875,2.6875,2.6875,16.125,16.125,16.125,3.367807,2.959791,7.096415,6.71765,2.941288,7.849588,-0.1282129,-0.4071471,1.590444,0.1843884,-0.3998376,1.592333,0.04039143,0.4466841,1.678623,-0.1731697,-0.4243197,1.594984,0.1378897,-0.3821613,1.575698,0.03372203,-0.02639604,1.708369,0.03305897,-0.351045,1.694065,-0.1490449,0.1643547,1.679875,-0.05329163,-0.3431897,1.651902,-0.1832006,-0.07367327,1.664364,0.2394857,-0.08653823,1.69134,NA,NA,NotTracked,NotTracked,
0.9472656,-0.2495117,0.1489258,1.054199,0.3447266,0.1206055,-2,0,0,1,0,-1,-1,0,-1,-12,-56,-12,-2,-2,-2,-1,1.125,1.125,1.125,-13.8125,-13.8125,-13.8125,3.369787,2.963055,7.096735,6.716784,2.969669,7.854674,-0.1317723,-0.3761614,1.598119,0.1849605,-0.4010485,1.589486,0.0403504,0.4466381,1.678736,-0.1630596,-0.4293227,1.572778,0.1401315,-0.3762046,1.576007,0.03375718,-0.02642193,1.708381,0.03309438,-0.3510543,1.694034,-0.1484792,0.1641148,1.681174,-0.05325459,-0.3431831,1.651808,-0.1830331,-0.07362637,1.664461,0.2395267,-0.08650663,1.691327,NA,NA,NotTracked,NotTracked,
0.9570313,-0.2431641,0.1455078,1.224121,0.4262695,0.3408203,1,-1,-1,-1,-1,-2,-1,-3,-4,7,-56,19,-1,-3,-3,-6,0.4375,0.4375,0.4375,76.0625,76.0625,76.0625,3.372222,2.965512,7.094627,6.573689,3.202654,8.050666,-0.1276473,-0.4074643,1.590211,0.1801522,-0.3916171,1.572372,0.04033403,0.4466628,1.678937,-0.1736063,-0.4302408,1.597727,0.1395309,-0.3715183,1.577425,0.03376306,-0.02642553,1.708408,0.03307895,-0.3510524,1.694017,-0.149195,0.1643589,1.679594,-0.05326531,-0.3431909,1.651808,-0.1829655,-0.07362732,1.664587,0.2405701,-0.08585051,1.691704,NA,NA,NotTracked,Unknown,
0.9609375,-0.2290039,0.1474609,0.9882813,0.8398438,0.4257813,-3,-1,0,1,-1,-1,-1,-2,-2,-12,-30,-32,-3,-4,0,2,-0.6875,-0.6875,-0.6875,67.125,67.125,67.125,3.376155,2.965237,7.093247,6.584142,3.610991,8.200678,-0.1275415,-0.4074888,1.590795,0.1525815,-0.360787,1.520339,0.04031994,0.4466195,1.67914,-0.1730366,-0.4203396,1.603555,0.1316868,-0.3545569,1.491652,0.03332385,-0.02627416,1.708437,0.03091183,-0.3502723,1.693385,-0.1487338,0.1643727,1.680707,-0.0560365,-0.3419489,1.650874,-0.1828936,-0.07389492,1.664891,0.24765,-0.07738633,1.695121,NA,NA,NotTracked,Unknown,
