ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9614258,-0.2226563,0.08935547,0.9506836,0.1416016,0.222168,0,-2,-1,-1,-2,0,-3,-2,1,-1,1,-4,-6,-7,2,-2,1.125,1.125,1.125,-0.75,-0.75,-0.75,3.065948,2.902961,6.364483,5.894932,2.931975,6.208389,-0.1307783,-0.3739634,1.598347,0.1900396,-0.3668303,1.587331,0.03440918,0.4750668,1.644421,-0.08940852,-0.3777931,1.573312,0.1456279,-0.3517598,1.564449,0.03653596,-0.002846085,1.692131,0.03393073,-0.3344114,1.690079,-0.1425872,0.1953242,1.67331,-0.0484421,-0.3266165,1.648283,-0.1691436,-0.06441356,1.672672,0.2327646,-0.06092427,1.685096,NA,NA,NotTracked,Unknown,
0.9614258,-0.2226563,0.08935547,0.9458008,0.1411133,0.2285156,0,-2,-1,-1,-2,0,-3,-2,-2,-1,-1,-2,3,-6,0,-1,1.125,1.125,1.125,0.6875,0.6875,0.6875,3.065948,2.902961,6.364483,5.893903,2.931769,6.209261,-0.1308456,-0.3738891,1.599069,0.1900869,-0.3662159,1.587636,0.03441313,0.4750374,1.644407,-0.08335963,-0.3524116,1.579514,0.1428111,-0.3590093,1.56481,0.0365426,-0.002878386,1.692162,0.03389243,-0.3344498,1.690115,-0.1426121,0.1953299,1.67336,-0.04847736,-0.3266396,1.648304,-0.1691273,-0.06446703,1.67269,0.2328001,-0.06086133,1.685163,NA,NA,NotTracked,Unknown,
0.9614258,-0.2226563,0.08935547,0.9453125,0.1420898,0.2216797,0,-2,-1,-1,-2,0,-3,-2,1,-1,-1,8,10,12,27,0,1.125,1.125,1.125,0.5,0.5,0.5,3.065948,2.902961,6.364483,5.8941,2.932544,6.208246,-0.1307695,-0.3743019,1.598731,0.1901407,-0.3670684,1.587271,0.03441845,0.4750279,1.64437,-0.08468144,-0.3592938,1.577716,0.14629,-0.352009,1.565244,0.03653155,-0.002887104,1.69216,0.03391707,-0.3344482,1.690112,-0.1426184,0.1952894,1.673358,-0.048463,-0.3266486,1.648297,-0.1691129,-0.06448661,1.672699,0.2328071,-0.0610829,1.68514,NA,NA,NotTracked,Unknown,
0.9614258,-0.2226563,0.08935547,0.9492188,0.140625,0.2280273,0,-2,-1,-1,-2,0,-3,-2,-1,-2,1,-2,-5,-2,-3,-1,1.125,1.125,1.125,0.9375,0.9375,0.9375,3.065948,2.902961,6.364483,5.8941,2.932544,6.208246,-0.1307262,-0.3737965,1.597881,0.190105,-0.3669545,1.586571,0.03436157,0.4749566,1.644179,-0.08339535,-0.3489665,1.577518,0.1431286,-0.3634657,1.562868,0.03650826,-0.002911191,1.692141,0.03393032,-0.3344395,1.690088,-0.1425981,0.1952869,1.673298,-0.04843746,-0.3266407,1.648251,-0.1691222,-0.06449835,1.672676,0.2328056,-0.06120872,1.684976,NA,NA,NotTracked,NotTracked,
0.9614258,-0.2226563,0.08935547,0.9462891,0.1391602,0.2177734,0,-2,-1,-1,-2,0,-3,-2,-1,-1,-2,3,2,-1,-7,0,1.125,1.125,1.125,-0.75,-0.75,-0.75,3.065948,2.902961,6.364483,5.894358,2.932212,6.208477,-0.130859,-0.3735641,1.597888,0.1899657,-0.3665612,1.586213,0.03432452,0.4749745,1.644001,-0.0836177,-0.3572119,1.578124,0.1455058,-0.3551287,1.564338,0.03644238,-0.002927502,1.69203,0.03390543,-0.3344698,1.690026,-0.1425995,0.1952863,1.673212,-0.04846475,-0.326676,1.648142,-0.16913,-0.06440402,1.672514,0.2328244,-0.06129877,1.684806,NA,NA,NotTracked,NotTracked,
0.9614258,-0.2226563,0.08935547,0.9477539,0.1416016,0.2192383,0,-2,-1,-1,-2,0,-3,-2,-2,-1,1,4,4,0,0,0,1.125,1.125,1.125,0.5,0.5,0.5,3.065948,2.902961,6.364483,5.8941,2.932544,6.208246,-0.1304948,-0.3742931,1.597832,0.1902597,-0.3665223,1.586464,0.03432785,0.474975,1.643657,-0.09169914,-0.3719311,1.571375,0.1449869,-0.3527156,1.564373,0.03651316,-0.002885534,1.691915,0.03399667,-0.3343776,1.689886,-0.14259,0.1952257,1.673054,-0.04836725,-0.3265865,1.647928,-0.1690135,-0.06429834,1.672316,0.2328089,-0.0613426,1.684724,NA,NA,NotTracked,NotTracked,
0.9614258,-0.2226563,0.08935547,0.9423828,0.1450195,0.2275391,0,-2,-1,-1,-2,0,-3,-2,0,-2,-4,-4,0,-1,4,2,1.125,1.125,1.125,0.3125,0.3125,0.3125,3.065948,2.902961,6.364483,5.894274,2.932681,6.208241,-0.1305477,-0.3737941,1.597078,0.1901308,-0.3664495,1.585847,0.03425124,0.4750536,1.643386,-0.08344431,-0.3543468,1.57753,0.1444325,-0.3586927,1.562107,0.03649021,-0.00286698,1.691845,0.03398768,-0.3343537,1.689854,-0.1426079,0.1951917,1.672977,-0.04837121,-0.3265655,1.647877,-0.1689928,-0.0644856,1.672073,0.2327886,-0.0614257,1.684438,NA,NA,NotTracked,NotTracked,
0.9614258,-0.2226563,0.08935547,0.9399414,0.1430664,0.222168,0,-2,-1,-1,-2,0,-3,-2,-2,-2,-1,3,2,1,3,0,1.125,1.125,1.125,0.5625,0.5625,0.5625,3.065948,2.902961,6.364483,5.894274,2.932681,6.208241,-0.1302071,-0.3755507,1.596174,0.1896127,-0.368532,1.584051,0.0341676,0.4749835,1.642965,-0.08551614,-0.346835,1.574241,0.1445374,-0.347727,1.561854,0.0364963,-0.002977693,1.691528,0.03398702,-0.3343716,1.689681,-0.1426097,0.1950616,1.672593,-0.04838091,-0.326593,1.647688,-0.1688495,-0.0645563,1.67169,0.2327265,-0.0613209,1.683982,NA,NA,NotTracked,NotTracked,
0.9614258,-0.2226563,0.08935547,0.9477539,0.1362305,0.2216797,0,-2,-1,-1,-2,0,-3,-2,-1,0,-2,-2,-1,-3,-5,-2,1.125,1.125,1.125,-0.875,-0.875,-0.875,3.065948,2.902961,6.364483,5.891463,2.932407,6.209918,-0.1300263,-0.3753445,1.595828,0.1894907,-0.3690774,1.584216,0.03414236,0.4749883,1.642269,-0.08281086,-0.3761615,1.578909,0.1438017,-0.3500913,1.561134,0.03648667,-0.002953285,1.691209,0.03394204,-0.334342,1.689415,-0.1426404,0.1950641,1.672374,-0.04841584,-0.3265561,1.647375,-0.168818,-0.06448849,1.671569,0.2327131,-0.06135675,1.683723,NA,NA,NotTracked,NotTracked,
0.9614258,-0.2226563,0.08935547,0.9448242,0.1411133,0.2182617,0,-2,-1,-1,-2,0,-3,-2,-1,-1,0,0,1,8,-1,-1,1.125,1.125,1.125,0.75,0.75,0.75,3.065948,2.902961,6.364483,5.892269,2.931619,6.209914,-0.1308183,-0.3743811,1.594918,0.1896159,-0.3700404,1.583532,0.03409189,0.4749325,1.641927,-0.08366746,-0.3486013,1.574707,0.1445183,-0.355769,1.561534,0.03658124,-0.002941251,1.690862,0.03400632,-0.3343077,1.689139,-0.1425077,0.1948568,1.671639,-0.04836365,-0.3265094,1.647103,-0.1688255,-0.06451917,1.671125,0.2326526,-0.06138986,1.683309,NA,NA,NotTracked,NotTracked,
