ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.949707,-0.2543945,0.08447266,0.9462891,0.1181641,0.21875,-4,-3,-3,-4,0,-1,-1,0,-1,0,0,0,0,0,1,-1,-0.875,-0.875,-0.875,-3.4375,-3.4375,-3.4375,3.02228,2.942466,4.493005,5.69022,2.921558,7.041421,-0.1437197,-0.3726729,1.59833,0.1860471,-0.369978,1.583708,0.02992138,0.4718101,1.642761,-0.09708481,-0.3303698,1.579189,0.2185579,-0.3721073,1.550117,0.02924282,-0.005820211,1.696096,0.0235939,-0.3371969,1.693348,-0.1470493,0.1965762,1.683594,-0.05938356,-0.3292945,1.654915,-0.1785303,-0.06365357,1.678794,0.2260275,-0.07380401,1.684879,NA,NA,NotTracked,NotTracked,
0.96875,-0.2587891,0.08789063,0.9545898,0.1166992,0.2304688,-3,-1,-1,-2,1,-2,-1,0,2,-3,-1,-1,-1,-2,-2,-2,-2,-2,-2,-2.25,-2.25,-2.25,3.029354,2.937517,4.482457,5.699517,2.920031,7.027688,-0.1444383,-0.3707937,1.601171,0.1863935,-0.3696584,1.586014,0.02984439,0.4719338,1.642927,-0.09716781,-0.3311123,1.580901,0.2227767,-0.384781,1.555368,0.02911411,-0.005721857,1.696371,0.02331008,-0.3371763,1.693609,-0.1471812,0.1966891,1.683668,-0.05961575,-0.3292439,1.655116,-0.1786842,-0.06375254,1.679046,0.2258892,-0.07376595,1.684885,NA,NA,NotTracked,NotTracked,
0.9667969,-0.2578125,0.09179688,0.940918,0.112793,0.2358398,0,0,-2,-2,-1,-1,0,2,-1,0,-1,0,-1,-3,0,-2,-2.375,-2.375,-2.375,-1.375,-1.375,-1.375,3.032342,2.934423,4.475163,5.704361,2.918704,7.019769,-0.1438636,-0.3708929,1.60014,0.1867244,-0.3692034,1.58533,0.02969491,0.4721156,1.643322,-0.0970749,-0.3335407,1.580322,0.2190769,-0.3765578,1.550644,0.02891551,-0.005634981,1.696571,0.0231908,-0.3371651,1.693783,-0.1473473,0.1967505,1.683742,-0.05974023,-0.3292287,1.655404,-0.1787158,-0.06380011,1.679085,0.2257471,-0.07377063,1.684977,NA,NA,NotTracked,NotTracked,
0.9521484,-0.2548828,0.08837891,0.9487305,0.1201172,0.2333984,-3,-1,-2,0,-1,0,-2,-1,-1,-1,-1,0,-1,-1,0,-1,-1.75,-1.75,-1.75,-1.875,-1.875,-1.875,3.036906,2.934811,4.468224,5.707509,2.919065,7.014744,-0.1438456,-0.370927,1.599875,0.1873535,-0.3696033,1.586683,0.02962877,0.472214,1.64347,-0.09696616,-0.3335387,1.580455,0.222374,-0.3764723,1.555723,0.02877818,-0.005486779,1.696801,0.02314984,-0.3371556,1.693906,-0.1473742,0.1967698,1.683734,-0.05978849,-0.329209,1.65556,-0.1787642,-0.06378708,1.679071,0.2256679,-0.07379055,1.685053,NA,NA,NotTracked,NotTracked,
0.9628906,-0.2558594,0.09521484,0.9345703,0.1098633,0.2338867,-1,-1,-1,-3,-2,-1,-1,-2,-1,-2,-2,-2,-3,0,-3,0,0.0625,0.0625,0.0625,-0.8125,-0.8125,-0.8125,3.039161,2.938464,4.464199,5.707895,2.919628,7.010752,-0.1439793,-0.3708602,1.599689,0.1878831,-0.3679401,1.58783,0.02947368,0.4723139,1.643685,-0.09726989,-0.3335061,1.58088,0.2205028,-0.3739113,1.554386,0.02866831,-0.005389796,1.696993,0.02311805,-0.3370969,1.694043,-0.1476019,0.1968022,1.683805,-0.05982692,-0.3291671,1.655714,-0.1788817,-0.06391311,1.679103,0.2255964,-0.07375606,1.685156,NA,NA,NotTracked,NotTracked,
0.9609375,-0.2431641,0.08544922,0.9384766,0.109375,0.2319336,-2,-2,0,-1,0,-2,0,-2,-1,-1,0,-2,-4,-1,-2,0,-0.9375,-0.9375,-0.9375,-1.0625,-1.0625,-1.0625,3.038966,2.938466,4.464003,5.707775,2.919998,7.010378,-0.1435074,-0.3708023,1.598919,0.1874827,-0.3701968,1.586861,0.02938487,0.4724492,1.643863,-0.09719068,-0.3311378,1.581193,0.2258891,-0.3693558,1.564039,0.02858302,-0.005323717,1.697164,0.02307618,-0.3370592,1.694143,-0.1477479,0.1968185,1.683859,-0.0598538,-0.329123,1.655782,-0.1789881,-0.06390394,1.679081,0.2254889,-0.0737206,1.685322,NA,NA,NotTracked,NotTracked,
0.9628906,-0.2514648,0.09521484,0.9516602,0.1103516,0.2211914,-1,-2,-1,-2,-2,-2,-2,-1,-3,-3,-3,-1,-1,-1,0,0,-1.4375,-1.4375,-1.4375,-1.1875,-1.1875,-1.1875,3.042691,2.939843,4.457594,5.706714,2.920114,7.010592,-0.143524,-0.3700654,1.597434,0.187374,-0.3700103,1.585917,0.02918108,0.4725387,1.643979,-0.09697758,-0.3313063,1.579832,0.2210244,-0.3707764,1.554095,0.02848756,-0.005282281,1.697216,0.02304865,-0.3370589,1.694155,-0.1478793,0.1968264,1.683753,-0.05987231,-0.3291291,1.65579,-0.1790408,-0.06385007,1.678939,0.2253989,-0.07375362,1.685373,NA,NA,NotTracked,NotTracked,
0.9648438,-0.2456055,0.09326172,0.9536133,0.1108398,0.2314453,0,-1,-2,1,-3,-2,-3,-1,0,-1,-1,-1,0,-2,0,-1,0.125,0.125,0.125,-3.3125,-3.3125,-3.3125,3.042916,2.93975,4.457291,5.703667,2.921671,7.011118,-0.1435269,-0.3709405,1.597822,0.1872996,-0.3696278,1.586602,0.02906261,0.4725975,1.644138,-0.09748456,-0.3225236,1.580238,0.223817,-0.3756387,1.560112,0.02834289,-0.00523714,1.697227,0.02302545,-0.337069,1.69416,-0.1479312,0.1968139,1.683711,-0.05988987,-0.3291374,1.655791,-0.1791324,-0.06385487,1.67882,0.2253278,-0.07373893,1.685415,NA,NA,NotTracked,NotTracked,
0.9628906,-0.2548828,0.08398438,0.9555664,0.1025391,0.2270508,-2,-1,-2,-2,-2,-2,-2,0,0,1,-1,-2,-2,-1,-1,-2,-1.75,-1.75,-1.75,-3.375,-3.375,-3.375,3.043492,2.93909,4.455577,5.692237,2.92506,7.014405,-0.1438442,-0.3705195,1.597217,0.186337,-0.3679568,1.585613,0.02886345,0.4728146,1.644521,-0.09832609,-0.3364891,1.577032,0.1929992,-0.3755136,1.535629,0.02829605,-0.005219536,1.697247,0.02296545,-0.3370775,1.694108,-0.1480652,0.1967706,1.683617,-0.05995991,-0.3291452,1.6557,-0.1791343,-0.06402366,1.678629,0.225162,-0.07376218,1.685424,NA,NA,NotTracked,NotTracked,
0.9555664,-0.2641602,0.09375,0.9511719,0.1123047,0.2275391,-2,-1,-1,-3,-1,0,-1,-1,0,0,1,-1,-1,-2,-1,-1,-4.375,-4.375,-4.375,-6.125,-6.125,-6.125,3.046996,2.938577,4.445777,5.690548,2.928221,7.005357,-0.1426605,-0.370718,1.596108,0.1863043,-0.3678726,1.585876,0.02877934,0.4732095,1.64513,-0.09760636,-0.331438,1.578815,0.2162384,-0.3750006,1.549223,0.02822687,-0.005197897,1.697266,0.02293813,-0.3370979,1.694069,-0.1480917,0.1966749,1.683486,-0.05999237,-0.3291509,1.655586,-0.1791909,-0.06409647,1.678404,0.2249804,-0.07359456,1.685597,NA,NA,NotTracked,NotTracked,
