ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9799805,-0.1699219,0.03808594,0.9697266,0.0703125,0.1333008,1,-1,-1,-1,2,-1,-1,1,-1,-2,-2,0,1,0,0,2,-0.5625,-0.5625,-0.5625,0.1875,0.1875,0.1875,2.829889,2.778534,4.702493,5.765996,2.75189,6.293877,-0.1583356,-0.3830847,1.60644,0.1738088,-0.3767849,1.597687,0.01560337,0.4804141,1.657009,-0.2073993,-0.3922885,1.617727,0.1303767,-0.3570634,1.570969,0.01413131,-0.00197431,1.695854,0.01072195,-0.3366741,1.692486,-0.1630649,0.1915426,1.666009,-0.07163,-0.3294321,1.651678,-0.1887775,-0.06777777,1.659363,0.2055909,-0.0770037,1.672239,NA,NA,NotTracked,NotTracked,
0.9814453,-0.1733398,0.03125,0.9707031,0.07080078,0.1430664,-2,2,1,-1,-2,-1,-2,2,1,-1,-4,-1,-1,1,2,-2,-0.6875,-0.6875,-0.6875,-1,-1,-1,2.827432,2.777383,4.702511,5.765996,2.75189,6.293877,-0.1571339,-0.3901556,1.605477,0.1736923,-0.376966,1.597884,0.01562178,0.4804027,1.65705,-0.2069416,-0.4042683,1.619833,0.1303234,-0.3551212,1.571711,0.01412294,-0.001977314,1.695903,0.01076061,-0.3366598,1.692515,-0.1630525,0.1915161,1.666145,-0.07160176,-0.3294068,1.651714,-0.1888092,-0.06759892,1.659415,0.2056603,-0.07699309,1.672434,NA,NA,NotTracked,NotTracked,
0.9804688,-0.1635742,0.03710938,0.9677734,0.07177734,0.1386719,2,-1,-3,-1,-2,1,-2,0,-3,0,-1,-1,-3,0,1,1,0.1875,0.1875,0.1875,0.125,0.125,0.125,2.828712,2.777897,4.702015,5.765196,2.75256,6.294118,-0.1569934,-0.392598,1.60584,0.1735528,-0.3781931,1.597051,0.01562231,0.48039,1.657064,-0.2062155,-0.3897794,1.616158,0.1302043,-0.3589554,1.571507,0.01419943,-0.001989854,1.695921,0.01079061,-0.3366525,1.692514,-0.1630517,0.1915264,1.666157,-0.07155402,-0.329419,1.651772,-0.1887611,-0.06787567,1.659372,0.2057121,-0.07694269,1.672498,NA,NA,NotTracked,NotTracked,
0.9838867,-0.1728516,0.03955078,0.9633789,0.07324219,0.1357422,-2,-1,4,-1,-2,-2,-1,-1,2,-1,-2,-3,1,0,2,0,-1.0625,-1.0625,-1.0625,0.8125,0.8125,0.8125,2.829799,2.777799,4.699851,5.765196,2.75256,6.294118,-0.1565649,-0.398599,1.605342,0.1741694,-0.378722,1.597704,0.01566624,0.4803859,1.657017,-0.2056534,-0.3986027,1.613004,0.1302655,-0.3598883,1.571512,0.01424376,-0.002008961,1.695943,0.01086251,-0.3366597,1.692563,-0.163039,0.1914636,1.666163,-0.07148288,-0.3294309,1.651812,-0.1886836,-0.06772712,1.659364,0.2057766,-0.07697313,1.672528,NA,NA,NotTracked,NotTracked,
0.9814453,-0.1679688,0.03076172,0.9682617,0.06738281,0.1342773,4,-3,-1,-2,0,-4,-2,2,-1,0,-2,0,0,-2,-3,1,-0.125,-0.125,-0.125,-0.375,-0.375,-0.375,2.827755,2.77717,4.701242,5.7653,2.7518,6.294675,-0.1565487,-0.398315,1.60557,0.1739734,-0.3786844,1.597458,0.01572359,0.480381,1.656936,-0.2052991,-0.3957534,1.613742,0.1303298,-0.3594438,1.571448,0.01431628,-0.002033308,1.696005,0.01089657,-0.3366671,1.692607,-0.1629804,0.1914586,1.666151,-0.07143729,-0.3294126,1.651818,-0.1886922,-0.06773766,1.659339,0.2058092,-0.07701188,1.672584,NA,NA,NotTracked,NotTracked,
0.980957,-0.1757813,0.04052734,0.9711914,0.07177734,0.1333008,3,-9,-2,-1,-2,1,-2,-3,2,3,3,1,1,-2,-5,-8,0.1875,0.1875,0.1875,-0.4375,-0.4375,-0.4375,2.828517,2.777285,4.700346,5.766377,2.752182,6.293212,-0.1562341,-0.3995527,1.605449,0.1741311,-0.3785632,1.597674,0.0157731,0.4803793,1.656896,-0.2053656,-0.4011827,1.613116,0.1305967,-0.358305,1.571742,0.01431894,-0.002034001,1.696018,0.01091358,-0.3366732,1.692624,-0.1629691,0.1914602,1.666158,-0.07141529,-0.3294117,1.651839,-0.188641,-0.06788379,1.659277,0.2058551,-0.0769283,1.672632,NA,NA,NotTracked,NotTracked,
0.980957,-0.1757813,0.04052734,0.9697266,0.06738281,0.1298828,-2,0,-2,0,-1,0,2,3,-3,-1,2,0,-2,-3,-4,-2,0.1875,0.1875,0.1875,0.5,0.5,0.5,2.828517,2.777285,4.700346,5.76753,2.751647,6.292781,-0.1561976,-0.4015144,1.604826,0.1742369,-0.3781958,1.598141,0.01579402,0.4803634,1.656908,-0.2040356,-0.4167134,1.607231,0.1311562,-0.3550017,1.572864,0.01438596,-0.002062849,1.69609,0.0109356,-0.3367082,1.692676,-0.1628589,0.1914044,1.666181,-0.07139585,-0.3294413,1.651865,-0.1886071,-0.06788883,1.659301,0.2059349,-0.07679466,1.672856,NA,NA,NotTracked,NotTracked,
0.9790039,-0.1738281,0.04150391,0.9711914,0.06591797,0.1318359,4,-2,-2,-2,-2,0,-1,-3,1,0,0,0,0,-2,-3,-2,0.3125,0.3125,0.3125,0.25,0.25,0.25,2.828414,2.777876,4.701147,5.76547,2.751534,6.294705,-0.156785,-0.3952534,1.605613,0.1744914,-0.3783213,1.598335,0.01583287,0.4804081,1.656944,-0.2045644,-0.4076042,1.606803,0.1309546,-0.3543036,1.572608,0.01439,-0.002037871,1.696143,0.0109605,-0.3366988,1.692702,-0.1627171,0.1914621,1.666116,-0.07137187,-0.3294243,1.651911,-0.1885832,-0.06788788,1.659302,0.2059578,-0.07681075,1.672882,NA,NA,NotTracked,NotTracked,
0.9785156,-0.1699219,0.03466797,0.9667969,0.07373047,0.1328125,3,2,1,0,-1,-3,-2,-2,-1,0,-1,0,1,-2,-3,-3,-0.8125,-0.8125,-0.8125,-1.6875,-1.6875,-1.6875,2.828517,2.777285,4.700346,5.767315,2.751212,6.291957,-0.1567293,-0.3982157,1.605801,0.1744232,-0.3786623,1.597992,0.01585394,0.4803905,1.656906,-0.2041094,-0.3888377,1.610705,0.1314797,-0.3547441,1.572411,0.0144461,-0.002056191,1.696174,0.01102005,-0.336713,1.692691,-0.1626304,0.1914076,1.66606,-0.07133039,-0.3294419,1.651875,-0.1885686,-0.06782687,1.659128,0.2059636,-0.07686117,1.672889,NA,NA,NotTracked,NotTracked,
0.9785156,-0.1699219,0.03466797,0.9648438,0.07080078,0.1347656,-4,-2,-2,0,1,1,0,4,-2,-2,-3,-1,-1,-1,0,-1,-0.8125,-0.8125,-0.8125,-1.75,-1.75,-1.75,2.828517,2.777285,4.700346,5.76609,2.751069,6.292498,-0.1565554,-0.3980757,1.605841,0.1743235,-0.3780045,1.598757,0.01587811,0.4803922,1.656956,-0.2043263,-0.3910636,1.611133,0.131061,-0.3555914,1.572383,0.01447898,-0.002088334,1.696259,0.01104059,-0.336725,1.692783,-0.1625883,0.1914435,1.666046,-0.07129842,-0.3294603,1.652051,-0.1885621,-0.06784413,1.659156,0.2060128,-0.07689384,1.672995,NA,NA,NotTracked,NotTracked,
0.9819336,-0.1723633,0.03027344,0.965332,0.06835938,0.1445313,-3,-1,0,-2,0,-1,0,-4,1,1,0,0,-2,1,-2,-1,-1.1875,-1.1875,-1.1875,-0.6875,-0.6875,-0.6875,2.825034,2.777259,4.703348,5.764551,2.751427,6.292088,-0.1569215,-0.3957841,1.60532,0.1742554,-0.3784013,1.598037,0.01586957,0.4803572,1.657021,-0.2056084,-0.3884426,1.613441,0.131108,-0.3519254,1.572,0.01447027,-0.002097339,1.696262,0.01103625,-0.336726,1.692768,-0.1625653,0.191464,1.666012,-0.07130107,-0.3294455,1.651992,-0.1886191,-0.06771754,1.659084,0.2060879,-0.07685334,1.672993,NA,NA,NotTracked,NotTracked,
0.9829102,-0.1694336,0.03173828,0.96875,0.0703125,0.137207,-1,2,0,-2,-1,-2,-2,-3,-2,-1,0,0,2,0,-4,-2,0.375,0.375,0.375,-1.25,-1.25,-1.25,2.822533,2.777261,4.70516,5.764933,2.752018,6.290337,-0.158554,-0.3860044,1.607193,0.1741072,-0.3784288,1.59853,0.01593445,0.4802826,1.657087,-0.2052576,-0.3911234,1.611327,0.1312094,-0.3528149,1.572661,0.01453304,-0.002120163,1.696289,0.01103418,-0.336742,1.69278,-0.162541,0.1914531,1.666001,-0.07130537,-0.3294528,1.651999,-0.1886001,-0.06766149,1.659119,0.206155,-0.07675484,1.6731,NA,NA,NotTracked,NotTracked,
0.9780273,-0.171875,0.03613281,0.9677734,0.07373047,0.1323242,-7,4,0,2,-1,-2,2,9,-2,0,0,1,-2,-1,-2,0,-1.6875,-1.6875,-1.6875,0.875,0.875,0.875,2.822182,2.777301,4.704777,5.764514,2.751199,6.290636,-0.1577723,-0.3887627,1.606984,0.1741747,-0.3782831,1.598936,0.0159739,0.4803016,1.657312,-0.2048408,-0.3901568,1.611266,0.1316374,-0.3566334,1.574065,0.01463445,-0.002144965,1.696364,0.01111554,-0.3367235,1.692813,-0.1625217,0.1914795,1.66607,-0.07123032,-0.329436,1.65201,-0.188629,-0.06747007,1.65909,0.2061794,-0.07667051,1.673214,NA,NA,NotTracked,NotTracked,
0.9790039,-0.1606445,0.03173828,0.965332,0.06689453,0.1333008,-1,-3,1,0,1,3,0,-1,-1,2,1,-1,0,-1,-1,-3,0.5625,0.5625,0.5625,-0.875,-0.875,-0.875,2.822283,2.776708,4.703978,5.765703,2.751118,6.288639,-0.1582278,-0.3863602,1.605979,0.1740313,-0.3789831,1.597615,0.0159902,0.4802645,1.657364,-0.2052962,-0.3902224,1.612526,0.1313089,-0.355956,1.572625,0.01462056,-0.00212765,1.696406,0.01112137,-0.3367233,1.692839,-0.1625187,0.1914868,1.666083,-0.07122924,-0.329437,1.652014,-0.18866,-0.06751881,1.659061,0.2061844,-0.07666982,1.673232,NA,NA,NotTracked,NotTracked,
0.9819336,-0.1757813,0.03759766,0.9726563,0.07080078,0.1367188,1,-4,-4,0,-1,-1,0,-2,-2,-2,-3,-1,-3,0,2,1,0.75,0.75,0.75,-0.8125,-0.8125,-0.8125,2.821475,2.777376,4.70401,5.765703,2.751118,6.288639,-0.1581084,-0.386098,1.606279,0.174052,-0.3773255,1.598017,0.01599714,0.4803154,1.657519,-0.2068666,-0.381993,1.619263,0.1304472,-0.3701679,1.571568,0.01462862,-0.002112935,1.696434,0.01113693,-0.3366991,1.692849,-0.1625051,0.1914826,1.666094,-0.07121012,-0.3294102,1.652006,-0.1886311,-0.06760224,1.659097,0.206188,-0.07668483,1.673234,NA,NA,NotTracked,NotTracked,
0.9750977,-0.1713867,0.03613281,0.9638672,0.06787109,0.1298828,-2,-3,-4,-1,0,-3,0,-2,0,1,-2,-3,-1,-1,-4,0,-0.875,-0.875,-0.875,-0.125,-0.125,-0.125,2.820708,2.777261,4.704911,5.765703,2.751118,6.288639,-0.1586234,-0.3828065,1.606827,0.1743082,-0.3780897,1.59789,0.01596076,0.4803869,1.657646,-0.2078943,-0.4050887,1.61875,0.1318814,-0.346587,1.573,0.01463207,-0.002092994,1.696482,0.01116173,-0.3367171,1.692879,-0.1624826,0.1914491,1.666104,-0.07117973,-0.3294327,1.65202,-0.1885978,-0.06751559,1.659106,0.2061965,-0.07669158,1.673256,NA,NA,NotTracked,NotTracked,
0.9804688,-0.1782227,0.03759766,0.9663086,0.06738281,0.1352539,-6,0,1,-2,0,-1,1,4,2,0,0,0,-1,0,-5,-2,0.1875,0.1875,0.1875,-0.5,-0.5,-0.5,2.820943,2.776718,4.704788,5.765353,2.750983,6.288826,-0.1585342,-0.3829225,1.608363,0.1744368,-0.3787225,1.599694,0.0159772,0.480435,1.657831,-0.2042432,-0.3828555,1.612936,0.131223,-0.3558275,1.573248,0.01466784,-0.00210839,1.696624,0.01117323,-0.3367041,1.69296,-0.1624516,0.1914703,1.666314,-0.07116829,-0.3294136,1.652093,-0.1884227,-0.06745181,1.659336,0.2062283,-0.07668717,1.673372,NA,NA,NotTracked,NotTracked,
0.9731445,-0.1694336,0.02880859,0.9672852,0.06494141,0.1342773,0,-1,-1,-1,0,-1,-2,-3,-2,-2,0,-2,-1,-4,-2,-1,1.25,1.25,1.25,-0.9375,-0.9375,-0.9375,2.822036,2.777958,4.706059,5.765353,2.750983,6.288826,-0.1576397,-0.3896218,1.607226,0.174058,-0.3779569,1.598962,0.01598245,0.4804304,1.658046,-0.2056631,-0.3816795,1.614204,0.1310785,-0.3544448,1.573259,0.01468402,-0.002112258,1.696699,0.01119952,-0.3366918,1.693,-0.1624382,0.1914655,1.666498,-0.07114899,-0.3294078,1.652118,-0.1883502,-0.06753077,1.659446,0.2063009,-0.07665706,1.673491,NA,NA,NotTracked,NotTracked,
0.980957,-0.1669922,0.03173828,0.9702148,0.07080078,0.1362305,4,0,-3,0,-2,-3,-5,-5,1,0,-1,0,1,-2,1,-1,0.375,0.375,0.375,-0.5,-0.5,-0.5,2.820756,2.777444,4.706554,5.767002,2.750272,6.287198,-0.1578966,-0.389558,1.607497,0.1744261,-0.3782215,1.599185,0.01594157,0.4804989,1.658526,-0.2072554,-0.4016568,1.613727,0.1318535,-0.3506415,1.574049,0.01466179,-0.002062701,1.696909,0.01120622,-0.3366571,1.693163,-0.1623892,0.1915484,1.666823,-0.07114413,-0.3293725,1.652281,-0.1882966,-0.06727923,1.659636,0.2062803,-0.07663266,1.673638,NA,NA,NotTracked,NotTracked,
0.9794922,-0.1713867,0.03222656,0.9604492,0.06884766,0.1347656,-1,-1,-1,0,-1,0,1,3,-2,1,1,0,0,0,-2,-1,0.375,0.375,0.375,-1.6875,-1.6875,-1.6875,2.820756,2.777444,4.706554,5.766686,2.750768,6.286255,-0.15773,-0.3896753,1.608956,0.1742005,-0.3781178,1.600207,0.01603109,0.4805403,1.658964,-0.2062252,-0.3914472,1.615864,0.1315513,-0.3522635,1.574298,0.0146653,-0.002024296,1.697246,0.01121346,-0.3366097,1.693438,-0.1623423,0.1916309,1.66747,-0.07115262,-0.3293241,1.652637,-0.1882261,-0.06733672,1.660025,0.2063169,-0.07664966,1.674071,NA,NA,NotTracked,NotTracked,
0.9750977,-0.1772461,0.04150391,0.9643555,0.07470703,0.1303711,-1,3,1,-1,-1,-1,-1,-3,-1,-2,-1,-2,-1,-1,-1,1,0.1875,0.1875,0.1875,0.625,0.625,0.625,2.820655,2.778035,4.70735,5.764624,2.750654,6.288183,-0.1576976,-0.3864994,1.607641,0.1744059,-0.3783673,1.599285,0.01605701,0.4805678,1.659151,-0.2036638,-0.3827555,1.613543,0.1324665,-0.3520629,1.57392,0.01468063,-0.002070189,1.697406,0.01121863,-0.3366295,1.693498,-0.1622733,0.1916134,1.667635,-0.07114608,-0.3293418,1.652688,-0.1882008,-0.06725913,1.660105,0.2063299,-0.07663587,1.674194,NA,NA,NotTracked,NotTracked,
0.984375,-0.1777344,0.02587891,0.9648438,0.06494141,0.1381836,0,-1,-1,-1,-2,-3,0,-2,-2,-2,0,-5,-1,1,-6,-2,-0.3125,-0.3125,-0.3125,-1.1875,-1.1875,-1.1875,2.819376,2.777522,4.707846,5.763297,2.751264,6.288175,-0.1578381,-0.3894158,1.609267,0.1744836,-0.378215,1.60168,0.01614803,0.4804829,1.659772,-0.2057119,-0.3859217,1.61428,0.1315414,-0.3529788,1.576184,0.01455622,-0.002008041,1.697878,0.01123259,-0.3366142,1.693734,-0.1621993,0.1915481,1.667933,-0.07112508,-0.3292963,1.652958,-0.1880998,-0.06725248,1.660473,0.2063598,-0.07664081,1.674571,NA,NA,NotTracked,NotTracked,
0.9892578,-0.1616211,0.02734375,1.075684,0.1728516,0.1708984,1,2,5,-9,2,-8,-4,-2,2,0,-13,-12,-6,-1,3,2,4.0625,4.0625,4.0625,-3.0625,-3.0625,-3.0625,2.823354,2.778645,4.707204,5.757405,2.754161,6.29461,-0.1577537,-0.3885811,1.607948,0.1740391,-0.3765276,1.601007,0.01616546,0.4805024,1.660189,-0.2051409,-0.4168652,1.612667,0.1316244,-0.3492665,1.57506,0.014639,-0.00199742,1.698153,0.01125228,-0.3365854,1.693893,-0.1621754,0.1915226,1.668305,-0.07111695,-0.3292733,1.653125,-0.1880848,-0.06724871,1.660916,0.206386,-0.0768346,1.675019,NA,NA,NotTracked,NotTracked,
1.461426,-0.002929688,-0.1992188,1.044434,0.05322266,0.2792969,7,5,-9,-47,47,-15,-8,-16,-3,-16,-13,-10,-3,-2,-1,-3,24.8125,24.8125,24.8125,-89.75,-89.75,-89.75,3.056254,2.936637,4.524626,5.675029,2.831897,6.275976,-0.1481423,-0.3577493,1.586743,0.1726548,-0.3774719,1.597672,0.0161837,0.4807323,1.661508,-0.1939645,-0.3833224,1.58525,0.1309891,-0.3544125,1.575227,0.01495117,-0.001922216,1.698526,0.01158598,-0.3364455,1.694089,-0.1619279,0.1919086,1.669509,-0.0708372,-0.3291879,1.653293,-0.193788,-0.06434745,1.668486,0.2065923,-0.07639097,1.676192,NA,NA,NotTracked,NotTracked,
0.8779297,-1.306152,0.7783203,1.098633,0.1787109,0.6489258,3,26,-25,-89,33,23,-2,-4,1,6,1,28,0,0,1,-1,-115.4375,-115.4375,-115.4375,4.5,4.5,4.5,3.18543,3.51307,4.101981,5.664797,3.128166,6.238444,-0.06738453,-0.2897305,1.534823,0.1707512,-0.358476,1.572739,0.01607338,0.480641,1.66212,-0.1247249,-0.351648,1.571897,0.1371585,-0.3583118,1.580347,0.01513956,-0.00190442,1.698666,0.01235933,-0.3363055,1.69377,-0.1623058,0.1938259,1.672573,-0.07032534,-0.3291261,1.653117,-0.2204048,-0.03896223,1.679361,0.2072225,-0.07407,1.678101,NA,NA,Unknown,NotTracked,
0.5742188,-1.216797,0.4648438,1.005859,0.2739258,0.6933594,1,-6,-10,-20,9,-4,1,-2,-4,-5,23,10,-3,-1,-3,0,-102.0625,-102.0625,-102.0625,11.4375,11.4375,11.4375,3.176447,3.713153,4.038964,5.685639,3.242256,6.222245,-0.008295605,-0.1825477,1.525578,0.1714974,-0.3258759,1.494862,0.01571997,0.4804901,1.662834,-0.08360105,-0.2380119,1.549833,0.1644685,-0.3608694,1.503286,0.01425649,-0.001784282,1.700427,0.009814069,-0.3353814,1.696813,-0.1625932,0.1984078,1.677693,-0.07258952,-0.3274401,1.656353,-0.2387889,-0.01088618,1.677592,0.2068746,-0.07122732,1.679107,NA,NA,Closed,Closed,
0.2260742,-0.5976563,0.4160156,0.8120117,0.4443359,0.9199219,2,3,3,92,12,-1,-2,1,3,13,20,21,0,-1,-1,-2,-67.375,-67.375,-67.375,14.375,14.375,14.375,3.140002,4.482463,3.730508,5.794392,3.965436,6.121496,0.01814194,-0.1072015,1.525287,0.1613785,-0.2522004,1.410929,0.01520205,0.4800976,1.66456,-0.0177455,-0.1580128,1.511442,0.1606255,-0.3082369,1.402333,0.01286445,-0.001496966,1.702433,0.007248957,-0.3342615,1.69877,-0.1624244,0.1999823,1.679959,-0.07503425,-0.3256589,1.658506,-0.240995,-0.009133345,1.653396,0.2054559,-0.0597956,1.680165,NA,NA,Unknown,Closed,
0.2744141,-0.8037109,0.3496094,0.3881836,0.5600586,0.8564453,-2,-12,5,-22,-3,-3,-6,-2,-2,-1,-3,2,3,-4,-3,-3,-90.125,-90.125,-90.125,-10,-10,-10,3.021079,4.792712,3.47541,5.817521,4.641214,6.051216,0.02815349,-0.06626357,1.536502,0.1512159,-0.1377625,1.333429,0.01477603,0.4801185,1.667989,-0.02323988,-0.133762,1.539923,0.1336087,-0.1662592,1.3135,0.01193538,-0.001192992,1.705172,0.005901158,-0.3337436,1.701037,-0.1615685,0.1998996,1.680281,-0.07567187,-0.3252789,1.660122,-0.2389646,-0.007546819,1.631557,0.2012067,-0.0372538,1.673587,NA,NA,Unknown,NotTracked,
0.234375,-0.8129883,0.3671875,0.06054688,0.5200195,0.8417969,1,12,3,21,2,-2,-3,-1,-2,-2,-12,-1,-3,-1,-2,1,-57.6875,-57.6875,-57.6875,-6.6875,-6.6875,-6.6875,2.966798,4.860028,3.341138,5.809053,5.174318,6.006172,0.07743475,-0.05946117,1.556504,0.1494074,-0.000722922,1.309792,0.01450728,0.4800717,1.672447,0.1845452,-0.09006379,1.504769,0.1342415,-0.02725796,1.282,0.0116452,-0.0009606548,1.707844,0.005568459,-0.333288,1.702985,-0.1603984,0.1997851,1.68014,-0.07573944,-0.3252798,1.662145,-0.2296356,-0.004974326,1.605592,0.1791632,-0.07880183,1.595284,NA,NA,NotTracked,NotTracked,
