ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9667969,-0.2202148,0.152832,0.9472656,0.2148438,0.1333008,-1,-2,1,-3,-2,-2,0,-1,-1,0,0,0,-1,-1,-2,-3,1.6875,1.6875,1.6875,-0.1875,-0.1875,-0.1875,3.481411,2.925152,8.383886,6.57911,2.931852,4.624993,-0.1609919,-0.4097895,1.601072,0.1555704,-0.4049638,1.614421,-0.006303753,0.4496001,1.668512,-0.2027749,-0.4171386,1.60352,0.1144496,-0.3855377,1.595817,-0.003635211,-0.02413288,1.710026,0.001819308,-0.3498414,1.702818,-0.1896014,0.1643559,1.679389,-0.08419282,-0.3435454,1.65778,-0.2196019,-0.08143896,1.664697,0.2120879,-0.08093686,1.716779,NA,NA,NotTracked,NotTracked,
0.9628906,-0.2255859,0.1508789,0.9389648,0.222168,0.1274414,1,-2,-3,0,-1,-1,1,-1,-2,-1,0,0,-1,1,2,0,0.0625,0.0625,0.0625,-0.5,-0.5,-0.5,3.483354,2.925511,8.382456,6.5796,2.931739,4.624435,-0.1612392,-0.4094474,1.601931,0.1553917,-0.4047336,1.615977,-0.006881814,0.4497395,1.669242,-0.2039749,-0.4200995,1.602079,0.1136885,-0.3872234,1.596982,-0.003876959,-0.0240692,1.710527,0.001569413,-0.3497685,1.70311,-0.1896429,0.164531,1.679421,-0.08441171,-0.3434834,1.657983,-0.22004,-0.08144888,1.665402,0.2119043,-0.08102779,1.717129,NA,NA,NotTracked,NotTracked,
0.9580078,-0.2177734,0.1533203,0.9448242,0.222168,0.1298828,-2,-1,-1,1,0,-1,-2,-2,0,-2,-1,-2,-1,-2,-3,-1,-0.3125,-0.3125,-0.3125,0.375,0.375,0.375,3.484186,2.9258,8.382316,6.580215,2.93121,4.624019,-0.161225,-0.4105878,1.602002,0.1554019,-0.4046981,1.61578,-0.00729969,0.4498613,1.669653,-0.202878,-0.4138694,1.603493,0.1138481,-0.3893079,1.596042,-0.004131505,-0.02406692,1.71092,0.001318054,-0.3497792,1.703463,-0.1899513,0.1645959,1.680172,-0.08466102,-0.3435511,1.658308,-0.2204281,-0.08086365,1.666123,0.2115831,-0.08160673,1.717542,NA,NA,NotTracked,NotTracked,
0.9604492,-0.2143555,0.1586914,0.9404297,0.2163086,0.1450195,-1,-1,-2,-1,0,-2,0,-1,0,0,0,-1,0,1,-1,-1,-0.375,-0.375,-0.375,-0.75,-0.75,-0.75,3.485086,2.926231,8.381477,6.581112,2.93129,4.62317,-0.1613378,-0.4098497,1.602701,0.1551586,-0.4051434,1.61642,-0.007617702,0.4499766,1.669996,-0.1988867,-0.4247922,1.591654,0.1136218,-0.3897945,1.59603,-0.004237934,-0.02403668,1.711183,0.001216156,-0.3497414,1.70382,-0.1899924,0.1647517,1.680175,-0.08475377,-0.3435023,1.658657,-0.2206668,-0.07990982,1.666881,0.2113553,-0.08179016,1.71778,NA,NA,NotTracked,NotTracked,
0.9589844,-0.2163086,0.1523438,0.9414063,0.2211914,0.1328125,-2,0,-1,-2,0,-2,1,-2,0,-1,-1,0,-2,-2,-1,-3,-0.5625,-0.5625,-0.5625,0.0625,0.0625,0.0625,3.484839,2.926363,8.381047,6.581166,2.931671,4.623183,-0.1612496,-0.4098344,1.601403,0.1549867,-0.4050943,1.614333,-0.007791517,0.4500095,1.670204,-0.2039418,-0.4209736,1.604949,0.1113194,-0.4133188,1.5922,-0.004321639,-0.0240308,1.711421,0.001166789,-0.3497435,1.703933,-0.1904614,0.1646974,1.680973,-0.08481415,-0.3435197,1.658783,-0.2209513,-0.07971448,1.66708,0.2112574,-0.08183058,1.718056,NA,NA,NotTracked,NotTracked,
0.96875,-0.2246094,0.1547852,0.9423828,0.2128906,0.1386719,0,-2,-1,-1,-2,-2,0,-1,0,0,0,0,-1,-1,-1,-2,0.1875,0.1875,0.1875,-0.75,-0.75,-0.75,3.482488,2.926708,8.382957,6.578076,2.932746,4.624025,-0.160865,-0.4098201,1.601246,0.1550763,-0.4047456,1.614878,-0.007935241,0.4499665,1.670374,-0.2032,-0.4182497,1.603653,0.1115003,-0.4060691,1.593482,-0.004412614,-0.02400041,1.711536,0.001123289,-0.3497222,1.703973,-0.1906605,0.164497,1.681758,-0.08488135,-0.3434861,1.658857,-0.2209636,-0.08011929,1.667352,0.2111136,-0.08181853,1.718134,NA,NA,NotTracked,NotTracked,
0.9584961,-0.2197266,0.1523438,0.9433594,0.2163086,0.1430664,-2,-2,0,-1,-2,-1,-1,-3,-1,0,-3,1,-1,0,1,1,-0.3125,-0.3125,-0.3125,-0.9375,-0.9375,-0.9375,3.47877,2.927171,8.384874,6.578745,2.9326,4.623622,-0.1611273,-0.4099696,1.602106,0.154494,-0.4074306,1.615369,-0.008072296,0.4500772,1.670667,-0.2024623,-0.4166538,1.602281,0.1125709,-0.3870506,1.596273,-0.004473626,-0.02393735,1.711886,0.00109492,-0.349709,1.704227,-0.1908809,0.164342,1.682435,-0.08491071,-0.3434828,1.659125,-0.2209479,-0.08016782,1.667464,0.2110072,-0.0817691,1.7183,NA,NA,NotTracked,NotTracked,
0.9614258,-0.2192383,0.1538086,0.9482422,0.2172852,0.1386719,-1,-1,-2,0,0,-1,-1,-2,-1,-1,1,0,-1,-1,-1,-1,-0.625,-0.625,-0.625,0.75,0.75,0.75,3.47877,2.927171,8.384874,6.578745,2.9326,4.623622,-0.1612157,-0.4104484,1.601856,0.1544759,-0.4073793,1.614879,-0.008032388,0.4501365,1.670782,-0.20488,-0.432413,1.605572,0.1123173,-0.3873824,1.597095,-0.004526946,-0.02386877,1.712007,0.001006895,-0.3496518,1.704343,-0.1907895,0.1646415,1.682124,-0.08497739,-0.3434654,1.65923,-0.2209153,-0.08013108,1.667547,0.2110535,-0.0817335,1.718486,NA,NA,NotTracked,NotTracked,
0.9604492,-0.2075195,0.1513672,0.9414063,0.2158203,0.1386719,-2,-2,-2,0,-2,-1,-3,-2,1,0,0,1,-1,-3,0,0,-1.0625,-1.0625,-1.0625,-0.25,-0.25,-0.25,3.478486,2.926744,8.384779,6.57869,2.932218,4.62361,-0.161013,-0.4097627,1.602171,0.1546924,-0.4059483,1.615228,-0.007915378,0.4501406,1.671033,-0.2053376,-0.4094613,1.614111,0.1099126,-0.411707,1.593261,-0.004527417,-0.02386344,1.712073,0.000947857,-0.3496421,1.704396,-0.190802,0.1648061,1.682563,-0.08504337,-0.3434487,1.659317,-0.2209381,-0.08015968,1.667578,0.2110263,-0.08169773,1.718589,NA,NA,NotTracked,NotTracked,
0.9599609,-0.21875,0.1494141,0.9433594,0.2216797,0.1450195,-2,-1,-1,-2,-2,-3,-1,-2,-2,0,-3,-1,0,0,-1,-1,0.875,0.875,0.875,0.625,0.625,0.625,3.476831,2.927155,8.385497,6.577585,2.933107,4.627142,-0.1609623,-0.4104144,1.60113,0.1551516,-0.4052619,1.614322,-0.007821795,0.4501583,1.671147,-0.207181,-0.4299467,1.61375,0.1132166,-0.3825916,1.594273,-0.004485517,-0.02387403,1.712125,0.001004109,-0.3496494,1.704391,-0.1906949,0.1648294,1.682665,-0.08498461,-0.3434692,1.659291,-0.2209056,-0.08007087,1.667648,0.2110582,-0.08161069,1.718667,NA,NA,NotTracked,NotTracked,
