ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9580078,-0.2441406,0.1450195,0.9350586,0.2553711,0.1904297,1,0,-1,-2,0,-1,-1,-1,-1,-2,-2,5,-1,0,-2,0,1.0625,1.0625,1.0625,1.25,1.25,1.25,3.374136,2.958246,7.400574,6.489493,3.031694,4.062909,-0.1234872,-0.4097914,1.606011,0.1747039,-0.3926815,1.614823,0.03821687,0.4515559,1.699339,-0.08180521,-0.3895855,1.601661,0.2120714,-0.4120869,1.614157,0.03175849,-0.0228767,1.728547,0.03459603,-0.3487462,1.715557,-0.1496334,0.1636583,1.703373,-0.05144899,-0.3404137,1.670208,-0.1837182,-0.07601839,1.677554,0.2401612,-0.08051087,1.722294,NA,NA,NotTracked,NotTracked,
0.9526367,-0.2446289,0.1386719,0.921875,0.2470703,0.1870117,-1,-1,-2,-3,-1,-1,-1,-2,0,-1,0,4,-2,2,0,-1,-0.25,-0.25,-0.25,0.5625,0.5625,0.5625,3.373115,2.957942,7.401484,6.489812,3.031212,4.063161,-0.1235168,-0.4094453,1.606214,0.1740351,-0.3932345,1.614457,0.03823031,0.4515865,1.699471,-0.08077744,-0.3933432,1.599478,0.2124186,-0.4169045,1.615992,0.03178539,-0.02286306,1.728562,0.03460507,-0.3487309,1.715566,-0.1494966,0.163757,1.703889,-0.05143971,-0.3403808,1.670227,-0.1836718,-0.07596141,1.677583,0.2402214,-0.08039218,1.722373,NA,NA,NotTracked,Unknown,
0.965332,-0.2426758,0.1508789,0.9345703,0.2543945,0.1875,-2,-2,0,-1,-3,-1,-1,-2,-1,-1,0,1,3,5,-1,-1,1.25,1.25,1.25,0.4375,0.4375,0.4375,3.374237,2.958077,7.401592,6.490091,3.030991,4.063,-0.1232877,-0.4099379,1.606746,0.1733623,-0.3952091,1.614389,0.038243,0.451569,1.699515,-0.08284163,-0.4022359,1.591345,0.2126364,-0.4252709,1.620875,0.03185302,-0.022867,1.728698,0.03464688,-0.3487332,1.715678,-0.1494504,0.1638546,1.703846,-0.05138956,-0.3403991,1.67034,-0.1835773,-0.07604332,1.677843,0.240232,-0.08039446,1.722389,NA,NA,NotTracked,Unknown,
0.9604492,-0.2387695,0.1459961,0.9316406,0.2573242,0.1884766,-2,-1,-2,-2,-1,-1,-1,0,1,-1,-1,-3,-2,2,5,0,1.1875,1.1875,1.1875,-0.6875,-0.6875,-0.6875,3.37388,2.957565,7.402716,6.489269,3.030435,4.064202,-0.1233046,-0.4098523,1.606222,0.1740948,-0.392976,1.615002,0.03825318,0.4515646,1.699591,-0.08338293,-0.4066935,1.586629,0.2125152,-0.4183316,1.616967,0.03192299,-0.02286649,1.728805,0.03467747,-0.3487033,1.715747,-0.1494446,0.1639473,1.704036,-0.05133684,-0.340369,1.670463,-0.1834871,-0.07600144,1.678027,0.2402324,-0.08057997,1.722378,NA,NA,NotTracked,Unknown,
0.9580078,-0.2373047,0.1411133,0.9316406,0.2543945,0.1860352,-2,-1,0,-1,0,0,-2,-2,1,1,-1,0,-1,-4,-4,-1,0.8125,0.8125,0.8125,2.3125,2.3125,2.3125,3.373302,2.958123,7.403845,6.490276,3.029878,4.064607,-0.1231079,-0.410099,1.606181,0.1755083,-0.3898821,1.615097,0.03828347,0.4515679,1.699644,-0.08050987,-0.3949962,1.600192,0.2125834,-0.4177779,1.617101,0.03198779,-0.02286181,1.728826,0.03468727,-0.348696,1.715775,-0.1493909,0.1638589,1.703168,-0.05132108,-0.3403581,1.670485,-0.1835112,-0.07591094,1.678152,0.2402702,-0.08057088,1.72237,NA,NA,NotTracked,NotTracked,
0.9555664,-0.2416992,0.1459961,0.9321289,0.25,0.1870117,0,-1,-1,1,0,0,-1,-2,0,0,-1,0,-2,-14,-1,-1,0.25,0.25,0.25,-0.1875,-0.1875,-0.1875,3.372725,2.958679,7.404974,6.490473,3.029905,4.065276,-0.1235217,-0.410195,1.606997,0.1792164,-0.3759153,1.618778,0.03838349,0.4515977,1.699777,-0.08130461,-0.3923836,1.599959,0.2117299,-0.4142,1.61416,0.03203406,-0.02287575,1.728868,0.03470568,-0.3487132,1.715802,-0.1494358,0.1638514,1.703341,-0.05129234,-0.3404008,1.670563,-0.1834903,-0.0759806,1.678176,0.2403907,-0.08045127,1.722468,NA,NA,NotTracked,NotTracked,
0.9589844,-0.2436523,0.1376953,0.9335938,0.2524414,0.1914063,-1,-1,-1,-1,-1,-2,-3,-2,-1,-1,1,-19,-4,2,-1,0,0.6875,0.6875,0.6875,-0.6875,-0.6875,-0.6875,3.371641,2.958145,7.406249,6.49057,3.02947,4.065077,-0.1233654,-0.4098537,1.606392,0.175569,-0.3895286,1.616276,0.0384266,0.4516846,1.70003,-0.08272254,-0.4017072,1.591187,0.2146147,-0.3972428,1.61455,0.03210372,-0.02286432,1.728918,0.03476062,-0.3487185,1.715861,-0.1493142,0.1638076,1.703453,-0.05124792,-0.340412,1.670629,-0.183472,-0.07595448,1.678268,0.2404928,-0.08038151,1.722577,NA,NA,NotTracked,Unknown,
0.9555664,-0.2431641,0.144043,0.9282227,0.2539063,0.190918,-2,0,-3,1,-2,-1,-2,0,-1,-3,-3,-6,-2,-2,2,-3,-0.5,-0.5,-0.5,0.9375,0.9375,0.9375,3.372041,2.958012,7.40583,6.490273,3.029614,4.066436,-0.1231957,-0.4095797,1.606731,0.1759484,-0.387228,1.616229,0.03845134,0.4516724,1.700286,-0.08392394,-0.404183,1.588781,0.2119151,-0.4015352,1.608996,0.03218049,-0.02285412,1.729022,0.0347971,-0.3486845,1.715908,-0.1492714,0.1640286,1.703941,-0.05121557,-0.3403499,1.670705,-0.1835152,-0.07571526,1.678456,0.2405112,-0.08038723,1.722616,NA,NA,NotTracked,NotTracked,
0.9560547,-0.2475586,0.1484375,0.9262695,0.2412109,0.1850586,0,0,-2,-2,-3,-1,-1,-1,-1,-1,2,7,-3,-2,0,1,1.0625,1.0625,1.0625,1.375,1.375,1.375,3.37149,2.958125,7.40697,6.490346,3.028205,4.06637,-0.1230263,-0.4100987,1.606168,0.179498,-0.3759181,1.61855,0.0384781,0.4516603,1.700363,-0.08226998,-0.4019017,1.591805,0.2159605,-0.3899366,1.617308,0.03223103,-0.02286191,1.729046,0.03480079,-0.3486761,1.715924,-0.1493061,0.164099,1.704554,-0.05120681,-0.3403439,1.670732,-0.1833234,-0.07589988,1.678478,0.2405046,-0.08044359,1.722628,NA,NA,NotTracked,NotTracked,
0.9580078,-0.2524414,0.1445313,0.9345703,0.253418,0.1894531,0,-3,-2,0,-1,-2,-2,0,-1,-1,-2,-2,-1,-1,1,-2,-0.0625,-0.0625,-0.0625,0.1875,0.1875,0.1875,3.372594,2.958773,7.407407,6.491104,3.027788,4.066715,-0.1228007,-0.4095269,1.606185,0.1749897,-0.3927282,1.614515,0.03850805,0.451635,1.700413,-0.08297146,-0.4038769,1.588767,0.2102359,-0.4142169,1.607421,0.032274,-0.02286048,1.729087,0.03481217,-0.348668,1.715951,-0.1493377,0.1641903,1.704544,-0.05119362,-0.3403333,1.670763,-0.1832789,-0.0759337,1.678635,0.240492,-0.08049747,1.722604,NA,NA,NotTracked,Unknown,
