ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9677734,-0.2294922,0.08105469,0.9443359,0.1171875,0.2446289,-1,-1,0,-1,-1,0,-2,0,-1,0,-1,-3,-1,-6,-1,-1,0.375,0.375,0.375,0.5,0.5,0.5,3.052781,2.88847,5.502557,5.72633,2.938946,6.166744,-0.1837311,-0.3660951,1.608282,0.1480278,-0.3704766,1.59504,-0.009281235,0.4833777,1.658945,-0.2295732,-0.3604178,1.618798,0.1874815,-0.3920733,1.573856,-0.01076484,0.001595107,1.700955,-0.01626198,-0.3326235,1.700713,-0.1858049,0.1994146,1.682612,-0.09802741,-0.3254353,1.659983,-0.2161602,-0.05953382,1.682312,0.1854704,-0.06014698,1.701576,NA,NA,NotTracked,NotTracked,
0.9663086,-0.2265625,0.07958984,0.9462891,0.1108398,0.2368164,-1,-3,-3,-1,-2,-2,-1,0,-1,-1,-1,-1,1,-2,-2,0,-0.125,-0.125,-0.125,0.4375,0.4375,0.4375,3.051988,2.887913,5.503123,5.725658,2.939236,6.167001,-0.1830065,-0.3694225,1.60716,0.1477582,-0.368254,1.595746,-0.009361754,0.4833884,1.658942,-0.2289985,-0.3716961,1.610801,0.1871091,-0.405214,1.572889,-0.01081423,0.001592581,1.700958,-0.01638933,-0.3326306,1.700679,-0.1858206,0.1994398,1.682644,-0.09812993,-0.3254236,1.659954,-0.2161774,-0.0595501,1.682322,0.1854128,-0.06006195,1.701586,NA,NA,NotTracked,NotTracked,
0.9667969,-0.2255859,0.07324219,0.9477539,0.1152344,0.230957,-1,-1,-2,-1,-1,-2,-2,-2,-1,-1,-2,-2,-1,1,1,-1,1.1875,1.1875,1.1875,0.5,0.5,0.5,3.051474,2.888442,5.504469,5.725149,2.938828,6.167794,-0.1837456,-0.3657682,1.607697,0.1477962,-0.3680976,1.59489,-0.009452094,0.4833541,1.659008,-0.2268885,-0.3744573,1.608039,0.1869699,-0.3836971,1.573625,-0.0108215,0.001583202,1.700959,-0.01643959,-0.33266,1.700668,-0.1858663,0.199429,1.682657,-0.0981741,-0.3254452,1.659943,-0.2162967,-0.05960655,1.682269,0.1853962,-0.06006019,1.701576,NA,NA,NotTracked,NotTracked,
0.9707031,-0.2280273,0.08154297,0.9453125,0.1113281,0.230957,0,-2,-2,-1,-2,0,-3,0,1,-2,1,0,-1,-3,-1,-1,-0.5,-0.5,-0.5,-0.1875,-0.1875,-0.1875,3.051111,2.888933,5.504959,5.724167,2.938848,6.168797,-0.1830199,-0.3717873,1.606291,0.1483546,-0.3674023,1.594847,-0.009550149,0.4834008,1.659068,-0.2319221,-0.3572088,1.622923,0.1875058,-0.3892116,1.573919,-0.01094886,0.001590118,1.700964,-0.01651609,-0.3326445,1.700643,-0.1859698,0.1993949,1.682749,-0.09826139,-0.32542,1.659965,-0.2163465,-0.0595931,1.682291,0.1853449,-0.06013363,1.701535,NA,NA,NotTracked,NotTracked,
0.9604492,-0.2275391,0.07763672,0.9438477,0.1162109,0.2436523,-3,-2,0,-1,-2,0,0,-1,0,-1,-1,-2,1,3,-2,0,0.5625,0.5625,0.5625,1,1,1,3.051111,2.888933,5.504959,5.722874,2.938163,6.171861,-0.1831433,-0.3716597,1.607242,0.1483891,-0.3677971,1.595791,-0.0095886,0.4834024,1.659091,-0.2292038,-0.3807713,1.608412,0.186843,-0.406718,1.577909,-0.01104435,0.001625325,1.701008,-0.0165836,-0.3326038,1.700658,-0.1860237,0.1993672,1.682825,-0.0983358,-0.3253503,1.65999,-0.2164845,-0.05940343,1.682496,0.1853257,-0.06006085,1.701575,NA,NA,NotTracked,NotTracked,
0.9707031,-0.2275391,0.08789063,0.940918,0.1166992,0.234375,-2,-3,-2,0,1,-1,-2,1,-4,0,0,-2,1,0,-1,-3,0.1875,0.1875,0.1875,0.25,0.25,0.25,3.051111,2.888933,5.504959,5.724561,2.938604,6.170351,-0.1834387,-0.3715608,1.60796,0.147901,-0.3677619,1.596885,-0.009677621,0.4834223,1.659266,-0.2300082,-0.3720531,1.613452,0.1854509,-0.3786668,1.577498,-0.01111621,0.001575589,1.701052,-0.01666116,-0.3326865,1.7007,-0.1860382,0.199377,1.682925,-0.09842946,-0.3254269,1.660062,-0.2165165,-0.05955313,1.682608,0.1852608,-0.06002915,1.701654,NA,NA,NotTracked,NotTracked,
0.9731445,-0.2280273,0.08203125,0.9467773,0.1210938,0.237793,-3,-1,1,-2,0,0,0,-2,-3,-2,-1,0,-3,-6,0,-3,0.0625,0.0625,0.0625,1.0625,1.0625,1.0625,3.051478,2.888819,5.50613,5.723882,2.938372,6.172259,-0.1835498,-0.3691079,1.608289,0.1478526,-0.3681601,1.59661,-0.009715931,0.4834048,1.659346,-0.2297416,-0.3740554,1.613559,0.1858332,-0.3860416,1.57578,-0.01118247,0.001584111,1.70109,-0.01675753,-0.3327062,1.700691,-0.1860761,0.1993254,1.682988,-0.09855498,-0.325428,1.660006,-0.2165728,-0.05959066,1.682648,0.1851671,-0.06015972,1.701697,NA,NA,NotTracked,NotTracked,
0.9697266,-0.2333984,0.08056641,0.9433594,0.1147461,0.2392578,-1,-3,1,0,-2,-3,-14,-1,-2,3,-4,-2,0,2,9,1,1.0625,1.0625,1.0625,3.3125,3.3125,3.3125,3.050864,2.888888,5.507286,5.725234,2.9392,6.173655,-0.1833941,-0.368824,1.608244,0.1480836,-0.3681848,1.596592,-0.009785221,0.4833727,1.659518,-0.2253534,-0.3755783,1.601083,0.1893329,-0.3980314,1.579,-0.01125337,0.001599668,1.701157,-0.01680529,-0.3326867,1.700745,-0.1860858,0.1993824,1.683207,-0.09859657,-0.325408,1.660037,-0.2166026,-0.05955565,1.682803,0.1851403,-0.06019846,1.701702,NA,NA,NotTracked,NotTracked,
0.9619141,-0.2285156,0.08056641,1.031738,0.1474609,0.1679688,-1,0,-1,0,-2,1,0,0,9,-13,26,17,20,13,9,1,1.5625,1.5625,1.5625,16.8125,16.8125,16.8125,3.049124,2.88992,5.512595,5.803153,2.943701,6.127161,-0.183364,-0.3691036,1.607671,0.1479837,-0.36908,1.59527,-0.009855107,0.4833437,1.65955,-0.2315702,-0.3792779,1.618875,0.187226,-0.4042049,1.5813,-0.01130038,0.001578805,1.701228,-0.01687281,-0.332702,1.700805,-0.1862003,0.1993206,1.683505,-0.09866307,-0.3253942,1.660125,-0.2166415,-0.05956579,1.682873,0.1850138,-0.06022166,1.701759,NA,NA,NotTracked,NotTracked,
0.9736328,-0.2382813,0.08154297,1.163574,0.2583008,0.1367188,-1,-1,-1,-1,0,-4,-13,2,6,-3,11,-10,-55,-82,-3,-7,-0.1875,-0.1875,-0.1875,63,63,63,3.049124,2.88992,5.512595,5.895768,3.006095,6.112164,-0.1836063,-0.3715502,1.608286,0.1463586,-0.3649229,1.590842,-0.01001162,0.4833669,1.659749,-0.2302798,-0.3710588,1.614929,0.182098,-0.3846037,1.56,-0.01133562,0.001594396,1.701261,-0.01716543,-0.3326059,1.700787,-0.1862405,0.1993567,1.683602,-0.09902614,-0.3252463,1.66007,-0.2166114,-0.05959714,1.683097,0.18504,-0.05978414,1.702688,NA,NA,NotTracked,NotTracked,
