ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9570313,-0.2680664,0.1049805,0.9335938,0.1425781,0.2783203,-3,-2,1,0,1,-1,1,1,-1,-1,1,1,4,-10,-21,-2,0.0625,0.0625,0.0625,1.0625,1.0625,1.0625,3.109687,2.966341,6.199923,5.789219,2.9989,8.94434,-0.1709868,-0.3291393,1.587345,0.1325416,-0.3607393,1.58151,-0.0106606,0.4798318,1.64853,-0.2000142,-0.3538419,1.573192,0.08813028,-0.3600629,1.561982,-0.01016919,-0.001523467,1.685148,-0.01053044,-0.3343948,1.681143,-0.1877987,0.1933277,1.653948,-0.09208667,-0.3258129,1.636807,-0.2164737,-0.04797303,1.64798,0.1848964,-0.07048832,1.670852,NA,NA,NotTracked,Unknown,
0.9570313,-0.2626953,0.1069336,0.925293,0.1494141,0.2695313,0,-5,-11,-1,0,-2,-3,-1,2,-1,-3,1,0,1,6,0,0.6875,0.6875,0.6875,1.4375,1.4375,1.4375,3.111125,2.966091,6.199812,5.79065,2.999008,8.944347,-0.1712322,-0.3284023,1.587934,0.1329272,-0.3613519,1.5821,-0.01044093,0.4798198,1.648777,-0.1964894,-0.3749077,1.572913,0.08785223,-0.3565873,1.563291,-0.01000524,-0.001505522,1.685442,-0.01031226,-0.3343318,1.681371,-0.1876489,0.1933005,1.654243,-0.09192528,-0.3257397,1.636956,-0.2164773,-0.0479349,1.648082,0.1849758,-0.07049649,1.671223,NA,NA,NotTracked,Unknown,
0.953125,-0.2714844,0.1020508,0.9365234,0.1381836,0.2680664,-3,-6,1,-1,-1,1,-2,-3,-1,0,-1,-2,-1,-5,-3,0,1.1875,1.1875,1.1875,1.9375,1.9375,1.9375,3.110924,2.966866,6.201293,5.791285,2.999636,8.945167,-0.1708575,-0.3285716,1.589655,0.1330888,-0.3601158,1.583175,-0.01019847,0.4797961,1.649127,-0.198476,-0.3615882,1.575242,0.08823959,-0.3545765,1.565438,-0.009765701,-0.001410529,1.686015,-0.009997294,-0.3341801,1.681849,-0.1874102,0.1933466,1.654705,-0.09159695,-0.3255477,1.637365,-0.2164816,-0.04809215,1.648546,0.1850252,-0.07047211,1.671628,NA,NA,NotTracked,Unknown,
0.9536133,-0.277832,0.1079102,0.9331055,0.1420898,0.2651367,-3,-14,-12,-2,-3,-2,-2,-3,-1,1,0,-1,-3,-1,1,-1,0.4375,0.4375,0.4375,1.4375,1.4375,1.4375,3.110826,2.967444,6.201628,5.792107,2.999643,8.946216,-0.1716932,-0.3259645,1.590344,0.1327896,-0.3599891,1.583253,-0.01008076,0.4797648,1.649702,-0.2025294,-0.3409004,1.577211,0.08906306,-0.3485629,1.561281,-0.0096861,-0.001321522,1.686368,-0.009836826,-0.3340612,1.682122,-0.1871419,0.1934746,1.655306,-0.09143256,-0.3254195,1.637621,-0.2165009,-0.04734199,1.649286,0.1850998,-0.07044051,1.671979,NA,NA,NotTracked,Unknown,
0.9521484,-0.2700195,0.1079102,0.9335938,0.1523438,0.2631836,2,3,2,-1,-2,-2,-1,-2,-1,-1,-1,-2,0,-1,10,2,1.4375,1.4375,1.4375,1.9375,1.9375,1.9375,3.110619,2.967699,6.202503,5.794152,2.999395,8.945348,-0.1712576,-0.3261752,1.591267,0.1331987,-0.3610604,1.583557,-0.00999477,0.4797056,1.650112,-0.2081668,-0.3166417,1.585667,0.08890341,-0.3541091,1.56409,-0.009587989,-0.001263584,1.686691,-0.00977381,-0.3339998,1.68231,-0.1870588,0.1935706,1.655726,-0.09136803,-0.3253197,1.637794,-0.2166179,-0.04704126,1.649653,0.1851706,-0.07015094,1.672413,NA,NA,NotTracked,Unknown,
0.9604492,-0.2783203,0.1079102,0.9394531,0.1425781,0.2651367,1,0,16,-1,-1,-2,-1,-2,1,1,-2,-1,0,-8,-4,1,-0.5625,-0.5625,-0.5625,-1.75,-1.75,-1.75,3.109743,2.967979,6.206042,5.796238,2.999693,8.943769,-0.1706689,-0.3253643,1.590646,0.132747,-0.3616203,1.583563,-0.009852999,0.4797335,1.65117,-0.1964032,-0.3705986,1.579706,0.08904506,-0.3587042,1.562803,-0.009511827,-0.0013174,1.687104,-0.009686971,-0.334009,1.682558,-0.1869656,0.1935161,1.65639,-0.09128605,-0.3252641,1.63801,-0.2165848,-0.04781612,1.650431,0.1852822,-0.07025889,1.672803,NA,NA,NotTracked,Unknown,
1.015137,-0.6333008,-0.006835938,0.9467773,0.1459961,0.2714844,1,5,14,18,67,21,9,11,-1,-1,0,-1,-1,1,-2,-2,34.625,34.625,34.625,-0.6875,-0.6875,-0.6875,3.087226,2.992921,6.251464,5.790496,3.002197,8.949112,-0.1605416,-0.3493641,1.577178,0.1330983,-0.3612072,1.584056,-0.009634271,0.4797514,1.652121,-0.2007663,-0.3780729,1.590833,0.08883125,-0.3555104,1.564186,-0.009286912,-0.001366532,1.687596,-0.009478821,-0.3340746,1.682908,-0.1866548,0.1935288,1.657247,-0.0910754,-0.3253637,1.638492,-0.216728,-0.04678653,1.651329,0.1854244,-0.06986456,1.673402,NA,NA,NotTracked,Unknown,
1.048828,-0.6298828,0.1640625,0.953125,0.1542969,0.2641602,-7,-11,-7,10,42,2,-7,-15,-2,-3,-10,4,0,-5,-4,-2,-59.25,-59.25,-59.25,9.25,9.25,9.25,3.088013,3.193404,6.27001,5.78964,3.004699,8.961878,-0.1454216,-0.3077354,1.537709,0.1331088,-0.3598601,1.584951,-0.009505676,0.4799522,1.653818,-0.1923471,-0.2596168,1.520806,0.09053688,-0.3808798,1.56075,-0.009012259,-0.001228899,1.68802,-0.009031209,-0.3340271,1.683081,-0.1861839,0.1940874,1.658597,-0.09072293,-0.3254671,1.638844,-0.2202221,-0.04256806,1.653528,0.185642,-0.06960446,1.673853,NA,NA,Unknown,Unknown,
0.8012695,-0.6943359,0.3999023,1.039063,0.07617188,0.2651367,0,3,-16,-11,-45,-5,-4,8,2,2,12,-36,-2,0,-12,2,106.3125,106.3125,106.3125,17.625,17.625,17.625,3.273865,3.66778,6.219036,5.799575,3.04146,8.969979,-0.08450928,-0.2537385,1.489856,0.1332359,-0.3600999,1.585055,-0.009439086,0.4803652,1.656648,-0.09200737,-0.24191,1.420084,0.09094067,-0.3772749,1.560322,-0.008689906,-0.001056291,1.690205,-0.008959629,-0.3341556,1.68495,-0.1851938,0.1956126,1.661657,-0.09073345,-0.3261203,1.641862,-0.2278251,-0.03325775,1.654249,0.1860453,-0.06926339,1.675121,NA,NA,Unknown,Unknown,
0.6049805,-0.652832,0.5214844,1.22998,0.2104492,0.4550781,0,7,-4,1,5,-3,-6,-7,0,13,-47,-41,-5,-4,-2,1,41.625,41.625,41.625,70.875,70.875,70.875,3.34237,3.936599,6.213619,5.841998,3.182978,9.028852,-0.07516223,-0.1647254,1.409913,0.1311472,-0.3508357,1.573798,-0.009522188,0.4806424,1.659322,-0.08390753,-0.1439095,1.360844,0.1024727,-0.3574582,1.542,-0.009227731,-0.0006538102,1.692834,-0.01062338,-0.3335253,1.688254,-0.1844103,0.1979165,1.664905,-0.09205244,-0.3248041,1.645439,-0.2359992,-0.01984859,1.644774,0.1876544,-0.06891914,1.678727,NA,NA,Unknown,Unknown,
