ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9643555,-0.2373047,0.1010742,0.9296875,0.1762695,0.269043,1,-11,7,-1,2,-1,0,-1,-2,-2,-2,-5,-7,-9,-13,0,-0.5625,-0.5625,-0.5625,1.125,1.125,1.125,3.033113,2.909364,3.387037,5.892396,3.021453,6.574348,-0.1178244,-0.3704419,1.50511,0.1873952,-0.2883973,1.494964,0.05110989,0.4832899,1.550064,-0.1617785,-0.3590637,1.506563,0.2257378,-0.3300304,1.480863,0.04330914,0.004288275,1.593998,0.03721229,-0.3293354,1.594469,-0.1314598,0.2001927,1.573427,-0.04639025,-0.3202581,1.553882,-0.1639295,-0.05754294,1.569977,0.2371807,-0.05429265,1.583974,NA,NA,NotTracked,Unknown,
0.9716797,-0.2382813,0.09960938,0.9326172,0.1665039,0.2666016,1,5,2,-1,-1,1,-2,-3,-2,-3,0,-7,-6,3,-6,-3,0.9375,0.9375,0.9375,1,1,1,3.034908,2.90943,3.384356,5.894773,3.021442,6.5734,-0.1171195,-0.3710551,1.505484,0.187407,-0.2884337,1.49482,0.05103111,0.4832232,1.550095,-0.1643876,-0.3652566,1.526778,0.2292723,-0.3131289,1.478114,0.04337052,0.004226428,1.594141,0.03721532,-0.3293472,1.594471,-0.1315277,0.2001566,1.573451,-0.04638934,-0.3202714,1.5539,-0.1637752,-0.05783832,1.569919,0.2371615,-0.05430317,1.583995,NA,NA,NotTracked,Unknown,
0.9638672,-0.2319336,0.09228516,0.9301758,0.1738281,0.2651367,-3,-1,1,0,-3,0,-1,-2,-1,-2,0,2,-8,-10,-3,1,0.6875,0.6875,0.6875,-1.5625,-1.5625,-1.5625,3.03492,2.909292,3.38459,5.895582,3.021413,6.572551,-0.1173605,-0.3706291,1.505525,0.1876697,-0.2883202,1.495511,0.05092169,0.4831588,1.550161,-0.1628017,-0.3629761,1.516338,0.2269843,-0.338579,1.4947,0.04344101,0.004218727,1.594371,0.03722196,-0.3293234,1.594488,-0.1316549,0.2001576,1.573497,-0.04638518,-0.3202557,1.553921,-0.1637967,-0.05808919,1.569981,0.2371494,-0.05432697,1.584017,NA,NA,NotTracked,Unknown,
0.965332,-0.2387695,0.08886719,0.9282227,0.1655273,0.2651367,-1,8,-6,-1,0,2,-3,0,1,-4,1,-7,-5,9,0,0,-0.25,-0.25,-0.25,-0.5,-0.5,-0.5,3.036162,2.909572,3.381234,5.895582,3.021413,6.572551,-0.117355,-0.3709279,1.506042,0.187672,-0.2884274,1.495835,0.050777,0.4830185,1.550419,-0.1629481,-0.3602554,1.516583,0.2286056,-0.3252024,1.485346,0.04341086,0.004200793,1.594778,0.03713512,-0.32932,1.594695,-0.1317998,0.2001701,1.573707,-0.04642462,-0.3202578,1.554185,-0.1637978,-0.05797677,1.570145,0.2372148,-0.05441635,1.584175,NA,NA,NotTracked,Unknown,
0.965332,-0.2387695,0.08886719,0.9331055,0.1796875,0.2685547,0,15,2,-2,-2,1,-2,-3,0,-2,0,3,5,7,-9,-1,-0.25,-0.25,-0.25,-0.875,-0.875,-0.875,3.036162,2.909572,3.381234,5.899211,3.021518,6.570879,-0.1176082,-0.3704979,1.506011,0.1873127,-0.2890065,1.495612,0.05073855,0.4829748,1.550484,-0.1611778,-0.3625033,1.511567,0.2235135,-0.3457657,1.489727,0.04348078,0.004206292,1.595033,0.03713303,-0.329304,1.5948,-0.1294022,0.200556,1.573695,-0.04641065,-0.3202284,1.554321,-0.1639519,-0.05759094,1.570383,0.2372084,-0.05435777,1.584209,NA,NA,NotTracked,Unknown,
0.9609375,-0.2387695,0.09814453,0.925293,0.1733398,0.2675781,0,3,-3,-2,0,-3,1,-1,-5,0,-2,-1,-5,12,9,0,-0.75,-0.75,-0.75,1.375,1.375,1.375,3.036049,2.90905,3.378076,5.89814,3.021042,6.572024,-0.11788,-0.3675082,1.506738,0.187503,-0.2886901,1.49614,0.05067298,0.4829037,1.550681,-0.1631179,-0.3649268,1.518107,0.2301897,-0.3181096,1.483667,0.04347678,0.004163194,1.595321,0.03714024,-0.3293266,1.594931,-0.1298349,0.2005228,1.573961,-0.04638401,-0.3202667,1.554505,-0.1640024,-0.0577372,1.570441,0.2371527,-0.0542676,1.584344,NA,NA,NotTracked,Unknown,
0.965332,-0.2392578,0.09472656,0.9575195,0.1855469,0.2841797,-2,-2,-2,-3,-5,-2,-3,-1,-3,-3,-1,1,-2,1,-5,-4,-2,-2,-2,-6.375,-6.375,-6.375,3.038177,2.909298,3.376122,5.884019,3.021002,6.578883,-0.1178117,-0.367673,1.507779,0.1874633,-0.2895055,1.497255,0.0506315,0.4828766,1.55105,-0.1672842,-0.3549995,1.5325,0.2315903,-0.3102642,1.484548,0.04350262,0.004142127,1.595583,0.03715682,-0.3293376,1.595044,-0.1301318,0.200425,1.574126,-0.04638632,-0.3203008,1.554622,-0.1642733,-0.05714116,1.570662,0.2371666,-0.05420953,1.584489,NA,NA,NotTracked,Unknown,
0.9921875,-0.2851563,0.08740234,1.005859,0.2338867,0.1835938,-1,-1,0,-5,1,2,-3,-4,15,9,6,14,5,0,0,1,13.4375,13.4375,13.4375,-46.375,-46.375,-46.375,3.049232,2.918615,3.373286,5.812323,3.038386,6.608449,-0.1176508,-0.3672789,1.505541,0.1872339,-0.2896256,1.496714,0.05049647,0.4829486,1.551664,-0.1626253,-0.3609933,1.515288,0.2309413,-0.3123378,1.484424,0.04368873,0.004149632,1.595936,0.0372159,-0.3292977,1.595141,-0.1303443,0.2005017,1.574286,-0.04635765,-0.3202859,1.554715,-0.1644167,-0.05681188,1.570886,0.2372301,-0.05413213,1.584656,NA,NA,NotTracked,Unknown,
1.132324,-0.2407227,0.05517578,1.077148,0.07324219,0.2470703,1,1,-1,0,3,0,8,1,-9,9,-18,-3,-1,-1,3,2,55.9375,55.9375,55.9375,7.1875,7.1875,7.1875,3.151253,3.018025,3.357354,5.744024,3.135555,6.634134,-0.1139072,-0.3636754,1.490155,0.1848676,-0.2897653,1.490515,0.05041474,0.4830208,1.552349,-0.1615088,-0.3518919,1.519716,0.2239402,-0.3270653,1.48,0.04381291,0.004244004,1.596046,0.03746636,-0.3291549,1.595072,-0.1309294,0.200595,1.574654,-0.04617388,-0.3202242,1.554694,-0.1651525,-0.05571049,1.572328,0.2376202,-0.05365578,1.585907,NA,NA,NotTracked,Unknown,
1.134277,-0.2900391,0.05712891,1.08252,0.300293,0.4365234,3,0,1,5,30,9,-5,2,11,7,5,3,0,-1,1,-2,40.5625,40.5625,40.5625,-40.5625,-40.5625,-40.5625,3.233273,3.142572,3.320954,5.790766,3.319855,6.57437,-0.1000061,-0.3217928,1.45488,0.1811259,-0.3082088,1.456126,0.05024643,0.4831746,1.552884,-0.09730548,-0.3671013,1.4703,0.1948295,-0.3686629,1.473333,0.04382186,0.004293511,1.596091,0.03770215,-0.3291565,1.594992,-0.1310681,0.2009077,1.57482,-0.0460205,-0.3203441,1.55468,-0.1704789,-0.04521807,1.583906,0.2396835,-0.04936719,1.595157,NA,NA,Unknown,Unknown,
