ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9594727,-0.2441406,0.1181641,0.9492188,0.109375,0.234375,-1,-2,-3,-2,0,-1,-2,-1,0,-2,-2,-2,-1,0,1,-1,-0.125,-0.125,-0.125,-0.8125,-0.8125,-0.8125,3.208071,2.93808,6.820635,5.659397,2.938928,9.119536,-0.2048572,-0.3642946,1.624828,0.1084448,-0.3789931,1.626151,-0.04191913,0.4892627,1.67811,-0.2484381,-0.3708625,1.628351,0.1500735,-0.391045,1.620712,-0.04496861,0.004967165,1.717653,-0.04746366,-0.3309752,1.716504,-0.2216024,0.1991688,1.695365,-0.1285321,-0.3229051,1.6737,-0.2514633,-0.05898958,1.69429,0.1481923,-0.05885847,1.729081,NA,NA,NotTracked,NotTracked,
0.9614258,-0.2446289,0.1123047,0.9453125,0.1035156,0.2421875,3,2,-3,-2,-2,-1,-2,0,0,-2,-1,-1,-1,0,-1,0,0.5,0.5,0.5,2.1875,2.1875,2.1875,3.206595,2.937635,6.82142,5.660254,2.939082,9.119414,-0.2053661,-0.3644512,1.625822,0.1086702,-0.3791681,1.627423,-0.04169793,0.489143,1.678658,-0.251893,-0.3729036,1.636942,0.1516463,-0.3877979,1.622827,-0.0448477,0.005003755,1.718049,-0.04730161,-0.3309139,1.716956,-0.221524,0.1990498,1.695757,-0.128369,-0.3228536,1.674115,-0.2514566,-0.0589348,1.694904,0.1483581,-0.05892239,1.729578,NA,NA,NotTracked,NotTracked,
0.9599609,-0.2373047,0.1176758,0.9462891,0.1044922,0.2363281,1,-1,-2,0,-1,1,-1,-1,-2,0,-3,-2,-1,-6,0,1,0.9375,0.9375,0.9375,-0.6875,-0.6875,-0.6875,3.20719,2.93755,6.821518,5.662437,2.938301,9.118975,-0.2045688,-0.364165,1.624696,0.1082832,-0.3792472,1.626267,-0.04161925,0.4890501,1.678862,-0.2505323,-0.3705282,1.631923,0.1500029,-0.4044474,1.625421,-0.0447845,0.004948697,1.718251,-0.04724813,-0.3309063,1.717094,-0.2215035,0.1989872,1.69589,-0.1283091,-0.322826,1.67423,-0.2514616,-0.05888028,1.694956,0.148401,-0.05890194,1.729692,NA,NA,NotTracked,NotTracked,
0.9589844,-0.2514648,0.1098633,0.9482422,0.1054688,0.2470703,-2,-1,-4,-1,-1,-3,-1,0,0,0,0,0,-2,-1,-2,-3,0.75,0.75,0.75,0.5,0.5,0.5,3.207784,2.937464,6.821617,5.662022,2.938862,9.118974,-0.204617,-0.3664269,1.626608,0.1087889,-0.3795573,1.628697,-0.04152265,0.4890497,1.67933,-0.2490717,-0.3906314,1.629455,0.1500649,-0.4017708,1.623589,-0.04463481,0.005015909,1.71888,-0.04715707,-0.3308476,1.717521,-0.2215748,0.1988789,1.69656,-0.1281931,-0.3227873,1.674652,-0.2514675,-0.05870591,1.695593,0.1485485,-0.05892349,1.730428,NA,NA,NotTracked,NotTracked,
0.9570313,-0.2514648,0.1157227,0.9428711,0.1064453,0.2333984,-7,5,-5,-1,0,0,0,1,-2,0,1,3,6,1,2,-1,0.8125,0.8125,0.8125,0.5625,0.5625,0.5625,3.207188,2.937387,6.822768,5.662674,2.938318,9.119125,-0.2043081,-0.3676899,1.627847,0.1087877,-0.3791009,1.629468,-0.04132703,0.4889917,1.679779,-0.2482235,-0.3687044,1.631063,0.1515181,-0.3898329,1.626136,-0.04456667,0.005105615,1.71942,-0.04704037,-0.3307539,1.718147,-0.2214237,0.1988519,1.696845,-0.128067,-0.3226786,1.675361,-0.2515256,-0.05879184,1.696147,0.1486147,-0.05917808,1.730986,NA,NA,NotTracked,NotTracked,
0.9628906,-0.2524414,0.1171875,0.9482422,0.1157227,0.2431641,1,5,-8,-1,-1,0,-1,-2,0,-2,-1,-3,-2,-1,-1,-1,0.5,0.5,0.5,0.5625,0.5625,0.5625,3.206652,2.937512,6.823305,5.665246,2.937375,9.118829,-0.2037532,-0.3672196,1.626276,0.108636,-0.3795343,1.628452,-0.04125433,0.4888973,1.680002,-0.2478353,-0.3817216,1.627663,0.149938,-0.4018362,1.624549,-0.04449456,0.005009871,1.719821,-0.04702361,-0.3307559,1.718572,-0.2213468,0.1987966,1.697129,-0.1280568,-0.3226664,1.675864,-0.2514956,-0.05878066,1.696413,0.148752,-0.05905377,1.731493,NA,NA,NotTracked,NotTracked,
0.9584961,-0.2441406,0.1206055,0.9472656,0.1044922,0.2373047,-3,0,1,0,0,-1,-2,-1,-2,0,-1,0,-1,-1,-2,-1,-0.625,-0.625,-0.625,1.3125,1.3125,1.3125,3.206652,2.937512,6.823305,5.664104,2.936456,9.120583,-0.2039642,-0.3677315,1.626511,0.1091907,-0.380995,1.629075,-0.04115779,0.4886918,1.680312,-0.2466613,-0.3698319,1.623441,0.1518181,-0.3916682,1.626009,-0.04446604,0.004951516,1.720093,-0.04695197,-0.3307919,1.718924,-0.221258,0.1987892,1.697352,-0.127993,-0.3226607,1.676199,-0.2514488,-0.05888297,1.696648,0.1488398,-0.05923702,1.731715,NA,NA,NotTracked,NotTracked,
0.9638672,-0.2431641,0.1132813,0.9492188,0.1030273,0.2373047,1,-2,-11,-1,-1,-1,0,-1,-2,0,-2,-3,-3,0,1,1,-0.375,-0.375,-0.375,0.3125,0.3125,0.3125,3.206652,2.937512,6.823305,5.664522,2.935893,9.120584,-0.2039534,-0.3677356,1.627836,0.1089658,-0.3811933,1.629469,-0.0410989,0.4886131,1.680475,-0.248705,-0.3704992,1.63035,0.1515762,-0.3925485,1.626231,-0.04432026,0.004861204,1.720381,-0.04678962,-0.3307868,1.71933,-0.2211624,0.1987916,1.697554,-0.1278365,-0.322668,1.676559,-0.2513449,-0.05911645,1.696948,0.1489781,-0.05917798,1.732167,NA,NA,NotTracked,NotTracked,
0.9599609,-0.2436523,0.1162109,0.9487305,0.1079102,0.2407227,1,-2,2,1,-2,-4,-2,-1,0,-1,-1,-2,-1,-2,0,-1,-0.75,-0.75,-0.75,0.8125,0.8125,0.8125,3.206797,2.937415,6.822326,5.665599,2.934569,9.12285,-0.2037535,-0.3672954,1.628357,0.1093261,-0.3796363,1.630816,-0.04104889,0.4886106,1.680655,-0.2488805,-0.3731521,1.632419,0.1494884,-0.4062922,1.624,-0.04428082,0.00487296,1.720808,-0.04670799,-0.330741,1.719791,-0.221112,0.1988509,1.697771,-0.1277655,-0.3225477,1.676856,-0.251179,-0.05921052,1.697498,0.1491057,-0.05922666,1.732536,NA,NA,NotTracked,NotTracked,
0.9599609,-0.2421875,0.1166992,0.9472656,0.1044922,0.2368164,-3,10,-3,0,-3,1,2,-1,1,-1,0,0,1,-2,1,-1,0.9375,0.9375,0.9375,1.5,1.5,1.5,3.206797,2.937415,6.822326,5.666497,2.934028,9.123158,-0.20349,-0.3682903,1.628047,0.1093608,-0.3792399,1.629912,-0.04093821,0.4885904,1.680871,-0.2501138,-0.3625112,1.63705,0.1509959,-0.4063256,1.6301,-0.04420703,0.004900489,1.72118,-0.04658192,-0.3306718,1.72012,-0.2211201,0.1989127,1.697956,-0.1276543,-0.3224823,1.677099,-0.2510924,-0.05917541,1.6977,0.1491554,-0.05912823,1.732925,NA,NA,NotTracked,NotTracked,
