ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9663086,-0.2143555,0.09130859,0.9506836,0.08398438,0.2246094,-3,-4,-2,-1,-1,-1,1,3,2,-4,-1,-1,-2,13,-8,-4,3,3,3,2.1875,2.1875,2.1875,3.145293,2.866555,7.526117,5.58142,2.899094,9.748919,-0.1957751,-0.3827074,1.626363,0.1353816,-0.3616414,1.613795,-0.02549013,0.4806417,1.659259,-0.1496989,-0.3480798,1.600555,0.08659296,-0.3776602,1.590222,-0.02738723,0.0008472485,1.71149,-0.03244707,-0.3324207,1.714487,-0.2057621,0.1968539,1.693592,-0.1139934,-0.3249227,1.674711,-0.2348749,-0.06462619,1.698038,0.1692844,-0.06350255,1.702987,NA,NA,NotTracked,NotTracked,
0.9702148,-0.2133789,0.09228516,0.956543,0.08886719,0.2192383,-2,0,-1,0,0,-1,1,-1,4,2,1,0,-2,-8,2,1,1.125,1.125,1.125,1.5625,1.5625,1.5625,3.148593,2.866951,7.525787,5.584428,2.898466,9.751028,-0.1962342,-0.3823375,1.626166,0.1355446,-0.3613385,1.613637,-0.02548451,0.4806277,1.659239,-0.1499344,-0.3452064,1.601733,0.08783311,-0.3710331,1.589709,-0.02737202,0.000831191,1.711498,-0.03243611,-0.3324323,1.714479,-0.2056935,0.1967732,1.693669,-0.1139834,-0.324924,1.674707,-0.2346155,-0.0648758,1.698313,0.1693184,-0.06346539,1.702996,NA,NA,NotTracked,NotTracked,
0.9697266,-0.2119141,0.08398438,0.9511719,0.07910156,0.2197266,0,-1,-2,-1,-1,-2,-3,-2,-7,-1,0,0,-1,1,14,-2,1,1,1,-0.0625,-0.0625,-0.0625,3.151318,2.867231,7.525868,5.580689,2.89983,9.754971,-0.1956055,-0.3820165,1.626801,0.1355295,-0.3608343,1.613496,-0.02546338,0.4806043,1.659203,-0.1497125,-0.3384789,1.596948,0.09015141,-0.3440353,1.589205,-0.02736529,0.0008102085,1.711511,-0.0324427,-0.3324481,1.714486,-0.2056241,0.1966876,1.693774,-0.1139816,-0.3249136,1.674716,-0.2342446,-0.06523053,1.698758,0.1694336,-0.06343452,1.703067,NA,NA,NotTracked,NotTracked,
0.965332,-0.2094727,0.08740234,0.9609375,0.09082031,0.215332,-1,-2,-1,-1,-1,0,2,0,2,-2,-2,2,2,11,-14,-2,1.375,1.375,1.375,1.8125,1.8125,1.8125,3.149881,2.866447,7.528177,5.582882,2.898484,9.754846,-0.1966806,-0.3817963,1.627134,0.1351013,-0.3608934,1.613277,-0.02540426,0.480608,1.659163,-0.1497089,-0.340675,1.599652,0.09034623,-0.3407032,1.588577,-0.02732325,0.0007915102,1.711482,-0.03242963,-0.3324656,1.714469,-0.205518,0.1966295,1.693795,-0.113974,-0.3249258,1.674694,-0.2341598,-0.06521341,1.698827,0.1694139,-0.06336711,1.703097,NA,NA,NotTracked,NotTracked,
0.972168,-0.2055664,0.08300781,0.9643555,0.09472656,0.215332,-7,-1,1,0,0,0,-1,-2,-1,0,1,1,1,-2,-2,0,0.5,0.5,0.5,1.125,1.125,1.125,3.151276,2.86678,7.527455,5.584734,2.898035,9.753948,-0.1955653,-0.3824379,1.627078,0.1354067,-0.3609228,1.613682,-0.02539513,0.4806156,1.659102,-0.1498365,-0.3390732,1.598187,0.09212151,-0.3310052,1.589759,-0.02730123,0.0008015684,1.711462,-0.0324384,-0.3324545,1.714467,-0.2054933,0.196649,1.693836,-0.113983,-0.32491,1.674705,-0.2341202,-0.06508859,1.698902,0.1694167,-0.06337871,1.703086,NA,NA,NotTracked,NotTracked,
0.9692383,-0.2094727,0.09179688,0.9516602,0.08886719,0.2270508,0,2,-1,-1,-2,-1,-2,-4,0,0,-1,-3,-4,-3,-8,-2,2.4375,2.4375,2.4375,0.25,0.25,0.25,3.15453,2.866902,7.52635,5.587216,2.898283,9.750602,-0.1962202,-0.3820508,1.627175,0.1355392,-0.3607364,1.614306,-0.02538131,0.4806178,1.659062,-0.1501452,-0.3317083,1.596353,0.09052016,-0.3430365,1.589607,-0.02727547,0.0007734682,1.711465,-0.03243865,-0.3324862,1.714442,-0.2054633,0.1965207,1.693995,-0.1139847,-0.3249185,1.67471,-0.234101,-0.06508639,1.699007,0.1694374,-0.06328087,1.703074,NA,NA,NotTracked,NotTracked,
0.9731445,-0.2075195,0.08984375,0.9521484,0.07861328,0.2158203,0,-3,-2,-3,0,0,0,3,0,0,2,-1,-1,-5,8,-1,0.0625,0.0625,0.0625,-0.8125,-0.8125,-0.8125,3.158264,2.866689,7.524896,5.590599,2.897948,9.748034,-0.1958847,-0.3823984,1.626699,0.1335013,-0.3714516,1.611856,-0.02537642,0.4805964,1.659064,-0.1497151,-0.3408014,1.598899,0.08687913,-0.3635808,1.589,-0.02732566,0.0007363906,1.711495,-0.03245455,-0.3325099,1.714438,-0.2053683,0.1964775,1.694078,-0.1140067,-0.3249335,1.67471,-0.2340346,-0.06506194,1.699086,0.1694425,-0.06330223,1.703056,NA,NA,NotTracked,NotTracked,
0.9658203,-0.2055664,0.08935547,0.9555664,0.07617188,0.2246094,-1,0,-2,-1,-1,1,0,-2,2,0,0,-1,-2,-2,-7,-3,0.75,0.75,0.75,0,0,0,3.158577,2.867423,7.52529,5.587234,2.899402,9.751847,-0.196193,-0.3824619,1.627016,0.1341339,-0.3680674,1.612037,-0.02539712,0.4805808,1.659097,-0.1496617,-0.3407354,1.598858,0.08497108,-0.3845198,1.587,-0.02734338,0.0007307635,1.711596,-0.03247529,-0.3324974,1.714511,-0.2053519,0.1964048,1.694254,-0.1140184,-0.3249317,1.67483,-0.2339611,-0.06511169,1.699213,0.1694279,-0.06318861,1.703078,NA,NA,NotTracked,NotTracked,
0.9785156,-0.2114258,0.09130859,0.9477539,0.08935547,0.2104492,0,-4,-1,-2,-1,-2,2,5,-3,-3,-2,-1,-1,5,-8,-1,0.5,0.5,0.5,1,1,1,3.156984,2.867397,7.527596,5.585415,2.898374,9.753883,-0.1959532,-0.3820218,1.627169,0.1326316,-0.3720155,1.611709,-0.02539188,0.4805848,1.659191,-0.1499361,-0.3400174,1.598349,0.08532499,-0.3814541,1.59032,-0.02737154,0.0007692048,1.711626,-0.03247799,-0.3324354,1.714525,-0.2052874,0.1963777,1.694484,-0.1140213,-0.3248598,1.674882,-0.2338457,-0.06508924,1.69952,0.1694278,-0.06312446,1.703068,NA,NA,NotTracked,NotTracked,
0.9663086,-0.190918,0.07714844,0.9458008,0.09716797,0.2236328,-1,0,-1,-1,-3,0,-1,-2,0,1,-1,0,-1,5,-7,-1,1.0625,1.0625,1.0625,-0.4375,-0.4375,-0.4375,3.160213,2.866441,7.526585,5.58472,2.89776,9.755253,-0.195978,-0.3822714,1.627204,0.1342313,-0.3656213,1.6126,-0.02539958,0.4805903,1.65919,-0.1501278,-0.3388202,1.598299,0.08559705,-0.3859998,1.588688,-0.02737343,0.0007682571,1.711626,-0.03248868,-0.3324329,1.714512,-0.2052558,0.1964426,1.694563,-0.1140345,-0.3248498,1.674878,-0.2337438,-0.06513773,1.699561,0.1694102,-0.06312772,1.703038,NA,NA,NotTracked,NotTracked,
0.9663086,-0.190918,0.07714844,0.9458008,0.09716797,0.2236328,-1,0,-1,-1,-3,0,-1,-2,0,1,-1,0,-1,5,-7,-1,1.0625,1.0625,1.0625,-0.4375,-0.4375,-0.4375,3.160213,2.866441,7.526585,5.58472,2.89776,9.755253,-0.1963505,-0.3823789,1.62893,0.1344014,-0.3652817,1.61414,-0.02538188,0.4806523,1.65942,-0.1496661,-0.3380568,1.599889,0.08597539,-0.3855952,1.589667,-0.02736415,0.0007608299,1.711624,-0.03248917,-0.3324442,1.714503,-0.2052348,0.1964168,1.694812,-0.114041,-0.3248306,1.674868,-0.2336536,-0.06521349,1.699693,0.1694113,-0.06310713,1.70308,NA,NA,NotTracked,NotTracked,
0.9785156,-0.2270508,0.08349609,0.9892578,0.09423828,0.2402344,0,-1,-1,-1,-1,-2,1,-2,-7,-2,-1,-2,0,1,-4,-5,-1.5625,-1.5625,-1.5625,1.9375,1.9375,1.9375,3.158187,2.858183,7.523634,5.582182,2.896903,9.760374,-0.1941029,-0.3886453,1.628244,0.1349122,-0.3648832,1.613987,-0.02531498,0.4807187,1.659829,-0.1478662,-0.3606117,1.608353,0.08613777,-0.3804074,1.589721,-0.02735682,0.0007458865,1.711655,-0.03250054,-0.3324483,1.714511,-0.2052469,0.1963796,1.695107,-0.1140564,-0.3248397,1.674887,-0.2336016,-0.06521551,1.699924,0.1694168,-0.06308886,1.703113,NA,NA,NotTracked,NotTracked,
1.049316,-0.2246094,0.02246094,1.098145,0.02539063,0.253418,-2,0,0,-6,5,-10,-9,-4,-11,-16,-15,-14,-1,-2,-1,-4,6.5625,6.5625,6.5625,8.625,8.625,8.625,3.166992,2.866386,7.518528,5.542607,2.932281,9.805199,-0.1924095,-0.3886,1.625739,0.1337546,-0.3652273,1.611976,-0.02524974,0.4808893,1.660322,-0.1490982,-0.397586,1.607228,0.09061059,-0.3285553,1.589977,-0.02736083,0.0007480652,1.711766,-0.03255831,-0.3324546,1.714548,-0.2052042,0.1963577,1.695344,-0.1141212,-0.32484,1.674934,-0.233665,-0.06496192,1.70041,0.1695416,-0.06301042,1.703348,NA,NA,NotTracked,NotTracked,
1.13916,-0.08300781,0.05322266,1.069824,0.2158203,0.3339844,19,-4,-29,-3,-47,-7,-23,-8,0,-4,7,-11,-2,-2,-1,1,9.6875,9.6875,9.6875,81.5,81.5,81.5,3.286127,2.936162,7.423106,5.640724,3.118005,9.861411,-0.1892586,-0.3698619,1.609156,0.1291495,-0.3546548,1.599068,-0.02503125,0.481009,1.661256,-0.1465033,-0.3245654,1.597917,0.08816747,-0.3399889,1.589064,-0.02732788,0.0008053189,1.711807,-0.03256928,-0.332356,1.714426,-0.2050815,0.1966792,1.695817,-0.1141614,-0.3246705,1.674779,-0.2349557,-0.06282604,1.704619,0.1701513,-0.06119885,1.705947,NA,NA,NotTracked,NotTracked,
1.066406,-0.4555664,0.2875977,1.006836,0.2626953,0.5073242,-36,1,-82,-2,9,-3,6,-5,-5,5,2,8,1,-2,2,6,-69.6875,-69.6875,-69.6875,71.25,71.25,71.25,3.333704,3.123123,7.282014,5.749446,3.355815,9.868129,-0.1869458,-0.323888,1.574999,0.1170787,-0.3302409,1.570631,-0.02471463,0.4812604,1.661893,-0.1540489,-0.312273,1.528394,0.09533954,-0.3731571,1.588875,-0.02724526,0.0009035815,1.711736,-0.03232037,-0.3322197,1.713604,-0.2048595,0.1969484,1.696194,-0.1140157,-0.3245513,1.674013,-0.2379679,-0.05530554,1.715227,0.1718413,-0.05298615,1.713904,NA,NA,NotTracked,NotTracked,
1.066406,-0.4555664,0.2875977,1.006836,0.2626953,0.5073242,22,-1,-14,7,32,8,-16,3,-3,3,-6,-18,-2,-4,3,6,-69.6875,-69.6875,-69.6875,71.25,71.25,71.25,3.333704,3.123123,7.282014,5.749446,3.355815,9.868129,-0.1594771,-0.2807094,1.561726,0.08277981,-0.2890944,1.55391,-0.02414324,0.4814632,1.66266,-0.1851597,-0.2356102,1.50541,0.1254078,-0.3600052,1.603238,-0.02702312,0.0008912884,1.711778,-0.03208222,-0.3322595,1.713416,-0.2043807,0.1978145,1.697263,-0.1136178,-0.3245024,1.673757,-0.2428996,-0.04303415,1.725505,0.1746449,-0.0445405,1.720435,NA,NA,Unknown,Unknown,
0.7319336,-0.7983398,0.3881836,0.5537109,0.3540039,0.6459961,6,24,3,-8,-8,0,-8,-3,-2,11,12,3,0,6,0,1,-21.625,-21.625,-21.625,8.75,8.75,8.75,3.303787,3.744326,7.195419,5.869744,3.948175,9.852686,-0.1585639,-0.215597,1.529082,0.07159669,-0.2161154,1.54122,-0.02345642,0.4815345,1.663259,-0.1648262,-0.1556845,1.483833,0.06569174,-0.2925346,1.567048,-0.02688972,0.0009332529,1.71206,-0.03213947,-0.3322703,1.713546,-0.2031645,0.199958,1.698532,-0.1134451,-0.3243774,1.673749,-0.24755,-0.0281439,1.730587,0.1772626,-0.03395179,1.724861,NA,NA,Unknown,Unknown,
0.4282227,-0.7124023,0.4008789,0.3691406,0.4604492,0.6342773,13,-28,-18,2,15,4,31,14,14,8,4,1,5,7,34,19,-25.5,-25.5,-25.5,9.375,9.375,9.375,3.277719,4.250638,7.176462,5.897566,4.220021,9.834859,-0.1510616,-0.1366326,1.497797,0.05986668,-0.164782,1.509403,-0.02251421,0.4816005,1.664152,-0.1486327,-0.06536356,1.446857,0.03655478,-0.1791667,1.472584,-0.02679849,0.001124103,1.712557,-0.03221798,-0.3319363,1.714164,-0.2019863,0.2017128,1.69932,-0.1133192,-0.324156,1.67423,-0.2477401,-0.03662326,1.693257,0.1792873,-0.02704559,1.725586,NA,NA,Lasso,Closed,
0.230957,-0.6254883,0.3754883,0.2431641,0.3959961,0.6269531,-18,-10,-21,-5,-6,6,-4,-4,1,6,3,1,-3,-2,-31,-16,4.4375,4.4375,4.4375,-1.0625,-1.0625,-1.0625,3.283567,4.477287,7.140533,5.890206,4.478344,9.837232,-0.1411941,-0.08738323,1.484889,0.07457753,-0.1274552,1.456499,-0.02144096,0.4816326,1.665441,-0.1374728,-0.01664234,1.448917,0.06538279,-0.1672449,1.430588,-0.02641342,0.001473519,1.713949,-0.03182806,-0.3310938,1.715787,-0.2002589,0.2034646,1.699779,-0.1127637,-0.3235231,1.675626,-0.2548442,-0.008643119,1.724686,0.1811148,-0.02358975,1.725729,NA,NA,Lasso,Unknown,
0.2148438,-0.7880859,0.480957,0.3154297,0.5004883,0.8032227,-34,-9,-7,-1,-3,-10,-17,-17,0,-1,-3,2,-1,0,-13,1,3.875,3.875,3.875,-4.75,-4.75,-4.75,3.294308,4.623737,7.090837,5.894449,4.597521,9.85451,-0.1268937,-0.07846905,1.507706,0.05843912,-0.1063078,1.485464,-0.02016622,0.4816512,1.66714,-0.1189047,-0.07488314,1.4114,0.05421152,-0.1417881,1.42055,-0.02578538,0.001718801,1.715092,-0.03154412,-0.3305157,1.71694,-0.1992494,0.2048856,1.700084,-0.1123501,-0.3230094,1.676682,-0.2547878,-0.00746291,1.722697,0.2297693,-0.02748749,1.712501,NA,NA,NotTracked,Unknown,
0.2348633,-0.7250977,0.4624023,0.2519531,0.4350586,0.8046875,29,-9,-73,27,47,16,21,8,-5,2,-1,-2,-1,-7,4,8,7,7,7,-9.75,-9.75,-9.75,3.302699,4.639785,7.080811,5.874424,4.631948,9.878154,-0.1173618,-0.0669964,1.520984,0.05314577,-0.09184933,1.433975,-0.01885584,0.4818777,1.669288,-0.1482147,-0.1011398,1.435974,0.02775005,-0.1141159,1.424,-0.02525084,0.001957725,1.716292,-0.03115207,-0.3299503,1.718078,-0.1983314,0.2055772,1.700162,-0.1118889,-0.3224478,1.677802,-0.3060151,-0.0181686,1.703151,0.2305876,-0.02846594,1.711619,NA,NA,NotTracked,NotTracked,
0.3056641,-0.8129883,0.4448242,0.2001953,0.5258789,0.7880859,-38,-53,-89,-8,3,4,13,-4,-2,-2,-10,-6,-2,-13,24,-8,-3.125,-3.125,-3.125,-4,-4,-4,3.300481,4.636893,7.045662,5.86038,4.656149,9.919353,-0.09711493,-0.0646708,1.52572,0.04275535,-0.08514692,1.493407,-0.01769968,0.4821591,1.67095,-0.136586,-0.1031709,1.44152,0.04047051,-0.008327424,1.438,-0.02502089,0.002207018,1.717154,-0.03092127,-0.3296645,1.718775,-0.1973153,0.2058785,1.700094,-0.1115951,-0.3221491,1.678516,-0.304577,-0.01852442,1.703918,0.232265,-0.0293276,1.708341,NA,NA,NotTracked,NotTracked,
