ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
-0.9858398,0.2158203,0.1074219,0.9370117,0.2822266,0.02783203,0,2,5,6,2,-1,-3,-4,-1,1,2,0,1,0,-1,-3,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,6.507892,7.061653,8.642402,7.449917,2.998396,2.932636,-0.1968918,-0.4715879,1.302228,0.205154,-0.4591256,1.29294,0.0042508,0.2857288,1.358625,-0.1482221,-0.4481204,1.27344,0.1635799,-0.4324842,1.268742,-0.0004313887,-0.1528494,1.387463,0.003694166,-0.4578603,1.36574,-0.1709594,0.01438146,1.368978,-0.07497376,-0.4484605,1.332968,-0.2065188,-0.2381681,1.364117,0.2184415,-0.2273837,1.372046,NA,NA,NotTracked,NotTracked,
-0.980957,0.2148438,0.1723633,0.9208984,0.3066406,0.03613281,-5,-4,-3,-1,0,-1,-3,-3,5,3,0,-1,-1,0,0,8,2.25,2.25,2.25,2.1875,2.1875,2.1875,6.473849,7.049498,8.605568,7.434727,3.004139,2.953124,-0.1954797,-0.4701188,1.300345,0.2042539,-0.4587859,1.291554,0.004354195,0.2857903,1.358752,-0.1660643,-0.5020245,1.317832,0.1631864,-0.4298716,1.268131,-0.0004220285,-0.1528498,1.387455,0.003700026,-0.4578952,1.365643,-0.1708848,0.01435317,1.368922,-0.07497025,-0.4484832,1.332878,-0.2065405,-0.2381352,1.364043,0.2184933,-0.2272752,1.371912,NA,NA,NotTracked,NotTracked,
-0.9350586,0.234375,0.1860352,0.9262695,0.2963867,0.04736328,2,-1,-1,-1,-3,-2,1,5,-1,-8,-3,-3,-1,1,-2,-7,4.0625,4.0625,4.0625,1.125,1.125,1.125,6.448193,7.0334,8.572019,7.421695,3.00909,2.966534,-0.1940678,-0.4688517,1.297924,0.2036585,-0.4578495,1.289795,0.004548402,0.2859389,1.358994,-0.1659401,-0.501786,1.317441,0.1630998,-0.4314446,1.267862,-0.0004097512,-0.1528364,1.38742,0.003687917,-0.4578614,1.365519,-0.1708595,0.01440244,1.368956,-0.07497887,-0.4484484,1.332795,-0.2064164,-0.2379926,1.36382,0.2186846,-0.2268432,1.371498,NA,NA,NotTracked,NotTracked,
-0.9692383,0.2167969,0.1513672,0.9238281,0.2983398,0.004882813,2,0,-1,0,-1,0,0,1,-1,-1,-2,-2,2,1,0,-1,4.0625,4.0625,4.0625,3.75,3.75,3.75,6.453105,7.028334,8.574668,7.44026,3.006638,2.952122,-0.1942287,-0.4689601,1.298502,0.2040427,-0.4582464,1.291085,0.004879431,0.2860864,1.359285,-0.1645224,-0.5000997,1.314724,0.1624137,-0.429482,1.267424,-0.0003216002,-0.15277,1.387403,0.003755204,-0.457783,1.365459,-0.1706882,0.01456325,1.368962,-0.0748961,-0.4483482,1.33271,-0.2062924,-0.2378044,1.36363,0.2187083,-0.2266877,1.371403,NA,NA,NotTracked,NotTracked,
-0.9643555,0.2333984,0.1513672,0.9140625,0.3071289,0.03613281,-1,-1,-2,-1,-2,-1,-2,-3,-4,-7,-8,-4,-5,-4,-7,-3,1.9375,1.9375,1.9375,5.0625,5.0625,5.0625,6.464475,7.030054,8.578255,7.454571,3.001285,2.942756,-0.1931202,-0.4690777,1.298486,0.2044205,-0.4583978,1.291827,0.005189104,0.2862374,1.359788,-0.1471226,-0.4322796,1.273401,0.1628047,-0.4305141,1.268187,-0.0002345287,-0.1527321,1.387435,0.003866784,-0.4577695,1.365412,-0.1704859,0.01460542,1.368933,-0.07478485,-0.44835,1.332664,-0.2061579,-0.2375089,1.363448,0.2188164,-0.2267831,1.371323,NA,NA,NotTracked,NotTracked,
-0.9536133,0.2172852,0.1401367,0.984375,0.3769531,-0.01855469,-1,-3,-2,-4,-2,-1,-7,-2,13,34,35,12,5,3,5,5,-2.0625,-2.0625,-2.0625,-16.0625,-16.0625,-16.0625,6.472337,7.036453,8.592465,7.439267,3.006696,2.945554,-0.1941416,-0.4691518,1.298534,0.20511,-0.4588038,1.292132,0.005586945,0.2863036,1.360101,-0.1468916,-0.434799,1.272808,0.162719,-0.4340082,1.26768,-0.0001735744,-0.1527179,1.387442,0.003894425,-0.4577727,1.365373,-0.1703892,0.01458451,1.368902,-0.07475065,-0.448328,1.332623,-0.2060073,-0.2373501,1.363316,0.2189571,-0.2268305,1.371241,NA,NA,NotTracked,NotTracked,
-0.9873047,0.2729492,0.02246094,1.07373,0.3710938,0.05908203,-10,-32,-66,-37,-7,-8,-6,2,0,3,-12,4,3,1,2,-8,2.4375,2.4375,2.4375,-36.875,-36.875,-36.875,6.476065,7.029217,8.588251,7.263839,3.055163,3.064563,-0.1942983,-0.468523,1.298009,0.2041632,-0.4562293,1.288055,0.00583644,0.286265,1.360338,-0.1462153,-0.4236594,1.271867,0.1629057,-0.4324353,1.268362,-8.776942E-05,-0.152683,1.38755,0.003981329,-0.4577808,1.365397,-0.1703149,0.01460972,1.36899,-0.07465146,-0.4483401,1.332668,-0.2060218,-0.2372729,1.363291,0.2197009,-0.2260852,1.371449,NA,NA,NotTracked,NotTracked,
-1.194824,0.2910156,0.1835938,0.8955078,0.5209961,0.2460938,5,-13,-13,-2,-7,-3,-6,2,3,27,3,-2,2,4,-2,13,-16.0625,-16.0625,-16.0625,46.4375,46.4375,46.4375,6.404569,6.983104,8.522694,6.960886,3.26363,3.416481,-0.1886679,-0.4550264,1.282188,0.1957538,-0.4406403,1.27094,0.00612522,0.2863644,1.360541,-0.1514266,-0.4915405,1.290381,0.1557458,-0.4586176,1.260472,8.761839E-05,-0.1526005,1.387632,0.004061191,-0.4577318,1.365352,-0.1703072,0.01472771,1.369233,-0.07457396,-0.4482728,1.332652,-0.2068277,-0.2358405,1.363908,0.2240421,-0.2189606,1.37307,NA,NA,NotTracked,NotTracked,
-0.9033203,0.4619141,0.5170898,0.78125,0.6870117,0.3359375,1,4,-25,8,7,0,2,-5,-3,-40,4,-8,-6,1,-1,-7,86.8125,86.8125,86.8125,102.8125,102.8125,102.8125,6.206611,6.641115,8.166883,6.907243,3.511665,3.64599,-0.1721684,-0.4178594,1.245938,0.1790302,-0.4103758,1.240975,0.006470249,0.2864386,1.360763,-0.1358515,-0.3944175,1.263533,0.1455469,-0.3987228,1.25485,0.0002506484,-0.1524574,1.387585,0.004221393,-0.4574549,1.364993,-0.1708036,0.01494077,1.370781,-0.07444256,-0.4479651,1.332382,-0.2104145,-0.2257842,1.364697,0.2301847,-0.2036429,1.373501,NA,NA,NotTracked,NotTracked,
-0.7143555,0.6411133,0.578125,0.5878906,0.8193359,0.3305664,-3,3,11,-1,-3,-3,2,-2,5,4,9,7,5,5,16,26,137.3125,137.3125,137.3125,77.4375,77.4375,77.4375,6.295118,6.322304,8.010614,6.937903,3.939945,3.892308,-0.1336052,-0.3737666,1.209868,0.1361928,-0.3717269,1.214925,0.006746539,0.286541,1.361267,-0.08938201,-0.4031783,1.243971,0.1103483,-0.4342042,1.238458,0.0006413052,-0.1523006,1.387616,0.004895341,-0.4571218,1.36431,-0.1711199,0.01510109,1.372344,-0.07387127,-0.4477929,1.332092,-0.2188673,-0.200637,1.359446,0.2348256,-0.1919849,1.368093,NA,NA,Unknown,Closed,
