ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
-0.953125,0.2124023,0.1757813,0.921875,0.3193359,0.05175781,0,-2,1,-1,-1,1,0,-1,-4,-2,-1,-1,-1,0,-1,-2,-1.625,-1.625,-1.625,-4.5625,-4.5625,-4.5625,6.393806,7.014944,5.028349,7.193154,3.025933,6.651365,-0.03139201,-0.4912939,1.319283,0.3647493,-0.4966471,1.319788,0.1748996,0.2896283,1.39985,-0.07355165,-0.4800361,1.326658,0.330081,-0.4836668,1.321327,0.163362,-0.1456893,1.42451,0.1669773,-0.4493743,1.402789,-0.004512053,0.01885693,1.406779,0.08811294,-0.4395913,1.3742,-0.04098616,-0.2269113,1.389594,0.3790455,-0.2316461,1.401714,NA,NA,NotTracked,NotTracked,
-0.9643555,0.2207031,0.1850586,0.9199219,0.3325195,0.04589844,-2,0,-2,-1,-1,-2,0,0,-2,-1,0,-2,-2,-4,-2,-1,-3.1875,-3.1875,-3.1875,0.25,0.25,0.25,6.395358,7.012456,5.033097,7.191578,3.032087,6.6493,-0.0324204,-0.4912267,1.318474,0.3631901,-0.4962435,1.318686,0.1740562,0.2896697,1.399706,-0.07362065,-0.4821025,1.32404,0.3290146,-0.4928586,1.321806,0.1621091,-0.1456853,1.424221,0.1661192,-0.4493206,1.402607,-0.004492246,0.01984595,1.409407,0.08732542,-0.4395577,1.374029,-0.04192167,-0.2271854,1.389004,0.3779705,-0.2314935,1.401628,NA,NA,NotTracked,NotTracked,
-0.9711914,0.2211914,0.184082,0.9204102,0.3198242,0.0625,-1,-1,-1,-2,-4,-3,-2,-2,1,-1,-3,0,-2,-1,-1,-1,-1.25,-1.25,-1.25,2.1875,2.1875,2.1875,6.394818,7.014047,5.036415,7.199805,3.035306,6.644265,-0.03414657,-0.4922824,1.318759,0.3616185,-0.4961414,1.317254,0.1723918,0.2896935,1.399425,-0.07626706,-0.4843345,1.327633,0.3276192,-0.5041817,1.319686,0.1609552,-0.1458116,1.423939,0.1648597,-0.4495253,1.402158,-0.00654785,0.01932166,1.408245,0.08615766,-0.4397916,1.373565,-0.04284499,-0.2277646,1.3884,0.3771143,-0.2314692,1.401385,NA,NA,NotTracked,NotTracked,
-0.965332,0.2158203,0.1787109,0.9174805,0.3129883,0.05566406,-1,-2,-2,-1,-1,-3,0,-1,0,-2,0,-2,-2,-1,-2,0,-5,-5,-5,7.0625,7.0625,7.0625,6.389684,7.016429,5.037167,7.213731,3.035084,6.643197,-0.03539588,-0.492411,1.319683,0.3612086,-0.4963175,1.31755,0.1713519,0.2896489,1.39931,-0.07534264,-0.4816974,1.323961,0.3258896,-0.4864006,1.318918,0.1600134,-0.1458194,1.4236,0.1640797,-0.4495811,1.401679,-0.00784262,0.01918224,1.407693,0.0854087,-0.4399114,1.373105,-0.04384011,-0.2280262,1.387949,0.3760385,-0.2310958,1.400819,NA,NA,NotTracked,NotTracked,
-0.9658203,0.2163086,0.1835938,0.9233398,0.3085938,0.05859375,0,-1,-1,0,-1,-3,0,-1,-1,-2,-2,-2,0,-2,-2,0,-6.875,-6.875,-6.875,4.125,4.125,4.125,6.372961,7.016873,5.034854,7.218831,3.035957,6.646495,-0.03534844,-0.4947155,1.319532,0.3606586,-0.4967333,1.316195,0.1696263,0.2896148,1.399139,-0.07509764,-0.4863682,1.32267,0.3242125,-0.4821186,1.319182,0.1588129,-0.1460204,1.42332,0.1627837,-0.4497693,1.401158,-0.007728112,0.01923956,1.409413,0.08416595,-0.4400674,1.372598,-0.04481593,-0.2282086,1.387604,0.3749909,-0.2312641,1.400316,NA,NA,NotTracked,NotTracked,
-0.9633789,0.2241211,0.1904297,0.9233398,0.3115234,0.03710938,1,-2,0,-1,-1,-1,0,-2,3,1,1,0,0,-1,0,1,-3.5625,-3.5625,-3.5625,2.25,2.25,2.25,6.362851,7.017653,5.029633,7.223485,3.036764,6.647048,-0.0357913,-0.4951742,1.320776,0.3596512,-0.497313,1.314223,0.1682636,0.2894495,1.399087,-0.07530226,-0.4849609,1.322624,0.3256802,-0.4888579,1.319558,0.1577977,-0.1460582,1.423156,0.1618871,-0.4497306,1.400707,-0.009561383,0.01869535,1.408596,0.08330426,-0.4400463,1.372238,-0.04592131,-0.2281699,1.38761,0.3738292,-0.2314895,1.399542,NA,NA,NotTracked,NotTracked,
-0.9599609,0.2216797,0.1870117,0.9179688,0.3271484,0.04248047,0,1,-1,-1,-1,0,-2,-2,0,-1,-1,0,-2,-1,-1,0,-2.25,-2.25,-2.25,-1.875,-1.875,-1.875,6.349506,7.020827,5.020902,7.230387,3.038464,6.642447,-0.036052,-0.4950349,1.321486,0.3587993,-0.4968111,1.313531,0.1669485,0.2894122,1.399038,-0.0733977,-0.4914974,1.31666,0.3248404,-0.4885279,1.318726,0.1568502,-0.1461258,1.422954,0.1610459,-0.4498132,1.400464,-0.01124559,0.01798581,1.407897,0.0824753,-0.4401329,1.371966,-0.0466112,-0.2284758,1.387782,0.3730169,-0.2315519,1.398926,NA,NA,NotTracked,NotTracked,
-0.9692383,0.2294922,0.1884766,0.9267578,0.3149414,0.03955078,-2,0,-2,-2,1,-2,-1,-2,-2,1,0,0,0,-1,0,0,-1.5,-1.5,-1.5,-5.875,-5.875,-5.875,6.34329,7.02234,5.016202,7.238417,3.039807,6.625487,-0.03746863,-0.4950705,1.322558,0.3581126,-0.4968865,1.313788,0.1653246,0.2890438,1.398888,-0.07832279,-0.4856943,1.326837,0.3200759,-0.480608,1.317562,0.1557378,-0.1461977,1.422873,0.1598076,-0.4497724,1.400349,-0.008048172,0.01993904,1.412908,0.08129091,-0.4399337,1.371787,-0.04712208,-0.2287604,1.387999,0.3723962,-0.2314709,1.398601,NA,NA,NotTracked,NotTracked,
-0.96875,0.2241211,0.1870117,0.918457,0.3149414,0.06152344,-1,-2,-2,-2,-2,-3,-3,-1,-4,-1,-1,-2,0,1,-2,-4,-3.125,-3.125,-3.125,-2.625,-2.625,-2.625,6.343218,7.022551,5.019077,7.243914,3.038851,6.613559,-0.03762595,-0.4959577,1.322058,0.3582339,-0.4966141,1.313935,0.1642278,0.2888665,1.398598,-0.07886709,-0.4853224,1.331065,0.3219318,-0.4843939,1.317511,0.1547671,-0.1464236,1.422821,0.1587828,-0.4500413,1.400165,-0.01046366,0.0185969,1.411878,0.08028988,-0.4402101,1.371769,-0.04767039,-0.2290326,1.388093,0.3716701,-0.2317803,1.398298,NA,NA,NotTracked,NotTracked,
-0.9667969,0.2207031,0.1884766,0.9082031,0.324707,0.06005859,-1,-3,0,-1,-1,-1,-2,1,5,-6,-3,0,-3,-3,-1,0,-0.4375,-0.4375,-0.4375,-0.875,-0.875,-0.875,6.346554,7.020838,5.02474,7.247794,3.038464,6.606613,-0.0381959,-0.4954377,1.321595,0.3583504,-0.4968346,1.314299,0.1634647,0.2886155,1.398569,-0.08061103,-0.4812752,1.329044,0.3227577,-0.4837754,1.317903,0.1543037,-0.1465803,1.422774,0.1583845,-0.4501282,1.399991,-0.01262315,0.01768901,1.410338,0.07989848,-0.4403206,1.371593,-0.04804499,-0.2292349,1.388157,0.3713971,-0.231711,1.398197,NA,NA,NotTracked,NotTracked,
