ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
-0.9750977,0.1958008,0.1313477,0.9248047,0.2797852,-0.02392578,0,-1,-1,-1,-4,-3,-2,-1,-1,-3,-3,0,1,-2,-3,0,-4.25,-4.25,-4.25,-0.8125,-0.8125,-0.8125,6.523756,7.104474,9.694572,7.787534,2.972228,9.853076,-0.191395,-0.4692944,1.291432,0.2101438,-0.47809,1.297495,0.01797184,0.2874568,1.349356,-0.2359858,-0.4840211,1.297565,0.2515668,-0.4599313,1.299828,0.003545038,-0.1493853,1.380165,0.01043052,-0.4550831,1.359831,-0.1539902,0.02215693,1.352014,-0.068097,-0.4444466,1.325639,-0.1996118,-0.2322027,1.345365,0.221256,-0.2325284,1.364118,NA,NA,NotTracked,NotTracked,
-0.9790039,0.1987305,0.1328125,0.9296875,0.2670898,-0.03613281,1,1,-1,-1,0,-3,-1,0,3,-2,0,-2,-3,0,-2,-2,-3.75,-3.75,-3.75,-11.625,-11.625,-11.625,6.515227,7.104035,9.692314,7.781387,2.978577,9.84418,-0.1911432,-0.4704188,1.290581,0.2103135,-0.4771728,1.295447,0.01746763,0.2874395,1.349224,-0.2377684,-0.4784186,1.302783,0.2524228,-0.453647,1.2972,0.003009682,-0.1493978,1.380083,0.009998483,-0.4550593,1.359707,-0.1579313,0.02169444,1.353794,-0.06850488,-0.4444583,1.325509,-0.1997136,-0.2322714,1.345341,0.2209949,-0.2322726,1.363672,NA,NA,NotTracked,NotTracked,
-0.9750977,0.1923828,0.1347656,0.9487305,0.3046875,-0.004394531,-2,0,-2,-1,2,0,-5,0,-8,-5,-2,1,1,1,0,-5,-6.875,-6.875,-6.875,-8.5625,-8.5625,-8.5625,6.517798,7.103241,9.705927,7.779467,2.984572,9.82695,-0.1919458,-0.4705523,1.29231,0.2100076,-0.477127,1.294608,0.01695302,0.2874326,1.349176,-0.2392041,-0.4701139,1.306522,0.2498122,-0.4692945,1.290545,0.002735831,-0.1494023,1.380105,0.009858025,-0.455059,1.359714,-0.1587982,0.0218476,1.354663,-0.06862761,-0.4444644,1.325523,-0.1999922,-0.2323328,1.345371,0.2207143,-0.232061,1.363317,NA,NA,NotTracked,NotTracked,
-0.9785156,0.1987305,0.1396484,0.8994141,0.2602539,-0.03808594,-2,-4,-2,1,-1,-1,1,-1,3,-1,2,-1,0,2,-3,-1,-1.75,-1.75,-1.75,4.375,4.375,4.375,6.508706,7.102223,9.70578,7.774482,2.979629,9.834972,-0.1914199,-0.4706157,1.291752,0.2093703,-0.4768767,1.293785,0.01639844,0.2874367,1.349098,-0.2366103,-0.4717866,1.29888,0.2523268,-0.4506423,1.2965,0.002513831,-0.1493876,1.380096,0.009737602,-0.4550414,1.359676,-0.1581363,0.02170487,1.354179,-0.06874372,-0.4444738,1.325474,-0.2003066,-0.2324835,1.34553,0.2202144,-0.2316916,1.362868,NA,NA,NotTracked,NotTracked,
-0.9755859,0.1992188,0.1347656,0.9296875,0.2714844,-0.0009765625,-1,-1,-2,-1,0,2,-3,0,-2,3,2,-1,0,2,2,-4,-1.125,-1.125,-1.125,-6.0625,-6.0625,-6.0625,6.507212,7.10097,9.706761,7.748981,2.971407,9.852983,-0.1913967,-0.4706157,1.290831,0.2086239,-0.4762929,1.293957,0.01599012,0.2874394,1.349007,-0.2369941,-0.478346,1.300407,0.252337,-0.4581014,1.30229,0.002316665,-0.1494238,1.379997,0.009549693,-0.4550511,1.359591,-0.1565053,0.02182485,1.353129,-0.06891774,-0.444506,1.325392,-0.2005334,-0.2325585,1.345429,0.2197895,-0.2315058,1.362343,NA,NA,NotTracked,NotTracked,
-0.9726563,0.2045898,0.1362305,0.9599609,0.2905273,-0.02294922,0,0,-1,-4,-2,-4,-2,-2,-3,-1,-2,-1,1,-2,-2,-6,-2,-2,-2,-6.375,-6.375,-6.375,6.507036,7.099298,9.708322,7.736471,2.964708,9.853613,-0.1919819,-0.4700665,1.290564,0.2080523,-0.4774646,1.295095,0.01551948,0.287487,1.348915,-0.2368477,-0.4703792,1.295905,0.2507899,-0.454729,1.300861,0.002087087,-0.1493723,1.379913,0.009302862,-0.4549458,1.359529,-0.1586528,0.02216279,1.35403,-0.06911631,-0.4444368,1.325314,-0.2008038,-0.2327575,1.345393,0.2195825,-0.2316322,1.362327,NA,NA,NotTracked,NotTracked,
-0.9775391,0.1948242,0.1333008,0.9345703,0.2915039,-0.02099609,0,-2,0,-2,-1,0,1,-2,-8,-3,-2,-1,-4,-1,-4,-12,1,1,1,-1.1875,-1.1875,-1.1875,6.518047,7.096426,9.719485,7.73555,2.961761,9.850238,-0.1918595,-0.4704951,1.289298,0.2076661,-0.4771895,1.295495,0.01514696,0.2874887,1.348624,-0.236763,-0.4782603,1.296673,0.2489989,-0.4560909,1.300192,0.001798433,-0.1494076,1.379764,0.009174314,-0.4549653,1.359376,-0.15843,0.02202606,1.353489,-0.06926499,-0.4444662,1.325127,-0.2009786,-0.2329215,1.345237,0.2193195,-0.231867,1.362193,NA,NA,NotTracked,NotTracked,
-0.9785156,0.199707,0.1362305,0.9208984,0.2905273,-0.01953125,0,-1,-1,-1,-1,0,0,-1,-10,-2,-2,0,0,-1,2,2,4.875,4.875,4.875,7.25,7.25,7.25,6.525408,7.096002,9.722562,7.737774,2.958546,9.855245,-0.1921759,-0.4698388,1.288489,0.2073482,-0.4773266,1.296215,0.01494708,0.2875108,1.348474,-0.2371088,-0.474412,1.292892,0.248714,-0.4583612,1.301039,0.001590777,-0.1495272,1.379652,0.009071322,-0.4551626,1.359234,-0.1549742,0.02208114,1.351767,-0.06938628,-0.4446527,1.325007,-0.20113,-0.2328738,1.345072,0.2191056,-0.2321055,1.362173,NA,NA,NotTracked,NotTracked,
-0.9755859,0.2011719,0.121582,0.9306641,0.2744141,-0.03564453,-1,-1,0,0,-2,-1,-6,-3,7,-2,-2,-1,0,0,-3,-6,4.5,4.5,4.5,2.6875,2.6875,2.6875,6.544512,7.097686,9.727609,7.747831,2.958469,9.851589,-0.1921653,-0.4701276,1.28849,0.2075152,-0.4778679,1.296968,0.01485087,0.287464,1.348284,-0.2381243,-0.4901264,1.29773,0.2486054,-0.4612947,1.301244,0.001425302,-0.1495385,1.379443,0.008940326,-0.4551582,1.358963,-0.158391,0.02145382,1.352508,-0.06951053,-0.4446863,1.324703,-0.2012558,-0.2328751,1.344763,0.2190058,-0.2321205,1.362132,NA,NA,NotTracked,NotTracked,
-0.9790039,0.1948242,0.1269531,0.9951172,0.3276367,-0.1074219,-1,-2,-1,0,-2,-1,1,0,-22,-20,3,8,-2,-3,5,1,4.3125,4.3125,4.3125,-19.3125,-19.3125,-19.3125,6.546239,7.098325,9.726948,7.700154,2.967241,9.892307,-0.1926006,-0.469818,1.287767,0.2071208,-0.4772543,1.295444,0.01471776,0.2874366,1.348147,-0.2384177,-0.4981492,1.299,0.2505363,-0.4532328,1.303748,0.001298615,-0.1495365,1.379249,0.008857492,-0.455123,1.358698,-0.1598726,0.02143453,1.35273,-0.06958754,-0.4446825,1.324412,-0.2013108,-0.2329159,1.344377,0.2189487,-0.2319856,1.362036,NA,NA,NotTracked,NotTracked,
