ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
-0.949707,0.246582,0.1948242,0.9296875,0.3061523,0.03613281,-3,-1,-1,-1,-1,-3,-1,-1,-2,-1,0,-1,-4,-8,-1,-2,10.0625,10.0625,10.0625,-4.5625,-4.5625,-4.5625,6.459162,7.000855,6.748822,7.234809,3.033187,5.103318,-0.01991154,-0.4885955,1.361709,0.379059,-0.4880185,1.36161,0.1943465,0.2882679,1.444402,-0.05949843,-0.4751033,1.366732,0.42024,-0.4744316,1.359421,0.1720943,-0.1444127,1.468494,0.175623,-0.4479605,1.44158,0.006837282,0.01683399,1.448437,0.09702127,-0.4390447,1.41169,-0.03158017,-0.2270851,1.426967,0.3916284,-0.2248507,1.44423,NA,NA,NotTracked,NotTracked,
-0.9482422,0.2563477,0.1806641,0.9199219,0.3120117,0.04492188,0,-3,-1,-1,-2,-2,-1,1,0,0,-2,-1,2,2,-1,-1,13.375,13.375,13.375,-3.0625,-3.0625,-3.0625,6.466062,7.001757,6.731694,7.217092,3.033823,5.118734,-0.02016778,-0.490164,1.362991,0.3781245,-0.4878494,1.364305,0.1943051,0.2880369,1.444149,-0.05893125,-0.4825171,1.364372,0.4161321,-0.4819789,1.359727,0.1718208,-0.1444942,1.468583,0.1752714,-0.4480284,1.441863,0.006620745,0.01692122,1.448326,0.09670477,-0.4390743,1.411831,-0.03211531,-0.2269297,1.427153,0.390802,-0.22496,1.444634,NA,NA,NotTracked,NotTracked,
-0.9594727,0.2387695,0.1845703,0.9169922,0.3178711,0.04199219,0,-1,-2,-1,0,-2,0,0,-1,-1,-1,-1,-1,-1,0,-1,13.5,13.5,13.5,-3.3125,-3.3125,-3.3125,6.471025,7.001215,6.721441,7.201259,3.034167,5.132103,-0.02074704,-0.4890867,1.36121,0.3757504,-0.4872929,1.363866,0.1941355,0.2877607,1.443898,-0.06077005,-0.4770618,1.362698,0.4128618,-0.4816254,1.35725,0.1714986,-0.1445743,1.468574,0.1749284,-0.4480869,1.442063,0.006308307,0.01692994,1.448118,0.09638138,-0.4391038,1.411885,-0.03265918,-0.2270165,1.427111,0.3897885,-0.2252875,1.445021,NA,NA,NotTracked,NotTracked,
-0.9614258,0.237793,0.1791992,0.9179688,0.347168,0.04589844,0,-1,0,-2,-1,0,1,1,-2,2,0,-1,2,-2,-2,-4,13.125,13.125,13.125,-7.6875,-7.6875,-7.6875,6.475907,6.999862,6.710863,7.189789,3.033787,5.134824,-0.02100374,-0.4890529,1.360883,0.3740235,-0.4870876,1.363948,0.1938542,0.2876892,1.443684,-0.06035263,-0.4969335,1.366,0.4101622,-0.4798845,1.357167,0.1709484,-0.1446114,1.468609,0.1745408,-0.4480222,1.442351,0.005804444,0.01679659,1.447622,0.0960317,-0.4390355,1.411972,-0.03312228,-0.2269561,1.42698,0.3887219,-0.2253253,1.445506,NA,NA,NotTracked,NotTracked,
-0.9677734,0.2353516,0.175293,0.9130859,0.3491211,0.04882813,-4,-3,-2,-3,-1,-3,-1,-1,0,0,-1,1,1,0,1,-2,10.125,10.125,10.125,-8.625,-8.625,-8.625,6.478627,6.997655,6.701349,7.190517,3.033527,5.128828,-0.02119188,-0.4886867,1.359567,0.3730682,-0.4874971,1.364451,0.1933115,0.2874866,1.442767,-0.0628255,-0.4751246,1.36497,0.4129313,-0.4709002,1.367538,0.1700314,-0.1447008,1.468681,0.1739965,-0.4480752,1.442582,0.005510871,0.01683348,1.447484,0.09545664,-0.4390433,1.412015,-0.03354542,-0.2267203,1.426757,0.3878378,-0.2253548,1.44603,NA,NA,NotTracked,NotTracked,
-0.9746094,0.2397461,0.1650391,0.9145508,0.3413086,0.04296875,0,-1,0,-1,-2,-1,-2,-1,-1,0,0,0,-1,2,1,1,7.25,7.25,7.25,-10,-10,-10,6.478293,6.993983,6.691551,7.200361,3.032372,5.107007,-0.02116614,-0.4878798,1.357569,0.3713922,-0.4879221,1.367123,0.1924549,0.28718,1.44191,-0.06389588,-0.4766769,1.362227,0.4107899,-0.4779309,1.364841,0.1690584,-0.1447973,1.468709,0.1733422,-0.4480261,1.442869,0.004710736,0.01677007,1.446983,0.09478422,-0.4389717,1.412163,-0.03440728,-0.2266953,1.426297,0.3862355,-0.2257171,1.446962,NA,NA,NotTracked,NotTracked,
-0.9633789,0.246582,0.1704102,0.9072266,0.3237305,0.05419922,-2,0,1,-1,0,-1,0,2,-1,-1,1,-1,-3,-7,-3,2,3.625,3.625,3.625,1.1875,1.1875,1.1875,6.475117,6.98879,6.682302,7.22515,3.029009,5.074776,-0.02116,-0.487237,1.356498,0.3715535,-0.4885664,1.3677,0.1919384,0.28702,1.441514,-0.06202114,-0.4831961,1.360656,0.4050607,-0.4832571,1.356938,0.1686997,-0.1448609,1.468668,0.1730967,-0.4480373,1.442855,0.004064288,0.01675557,1.446744,0.09449632,-0.4389912,1.412075,-0.03475886,-0.2267141,1.426072,0.3855108,-0.2259619,1.447245,NA,NA,NotTracked,NotTracked,
-0.9580078,0.2548828,0.1733398,0.9067383,0.3310547,0.04980469,-2,-2,-1,-2,-2,-2,-2,2,-1,-1,0,-1,5,4,-3,-2,-5.3125,-5.3125,-5.3125,5.4375,5.4375,5.4375,6.466909,6.981814,6.676842,7.239938,3.027758,5.061921,-0.02045153,-0.4872442,1.35508,0.3717349,-0.4894171,1.368265,0.1914703,0.286948,1.441357,-0.06191932,-0.4800752,1.36323,0.4058878,-0.4788244,1.356737,0.1679349,-0.144986,1.468555,0.1725829,-0.4481038,1.442837,0.003560552,0.01674451,1.44666,0.09393853,-0.4390936,1.411965,-0.03537878,-0.2264855,1.425806,0.3849735,-0.2261102,1.447576,NA,NA,NotTracked,NotTracked,
-0.9536133,0.25,0.1953125,0.9204102,0.3237305,0.04003906,1,0,-2,-3,1,-1,0,-1,-2,-3,-2,-3,-2,1,0,-1,-9,-9,-9,2.0625,2.0625,2.0625,6.451632,6.974659,6.670567,7.280673,3.022177,5.027688,-0.02076889,-0.4860521,1.353996,0.3724926,-0.4895311,1.368876,0.1911123,0.2869133,1.441233,-0.06053103,-0.4691403,1.353544,0.412899,-0.4864246,1.367556,0.1674431,-0.1450409,1.468427,0.1723209,-0.4480987,1.442755,0.00267864,0.01664944,1.44656,0.09364693,-0.4391206,1.411853,-0.03585273,-0.2262234,1.425594,0.3845188,-0.2261275,1.447842,NA,NA,NotTracked,NotTracked,
-0.9472656,0.2504883,0.1958008,0.9350586,0.3134766,0.05371094,0,-2,-2,-1,0,-1,1,-2,0,2,1,0,-2,0,3,0,-5.8125,-5.8125,-5.8125,2.8125,2.8125,2.8125,6.439682,6.967359,6.670993,7.298,3.018768,5.012222,-0.02066899,-0.4964839,1.350735,0.3737532,-0.4905645,1.369936,0.1900297,0.2867724,1.441021,-0.05948315,-0.4952435,1.360739,0.41338,-0.4787837,1.366798,0.1661438,-0.1451487,1.468052,0.1710697,-0.4480915,1.442281,0.001291435,0.01670502,1.446415,0.09234472,-0.4390962,1.411276,-0.03691535,-0.2259352,1.425079,0.3839018,-0.2262176,1.447939,NA,NA,NotTracked,NotTracked,
