ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
-0.9697266,0.2280273,0.1987305,0.9223633,0.2714844,0.01806641,-1,0,-2,-3,0,-2,1,0,-1,0,-2,-1,-2,0,1,1,2.8125,2.8125,2.8125,-2.75,-2.75,-2.75,6.361626,7.010128,6.439885,7.337655,2.939004,4.416553,-0.02018292,-0.5072374,1.340673,0.3801769,-0.4897877,1.340266,0.1911466,0.2829986,1.413923,-0.05975605,-0.508082,1.354668,0.4195391,-0.4843401,1.339145,0.1725541,-0.1503723,1.439743,0.172403,-0.4532263,1.416287,0.005525796,0.01374526,1.42619,0.0935111,-0.4438057,1.387831,-0.03261413,-0.2352263,1.412113,0.3911878,-0.2317435,1.414878,NA,NA,NotTracked,NotTracked,
-0.9599609,0.2133789,0.2006836,0.9291992,0.2753906,0.02148438,-1,0,0,-1,-2,0,-2,-1,-2,-1,-1,0,1,-2,1,1,1,1,1,-0.375,-0.375,-0.375,6.35878,7.008053,6.435101,7.338425,2.939394,4.413472,-0.02057903,-0.5053402,1.340571,0.3794439,-0.4898376,1.340871,0.1905897,0.2828376,1.41344,-0.05928093,-0.510939,1.350873,0.4181114,-0.479849,1.337739,0.1719843,-0.1505262,1.43902,0.1720211,-0.4534355,1.415501,0.004789716,0.01341181,1.425327,0.0931576,-0.4440264,1.387252,-0.03331492,-0.2360142,1.410423,0.3906181,-0.2317989,1.414277,NA,NA,NotTracked,NotTracked,
-0.9716797,0.2202148,0.1992188,0.9384766,0.2734375,0.02539063,0,-1,-1,-2,-1,-2,-2,-1,-2,0,0,-1,-1,-1,1,0,1.5,1.5,1.5,-3.0625,-3.0625,-3.0625,6.356698,7.006054,6.430099,7.339621,2.939682,4.409102,-0.02066056,-0.5047202,1.338744,0.3798551,-0.4899516,1.34027,0.190164,0.282862,1.413095,-0.06038305,-0.5025381,1.347864,0.4219171,-0.48474,1.34271,0.1714537,-0.1505339,1.438272,0.1717385,-0.4535265,1.414771,0.004466263,0.01349561,1.424428,0.09284642,-0.4441588,1.386466,-0.03370067,-0.2360601,1.40932,0.3901238,-0.2319406,1.413688,NA,NA,NotTracked,NotTracked,
-0.9575195,0.2202148,0.1972656,0.9282227,0.2636719,0.03125,-1,-2,1,-1,-2,-1,-2,1,2,-1,-2,-1,0,0,-3,0,1.1875,1.1875,1.1875,2.6875,2.6875,2.6875,6.35497,7.004415,6.427001,7.336672,2.940081,4.41182,-0.02070451,-0.5036411,1.33725,0.3797396,-0.4906815,1.339148,0.1896108,0.2830999,1.41247,-0.06117316,-0.5030534,1.349871,0.4214071,-0.4851554,1.34143,0.1710154,-0.1504695,1.437591,0.1713639,-0.45354,1.414073,0.00432551,0.01355904,1.423524,0.0924434,-0.4441679,1.385675,-0.034102,-0.2362785,1.40776,0.3896323,-0.2319179,1.41292,NA,NA,NotTracked,NotTracked,
-0.9628906,0.2231445,0.1884766,0.9418945,0.2714844,0.03125,-1,-2,-2,0,-1,-1,-2,0,0,0,-1,1,-1,-1,-2,-2,2.6875,2.6875,2.6875,-0.75,-0.75,-0.75,6.350873,6.998021,6.413742,7.336092,2.941202,4.416433,-0.01912098,-0.5034771,1.335161,0.3791629,-0.4912514,1.338389,0.1894752,0.2831889,1.412243,-0.05759501,-0.5146453,1.348919,0.4214081,-0.4856854,1.341661,0.1708587,-0.1504044,1.43703,0.171221,-0.4535248,1.413657,0.004038961,0.01354332,1.422589,0.09229686,-0.4441423,1.385331,-0.03420522,-0.2357642,1.406755,0.3893707,-0.2318713,1.412276,NA,NA,NotTracked,NotTracked,
-0.9584961,0.2211914,0.1899414,0.9414063,0.262207,0.02197266,-1,0,-2,-3,-1,-2,-3,-2,1,0,-3,0,-1,-2,-1,-1,-2.1875,-2.1875,-2.1875,1.0625,1.0625,1.0625,6.345843,6.994226,6.409549,7.335817,2.94116,4.417529,-0.01888796,-0.502728,1.333907,0.3791087,-0.4909875,1.336667,0.1893961,0.2832561,1.412088,-0.05852274,-0.5120453,1.349376,0.4214476,-0.485939,1.34109,0.1708175,-0.1504108,1.436549,0.1712955,-0.4535764,1.413057,0.004009634,0.01344421,1.422335,0.09236571,-0.4442659,1.384647,-0.03421196,-0.235459,1.40619,0.389242,-0.2319922,1.411701,NA,NA,NotTracked,NotTracked,
-0.9555664,0.2324219,0.2011719,0.9301758,0.2753906,0.02929688,-1,0,-1,-2,-1,-2,0,-1,0,-2,0,-1,-2,-1,4,-1,-4.875,-4.875,-4.875,2,2,2,6.340938,6.993834,6.410914,7.334363,2.941076,4.423612,-0.01895028,-0.5049521,1.334629,0.3795234,-0.4923432,1.336878,0.189446,0.283368,1.411873,-0.05677428,-0.5000458,1.347485,0.4212786,-0.486023,1.340254,0.1708246,-0.1504376,1.436267,0.1714036,-0.4536317,1.41256,0.004010851,0.01353191,1.422102,0.0924695,-0.4443366,1.384047,-0.03405593,-0.2355192,1.405915,0.3891785,-0.2321238,1.411047,NA,NA,NotTracked,NotTracked,
-0.9648438,0.2329102,0.1958008,0.934082,0.2792969,0.02197266,-2,-1,-1,0,0,-3,-2,-2,2,-7,-20,-7,-5,-3,0,0,-5.625,-5.625,-5.625,0.3125,0.3125,0.3125,6.338038,6.995446,6.414135,7.333667,2.941857,4.423887,-0.01840213,-0.5054469,1.335498,0.3794104,-0.4921078,1.336453,0.1894798,0.2833773,1.41172,-0.05663782,-0.5132936,1.344761,0.4202905,-0.4863031,1.335399,0.1709648,-0.1504206,1.436016,0.1714613,-0.4536391,1.412292,0.004064271,0.01358513,1.421982,0.09251833,-0.4443522,1.383846,-0.03386673,-0.2355612,1.405546,0.3892889,-0.231869,1.410512,NA,NA,NotTracked,NotTracked,
-1.036133,0.2792969,0.1508789,0.9394531,0.3295898,-0.03710938,-1,-6,-9,-4,-5,-3,-1,1,3,-18,-9,-2,-1,-3,-4,-3,28.5,28.5,28.5,-98.0625,-98.0625,-98.0625,6.365835,6.992393,6.4201,7.28633,2.971429,4.400728,-0.01825716,-0.5040232,1.334655,0.3794852,-0.4908285,1.334555,0.1895724,0.2835905,1.411344,-0.05781225,-0.5060018,1.346622,0.417833,-0.482631,1.32731,0.171152,-0.1504053,1.435599,0.1715064,-0.4536716,1.411971,0.004225918,0.01358075,1.421617,0.09257386,-0.4443788,1.383629,-0.0336434,-0.2354336,1.405167,0.3894229,-0.2319508,1.409913,NA,NA,NotTracked,NotTracked,
-1.003906,0.2983398,0.2753906,0.9487305,0.5673828,0.1865234,-1,-17,2,9,-7,-5,-3,-3,6,-21,3,12,3,1,-2,-5,46.1875,46.1875,46.1875,-125.25,-125.25,-125.25,6.391083,6.950963,6.378256,6.933927,3.152405,4.494408,-0.01465766,-0.4966811,1.322561,0.3729748,-0.4799336,1.30958,0.1895727,0.2836424,1.41112,-0.0501156,-0.5033347,1.322872,0.3907295,-0.4715621,1.278661,0.1713885,-0.1503352,1.435014,0.1718608,-0.4536236,1.411065,0.004345764,0.0135138,1.421325,0.09281364,-0.4443495,1.382915,-0.03381547,-0.2337671,1.404194,0.3900267,-0.2306485,1.409327,NA,NA,NotTracked,NotTracked,
