ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
-0.9658203,0.2329102,0.1689453,0.9082031,0.3178711,0.05517578,-2,-1,-2,-2,0,-2,-2,-1,-6,-2,-2,0,-2,-3,-5,-3,7.6875,7.6875,7.6875,-8.875,-8.875,-8.875,6.426166,7.012725,7.534985,7.278491,3.064747,0.2286317,-0.1154939,-0.4826582,1.31122,0.2992309,-0.4947491,1.291227,0.0882295,0.285887,1.393696,-0.07468967,-0.4684353,1.293833,0.2619931,-0.4796661,1.289158,0.08407746,-0.1521259,1.415013,0.08642966,-0.4599049,1.388249,-0.08519626,0.01293051,1.403701,0.007260318,-0.4495336,1.358867,-0.1200216,-0.2343043,1.382125,0.3018237,-0.2309741,1.379896,NA,NA,NotTracked,NotTracked,
-0.96875,0.2275391,0.1655273,0.9057617,0.3256836,0.04199219,-2,-2,-2,-1,-1,0,1,-2,-12,9,11,2,1,-1,1,-3,1.1875,1.1875,1.1875,1.6875,1.6875,1.6875,6.425876,7.015837,7.523278,7.267722,3.070774,0.2379088,-0.1170567,-0.483525,1.31197,0.29831,-0.4949825,1.289559,0.08762784,0.285881,1.393793,-0.07793492,-0.4812092,1.293344,0.2593404,-0.4801249,1.289207,0.08334912,-0.1520952,1.414929,0.08579452,-0.4599223,1.388115,-0.08587074,0.01313083,1.403407,0.006607854,-0.4496185,1.358676,-0.1207959,-0.2340763,1.381825,0.3010496,-0.2305519,1.379409,NA,NA,NotTracked,NotTracked,
-0.9643555,0.2226563,0.1767578,0.9277344,0.390625,0.07421875,1,0,-1,-2,-2,-2,-2,0,-21,-5,-4,-1,0,-1,-4,-10,-1.375,-1.375,-1.375,-5.1875,-5.1875,-5.1875,6.419238,7.016367,7.518085,7.261817,3.076787,0.2374184,-0.1178561,-0.4828106,1.310916,0.2979415,-0.4935252,1.286225,0.08702679,0.2859007,1.393571,-0.07987884,-0.4828592,1.291981,0.2606965,-0.476977,1.279895,0.08252769,-0.1520401,1.414706,0.08523209,-0.4599231,1.387972,-0.08665686,0.01327039,1.402874,0.006074217,-0.4496485,1.358493,-0.1215294,-0.233913,1.38118,0.3001196,-0.2294013,1.37882,NA,NA,NotTracked,NotTracked,
-0.9594727,0.2246094,0.1733398,0.9121094,0.3979492,0.04003906,-1,-2,-1,-2,-1,0,-1,-1,1,-3,-5,-4,-3,-1,-4,-2,-1.25,-1.25,-1.25,-3.625,-3.625,-3.625,6.414817,7.016883,7.515822,7.252414,3.100538,0.2433431,-0.1175815,-0.4834864,1.311184,0.2985056,-0.4921232,1.28124,0.08624233,0.2859381,1.393541,-0.07742523,-0.467622,1.294276,0.2615007,-0.4905722,1.27,0.0818048,-0.1519431,1.414494,0.08460657,-0.4598294,1.387774,-0.08766904,0.0134656,1.402696,0.005464326,-0.4496445,1.358123,-0.1226437,-0.2337359,1.380701,0.2994925,-0.2289202,1.378284,NA,NA,NotTracked,NotTracked,
-0.9604492,0.2280273,0.1894531,0.9301758,0.4365234,0.0234375,-1,2,0,0,-3,-1,0,0,-17,-29,-24,-13,-6,-4,-7,-15,1.75,1.75,1.75,-23.3125,-23.3125,-23.3125,6.410635,7.017491,7.509831,7.233298,3.155364,0.2351169,-0.1175866,-0.4828374,1.311056,0.2987102,-0.4887812,1.27268,0.08563587,0.285988,1.393485,-0.07946797,-0.4811568,1.294231,0.2571424,-0.5021572,1.273227,0.08078083,-0.1521012,1.414385,0.08412717,-0.4599528,1.387635,-0.08850285,0.01334058,1.402054,0.005011731,-0.4497766,1.357934,-0.1231844,-0.2338243,1.38051,0.2987786,-0.2278294,1.377192,NA,NA,NotTracked,NotTracked,
-0.9604492,0.2246094,0.1787109,0.9555664,0.402832,0.06982422,-1,-3,0,0,0,-1,-1,-1,16,8,5,1,-2,0,2,11,2.5625,2.5625,2.5625,-30.6875,-30.6875,-30.6875,6.399994,7.018362,7.493586,7.153603,3.218359,0.270891,-0.1182956,-0.4856528,1.311397,0.2979163,-0.4839542,1.261875,0.08484127,0.2860502,1.393555,-0.08034635,-0.4825734,1.294558,0.2638587,-0.4715731,1.248319,0.08006348,-0.1521425,1.414344,0.08352797,-0.4600151,1.387528,-0.08929311,0.01300123,1.401424,0.004439368,-0.4498646,1.357853,-0.124049,-0.2338701,1.380108,0.2985983,-0.2257014,1.375485,NA,NA,NotTracked,NotTracked,
-0.965332,0.2197266,0.1713867,0.9238281,0.5141602,0.175293,1,-1,-1,0,-1,-1,0,-1,-5,-21,-1,8,4,4,4,15,-1.0625,-1.0625,-1.0625,-12.0625,-12.0625,-12.0625,6.394119,7.016033,7.485931,7.041554,3.339482,0.3550908,-0.1181782,-0.4850549,1.310271,0.2943403,-0.4724479,1.237972,0.08401597,0.2859887,1.393448,-0.0759877,-0.4431607,1.295444,0.2523799,-0.4776321,1.2514,0.07957975,-0.1520459,1.414222,0.08310749,-0.4599665,1.387368,-0.09002457,0.01292349,1.400791,0.004006423,-0.4498674,1.357572,-0.1245453,-0.2338513,1.379681,0.2987904,-0.221683,1.373652,NA,NA,NotTracked,NotTracked,
-0.9536133,0.2265625,0.1928711,0.8759766,0.6313477,0.2397461,-1,-4,-1,-3,0,-1,-1,1,7,11,-2,0,2,-1,-1,29,0.3125,0.3125,0.3125,12.25,12.25,12.25,6.380882,7.016014,7.475677,6.966887,3.525971,0.4514208,-0.1186354,-0.484827,1.309919,0.2869339,-0.4436977,1.202608,0.08324426,0.2861304,1.393286,-0.08360817,-0.4929087,1.287534,0.245263,-0.4546775,1.213143,0.07786488,-0.1521342,1.414138,0.08118573,-0.4599566,1.387423,-0.09074054,0.01275034,1.400287,0.002158761,-0.4498928,1.357657,-0.1249299,-0.2337833,1.379451,0.2998554,-0.2126798,1.37151,NA,NA,NotTracked,Unknown,
-0.9628906,0.2192383,0.1875,0.6796875,0.7353516,0.3696289,1,0,-2,-2,-1,0,0,-2,7,5,0,4,2,1,2,3,2.5,2.5,2.5,47.125,47.125,47.125,6.37294,7.018133,7.464776,6.930754,3.861587,0.6004246,-0.1181831,-0.4853023,1.310454,0.2721269,-0.4086928,1.159586,0.08223219,0.2860391,1.39284,-0.07738079,-0.4632663,1.2947,0.2545234,-0.3738095,1.126552,0.07622097,-0.1520167,1.413944,0.07801483,-0.459635,1.38737,-0.09122629,0.01312189,1.399923,-0.001037577,-0.4493861,1.357633,-0.1255181,-0.2332688,1.3789,0.3004971,-0.1989633,1.369227,NA,NA,NotTracked,Unknown,
-0.9648438,0.21875,0.1821289,0.4677734,0.8237305,0.277832,-2,1,-1,-1,-3,-1,-1,-1,2,-15,4,-6,-1,2,5,8,5.875,5.875,5.875,45.375,45.375,45.375,6.369521,7.022098,7.449349,6.946331,4.149528,0.7134289,-0.1182286,-0.4849684,1.309584,0.253081,-0.3461377,1.120648,0.0815974,0.2860329,1.392536,-0.07948877,-0.4735791,1.292222,0.2347839,-0.305879,1.098495,0.07515969,-0.1517557,1.413675,0.07622524,-0.459131,1.386903,-0.0914332,0.01361801,1.399472,-0.002861342,-0.4487455,1.357366,-0.1256901,-0.2332617,1.378514,0.3014305,-0.1847186,1.364395,NA,NA,NotTracked,Unknown,
-0.9731445,0.2192383,0.1870117,0.3398438,0.7866211,0.3530273,-1,0,-1,-1,1,2,0,1,52,16,20,7,4,-5,-1,22,7.125,7.125,7.125,33.875,33.875,33.875,6.373969,7.022747,7.4461,6.955444,4.333582,0.7755069,-0.1181632,-0.4848939,1.308892,0.2287176,-0.2658884,1.099887,0.08120859,0.2861388,1.392407,-0.07676938,-0.4497837,1.294263,0.1925483,-0.258654,1.087728,0.07416269,-0.1514055,1.413596,0.07418809,-0.4584321,1.386692,-0.09156653,0.0138915,1.399208,-0.00495676,-0.4479091,1.357382,-0.1258251,-0.2331363,1.378359,0.3110797,-0.1808054,1.354207,NA,NA,NotTracked,Unknown,
-0.9609375,0.222168,0.1625977,0.1376953,0.871582,0.2949219,0,-3,-2,-1,-2,-1,-2,-2,5,-7,-7,-3,2,-5,7,4,0.6875,0.6875,0.6875,21.4375,21.4375,21.4375,6.395503,7.023764,7.4567,6.987969,4.723745,0.9210131,-0.1179542,-0.4847191,1.308848,0.2097639,-0.210143,1.086956,0.08102281,0.286198,1.392366,-0.07945194,-0.4773078,1.291837,0.1753149,-0.2006783,1.064779,0.07366149,-0.1512568,1.413526,0.07375535,-0.4582448,1.386599,-0.09165319,0.01432309,1.398617,-0.00542869,-0.4477338,1.357387,-0.1259278,-0.2327322,1.377828,0.3539782,-0.1593799,1.338983,NA,NA,NotTracked,Unknown,
-0.9580078,0.222168,0.1694336,0.07275391,0.840332,0.1962891,-2,-1,-1,0,-2,-1,-2,-2,14,8,-4,4,-1,-1,1,5,-0.6875,-0.6875,-0.6875,15.6875,15.6875,15.6875,6.396137,7.023114,7.457576,7.014006,4.869915,0.9768426,-0.1167966,-0.4979834,1.304782,0.1990975,-0.1812865,1.083888,0.08066937,0.2863835,1.392403,-0.08263769,-0.4846198,1.287685,0.1622194,-0.1723291,1.078327,0.07319374,-0.1507722,1.413488,0.07278238,-0.4574404,1.38658,-0.09178758,0.01466012,1.398152,-0.00631928,-0.4469758,1.357791,-0.1258574,-0.2327143,1.377512,0.3578579,-0.1542371,1.328339,NA,NA,NotTracked,Unknown,
-0.9677734,0.2192383,0.171875,0.105957,0.8613281,0.3105469,1,-1,-1,-1,1,2,-10,0,8,3,-1,-5,-4,-1,10,11,-1.5,-1.5,-1.5,12.1875,12.1875,12.1875,6.397079,7.023262,7.459332,7.031023,4.936845,1.012589,-0.1173392,-0.4982193,1.305123,0.1894339,-0.1715322,1.08208,0.08048676,0.2865107,1.392578,-0.08160466,-0.4838002,1.288706,0.1513524,-0.1598897,1.1049,0.07300471,-0.1505309,1.413525,0.07247978,-0.4570794,1.386582,-0.09183735,0.01481982,1.398103,-0.006582848,-0.446625,1.358169,-0.1258689,-0.2326395,1.377394,0.362354,-0.1504388,1.32532,NA,NA,NotTracked,Unknown,
