ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
-0.9736328,0.2319336,0.1430664,0.9165039,0.3251953,0.02880859,-1,-1,0,-1,-2,-1,-2,0,-1,-1,1,-1,-1,-5,-3,-3,5.5625,5.5625,5.5625,-1,-1,-1,6.435128,7.04094,7.539888,7.421288,3.041014,4.065662,-0.046204,-0.496596,1.356737,0.3495912,-0.4799142,1.342661,0.1525826,0.2851759,1.42934,-0.0123757,-0.4797961,1.337687,0.3107884,-0.4813402,1.325363,0.1410603,-0.1489047,1.451476,0.1457703,-0.4508073,1.427182,-0.02717146,0.01442682,1.44097,0.06713844,-0.442175,1.398064,-0.06021256,-0.2315374,1.419224,0.3577608,-0.2240289,1.42266,NA,NA,NotTracked,NotTracked,
-0.9648438,0.2128906,0.1577148,0.9072266,0.3295898,0.001464844,-2,-2,-1,-1,-3,-4,-4,-1,0,0,0,1,-2,-2,1,2,-3.5,-3.5,-3.5,-3.875,-3.875,-3.875,6.428911,7.041595,7.535753,7.410443,3.03997,4.073422,-0.04205377,-0.4961726,1.357039,0.3509745,-0.4801217,1.34297,0.1561392,0.2854863,1.428038,-0.009506526,-0.4763593,1.341569,0.3110729,-0.4477189,1.330421,0.1430925,-0.1485496,1.451147,0.1475792,-0.4505401,1.42712,-0.0248147,0.01517589,1.44014,0.06892555,-0.4417941,1.397979,-0.0577255,-0.2312211,1.418567,0.3596285,-0.2236948,1.422223,NA,NA,NotTracked,NotTracked,
-0.9584961,0.2143555,0.1582031,0.9228516,0.3208008,0.01025391,0,-2,-1,-1,-2,-1,0,0,-2,-2,0,-1,-7,-11,-4,-5,-3.625,-3.625,-3.625,-3.6875,-3.6875,-3.6875,6.422964,7.043383,7.533469,7.408402,3.039582,4.068384,-0.0410912,-0.4963321,1.357754,0.3527466,-0.4799694,1.343188,0.1588772,0.2855095,1.427047,-0.009750927,-0.4760144,1.341539,0.3135563,-0.4889635,1.323017,0.1449578,-0.1484361,1.450899,0.1496651,-0.4505364,1.427179,-0.0219549,0.01549133,1.43951,0.0709379,-0.4416909,1.398165,-0.0558742,-0.231229,1.418278,0.361239,-0.2240126,1.422153,NA,NA,NotTracked,NotTracked,
-0.9648438,0.2084961,0.1699219,0.918457,0.3325195,0.03125,0,-1,0,-1,0,3,-6,-7,-2,1,-1,0,0,-2,-2,-3,-1.1875,-1.1875,-1.1875,-0.1875,-0.1875,-0.1875,6.416085,7.046442,7.530742,7.404783,3.037605,4.069419,-0.03863011,-0.4964165,1.359921,0.3543544,-0.4812214,1.344881,0.1616662,0.2858261,1.427174,-0.004920548,-0.4850259,1.338725,0.3133108,-0.4771474,1.326692,0.1467528,-0.1483235,1.451176,0.1511831,-0.4505319,1.427614,-0.02011305,0.0159397,1.439658,0.07250338,-0.4416147,1.39859,-0.0539744,-0.2310411,1.418345,0.3636519,-0.2240628,1.422403,NA,NA,NotTracked,NotTracked,
-0.9785156,0.2260742,0.168457,0.9116211,0.3300781,0.03173828,-2,0,-1,0,1,1,0,-2,0,-1,0,-2,0,4,0,-1,3.3125,3.3125,3.3125,0.0625,0.0625,0.0625,6.429612,7.045717,7.537523,7.392938,3.036821,4.08027,-0.03779905,-0.4951251,1.35759,0.3547262,-0.4798685,1.343787,0.1641348,0.2861332,1.426889,-0.009498634,-0.480935,1.336205,0.3160583,-0.4537053,1.332121,0.1485601,-0.1480125,1.451305,0.1529702,-0.4501505,1.427809,-0.0179025,0.01642297,1.43958,0.07423104,-0.4411318,1.398756,-0.05235009,-0.2307096,1.418381,0.3654414,-0.2237853,1.422395,NA,NA,NotTracked,NotTracked,
-0.9677734,0.2202148,0.1547852,0.9091797,0.3237305,0.02050781,0,0,-1,0,1,-2,-7,-5,-1,0,0,2,0,0,-1,1,0.5625,0.5625,0.5625,0.6875,0.6875,0.6875,6.436533,7.044841,7.543065,7.390895,3.036795,4.084168,-0.03520285,-0.4931505,1.358851,0.3574585,-0.4801737,1.345442,0.1664803,0.2865323,1.426742,-0.00443333,-0.4787543,1.339867,0.3176742,-0.4503975,1.3326,0.1505562,-0.1474734,1.451483,0.1547879,-0.4495464,1.427902,-0.01525785,0.01751462,1.439304,0.07602507,-0.4404582,1.398761,-0.05038483,-0.2299087,1.418537,0.3673454,-0.2230733,1.422525,NA,NA,NotTracked,NotTracked,
-0.9672852,0.2177734,0.1586914,0.9335938,0.324707,0.02832031,0,0,-1,-1,-2,-1,5,-1,0,0,1,-1,0,2,-2,-1,-2.875,-2.875,-2.875,2.125,2.125,2.125,6.437935,7.043358,7.547738,7.38898,3.037722,4.088438,-0.03685371,-0.4755383,1.362092,0.3581066,-0.4799083,1.344495,0.1684787,0.2867876,1.426468,-0.001157486,-0.4707384,1.341786,0.3179384,-0.454471,1.332382,0.1524629,-0.1472747,1.451429,0.156576,-0.4494146,1.42795,-0.01349663,0.01807749,1.439218,0.07776708,-0.4402637,1.39886,-0.04845225,-0.2295347,1.418252,0.3688689,-0.2230483,1.422387,NA,NA,NotTracked,NotTracked,
-0.9638672,0.2094727,0.1660156,0.9150391,0.3203125,0.02490234,-1,-1,-1,1,-1,-1,4,-6,-5,-3,-1,-2,-1,-1,-2,-5,1.25,1.25,1.25,1.0625,1.0625,1.0625,6.437,7.044468,7.548335,7.376509,3.03873,4.104225,-0.03520109,-0.4736361,1.363383,0.3582851,-0.479437,1.34405,0.1708282,0.2868347,1.426467,-0.001597853,-0.4749211,1.340646,0.3183036,-0.4741614,1.328735,0.1545536,-0.1470156,1.451327,0.1583529,-0.4490424,1.428001,-0.01160447,0.01868872,1.439062,0.07959295,-0.4397847,1.399128,-0.04648108,-0.2291469,1.418066,0.3704632,-0.2229612,1.42214,NA,NA,NotTracked,NotTracked,
-0.9648438,0.2148438,0.168457,0.9194336,0.3222656,0.03417969,0,-2,1,-2,-5,-5,-2,1,0,1,0,1,0,1,3,5,2.9375,2.9375,2.9375,0.9375,0.9375,0.9375,6.43958,7.047088,7.546635,7.355504,3.042416,4.126838,-0.03259005,-0.4731058,1.363721,0.3592364,-0.4799652,1.343274,0.172608,0.2870872,1.426565,0.001714373,-0.4723932,1.341707,0.3190677,-0.4669618,1.331155,0.1562696,-0.1468928,1.45147,0.1601973,-0.4490542,1.428363,-0.01000384,0.01879435,1.439011,0.08140732,-0.439855,1.399536,-0.04472751,-0.2288843,1.418175,0.3723494,-0.2228965,1.421823,NA,NA,NotTracked,NotTracked,
-0.9672852,0.215332,0.1577148,0.9086914,0.3183594,0.02441406,-1,0,0,-3,-4,-5,1,-1,0,-1,-1,-2,-3,-7,-1,-2,0.75,0.75,0.75,-0.0625,-0.0625,-0.0625,6.442589,7.048625,7.546825,7.342634,3.044229,4.141593,-0.03247687,-0.4722002,1.36399,0.3600105,-0.479459,1.342499,0.1746062,0.2871861,1.42691,0.001301229,-0.4725288,1.340798,0.3214618,-0.472836,1.327533,0.158497,-0.1466597,1.451549,0.1621721,-0.4489073,1.428703,-0.007632606,0.0189674,1.438625,0.08330548,-0.4396746,1.399922,-0.04266349,-0.228884,1.418376,0.3741141,-0.2225533,1.421831,NA,NA,NotTracked,NotTracked,
