ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
-0.9462891,0.2475586,0.1894531,0.9306641,0.3208008,0.07275391,1,-1,-1,-1,-1,-4,-7,-1,-1,0,-2,0,-2,-2,0,-2,5,5,5,-1.1875,-1.1875,-1.1875,6.474325,6.977921,8.615169,7.14062,3.073629,4.071873,-0.009710187,-0.4882439,1.342179,0.3714755,-0.4925593,1.322794,0.206943,0.2903507,1.426841,0.02794714,-0.4808261,1.3285,0.4098624,-0.4980686,1.323982,0.1858819,-0.1446281,1.451486,0.187064,-0.4484808,1.428198,0.0185513,0.02084493,1.438456,0.1082487,-0.438813,1.400446,-0.01748518,-0.2285768,1.411099,0.397042,-0.2285918,1.411584,NA,NA,NotTracked,NotTracked,
-0.9545898,0.2431641,0.2084961,0.9311523,0.3227539,0.04736328,-2,-1,-1,-2,-1,-2,-1,0,0,-2,-1,0,0,0,0,-2,0.1875,0.1875,0.1875,7.3125,7.3125,7.3125,6.466943,6.97317,8.606802,7.14429,3.072024,4.077083,-0.01227711,-0.4876409,1.339961,0.368659,-0.4912749,1.319873,0.2056416,0.2903318,1.426683,0.02663023,-0.4797696,1.326682,0.4037343,-0.5005868,1.313177,0.1841169,-0.1448025,1.450776,0.1851807,-0.4488103,1.427489,0.01738164,0.02070415,1.437457,0.1064848,-0.4391895,1.399637,-0.01936568,-0.2288801,1.41003,0.3948513,-0.2285213,1.409881,NA,NA,NotTracked,NotTracked,
-0.9433594,0.246582,0.190918,0.9179688,0.3173828,0.07177734,-2,-2,-2,0,-1,-1,0,0,-1,0,0,0,0,-2,-1,-1,-1.75,-1.75,-1.75,4.0625,4.0625,4.0625,6.460627,6.970694,8.601328,7.132717,3.070202,4.098011,-0.01210069,-0.4878609,1.340847,0.3669231,-0.4921859,1.319662,0.204638,0.2904004,1.426491,0.02423104,-0.4843326,1.323128,0.4022113,-0.4867357,1.3155,0.1828099,-0.1448311,1.450298,0.1837142,-0.4488053,1.42686,0.01640517,0.02071238,1.437218,0.1051003,-0.4392085,1.398918,-0.02061525,-0.2289472,1.409414,0.3934323,-0.2278442,1.409052,NA,NA,NotTracked,NotTracked,
-0.9550781,0.2529297,0.190918,0.9130859,0.3417969,0.07177734,-1,-3,-1,-2,-2,-2,-1,-1,-1,-1,0,1,1,-2,0,-1,-2.1875,-2.1875,-2.1875,3.75,3.75,3.75,6.450368,6.968571,8.592812,7.123804,3.06522,4.12217,-0.01069438,-0.487472,1.340363,0.3647973,-0.4912232,1.32025,0.2035238,0.2903966,1.426235,0.02748371,-0.4790284,1.324449,0.4022851,-0.4954498,1.31775,0.181624,-0.1449179,1.44974,0.1823876,-0.4489715,1.426078,0.01530691,0.02048446,1.436809,0.1036647,-0.4393807,1.39809,-0.02137739,-0.2292881,1.4089,0.3923105,-0.2279878,1.4083,NA,NA,NotTracked,NotTracked,
-0.9541016,0.2587891,0.2001953,0.9174805,0.3339844,0.06494141,-1,-2,-1,-2,-2,-1,0,-1,1,0,-1,-2,0,0,0,0,2.8125,2.8125,2.8125,-1.4375,-1.4375,-1.4375,6.411246,6.968631,8.557748,7.131553,3.060664,4.113491,-0.01066373,-0.4874752,1.34095,0.3649676,-0.4908316,1.321194,0.2026318,0.2903866,1.425886,0.02839923,-0.4757537,1.326202,0.4044652,-0.488557,1.323544,0.1809797,-0.144857,1.449268,0.1816098,-0.4488893,1.425511,0.01470074,0.02039291,1.436287,0.102836,-0.4393145,1.397573,-0.02215014,-0.2290576,1.408704,0.3913819,-0.2271381,1.407835,NA,NA,NotTracked,NotTracked,
-0.9584961,0.2597656,0.1855469,1.050781,0.3876953,0.01708984,-3,-1,-1,-1,-2,0,1,-2,-6,13,8,-2,-1,0,-1,-1,-1.5625,-1.5625,-1.5625,0.4375,0.4375,0.4375,6.398527,6.976473,8.543091,7.153062,3.065036,4.089489,-0.01089856,-0.4875557,1.341249,0.3653983,-0.4922396,1.32137,0.2015701,0.2904945,1.425224,0.02879335,-0.4725789,1.326391,0.4043339,-0.4892932,1.321898,0.1801824,-0.144847,1.448707,0.1808596,-0.4489203,1.424996,0.01414122,0.02039013,1.435843,0.1021401,-0.4393578,1.397141,-0.0227716,-0.2287832,1.408361,0.3908499,-0.2270561,1.407165,NA,NA,NotTracked,NotTracked,
-0.9824219,0.3061523,0.1611328,1.098145,0.4487305,0.01708984,3,-33,-53,-21,-8,-4,-3,0,13,65,36,13,4,0,-3,1,27.0625,27.0625,27.0625,-65.625,-65.625,-65.625,6.4082,6.957726,8.5272,7.104979,3.127353,4.068635,-0.007226934,-0.484145,1.33373,0.3611718,-0.4865455,1.313861,0.2006893,0.2903603,1.424704,0.02637307,-0.476338,1.316984,0.3895622,-0.4780438,1.293651,0.1795632,-0.144945,1.44821,0.180572,-0.4489809,1.424556,0.01330576,0.01994736,1.435126,0.1017837,-0.439503,1.3966,-0.0236262,-0.2278936,1.407933,0.3902996,-0.2261804,1.407129,NA,NA,NotTracked,NotTracked,
-1.026855,0.5185547,0.2661133,1.091309,0.7597656,0.6484375,-1,1,1,-2,-6,-5,3,-3,-50,-78,-45,-20,-7,-5,-8,-19,-67.125,-67.125,-67.125,-25.25,-25.25,-25.25,6.407822,6.859986,8.555455,6.668643,3.368265,4.402906,0.006007091,-0.4756778,1.295499,0.3421966,-0.4633523,1.267328,0.1999322,0.2900981,1.424315,0.03267073,-0.4611375,1.323557,0.3419291,-0.452042,1.223647,0.179441,-0.1448859,1.447896,0.1808053,-0.4487013,1.424006,0.01251363,0.01994263,1.434573,0.101929,-0.4393918,1.395965,-0.02566519,-0.2220013,1.407357,0.3908058,-0.2215966,1.408788,NA,NA,NotTracked,Unknown,
-1.038574,0.4287109,0.5673828,0.6699219,0.8242188,0.6660156,0,4,4,-1,-9,13,9,1,-18,-23,-32,5,-5,-1,1,-6,-36.5625,-36.5625,-36.5625,17.25,17.25,17.25,6.10202,6.6412,8.372201,6.515053,3.819311,4.598,0.03820091,-0.4386932,1.245842,0.2946063,-0.3961143,1.23839,0.1987877,0.290017,1.423736,0.05767351,-0.4471691,1.272909,0.2965971,-0.3364569,1.1805,0.1790916,-0.1447925,1.447162,0.1807343,-0.4482584,1.423184,0.01212958,0.02008474,1.433954,0.1016309,-0.4391955,1.395047,-0.02797888,-0.2129291,1.404869,0.3932377,-0.2039793,1.41271,NA,NA,Unknown,Unknown,
-0.9936523,0.4438477,0.6694336,0.3120117,0.7602539,0.6083984,2,-5,-14,7,9,5,-5,1,22,3,13,-1,0,0,9,17,-24.5,-24.5,-24.5,9.6875,9.6875,9.6875,6.001441,6.432739,8.283518,6.479336,4.387356,4.705646,0.08218503,-0.3596065,1.203671,0.2699493,-0.2263374,1.181685,0.1976011,0.2900546,1.423393,0.1094309,-0.371979,1.250933,0.2754336,-0.1906564,1.160188,0.1784966,-0.1447205,1.4469,0.1798987,-0.4479328,1.422961,0.01207174,0.02088776,1.43349,0.100976,-0.4392184,1.394963,-0.0318288,-0.1933894,1.398466,0.3977724,-0.1871926,1.406837,NA,NA,Open,Unknown,
-0.7578125,0.3984375,0.7041016,-0.1577148,0.7509766,0.4770508,-4,0,1,-4,-8,3,1,-7,-4,-10,-10,1,-1,-4,-13,-17,6,6,6,44.625,44.625,44.625,5.947098,6.17921,8.213714,6.531123,5.194069,4.865245,0.09491702,-0.2544007,1.180655,0.2275561,-0.08265935,1.188443,0.1970218,0.2900574,1.423459,0.1388966,-0.2517903,1.235,0.2611681,-0.02481208,1.206273,0.1770402,-0.1436714,1.447529,0.1776325,-0.4452299,1.424218,0.0214526,0.02073965,1.43987,0.0992621,-0.4359767,1.396127,-0.0343964,-0.185109,1.384471,0.4010009,-0.1838564,1.383256,NA,NA,Unknown,Unknown,
-0.3051758,0.5268555,0.7045898,-0.3041992,0.6206055,0.434082,-19,-14,-22,-13,-11,2,1,-6,68,28,10,19,18,-2,5,32,39.5625,39.5625,39.5625,32.875,32.875,32.875,5.970403,5.390467,8.012352,6.659526,5.718496,5.092743,0.1427454,-0.1685845,1.157047,0.1391664,-0.04512226,1.130098,0.1936136,0.2897744,1.424786,0.173554,-0.2008946,1.215,0.1875825,-0.007494595,1.135989,0.1749422,-0.1437892,1.447702,0.1757066,-0.445899,1.424615,0.02225281,0.0223386,1.43928,0.09591545,-0.4372288,1.400566,-0.04990806,-0.1738607,1.365833,0.3986421,-0.179217,1.35262,NA,NA,Unknown,NotTracked,
