ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
-0.9697266,0.2568359,0.1508789,0.9125977,0.3354492,0.07519531,-1,-1,-2,1,-2,-1,0,-2,4,0,0,-2,0,1,0,0,0.4375,0.4375,0.4375,-12.375,-12.375,-12.375,6.55943,7.008597,9.847089,7.085146,3.033751,9.52364,-0.002404622,-0.4926391,1.393426,0.3950224,-0.5110818,1.385542,0.2255787,0.2811331,1.477557,0.03850003,-0.4634225,1.375124,0.3594353,-0.4828862,1.3905,0.2006659,-0.1592049,1.498184,0.191385,-0.4657412,1.473709,0.03726557,0.009923417,1.488623,0.1110709,-0.452444,1.444845,0.0009159948,-0.2383576,1.466343,0.4163363,-0.247286,1.466892,NA,NA,NotTracked,NotTracked,
-0.9570313,0.246582,0.1508789,0.9169922,0.3125,0.08398438,-3,-2,0,-1,-1,-1,0,-2,2,-3,-1,-1,-2,-2,-1,1,-4.875,-4.875,-4.875,-4.625,-4.625,-4.625,6.558435,7.005546,9.851403,7.090311,3.034751,9.501215,-0.002593508,-0.4904684,1.393353,0.3947147,-0.5116275,1.385912,0.2243367,0.2816216,1.478308,0.03818013,-0.4729859,1.375013,0.3543143,-0.5098278,1.362333,0.1991608,-0.1586607,1.498689,0.190078,-0.4653612,1.473933,0.0360502,0.01062295,1.489158,0.1098955,-0.4521641,1.445053,7.377622E-06,-0.2371833,1.466383,0.4155004,-0.2463151,1.467678,NA,NA,NotTracked,NotTracked,
-0.9482422,0.2480469,0.1567383,0.9125977,0.3286133,0.08398438,0,-2,0,-2,-2,-2,-2,-1,-4,-2,-2,-1,-2,-1,-2,0,0.875,0.875,0.875,5.5,5.5,5.5,6.553526,7.003036,9.848156,7.110918,3.036656,9.48738,-0.003340048,-0.4900461,1.39224,0.3942629,-0.5109451,1.385082,0.2227197,0.2820461,1.479133,0.03823218,-0.46521,1.374276,0.3521992,-0.5150207,1.355643,0.1977235,-0.1582706,1.498966,0.1883515,-0.4652053,1.474158,0.03458623,0.01089334,1.489133,0.108367,-0.4520545,1.445248,-0.001486807,-0.2361345,1.466039,0.4146644,-0.2456931,1.468103,NA,NA,NotTracked,NotTracked,
-0.9692383,0.2460938,0.1699219,0.9287109,0.324707,0.08398438,-1,-4,-1,-2,3,1,-3,-1,-1,0,-1,-2,1,0,-1,-1,5.5,5.5,5.5,0.1875,0.1875,0.1875,6.556864,7.004793,9.842543,7.124714,3.04185,9.47546,-0.006038806,-0.4905638,1.391945,0.393668,-0.5089747,1.384494,0.2205378,0.2825624,1.479689,0.03278989,-0.487694,1.374355,0.3520356,-0.5021069,1.364604,0.1960219,-0.1580116,1.499065,0.1865181,-0.4650973,1.474067,0.03292359,0.01084787,1.488711,0.1066067,-0.4520017,1.445101,-0.002978579,-0.2357932,1.465311,0.4138883,-0.2447311,1.468336,NA,NA,NotTracked,NotTracked,
-0.9672852,0.2456055,0.1582031,0.909668,0.3134766,0.07763672,-1,1,-1,1,-2,-2,-2,-1,-7,-2,0,-2,-1,0,-1,-1,2.6875,2.6875,2.6875,-3.875,-3.875,-3.875,6.557963,7.006938,9.836515,7.126026,3.048974,9.465067,-0.007565727,-0.4892753,1.391507,0.3931117,-0.5080346,1.382288,0.2184857,0.283196,1.479947,0.03508421,-0.4764161,1.374639,0.3539389,-0.4930243,1.373686,0.1940441,-0.157611,1.499255,0.1846195,-0.464935,1.474189,0.03117422,0.01148485,1.488509,0.1048822,-0.4515906,1.445231,-0.004059483,-0.2349059,1.464694,0.4130356,-0.243511,1.468315,NA,NA,NotTracked,NotTracked,
-0.9536133,0.2451172,0.1533203,0.9165039,0.3232422,0.08300781,-1,-1,-2,0,-2,-1,-1,-1,1,0,0,1,0,-1,-2,0,1.875,1.875,1.875,1.125,1.125,1.125,6.554725,7.008746,9.828677,7.125928,3.051681,9.465132,-0.008158678,-0.4893782,1.391418,0.3923084,-0.5072984,1.381299,0.2164977,0.2839177,1.480291,0.03457545,-0.4536824,1.373,0.358079,-0.4814417,1.39348,0.1919055,-0.1571437,1.499346,0.1818765,-0.4647348,1.474182,0.02910012,0.01159281,1.487862,0.1022196,-0.4512158,1.445206,-0.005558284,-0.2347179,1.464093,0.41201,-0.2419773,1.468053,NA,NA,NotTracked,NotTracked,
-0.9643555,0.2460938,0.1586914,0.9130859,0.3188477,0.07470703,-1,-1,-1,0,0,-2,-2,-2,0,0,-1,-2,-2,0,-2,1,-0.125,-0.125,-0.125,1.875,1.875,1.875,6.550859,7.009347,9.822366,7.123262,3.051349,9.47031,-0.00986906,-0.4892931,1.390223,0.3902313,-0.5058336,1.379182,0.2143789,0.2845982,1.480136,0.02651216,-0.4891625,1.371525,0.3555785,-0.4838964,1.385596,0.1901608,-0.1566129,1.498966,0.1802743,-0.4644973,1.47379,0.02716932,0.01213561,1.487103,0.1006939,-0.4509154,1.444968,-0.007878024,-0.2334723,1.463228,0.4109127,-0.2408884,1.467642,NA,NA,NotTracked,NotTracked,
-0.9638672,0.2460938,0.1640625,0.9174805,0.3291016,0.06738281,-1,-1,0,-1,-2,-2,-1,0,3,0,-1,-2,-1,-1,-1,-1,-4.0625,-4.0625,-4.0625,3.0625,3.0625,3.0625,6.547121,7.008188,9.823235,7.122338,3.050292,9.478209,-0.01161463,-0.4889554,1.39098,0.3895828,-0.5045082,1.380514,0.2126625,0.2850131,1.48016,0.03070694,-0.4644321,1.375706,0.3490008,-0.5074283,1.360769,0.1886192,-0.1562417,1.498965,0.1793529,-0.4643435,1.473613,0.02569809,0.01245499,1.486512,0.09983551,-0.4508394,1.444927,-0.009468134,-0.2336066,1.462728,0.4097316,-0.2400552,1.467226,NA,NA,NotTracked,NotTracked,
-0.9570313,0.2441406,0.1733398,0.9101563,0.3325195,0.07568359,-1,-1,-1,0,-2,-2,0,1,-4,-4,-3,-1,-2,-1,1,0,-2.4375,-2.4375,-2.4375,0.3125,0.3125,0.3125,6.533509,7.005874,9.821486,7.121869,3.050678,9.481157,-0.01293595,-0.4889954,1.389128,0.3875173,-0.5032648,1.378311,0.2102972,0.2852558,1.479919,0.02452809,-0.477511,1.370631,0.3444632,-0.5161749,1.349,0.187097,-0.1559557,1.498688,0.17811,-0.4642237,1.473361,0.02377291,0.01269188,1.486171,0.0987536,-0.4507374,1.44476,-0.01064796,-0.2338165,1.46217,0.4084367,-0.239312,1.466653,NA,NA,NotTracked,NotTracked,
-0.9599609,0.2456055,0.1694336,0.9365234,0.3491211,0.01123047,0,-1,-2,-1,-5,-3,-2,-2,7,23,25,9,1,1,3,6,1.375,1.375,1.375,-10.625,-10.625,-10.625,6.525904,7.006101,9.813266,7.122507,3.055303,9.474529,-0.01481264,-0.4890478,1.389993,0.3867015,-0.5027127,1.377575,0.2079923,0.2858902,1.479539,0.0253198,-0.4790071,1.371927,0.3497339,-0.4865357,1.377466,0.1855661,-0.1555868,1.498527,0.1767162,-0.4641481,1.473246,0.02245379,0.0132959,1.485805,0.09744007,-0.4507693,1.444746,-0.01203041,-0.2334052,1.461812,0.4072036,-0.2386912,1.466136,NA,NA,NotTracked,NotTracked,
