ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
-0.9609375,0.2290039,0.1782227,0.9301758,0.2949219,0.004394531,0,-1,-2,-1,0,-4,1,0,-7,-2,-2,-1,-1,2,-3,-4,2.1875,2.1875,2.1875,1.1875,1.1875,1.1875,6.409983,7.009404,1.476197,7.451011,2.999379,8.602532,-0.03199508,-0.4955522,1.348032,0.371541,-0.4987546,1.351183,0.1650992,0.2838495,1.433076,-0.07167865,-0.4966964,1.350673,0.3284181,-0.4947795,1.341346,0.1557917,-0.1493664,1.452098,0.1619991,-0.4504079,1.424605,-0.01203308,0.01262105,1.441518,0.08390318,-0.4423827,1.397236,-0.0436127,-0.2338596,1.419075,0.3758655,-0.2347851,1.431626,NA,NA,NotTracked,NotTracked,
-0.9658203,0.2333984,0.1767578,0.9311523,0.2993164,0.01025391,-1,0,0,-2,-2,0,0,1,-2,-1,-1,0,-2,-5,-12,-2,-1,-1,-1,2.375,2.375,2.375,6.408035,7.008555,1.473775,7.442316,3.002148,8.614326,-0.03127272,-0.4953949,1.348576,0.3727692,-0.5007502,1.34995,0.1668997,0.2843034,1.43249,-0.06884062,-0.506153,1.35465,0.3297564,-0.4778916,1.336611,0.1574706,-0.1491786,1.451338,0.1634133,-0.4502668,1.423855,-0.01075524,0.01289974,1.441271,0.08535365,-0.4421812,1.396592,-0.0421259,-0.2336315,1.418399,0.3775035,-0.2350013,1.430232,NA,NA,NotTracked,NotTracked,
-0.9658203,0.2348633,0.1791992,0.9238281,0.3032227,0.01416016,-1,-1,0,1,-3,0,-3,-1,1,-2,-1,0,-2,-9,-3,-2,-2.9375,-2.9375,-2.9375,3.125,3.125,3.125,6.406769,7.007944,1.475684,7.437464,3.0039,8.626579,-0.02798632,-0.4946581,1.346373,0.3737054,-0.4998047,1.346416,0.1686891,0.284558,1.431715,-0.0675943,-0.4931256,1.355022,0.3304734,-0.4946904,1.338329,0.1591495,-0.1491775,1.450358,0.1652598,-0.4505037,1.422578,-0.008810555,0.01296365,1.439944,0.08712603,-0.4424037,1.395275,-0.04029999,-0.233387,1.417418,0.3793718,-0.2352883,1.428161,NA,NA,NotTracked,NotTracked,
-0.9677734,0.2324219,0.1767578,0.9326172,0.3032227,0.02246094,0,0,0,-1,-1,-4,-2,0,-1,-1,-1,0,0,1,8,3,-3.875,-3.875,-3.875,3.125,3.125,3.125,6.41018,7.006301,1.485651,7.434551,3.004296,8.63483,-0.02751909,-0.4965693,1.346103,0.3749352,-0.4995785,1.345356,0.1701583,0.284725,1.431373,-0.0667748,-0.4934072,1.353292,0.3328832,-0.4795572,1.336931,0.1607044,-0.1489788,1.449553,0.1665759,-0.4504016,1.421834,-0.007356909,0.01319093,1.439586,0.08836897,-0.4423252,1.3948,-0.03870599,-0.2336963,1.416763,0.3810006,-0.234892,1.426905,NA,NA,NotTracked,NotTracked,
-0.965332,0.2363281,0.1850586,0.9277344,0.2978516,0.01708984,-1,-2,-2,-2,-1,-3,1,2,0,-1,0,-2,-1,2,-8,-1,-2.6875,-2.6875,-2.6875,3.5625,3.5625,3.5625,6.410603,7.005823,1.492722,7.431143,3.003493,8.644759,-0.02524815,-0.4965957,1.344533,0.3758148,-0.4992732,1.343926,0.1713672,0.2850091,1.430821,-0.06613168,-0.4954416,1.352455,0.3320307,-0.4937923,1.33579,0.1624503,-0.1486331,1.44864,0.168426,-0.4500962,1.420815,-0.005546265,0.01329663,1.438499,0.09013718,-0.442102,1.394202,-0.03692644,-0.2335558,1.416254,0.3825999,-0.234657,1.425084,NA,NA,NotTracked,NotTracked,
-0.9545898,0.2333984,0.1743164,0.9277344,0.2983398,0.02490234,0,0,-1,0,-3,0,-4,-2,-1,0,-1,-3,-2,1,-1,-2,-3.6875,-3.6875,-3.6875,3.8125,3.8125,3.8125,6.401105,7.005968,1.49013,7.420139,3.004085,8.664474,-0.024398,-0.4960858,1.345492,0.376882,-0.4993256,1.343557,0.1729768,0.2853203,1.429931,-0.06373803,-0.4926701,1.358056,0.3341488,-0.4937344,1.337766,0.1638598,-0.1482836,1.448084,0.1693259,-0.4499535,1.420392,-0.004152471,0.01346467,1.437827,0.09095964,-0.4419353,1.394023,-0.03547698,-0.2336339,1.415789,0.384126,-0.2344182,1.423605,NA,NA,NotTracked,NotTracked,
-0.9550781,0.234375,0.184082,0.9165039,0.2983398,0.02001953,-1,1,0,-1,-1,-1,0,-2,-1,-1,-1,0,0,2,-2,-5,-2.3125,-2.3125,-2.3125,2.5625,2.5625,2.5625,6.392568,7.006516,1.484539,7.410665,3.005073,8.680376,-0.02218029,-0.4960504,1.344638,0.3774361,-0.4980823,1.340738,0.1743315,0.2856089,1.429002,-0.06445608,-0.4923022,1.349404,0.3364782,-0.4948276,1.338485,0.1652264,-0.1479722,1.447444,0.1707034,-0.4497349,1.420023,-0.00274217,0.01382497,1.437401,0.09235284,-0.4416914,1.393754,-0.03418812,-0.2336605,1.415228,0.3854634,-0.2339027,1.421816,NA,NA,NotTracked,NotTracked,
-0.9555664,0.2319336,0.1811523,0.9228516,0.2963867,0.01806641,-1,-1,-3,-3,0,-2,-4,1,0,-1,-3,0,0,2,-2,8,0.4375,0.4375,0.4375,3.0625,3.0625,3.0625,6.388272,7.007266,1.479821,7.401642,3.006486,8.694785,-0.02035322,-0.495081,1.343437,0.3771102,-0.4969185,1.338648,0.1753983,0.2856544,1.42834,-0.05885585,-0.489228,1.348773,0.3364139,-0.4968882,1.335151,0.1666177,-0.1478055,1.446653,0.1719991,-0.4497604,1.419686,-0.0009169309,0.01440329,1.436636,0.0936147,-0.4416333,1.393695,-0.03274948,-0.2336387,1.414407,0.3866735,-0.2333235,1.420303,NA,NA,NotTracked,NotTracked,
-0.9628906,0.2402344,0.1738281,0.9189453,0.3037109,0.02148438,-1,-2,-2,0,-1,-3,-2,-1,-2,-1,-2,0,0,-1,3,1,-2.625,-2.625,-2.625,-0.3125,-0.3125,-0.3125,6.391847,7.009012,1.482734,7.396669,3.008355,8.704398,-0.01958538,-0.4954467,1.343657,0.3775208,-0.4964655,1.337759,0.1764415,0.2859298,1.427518,-0.05666718,-0.4952633,1.343581,0.3368106,-0.4830128,1.330105,0.1676814,-0.1475648,1.446259,0.1728994,-0.4495751,1.419387,-0.000388292,0.01443614,1.43624,0.09458908,-0.4414142,1.393488,-0.03151424,-0.2335841,1.413735,0.3875626,-0.2329672,1.419273,NA,NA,NotTracked,NotTracked,
-0.9575195,0.234375,0.1850586,0.9194336,0.2963867,0.02197266,-1,0,-2,-1,-2,-2,-2,-1,-4,-1,-3,-1,-2,-3,-15,-17,-2.6875,-2.6875,-2.6875,-1.3125,-1.3125,-1.3125,6.387112,7.008918,1.482297,7.392005,3.00846,8.705938,-0.01896398,-0.4952382,1.342611,0.3775794,-0.4956371,1.335694,0.1775428,0.2860652,1.426702,-0.05974045,-0.492119,1.347705,0.3357282,-0.4860699,1.331504,0.1686036,-0.1475757,1.44574,0.1735715,-0.4497304,1.419119,0.0006950576,0.01470683,1.435773,0.09522881,-0.4415354,1.393351,-0.03029983,-0.233568,1.413217,0.3884917,-0.2324766,1.417811,NA,NA,NotTracked,NotTracked,
-0.956543,0.2275391,0.1870117,0.9174805,0.3022461,0.01708984,-1,-1,-1,0,-2,-4,-3,0,0,-1,-2,-1,-3,0,-1,-1,0.9375,0.9375,0.9375,-0.625,-0.625,-0.625,6.385885,7.009552,1.481143,7.39332,3.007489,8.705028,-0.01752488,-0.4949318,1.342603,0.3785654,-0.4966252,1.336819,0.1783161,0.2862229,1.425996,-0.06018668,-0.4924365,1.351199,0.3375896,-0.4799795,1.334845,0.1696221,-0.1473718,1.445164,0.1746059,-0.4495076,1.418751,0.001493177,0.0150244,1.435448,0.09627099,-0.4413633,1.393092,-0.0292407,-0.2330958,1.412497,0.3894128,-0.2321317,1.416783,NA,NA,NotTracked,NotTracked,
