ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
-0.9702148,0.2387695,0.1606445,0.9301758,0.3017578,0.01220703,-2,-2,0,-1,-2,-3,-2,0,7,-1,-1,1,0,-1,-1,3,-3.375,-3.375,-3.375,-4.125,-4.125,-4.125,6.445139,7.02559,2.608507,7.520557,2.967968,7.912073,-0.02877344,-0.5064679,1.371691,0.38069,-0.5118178,1.364494,0.195209,0.2798057,1.427149,-0.06819255,-0.4981574,1.375491,0.3437556,-0.5240995,1.345143,0.1728881,-0.1484848,1.458698,0.1786061,-0.4515899,1.432169,0.008210791,0.01898963,1.442559,0.1002341,-0.4424556,1.402894,-0.03362423,-0.2349215,1.427823,0.3920156,-0.2385877,1.436663,NA,NA,NotTracked,NotTracked,
-0.9726563,0.2314453,0.1708984,0.9243164,0.2856445,0.009765625,-2,-3,0,-1,-1,1,0,-1,-23,-3,-2,0,0,-2,0,-4,-11.8125,-11.8125,-11.8125,0.8125,0.8125,0.8125,6.435473,7.024574,2.616276,7.520445,2.965824,7.907157,-0.02875051,-0.5063313,1.371614,0.3811726,-0.511771,1.364856,0.194306,0.2798913,1.426642,-0.06898413,-0.4986001,1.376799,0.3436494,-0.5072735,1.351992,0.1722379,-0.1484858,1.458508,0.1777329,-0.4515583,1.432258,0.007564678,0.01910207,1.442607,0.09942217,-0.4424378,1.403094,-0.03380403,-0.2346791,1.427918,0.3918934,-0.238461,1.43661,NA,NA,NotTracked,NotTracked,
-0.9677734,0.2192383,0.1777344,0.9291992,0.2924805,-0.01367188,-1,-2,-1,-1,-2,-4,2,-1,3,-1,-1,0,-1,-1,1,1,-3.875,-3.875,-3.875,5.1875,5.1875,5.1875,6.423594,7.024369,2.616287,7.527896,2.963609,7.91257,-0.02816905,-0.5070109,1.372717,0.3817943,-0.5119087,1.365272,0.1935079,0.2799841,1.426219,-0.06741476,-0.4961169,1.381121,0.3409999,-0.4870681,1.353,0.1717825,-0.1485241,1.458228,0.1772193,-0.4515669,1.432328,0.007218804,0.01919813,1.442633,0.09888382,-0.4424178,1.403341,-0.03395751,-0.234716,1.428105,0.3918144,-0.2383488,1.436566,NA,NA,NotTracked,NotTracked,
-0.9726563,0.230957,0.1850586,0.9262695,0.2836914,-0.00390625,-3,-2,-1,-2,-2,-2,-1,-1,-5,1,-1,-2,-1,0,-2,-3,0.625,0.625,0.625,2.25,2.25,2.25,6.424132,7.027234,2.616703,7.516693,2.9646,7.928994,-0.02781809,-0.5058694,1.372791,0.3808529,-0.5118398,1.364329,0.1930403,0.2800192,1.425954,-0.0674522,-0.4874611,1.379222,0.3420643,-0.4958762,1.35264,0.1716578,-0.1485676,1.458053,0.1771531,-0.4515176,1.432336,0.006958771,0.01917659,1.442607,0.0988149,-0.4423865,1.40343,-0.03396703,-0.2346641,1.428303,0.3917404,-0.2383995,1.436421,NA,NA,NotTracked,NotTracked,
-0.9677734,0.2304688,0.1748047,0.9272461,0.2900391,-0.01367188,0,0,-1,-1,-3,-1,-1,-1,1,3,1,0,-1,-1,1,2,-3.9375,-3.9375,-3.9375,1.8125,1.8125,1.8125,6.426843,7.028514,2.621702,7.520704,2.967099,7.928285,-0.02738283,-0.5059957,1.373238,0.3811483,-0.5113471,1.363145,0.1926737,0.2800513,1.425573,-0.06795505,-0.4958972,1.37976,0.3413873,-0.4984649,1.348574,0.1715996,-0.1485745,1.457972,0.1770483,-0.4514769,1.432426,0.006785661,0.01918331,1.442669,0.09867309,-0.4423082,1.40368,-0.03403851,-0.234421,1.428601,0.3916447,-0.238193,1.436112,NA,NA,NotTracked,NotTracked,
-0.9643555,0.2246094,0.1694336,0.9296875,0.2788086,-0.002929688,-1,0,-2,-1,-2,-3,-1,1,2,-1,-2,-1,0,0,-2,-2,-5.375,-5.375,-5.375,-0.125,-0.125,-0.125,6.42375,7.031766,2.628435,7.516858,2.969805,7.930502,-0.02628211,-0.5059401,1.374451,0.3819337,-0.5115156,1.362683,0.1923691,0.2801318,1.425271,-0.06398894,-0.5152662,1.379688,0.3426397,-0.5032991,1.351418,0.1714893,-0.148528,1.457863,0.1769305,-0.4513803,1.432476,0.006663052,0.01918036,1.442716,0.09854569,-0.4422244,1.403833,-0.03394662,-0.2345067,1.429095,0.3915875,-0.2378719,1.435859,NA,NA,NotTracked,NotTracked,
-0.9741211,0.2402344,0.1655273,0.9213867,0.2832031,0.015625,-3,-1,-2,-2,-1,-1,-1,-2,3,-1,-2,-1,-1,0,-1,0,-2.5625,-2.5625,-2.5625,1.25,1.25,1.25,6.43383,7.032244,2.644534,7.512246,2.968581,7.937841,-0.02601886,-0.5051829,1.375388,0.3821816,-0.511682,1.361745,0.1921198,0.2802692,1.424853,-0.06568357,-0.5068841,1.382152,0.342562,-0.5033481,1.351022,0.1714929,-0.1484908,1.457739,0.1770495,-0.4512657,1.432508,0.006613667,0.0191615,1.442793,0.09865857,-0.4421499,1.403951,-0.03387578,-0.2343864,1.429534,0.3917558,-0.2375526,1.43547,NA,NA,NotTracked,NotTracked,
-0.9702148,0.2265625,0.1572266,0.9331055,0.2841797,0.007324219,2,0,1,0,1,-2,-9,-2,2,0,0,-1,0,-2,1,1,-4,-4,-4,5.0625,5.0625,5.0625,6.444757,7.031703,2.661783,7.511447,2.966596,7.945029,-0.02622935,-0.5066158,1.374789,0.382586,-0.5119377,1.361062,0.1921141,0.2802146,1.424629,-0.06483999,-0.509454,1.383515,0.3428532,-0.5056669,1.350398,0.1715632,-0.1485284,1.457645,0.1769631,-0.451275,1.432552,0.00661317,0.0190759,1.442977,0.09856474,-0.4421715,1.404098,-0.03374254,-0.2344414,1.429687,0.3918987,-0.23723,1.43496,NA,NA,NotTracked,NotTracked,
-0.9624023,0.2275391,0.1669922,0.9360352,0.2753906,0.001464844,-2,-3,-1,-1,0,-1,-1,-1,-3,3,1,0,-1,-3,-3,-2,0.4375,0.4375,0.4375,4.5625,4.5625,4.5625,6.454194,7.030598,2.672802,7.504084,2.96334,7.959749,-0.025942,-0.5062261,1.374085,0.381948,-0.5111887,1.361196,0.1921198,0.28017,1.424352,-0.06592708,-0.4950161,1.377882,0.3423619,-0.4990374,1.351811,0.1717147,-0.1485722,1.457443,0.1770124,-0.4512636,1.432538,0.006761441,0.01921915,1.443049,0.09861909,-0.4421693,1.404113,-0.03351096,-0.2345749,1.429868,0.3920573,-0.2372946,1.434603,NA,NA,NotTracked,NotTracked,
-0.9648438,0.2202148,0.1645508,0.9262695,0.2871094,-0.001953125,-2,-1,-1,-1,-2,-2,-1,0,-26,-6,-1,-1,0,1,0,-7,0.75,0.75,0.75,-3.625,-3.625,-3.625,6.463297,7.030593,2.681169,7.492153,2.962,7.973347,-0.02585323,-0.5072278,1.374547,0.3821352,-0.5112489,1.360802,0.1922481,0.2800846,1.423977,-0.06591343,-0.499526,1.379504,0.3455218,-0.5201917,1.348333,0.1718217,-0.1485848,1.457239,0.1770861,-0.451213,1.432494,0.006888673,0.01928964,1.443198,0.09869403,-0.4421151,1.404068,-0.03316509,-0.235018,1.430065,0.3922442,-0.2372455,1.434092,NA,NA,NotTracked,NotTracked,
-0.9692383,0.2294922,0.1625977,0.9428711,0.2792969,-0.001953125,-6,-2,-2,-2,-1,1,0,0,4,0,1,-2,-1,-1,2,4,-1.4375,-1.4375,-1.4375,-0.125,-0.125,-0.125,6.474627,7.032863,2.692465,7.492505,2.960356,7.971359,-0.02582466,-0.5070945,1.374509,0.3819555,-0.5115866,1.360696,0.1923825,0.2800654,1.423563,-0.06446389,-0.4992433,1.378194,0.3430974,-0.5051627,1.351227,0.1721235,-0.1486086,1.456938,0.1773477,-0.4511816,1.432374,0.007076297,0.01929962,1.443234,0.09893789,-0.4421212,1.404003,-0.03294481,-0.2352507,1.43018,0.3923892,-0.2372179,1.433604,NA,NA,NotTracked,NotTracked,
-0.9892578,0.2358398,0.1396484,1.018555,0.2773438,-0.1386719,4,0,-2,-3,-3,-10,-2,0,0,29,23,8,2,2,-1,-4,0,0,0,-9,-9,-9,6.480845,7.034859,2.702529,7.487777,2.966346,7.97001,-0.02658379,-0.5061896,1.37451,0.3818491,-0.5112187,1.359852,0.1926872,0.280187,1.422852,-0.06352822,-0.5154338,1.381445,0.3423268,-0.5025414,1.350409,0.1724602,-0.1486729,1.456689,0.1774994,-0.4512593,1.432291,0.007162748,0.01933753,1.443247,0.09910328,-0.4422201,1.403915,-0.03272472,-0.2354281,1.430289,0.392569,-0.2372578,1.433274,NA,NA,NotTracked,NotTracked,
