ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
-0.4848633,0.7163086,0.5297852,0.1879883,0.8774414,0.4399414,0,3,16,8,1,-2,0,1,-5,2,2,-8,-3,-4,5,-2,2.5625,2.5625,2.5625,2.5,2.5,2.5,6.462299,5.765099,0.901296,6.753257,4.686036,9.179027,0.246464,-0.08132018,1.147968,0.05868094,-0.1320496,1.262876,0.2021881,0.2892514,1.441879,0.2125159,-0.04702011,1.181898,0.09004092,-0.0698874,1.282917,0.1777193,-0.1381174,1.446697,0.1804284,-0.4377903,1.410903,0.02713347,0.02493673,1.383134,0.1029682,-0.4272771,1.374944,0.00906672,-0.1772926,1.289757,0.3571099,-0.1634653,1.329523,NA,NA,NotTracked,NotTracked,
-0.4746094,0.7231445,0.5288086,0.1982422,0.8769531,0.4511719,-2,-3,0,0,-5,-2,-2,0,-14,-8,-2,-18,-8,-3,-3,-5,-0.5,-0.5,-0.5,-1.5625,-1.5625,-1.5625,6.465433,5.76328,0.9008909,6.752466,4.683063,9.178475,0.2472246,-0.08243948,1.146606,0.06386455,-0.1313204,1.26085,0.2022347,0.2893374,1.441927,0.2129576,-0.04785093,1.181386,0.09330613,-0.06788952,1.28073,0.1776981,-0.1380292,1.44678,0.1804116,-0.4376581,1.410963,0.02769813,0.02678784,1.381771,0.102959,-0.4270981,1.375012,0.009797687,-0.1760883,1.289939,0.3559347,-0.1648519,1.328823,NA,NA,NotTracked,NotTracked,
-0.4775391,0.7050781,0.5273438,0.1923828,0.8862305,0.4355469,2,2,4,4,9,-1,0,-1,0,9,3,5,5,1,1,1,-1.9375,-1.9375,-1.9375,-1.5,-1.5,-1.5,6.462137,5.763518,0.8983775,6.750535,4.683247,9.175908,0.2473341,-0.08373583,1.146529,0.06389752,-0.1311721,1.261393,0.2023023,0.2893407,1.441969,0.213232,-0.04909187,1.181447,0.0930087,-0.06776494,1.28126,0.1777548,-0.1379452,1.446884,0.1804466,-0.4375351,1.411043,0.02806288,0.02788522,1.38071,0.1030236,-0.4269054,1.375235,0.009356115,-0.1754463,1.290205,0.3550462,-0.1658358,1.327973,NA,NA,NotTracked,NotTracked,
-0.4785156,0.7143555,0.534668,0.1918945,0.8735352,0.4267578,-3,-6,-2,-8,-8,-7,-6,-4,12,-2,-1,-9,-3,-3,-2,2,-0.5,-0.5,-0.5,-0.8125,-0.8125,-0.8125,6.461594,5.762974,0.8981874,6.750406,4.684096,9.175221,0.2472674,-0.08139676,1.146891,0.06481668,-0.1316498,1.260827,0.2023577,0.2893285,1.441979,0.2128527,-0.0472341,1.181441,0.09371352,-0.06817186,1.280644,0.1777793,-0.1379152,1.446938,0.1804467,-0.4375415,1.411066,0.02767046,0.02619415,1.381773,0.1030241,-0.426916,1.375256,0.01006686,-0.1765613,1.28958,0.3548429,-0.1659627,1.327832,NA,NA,NotTracked,NotTracked,
-0.4863281,0.7148438,0.5283203,0.1938477,0.8779297,0.4428711,0,-3,-7,-3,2,-2,-1,1,4,6,10,-2,-2,1,-3,-1,0.625,0.625,0.625,-0.0625,-0.0625,-0.0625,6.463002,5.764097,0.897809,6.750426,4.683785,9.177372,0.2475219,-0.08192105,1.146115,0.06518759,-0.1309387,1.260699,0.2024009,0.2893375,1.442032,0.2130249,-0.04756081,1.181194,0.09410378,-0.06712273,1.279993,0.1778492,-0.1379123,1.446967,0.1804536,-0.4375071,1.411066,0.02786865,0.02737064,1.380692,0.103041,-0.4268795,1.375284,0.01047449,-0.1759414,1.289849,0.3542367,-0.1664971,1.327377,NA,NA,NotTracked,NotTracked,
-0.4819336,0.7133789,0.5288086,0.1972656,0.8759766,0.4418945,2,3,7,3,-2,-1,0,-1,16,6,6,4,3,-2,-12,-2,-1.75,-1.75,-1.75,-2.125,-2.125,-2.125,6.460958,5.765047,0.8992026,6.748581,4.684488,9.178415,0.2475463,-0.08112512,1.146548,0.06584894,-0.1314108,1.259882,0.2024543,0.2893754,1.442003,0.2129342,-0.04713704,1.181322,0.09637224,-0.06404896,1.278503,0.177875,-0.1379192,1.44701,0.1804484,-0.437516,1.411073,0.02751657,0.02623788,1.382098,0.103025,-0.4268972,1.375304,0.01055807,-0.1764173,1.289514,0.3541525,-0.1666465,1.327335,NA,NA,NotTracked,NotTracked,
-0.4790039,0.7192383,0.5356445,0.1791992,0.8974609,0.4326172,-3,-14,-32,-13,-8,-4,-2,-4,-23,-15,-9,-7,-2,0,-1,-2,-1.1875,-1.1875,-1.1875,-3.0625,-3.0625,-3.0625,6.461525,5.765579,0.8999618,6.745214,4.685833,9.176968,0.2480341,-0.08198037,1.145409,0.06590972,-0.1318156,1.260172,0.2024838,0.2894102,1.442017,0.2133074,-0.04771435,1.180922,0.09377898,-0.06773227,1.280031,0.1779289,-0.1379039,1.447056,0.1804662,-0.4374395,1.411079,0.02775741,0.02764415,1.381111,0.1030516,-0.4268298,1.375322,0.01120033,-0.1755583,1.289803,0.3542372,-0.166665,1.327518,NA,NA,NotTracked,NotTracked,
-0.4707031,0.7441406,0.5180664,0.109375,1.09668,0.3930664,-2,-7,-9,-4,-7,-1,-2,-3,20,14,13,12,4,2,-1,4,-10.3125,-10.3125,-10.3125,10.75,10.75,10.75,6.455599,5.7669,0.9042907,6.760619,4.698225,9.172527,0.2478487,-0.07839703,1.144965,0.06508308,-0.1283797,1.260472,0.2026411,0.2895177,1.442012,0.2128955,-0.04637117,1.180906,0.09385315,-0.06507318,1.27992,0.1779559,-0.1378978,1.447085,0.1804981,-0.4374521,1.411096,0.0273088,0.0258254,1.382063,0.1030734,-0.4268645,1.37537,0.01287138,-0.1768848,1.289141,0.3540709,-0.1670266,1.327466,NA,NA,NotTracked,NotTracked,
-0.4750977,0.6674805,0.5776367,-0.046875,1.279297,0.4570313,-7,-11,-16,-15,-14,-5,-4,-8,-7,-6,-5,-5,1,-2,-1,-5,11.375,11.375,11.375,60.1875,60.1875,60.1875,6.450806,5.767037,0.9092675,6.843433,4.758489,9.188817,0.2458111,-0.0742044,1.144105,0.06464127,-0.1258583,1.254861,0.2026882,0.289472,1.442036,0.2124605,-0.04433434,1.180246,0.09476377,-0.06596007,1.280038,0.1780415,-0.1378308,1.447142,0.1806331,-0.4372695,1.411088,0.02724728,0.02694925,1.381481,0.1031965,-0.4266896,1.375446,0.01282177,-0.1760427,1.289241,0.352286,-0.1663531,1.324535,NA,NA,NotTracked,NotTracked,
-0.4853516,0.7324219,0.5180664,-0.02880859,1.081055,0.3662109,-2,-7,-23,-8,-9,-5,-3,-1,-13,-5,-3,-5,-16,-30,12,-31,11.125,11.125,11.125,150.125,150.125,150.125,6.475626,5.76612,0.893741,7.098524,4.880825,9.275974,0.2397118,-0.05470485,1.147113,0.07155593,-0.1152344,1.244573,0.202668,0.2893596,1.442242,0.2065104,-0.02287587,1.182263,0.1006985,-0.06503997,1.23575,0.178217,-0.1376435,1.447382,0.1808908,-0.4368,1.411245,0.02695023,0.02728909,1.379922,0.1035323,-0.4262346,1.375713,0.01402118,-0.1761664,1.288595,0.3476499,-0.1600204,1.313118,NA,NA,NotTracked,NotTracked,
