ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
-0.6347656,0.3598633,0.4819336,0.6000977,0.5634766,0.2807617,-3,-5,-7,2,0,4,-7,-9,5,3,-3,3,1,0,4,-2,69,69,69,45.625,45.625,45.625,6.10606,6.096444,8.772087,6.846319,3.641552,4.05216,0.04323126,-0.3967054,1.249458,0.3030697,-0.3864224,1.239605,0.1643424,0.2867376,1.396743,0.0251621,-0.448243,1.270467,0.3497219,-0.439185,1.255417,0.1559969,-0.1463515,1.42404,0.1629352,-0.4483209,1.397942,-0.01007266,0.01787231,1.418172,0.08419779,-0.4409232,1.37407,-0.05827018,-0.1931133,1.41493,0.3809156,-0.1859234,1.392279,NA,NA,Unknown,Unknown,
-0.6489258,0.4389648,0.4360352,0.9853516,0.5239258,0.2661133,-2,6,23,12,0,0,4,-2,-10,2,5,0,-13,-10,5,1,35.0625,35.0625,35.0625,9.1875,9.1875,9.1875,6.165607,6.267978,8.711754,6.898489,3.413971,4.037135,0.02212479,-0.4238734,1.267736,0.3207418,-0.4274174,1.250037,0.1734893,0.2869228,1.39607,-0.01230155,-0.4427845,1.268091,0.3587062,-0.4432191,1.2445,0.1633798,-0.146249,1.42212,0.1698146,-0.4486208,1.395053,-0.003313096,0.01783108,1.416353,0.09029065,-0.4411661,1.371435,-0.04347038,-0.1955315,1.402122,0.3834887,-0.1947477,1.385461,NA,NA,Unknown,Unknown,
-0.9433594,0.3139648,0.4023438,1.131348,0.4345703,-0.07763672,0,-4,-8,-7,-2,-2,5,6,-18,-8,0,0,-1,2,-4,-5,-4.8125,-4.8125,-4.8125,21.0625,21.0625,21.0625,6.179105,6.503933,8.706357,7.009699,3.123075,3.933712,0.01245697,-0.4565823,1.296468,0.3374549,-0.4568726,1.275804,0.1819545,0.2865953,1.394227,-0.02671027,-0.4586274,1.3,0.3755338,-0.4647687,1.267833,0.1683776,-0.1462577,1.41983,0.1728548,-0.4486837,1.393052,0.002961257,0.01802872,1.413607,0.09316756,-0.4409337,1.369401,-0.03180949,-0.2048149,1.391813,0.3840001,-0.2052302,1.376973,NA,NA,Unknown,NotTracked,
-1.133301,0.4013672,-0.03466797,1.09375,0.3442383,-0.1088867,4,4,1,8,15,7,1,2,2,0,0,0,-2,-1,-17,-7,7.4375,7.4375,7.4375,-71.6875,-71.6875,-71.6875,6.323919,6.847461,8.799733,7.228745,3.026359,3.628814,0.003359802,-0.4833554,1.316111,0.3522801,-0.481195,1.290527,0.1895077,0.2862104,1.391642,-0.03406665,-0.4817697,1.3228,0.3910436,-0.479746,1.284167,0.1717964,-0.1464865,1.418896,0.1744522,-0.4491204,1.39264,0.007842503,0.01773823,1.411076,0.09512572,-0.4410565,1.368221,-0.024524,-0.2150094,1.386472,0.3837442,-0.2189476,1.371165,NA,NA,NotTracked,NotTracked,
-1.047852,0.1538086,0.05908203,0.84375,0.1674805,0.1044922,-3,-3,-1,-3,-7,-14,2,-5,-2,-1,0,2,0,1,-2,0,-67.9375,-67.9375,-67.9375,24.3125,24.3125,24.3125,6.500273,6.966562,9.081908,7.391334,2.977053,3.43242,-0.01177422,-0.4890953,1.330296,0.3697083,-0.4939991,1.300126,0.1959245,0.285659,1.388132,-0.04891236,-0.4791545,1.327445,0.4077503,-0.4893915,1.287111,0.1750554,-0.1466667,1.417785,0.1768793,-0.449392,1.392638,0.005567295,0.01835017,1.410951,0.09784109,-0.4410894,1.367681,-0.02428368,-0.2191373,1.386233,0.3859312,-0.2238788,1.371395,NA,NA,NotTracked,NotTracked,
-0.9291992,0.1733398,0.1748047,0.8984375,0.3056641,0.06591797,-4,-4,-3,-4,-3,-13,-4,-1,-5,-2,1,0,-2,2,4,-1,29.5625,29.5625,29.5625,-9.625,-9.625,-9.625,6.645719,7.027219,9.219162,7.581397,2.954513,3.269063,-0.02480242,-0.4958584,1.339209,0.3856512,-0.4990041,1.309031,0.2000758,0.2855358,1.384683,-0.06585874,-0.4769097,1.339079,0.4253926,-0.495206,1.295714,0.1782531,-0.1468204,1.416522,0.1798801,-0.449716,1.392508,0.01041314,0.01924429,1.407443,0.1008429,-0.4411457,1.367164,-0.02629977,-0.2237551,1.388277,0.391341,-0.2277889,1.373388,NA,NA,NotTracked,NotTracked,
-0.9570313,0.2231445,0.2202148,0.9868164,0.2944336,0.1098633,-3,-5,-1,1,11,25,-15,-10,0,-1,-3,1,1,-4,2,1,-42.375,-42.375,-42.375,-7.9375,-7.9375,-7.9375,6.728279,7.059656,9.299525,7.637289,2.941633,3.189957,-0.03094196,-0.4989673,1.34897,0.3976279,-0.5032163,1.318114,0.2027739,0.2852238,1.382053,-0.0723506,-0.4760865,1.349035,0.4351394,-0.5071984,1.301188,0.179936,-0.1468414,1.415765,0.1822939,-0.4498952,1.3925,0.01241381,0.02018478,1.406152,0.1031793,-0.4411457,1.366904,-0.02848734,-0.2266475,1.391008,0.3976088,-0.2307749,1.376608,NA,NA,NotTracked,NotTracked,
-0.9492188,0.1738281,0.1928711,0.9238281,0.3496094,0.01611328,3,1,-2,-3,1,28,12,0,0,1,-2,-3,-2,0,-5,-2,-52.0625,-52.0625,-52.0625,-46.5625,-46.5625,-46.5625,6.682382,7.074278,9.314082,7.658669,2.93377,3.115195,-0.03294308,-0.4870232,1.351835,0.4044164,-0.5032616,1.323347,0.2041397,0.2845046,1.379879,-0.07297116,-0.4652836,1.351108,0.4417634,-0.4997756,1.304495,0.181174,-0.1469659,1.414911,0.1837331,-0.4501075,1.392148,0.01330825,0.02064156,1.405112,0.104557,-0.4412638,1.36634,-0.02935469,-0.2280036,1.392839,0.4006509,-0.2318734,1.378752,NA,NA,NotTracked,NotTracked,
-0.9682617,0.2177734,0.1333008,0.9624023,0.4604492,-0.2636719,-9,-7,-3,-1,-2,1,-2,-11,33,-31,-7,-7,-22,2,9,7,-40.25,-40.25,-40.25,-149.6875,-149.6875,-149.6875,6.626642,7.101408,9.355334,7.647597,2.959385,2.90744,-0.02813648,-0.4880426,1.351112,0.4041899,-0.5039591,1.325193,0.2048239,0.2840601,1.378782,-0.06523092,-0.4911978,1.351938,0.4410574,-0.4803021,1.311769,0.181784,-0.1470997,1.414587,0.1844395,-0.4502366,1.392109,0.0142759,0.02075117,1.404109,0.1052402,-0.4413698,1.366202,-0.02933587,-0.2302166,1.394554,0.4022561,-0.2335535,1.381378,NA,NA,NotTracked,NotTracked,
-1.017578,0.4082031,-0.1611328,1.245605,0.2700195,-0.1333008,-1,-4,-14,-7,-7,-17,5,-3,-5,46,10,6,-10,-6,-29,-17,-95.1875,-95.1875,-95.1875,-282.875,-282.875,-282.875,6.654936,7.098542,9.487586,7.274301,3.082961,2.851753,-0.02463914,-0.4855722,1.340089,0.4046626,-0.4994809,1.307312,0.204977,0.2837161,1.377464,-0.06291861,-0.4832447,1.34612,0.4396272,-0.4930291,1.306047,0.1817115,-0.1473928,1.414042,0.1843574,-0.4505235,1.391791,0.01472919,0.02080948,1.403816,0.105126,-0.4415849,1.365907,-0.02899383,-0.2334814,1.396948,0.4037774,-0.2348426,1.384597,NA,NA,NotTracked,NotTracked,
