ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
-0.9697266,0.2172852,0.168457,0.9291992,0.2807617,0.03515625,-2,-1,1,0,-2,-2,-3,-3,-1,-1,-1,0,2,-3,-3,0,0.25,0.25,0.25,1.6875,1.6875,1.6875,6.409389,7.038526,4.162269,7.315095,2.962683,6.891259,-0.01897617,-0.487802,1.321498,0.3847437,-0.488004,1.326814,0.1874766,0.2850612,1.395598,-0.05951191,-0.4839577,1.329225,0.3485092,-0.4717612,1.325587,0.1756038,-0.1472469,1.422889,0.1775763,-0.4491645,1.399884,0.006900578,0.01763172,1.408213,0.09830274,-0.4400315,1.37336,-0.02633932,-0.2244183,1.385924,0.3933462,-0.2311375,1.39549,NA,NA,NotTracked,NotTracked,
-0.9677734,0.2172852,0.1704102,0.9335938,0.2749023,0.03466797,0,0,0,-2,-1,0,-7,-3,-2,-2,-1,-1,-2,-2,-2,-3,-0.6875,-0.6875,-0.6875,0.875,0.875,0.875,6.408375,7.039145,4.161152,7.315105,2.962821,6.891512,-0.01930005,-0.4875474,1.321381,0.3844791,-0.4883827,1.32603,0.1872147,0.2850319,1.395489,-0.05930999,-0.4876627,1.328674,0.3487887,-0.46961,1.316514,0.1754192,-0.1472796,1.42267,0.1775472,-0.4491491,1.399672,0.006849107,0.01755014,1.408105,0.09827702,-0.4400433,1.373162,-0.02653139,-0.2244793,1.385746,0.3932155,-0.2308724,1.39519,NA,NA,NotTracked,NotTracked,
-0.9716797,0.2182617,0.1694336,0.9370117,0.2802734,0.03662109,-1,-1,-1,-1,-3,-1,-3,-4,-2,1,-1,1,-2,-3,-1,-1,-2.8125,-2.8125,-2.8125,0.875,0.875,0.875,6.409241,7.037755,4.166648,7.314807,2.963055,6.892169,-0.01974497,-0.4877183,1.3217,0.384493,-0.4880249,1.326537,0.1868543,0.2850123,1.395347,-0.05940244,-0.4853654,1.329075,0.348866,-0.4777685,1.311428,0.1752337,-0.1472941,1.422521,0.1774033,-0.4491461,1.399528,0.006798535,0.01751713,1.408055,0.0981565,-0.4400412,1.373084,-0.02682311,-0.2244069,1.385575,0.3931446,-0.2308371,1.395036,NA,NA,NotTracked,NotTracked,
-0.9624023,0.2138672,0.1669922,0.9331055,0.2792969,0.02783203,-2,0,-2,-1,0,-2,0,4,-1,-2,-1,-1,0,-1,-5,-5,-1,-1,-1,1.4375,1.4375,1.4375,6.409943,7.037498,4.169371,7.316759,2.962263,6.893836,-0.01955007,-0.4860907,1.322001,0.3844466,-0.4877903,1.325845,0.1865111,0.2850103,1.39519,-0.05981584,-0.4847006,1.330308,0.3477529,-0.4746399,1.325881,0.1749619,-0.1473012,1.422323,0.177076,-0.4491744,1.399348,0.006702259,0.01738738,1.407812,0.09783163,-0.4400562,1.372899,-0.02708232,-0.2242606,1.385394,0.3929915,-0.2306442,1.394771,NA,NA,NotTracked,NotTracked,
-0.9672852,0.2192383,0.1694336,0.9277344,0.277832,0.02929688,-2,-2,-2,-1,-1,-1,-4,-1,0,1,-1,-1,0,2,3,0,0.875,0.875,0.875,1.0625,1.0625,1.0625,6.408259,7.03733,4.167246,7.311306,2.962673,6.901094,-0.01978494,-0.4877262,1.322289,0.3841932,-0.4877529,1.32658,0.1862316,0.2850027,1.395119,-0.06008239,-0.4858835,1.329989,0.3479288,-0.4723665,1.324494,0.174697,-0.147371,1.422227,0.1767427,-0.449272,1.399276,0.006555434,0.01729975,1.407653,0.09752817,-0.4401329,1.372903,-0.02744446,-0.2244368,1.385429,0.3928964,-0.2306368,1.394596,NA,NA,NotTracked,NotTracked,
-0.9658203,0.2207031,0.168457,0.9326172,0.2758789,0.02978516,-2,-2,-1,0,0,-1,-4,-2,0,-2,-2,0,-3,-1,-1,1,-0.5625,-0.5625,-0.5625,-1.3125,-1.3125,-1.3125,6.412576,7.036747,4.171764,7.311846,2.962729,6.898703,-0.01991131,-0.4879289,1.322247,0.3836978,-0.4875376,1.326028,0.1859395,0.2849787,1.395023,-0.05972345,-0.4843007,1.329248,0.3459848,-0.5186707,1.3145,0.1744349,-0.147423,1.422128,0.1764862,-0.4493701,1.399134,0.006457664,0.01725851,1.407633,0.09725188,-0.4402347,1.372713,-0.02756637,-0.2244675,1.385407,0.3927812,-0.2305607,1.394371,NA,NA,NotTracked,NotTracked,
-0.9663086,0.2216797,0.1772461,0.9360352,0.2714844,0.03759766,1,-1,-1,-1,-1,-1,-1,-2,0,-1,-1,0,2,1,2,2,-1.4375,-1.4375,-1.4375,3.25,3.25,3.25,6.409968,7.036458,4.171072,7.316681,2.962451,6.896708,-0.02060101,-0.4878926,1.322783,0.383989,-0.488268,1.326893,0.1856418,0.2848642,1.394953,-0.06478599,-0.4716687,1.306,0.3482992,-0.4840863,1.325719,0.1740529,-0.1474106,1.422011,0.1761709,-0.4493291,1.399107,0.006358375,0.01722408,1.407472,0.09693871,-0.4401723,1.372703,-0.02762635,-0.2245008,1.385389,0.3926864,-0.23036,1.394125,NA,NA,NotTracked,NotTracked,
-0.9677734,0.2231445,0.1674805,0.9321289,0.2773438,0.03710938,0,-1,-3,-2,0,0,-5,-1,-3,0,-2,-1,1,0,-1,-3,0.625,0.625,0.625,0.125,0.125,0.125,6.41284,7.035755,4.172822,7.318229,2.963223,6.895951,-0.02069245,-0.4879683,1.323304,0.3839847,-0.4875602,1.326418,0.1852714,0.2848389,1.395012,-0.06036451,-0.4904025,1.327971,0.3472788,-0.4663922,1.32363,0.1738863,-0.1473769,1.421987,0.1760682,-0.4492893,1.399086,0.005397878,0.01725546,1.407583,0.09683121,-0.4401359,1.37271,-0.02775219,-0.2246426,1.385414,0.3926245,-0.2300943,1.394111,NA,NA,NotTracked,NotTracked,
-0.965332,0.222168,0.1748047,0.9384766,0.2719727,0.03320313,0,0,-2,0,-2,-1,-1,0,2,2,-1,0,2,1,0,2,0.5625,0.5625,0.5625,-1.25,-1.25,-1.25,6.41255,7.034945,4.172213,7.318676,2.964719,6.893675,-0.02069279,-0.4884873,1.32358,0.3837794,-0.48723,1.326252,0.1849802,0.2848477,1.395036,-0.06150905,-0.4826129,1.333139,0.3472467,-0.476235,1.324907,0.1736189,-0.1473029,1.422026,0.1756413,-0.4491233,1.399173,0.005360428,0.01734584,1.407593,0.09640162,-0.4399562,1.37292,-0.02789127,-0.2245343,1.385398,0.3925621,-0.2300445,1.394006,NA,NA,NotTracked,NotTracked,
-0.9692383,0.21875,0.1674805,0.9296875,0.2797852,0.02685547,-2,0,-2,-1,0,-1,0,-2,2,-1,-1,-3,1,2,-1,1,0.625,0.625,0.625,-1.125,-1.125,-1.125,6.414222,7.033025,4.170264,7.316315,2.965641,6.895224,-0.0204902,-0.4885163,1.323842,0.3843843,-0.4877448,1.326744,0.1846706,0.2848336,1.395299,-0.06077921,-0.4919633,1.33281,0.348082,-0.4830928,1.322872,0.1734387,-0.1472502,1.422159,0.1754237,-0.4490515,1.399297,0.005208898,0.01719057,1.407645,0.09618193,-0.4398695,1.373046,-0.02816831,-0.2244952,1.385481,0.3924957,-0.2298776,1.394084,NA,NA,NotTracked,NotTracked,
