ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
-0.953125,0.2431641,0.1748047,0.9282227,0.3193359,0.03710938,-1,0,-1,1,-1,-12,-2,0,1,1,1,1,-3,-8,-19,-3,1.9375,1.9375,1.9375,-5.375,-5.375,-5.375,6.464972,6.984847,0.07400988,7.241563,3.017254,2.579875,-0.01893325,-0.4790154,1.32945,0.3661546,-0.4965476,1.299516,0.1887963,0.2889617,1.398963,0.01495462,-0.4743487,1.308102,0.4042568,-0.4845935,1.29567,0.1726964,-0.1485215,1.421215,0.1707906,-0.4534336,1.399485,0.00352078,0.01273374,1.412457,0.09207106,-0.4442866,1.373865,-0.03095832,-0.2342407,1.393294,0.3876296,-0.2300486,1.381874,NA,NA,NotTracked,NotTracked,
-0.9589844,0.2446289,0.1811523,0.9179688,0.3095703,0.0390625,0,-2,-1,-1,-1,8,2,-1,0,0,-2,-1,-4,-1,3,0,1.0625,1.0625,1.0625,-6.6875,-6.6875,-6.6875,6.463452,6.98514,0.07042225,7.222334,3.017764,2.588501,-0.0192202,-0.479678,1.328858,0.3650577,-0.4956872,1.299731,0.189549,0.2889734,1.398413,0.01750931,-0.4820695,1.304468,0.4042487,-0.4800743,1.297245,0.1732872,-0.1485531,1.420892,0.1715753,-0.453466,1.399204,0.003961889,0.01296209,1.412246,0.0928264,-0.4443513,1.373467,-0.03060588,-0.2340875,1.392922,0.3877685,-0.2303206,1.381963,NA,NA,NotTracked,NotTracked,
-0.9584961,0.2475586,0.1801758,0.921875,0.3198242,0.046875,-3,0,0,-1,-3,1,-5,-2,-3,-1,-3,-2,-4,1,-7,-4,0,0,0,-1.0625,-1.0625,-1.0625,6.463724,6.985091,0.07011316,7.224781,3.018984,2.581997,-0.01904575,-0.4793734,1.32879,0.3647798,-0.4963437,1.30107,0.1900244,0.2890121,1.3981,0.01570965,-0.4758807,1.307334,0.404307,-0.4849817,1.299132,0.1734615,-0.1485609,1.42074,0.1718281,-0.4534412,1.399074,0.004194214,0.01310478,1.412006,0.09310036,-0.4443271,1.373289,-0.03030136,-0.2340868,1.392639,0.3878435,-0.2305855,1.382228,NA,NA,NotTracked,NotTracked,
-0.9614258,0.2485352,0.1835938,0.9262695,0.3227539,0.04345703,-1,0,-2,0,2,4,1,-1,0,-2,1,-2,-3,-5,12,1,-0.9375,-0.9375,-0.9375,0.875,0.875,0.875,6.459792,6.985735,0.06747957,7.243581,3.018083,2.562788,-0.01857996,-0.4792462,1.328971,0.3646488,-0.4964234,1.301103,0.1902882,0.289,1.397936,0.01642182,-0.473864,1.308131,0.4037547,-0.4871444,1.300118,0.1736247,-0.1485747,1.420635,0.172235,-0.4534587,1.398965,0.004444196,0.01314533,1.411731,0.09351877,-0.44432,1.373071,-0.03022864,-0.2339922,1.392561,0.3878604,-0.2308694,1.382444,NA,NA,NotTracked,NotTracked,
-0.9570313,0.2421875,0.1865234,0.9248047,0.3012695,0.05224609,1,0,0,0,0,0,3,0,-1,-1,-1,-1,1,0,1,-1,-0.0625,-0.0625,-0.0625,-0.1875,-0.1875,-0.1875,6.454345,6.985872,0.06214548,7.259079,3.018085,2.546035,-0.01923749,-0.4784781,1.329341,0.3650422,-0.4968121,1.301183,0.1904549,0.2890092,1.397846,0.01543191,-0.4749233,1.307813,0.4060258,-0.4832731,1.302609,0.173714,-0.1485507,1.420595,0.1722607,-0.4534338,1.398971,0.004564006,0.01335404,1.411739,0.09354115,-0.4442783,1.373036,-0.03017855,-0.2338955,1.392527,0.3879189,-0.2309599,1.382836,NA,NA,NotTracked,NotTracked,
-0.9614258,0.2470703,0.1826172,0.9521484,0.3310547,0.03173828,-2,0,0,-2,-2,-5,-3,-1,-4,-7,-15,-8,-4,3,9,-6,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,6.449789,6.987082,0.055262,7.272666,3.019154,2.53425,-0.01927011,-0.4788229,1.329113,0.3653905,-0.4968917,1.302299,0.1904041,0.2889962,1.397745,0.01851453,-0.4701349,1.309843,0.4061002,-0.4863243,1.302436,0.1736681,-0.1485592,1.420543,0.1721803,-0.4534442,1.398965,0.004492995,0.0133631,1.411636,0.09344914,-0.444278,1.372973,-0.03013608,-0.2333789,1.392351,0.3879676,-0.2312244,1.383047,NA,NA,NotTracked,NotTracked,
-0.9726563,0.269043,0.1347656,0.9794922,0.3623047,-0.03125,-5,-9,-12,-8,-5,-16,-4,-5,-6,3,12,2,-2,-9,-20,-23,-7.1875,-7.1875,-7.1875,-48.25,-48.25,-48.25,6.451149,6.985319,0.06122443,7.227787,3.050664,2.531558,-0.01931423,-0.478654,1.327841,0.3641708,-0.4963873,1.298997,0.1903286,0.2889689,1.39769,0.0170335,-0.4762415,1.307397,0.4029265,-0.4889562,1.296116,0.1734712,-0.148592,1.420481,0.1720392,-0.453512,1.398987,0.00431456,0.01315899,1.411441,0.09330347,-0.4443171,1.372956,-0.03016647,-0.2333709,1.392227,0.3879118,-0.2317281,1.383358,NA,NA,NotTracked,NotTracked,
-1.083496,0.3188477,0.03564453,1.066895,0.3974609,0.1064453,-7,-17,-50,-34,-32,-11,1,-5,-4,-21,-13,11,-8,-10,13,0,-46.6875,-46.6875,-46.6875,-34.5625,-34.5625,-34.5625,6.408825,6.92298,0.08526082,7.05581,3.146574,2.626677,-0.01690614,-0.4761055,1.317467,0.3612788,-0.4901994,1.286613,0.1902396,0.2889525,1.3977,0.01961072,-0.4704852,1.297867,0.3935069,-0.4879784,1.285643,0.1734484,-0.1486039,1.420493,0.1719785,-0.4535239,1.399002,0.004209744,0.01324749,1.41146,0.09323222,-0.4443231,1.372961,-0.03088045,-0.2329711,1.392819,0.388137,-0.230824,1.384236,NA,NA,NotTracked,NotTracked,
-1.145996,0.2548828,0.3173828,0.9306641,0.7011719,0.3193359,-3,-10,-31,3,1,13,-1,-3,5,7,5,-6,-21,-18,-31,-11,-26.8125,-26.8125,-26.8125,9.875,9.875,9.875,6.297545,6.83632,0.01023749,6.877998,3.354095,2.825936,-0.005482616,-0.4543795,1.285092,0.3507815,-0.4681359,1.247203,0.1900703,0.2889902,1.397742,0.02425993,-0.4473654,1.256822,0.3531845,-0.4478574,1.215269,0.1734875,-0.1486194,1.420455,0.1723247,-0.4535464,1.39885,0.003993096,0.01318975,1.411729,0.09349731,-0.4444133,1.372856,-0.03505601,-0.2271997,1.39793,0.3904307,-0.2235451,1.38663,NA,NA,NotTracked,NotTracked,
-0.96875,0.4438477,0.5107422,0.6137695,0.7373047,0.4013672,0,2,-15,-11,2,-5,2,0,2,11,26,3,-3,-5,-20,-10,26.3125,26.3125,26.3125,44.0625,44.0625,44.0625,6.209884,6.612142,9.88223,6.7897,3.75731,3.019524,0.02498697,-0.4081359,1.253311,0.3289979,-0.4190304,1.2003,0.1896683,0.2890802,1.398079,0.07088181,-0.4256232,1.286333,0.3276934,-0.3878956,1.173782,0.1739274,-0.1485494,1.420322,0.1747548,-0.4532716,1.397992,0.003626184,0.01316766,1.412212,0.0955606,-0.4446335,1.371879,-0.04081972,-0.2165619,1.402366,0.393035,-0.2126419,1.387837,NA,NA,Lasso,Lasso,
