ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.8652344,-0.6118164,0.03320313,0.9501953,0.2583008,0.1918945,-1,-7,2,1,-1,10,-4,5,-3,-1,0,-3,-1,0,1,-1,14.25,14.25,14.25,0.5625,0.5625,0.5625,2.453561,3.061756,4.72781,6.580274,2.986644,1.385299,-0.2105888,-0.3928984,1.477889,0.2462908,-0.4845444,1.365922,0.06680253,0.2740888,1.4721,-0.1371469,-0.3603955,1.471928,0.2811647,-0.4703211,1.34745,0.04583079,-0.165955,1.490244,0.04280252,-0.4675822,1.469429,-0.1162177,0.03227236,1.472548,-0.03451574,-0.455157,1.432417,-0.2371732,-0.1507523,1.53033,0.2480341,-0.2346429,1.459562,NA,NA,NotTracked,NotTracked,
1.069824,-0.3383789,0.02978516,0.9174805,0.237793,0.1860352,1,15,15,38,2,1,7,5,-1,0,1,2,-1,1,0,0,65.75,65.75,65.75,4.8125,4.8125,4.8125,2.524538,3.118118,4.762381,6.603154,2.980451,1.366681,-0.2078286,-0.3915373,1.464256,0.24776,-0.4861927,1.366174,0.0668494,0.2740574,1.472088,-0.1372898,-0.3535844,1.46475,0.2890002,-0.47504,1.361077,0.04594025,-0.166036,1.490266,0.0429001,-0.4676916,1.469522,-0.1160188,0.03191077,1.472719,-0.03435628,-0.4552944,1.432913,-0.2354125,-0.1541353,1.529006,0.2481529,-0.2345456,1.459241,NA,NA,NotTracked,NotTracked,
0.8476563,-0.5859375,0.07958984,0.9389648,0.2485352,0.1958008,-4,-3,0,10,0,-1,-1,-5,-1,-1,-3,-2,-1,0,-1,-1,27.0625,27.0625,27.0625,6.625,6.625,6.625,2.728792,3.319451,4.592617,6.616637,2.980828,1.362855,-0.199079,-0.391077,1.440141,0.2490791,-0.4863883,1.366936,0.0668368,0.2739586,1.472214,-0.1321765,-0.3480066,1.4458,0.2939111,-0.4790976,1.369842,0.04600059,-0.1661413,1.490308,0.04296391,-0.467809,1.469542,-0.1159925,0.03155622,1.473175,-0.03426389,-0.4554051,1.433006,-0.233162,-0.1579917,1.526966,0.2482271,-0.2348377,1.458874,NA,NA,NotTracked,NotTracked,
0.9487305,-0.6132813,0.1386719,0.9267578,0.2373047,0.1870117,-1,-8,-10,3,-4,-2,-2,0,-1,-2,-1,-3,-1,0,1,-1,26.4375,26.4375,26.4375,1.3125,1.3125,1.3125,2.875117,3.522349,4.477979,6.608855,2.982265,1.372349,-0.1830991,-0.383256,1.405154,0.2489645,-0.486004,1.365564,0.0667327,0.2739384,1.472186,-0.1345856,-0.3587942,1.453275,0.292386,-0.4795528,1.36539,0.04603589,-0.1661782,1.49029,0.04305487,-0.4678496,1.469521,-0.1160066,0.03137286,1.473491,-0.03416076,-0.4554552,1.433026,-0.2300746,-0.1605361,1.521768,0.2482234,-0.2349508,1.45843,NA,NA,NotTracked,NotTracked,
0.715332,-0.793457,0.2797852,0.9526367,0.2563477,0.1962891,1,0,2,-2,-13,4,6,3,-1,-1,0,0,-1,-1,-2,2,4.625,4.625,4.625,7.125,7.125,7.125,3.047706,3.833287,4.280744,6.594117,2.987939,1.395563,-0.1562872,-0.3527758,1.361158,0.2484007,-0.4849108,1.364533,0.06616281,0.2740526,1.472386,-0.1079971,-0.3715286,1.401236,0.2798178,-0.4749965,1.345196,0.04612045,-0.1662042,1.490356,0.04318819,-0.4678873,1.469503,-0.1164782,0.03087877,1.474541,-0.03400274,-0.4555354,1.433112,-0.2257623,-0.1597053,1.51573,0.2481617,-0.2349841,1.458329,NA,NA,Unknown,NotTracked,
0.6811523,-0.9833984,0.34375,0.9174805,0.2480469,0.1943359,0,-1,-3,-2,-25,-5,0,-1,0,-1,-3,-1,0,-2,0,0,4.3125,4.3125,4.3125,10.1875,10.1875,10.1875,3.105185,4.048655,4.192765,6.580814,2.99821,1.428407,-0.1292908,-0.2926181,1.299705,0.2463302,-0.484895,1.363663,0.06504644,0.2738178,1.472826,-0.08370208,-0.3346909,1.350176,0.2895505,-0.4776798,1.366313,0.04617114,-0.1663764,1.490436,0.04372328,-0.4681411,1.46922,-0.1171784,0.02909249,1.47553,-0.03336844,-0.4559821,1.433066,-0.2194885,-0.1510001,1.505573,0.2479201,-0.2353829,1.457815,NA,NA,Closed,NotTracked,
0.4282227,-0.9550781,0.3310547,0.9248047,0.277832,0.1977539,-1,0,2,4,12,-2,1,1,-1,-2,3,1,0,-2,0,1,10.6875,10.6875,10.6875,13.875,13.875,13.875,3.156571,4.292787,4.107759,6.587825,3.006687,1.446154,-0.09525134,-0.2076948,1.25922,0.2450312,-0.4851937,1.361219,0.06247861,0.2727248,1.473885,-0.05209066,-0.2417355,1.306929,0.2853981,-0.4829848,1.354179,0.04592678,-0.1669377,1.491156,0.04374097,-0.4681626,1.469246,-0.1181524,0.02843567,1.477972,-0.03327033,-0.45607,1.433357,-0.216797,-0.1404721,1.481901,0.2475751,-0.236696,1.457129,NA,NA,Unknown,NotTracked,
0.09765625,-0.8969727,0.4228516,0.9384766,0.2446289,0.1962891,-1,-1,-2,-2,-4,-10,-3,1,1,-1,0,-1,0,-1,-2,0,-10,-10,-10,9.3125,9.3125,9.3125,3.202227,4.859129,3.933656,6.579447,3.01213,1.470254,-0.06548463,-0.1073496,1.248224,0.2447428,-0.4849713,1.357917,0.05885471,0.2716089,1.474949,-0.0196339,-0.1247483,1.303445,0.2855045,-0.4892316,1.355889,0.04519017,-0.1680191,1.492862,0.04342421,-0.4684265,1.469607,-0.11938,0.02745809,1.482042,-0.03357965,-0.4564915,1.434231,-0.2345785,-0.141963,1.43832,0.24707,-0.2382279,1.456425,NA,NA,Unknown,NotTracked,
-0.06982422,-1.036133,0.5483398,0.9370117,0.2460938,0.1967773,-4,-3,-1,0,3,22,30,1,-1,-1,1,-5,-3,0,1,-1,-40.375,-40.375,-40.375,5.9375,5.9375,5.9375,3.136371,5.28736,3.793959,6.573699,3.019494,1.488608,-0.04778929,-0.01347924,1.263818,0.2425781,-0.4857842,1.354788,0.05504513,0.2708594,1.475939,-0.01887131,-0.03848071,1.318667,0.2712873,-0.4784579,1.335074,0.04432707,-0.1693502,1.494273,0.04288728,-0.4694369,1.46987,-0.1182405,0.02720012,1.480884,-0.0343136,-0.4575381,1.434654,-0.2180029,-0.1393803,1.417832,0.2463412,-0.2383872,1.455558,NA,NA,Closed,NotTracked,
-0.4189453,-0.8901367,0.3110352,0.934082,0.2504883,0.1860352,-1,-1,2,-10,-8,4,18,0,-2,-2,1,-1,-2,-2,1,-1,-0.25,-0.25,-0.25,-4.9375,-4.9375,-4.9375,2.996635,5.880656,3.502259,6.552547,3.029981,1.512267,-0.05041083,0.04891939,1.300152,0.2404958,-0.4861037,1.351413,0.053551,0.2708874,1.476255,0.006178666,0.06291099,1.32975,0.2630059,-0.4772097,1.326046,0.04594441,-0.1701876,1.494666,0.04278667,-0.4716152,1.469928,-0.1150535,0.02423031,1.474646,-0.03492822,-0.4599075,1.433829,-0.214447,-0.1361038,1.402253,0.2450784,-0.2385527,1.45464,NA,NA,Unknown,NotTracked,
-0.534668,-0.7988281,0.1572266,0.9160156,0.2705078,0.1870117,-2,-1,-8,10,4,-20,-14,1,-1,-1,-1,1,1,0,-1,-1,11.375,11.375,11.375,2.1875,2.1875,2.1875,2.870302,6.11463,3.281403,6.537052,3.034662,1.527703,-0.02629249,0.1214203,1.326116,0.2385284,-0.4857861,1.35085,0.05128211,0.2711137,1.476331,0.007961249,0.1117852,1.394583,0.2811221,-0.4810223,1.3572,0.04657441,-0.1707841,1.494396,0.04284452,-0.4733091,1.46994,-0.1136632,0.02224568,1.470706,-0.03521284,-0.4617092,1.433186,-0.2155289,-0.1294795,1.381809,0.2434195,-0.2384871,1.45441,NA,NA,Unknown,NotTracked,
-0.5449219,-0.71875,0.09277344,0.918457,0.2700195,0.1855469,-2,-4,0,7,-3,24,-46,5,-1,-2,0,-1,-3,0,-1,-2,-5.8125,-5.8125,-5.8125,-0.9375,-0.9375,-0.9375,2.668864,6.285367,3.016821,6.529422,3.037739,1.536018,-0.02619066,0.1373523,1.346496,0.2354434,-0.4861221,1.350872,0.04768346,0.2706398,1.475723,-0.05294276,0.1508265,1.3925,0.2767253,-0.47343,1.355519,0.04696463,-0.1714398,1.494495,0.04295807,-0.474073,1.469771,-0.1126574,0.02090771,1.467117,-0.03521955,-0.4624406,1.432851,-0.2162765,-0.1227319,1.365779,0.2421011,-0.2388012,1.454303,NA,NA,Unknown,NotTracked,
-0.5849609,-0.5966797,0.0625,0.9179688,0.2666016,0.2246094,-2,-1,-3,-1,0,13,14,3,0,-2,3,-1,-2,1,-2,0,-17.8125,-17.8125,-17.8125,-0.0625,-0.0625,-0.0625,2.589982,6.314607,2.924212,6.524642,3.03712,1.536276,-0.01007811,0.1622427,1.361433,0.2347129,-0.4859419,1.351715,0.04517249,0.2708735,1.475748,0.03356391,0.1295589,1.404143,0.2743441,-0.4822965,1.34867,0.04708113,-0.1717423,1.494573,0.04293942,-0.4743954,1.469664,-0.1107559,0.02158954,1.463048,-0.0353003,-0.4627945,1.432582,-0.2177882,-0.1171563,1.358014,0.2410283,-0.2394216,1.454576,NA,NA,Unknown,Unknown,
-0.6323242,-0.6445313,0.06787109,0.9086914,0.2851563,0.2011719,-2,1,0,-3,5,-14,-49,-7,-2,0,-2,0,-4,0,-2,-2,-0.8125,-0.8125,-0.8125,4.3125,4.3125,4.3125,2.530504,6.315429,2.860255,6.551805,3.030246,1.513621,-0.003748592,0.1614627,1.367095,0.2353573,-0.4867419,1.354454,0.04369135,0.2710534,1.47565,0.01909302,0.1228021,1.426889,0.2795183,-0.4862454,1.365818,0.04713332,-0.1718536,1.494605,0.04294056,-0.474495,1.469606,-0.1093765,0.02259066,1.460558,-0.03532832,-0.4628913,1.432434,-0.2186293,-0.1132257,1.353763,0.2400069,-0.2385509,1.455543,NA,NA,NotTracked,Unknown,
-0.715332,-0.7080078,0.01708984,0.9106445,0.2797852,0.2094727,-3,-3,-5,26,-9,-5,1,1,0,0,-3,-1,1,1,0,1,5,5,5,2.8125,2.8125,2.8125,2.482059,6.311338,2.806785,6.584918,3.02305,1.483597,0.004658574,0.1715712,1.374148,0.2359847,-0.4876975,1.359484,0.04255199,0.2710479,1.475926,0.0391715,0.1294478,1.412895,0.2776345,-0.4868743,1.36057,0.04713963,-0.1719861,1.494651,0.04290719,-0.4746553,1.469586,-0.1086055,0.0232534,1.459538,-0.0353879,-0.4630447,1.432287,-0.2191556,-0.1107391,1.351639,0.2395256,-0.2386832,1.456034,NA,NA,NotTracked,Unknown,
-0.6884766,-0.7016602,-0.01269531,0.9350586,0.2680664,0.2119141,-4,-1,-8,-15,-6,-5,-8,-10,-2,-1,2,-3,0,1,1,-2,5.625,5.625,5.625,0.5,0.5,0.5,2.467428,6.306215,2.776778,6.612411,3.018424,1.452574,0.005648395,0.1696642,1.377755,0.2376804,-0.4879216,1.362735,0.04156388,0.2707811,1.476003,0.03393345,0.1254979,1.417644,0.2734903,-0.4806131,1.351982,0.04711838,-0.1721341,1.494699,0.04282648,-0.4749266,1.46964,-0.1080578,0.02371429,1.458945,-0.03547503,-0.4632892,1.432215,-0.2193464,-0.1091478,1.350317,0.2391624,-0.238574,1.456851,NA,NA,NotTracked,Unknown,
-0.7241211,-0.6943359,-0.04492188,0.9233398,0.2749023,0.2089844,2,-7,-4,1,-5,-9,6,1,2,5,-2,-2,1,-1,-1,-1,-3.625,-3.625,-3.625,-1.8125,-1.8125,-1.8125,2.436899,6.295914,2.744122,6.620769,3.019811,1.44186,0.003137049,0.1601392,1.37608,0.2380106,-0.4881648,1.363902,0.04094604,0.2705333,1.476245,0.0376943,0.1244365,1.418842,0.2830471,-0.4931726,1.367231,0.04707449,-0.1723641,1.494697,0.04268971,-0.4752989,1.469564,-0.1076846,0.02392672,1.458514,-0.0356519,-0.4636684,1.431877,-0.2186762,-0.108309,1.348669,0.2390576,-0.239277,1.457809,NA,NA,NotTracked,Unknown,
-0.6899414,-0.6791992,-0.04980469,0.9150391,0.2744141,0.2143555,-4,-5,-8,-19,-2,-7,-20,-7,-2,2,0,-2,-2,-3,2,-2,-3.3125,-3.3125,-3.3125,-1.75,-1.75,-1.75,2.438033,6.280039,2.748551,6.614853,3.02424,1.442504,0.00299587,0.156546,1.373873,0.238522,-0.4879601,1.364799,0.04056013,0.2704164,1.476136,-0.002491878,0.09491394,1.429778,0.2834613,-0.4795712,1.369476,0.04524752,-0.1730085,1.494088,0.04254406,-0.4755593,1.469603,-0.1071786,0.02567296,1.456873,-0.03577035,-0.463866,1.431782,-0.2182485,-0.107924,1.348967,0.2388015,-0.2397012,1.458566,NA,NA,NotTracked,Unknown,
-0.6855469,-0.6884766,0.008789063,0.9262695,0.2670898,0.2041016,-1,1,0,2,-3,1,16,0,-1,0,-1,-2,1,-1,1,2,-6.9375,-6.9375,-6.9375,-5.125,-5.125,-5.125,2.443814,6.246974,2.768217,6.595986,3.031846,1.451087,0.003951167,0.1562575,1.371488,0.2382749,-0.4869903,1.363877,0.04021089,0.2704483,1.476009,-0.005362877,0.08976467,1.428538,0.2813147,-0.4806871,1.364175,0.04551831,-0.1731515,1.494197,0.04249021,-0.4757466,1.469664,-0.107032,0.02571208,1.457047,-0.03583982,-0.4640264,1.431739,-0.2179468,-0.1064856,1.347025,0.2387566,-0.239501,1.458976,NA,NA,NotTracked,Unknown,
-0.7470703,-0.7548828,-0.002929688,0.9082031,0.2749023,0.2060547,-3,0,-3,-10,0,6,-31,-7,-1,0,-2,-4,0,-1,-1,-1,0.8125,0.8125,0.8125,-1.1875,-1.1875,-1.1875,2.448254,6.224924,2.779906,6.579747,3.035792,1.46394,0.003204806,0.1553248,1.369622,0.2375397,-0.4872652,1.361862,0.04005989,0.2704442,1.475832,-0.001142679,0.09424366,1.428077,0.2811328,-0.4839264,1.364144,0.04583625,-0.1733333,1.494335,0.04243534,-0.4759172,1.469727,-0.1069768,0.02567932,1.457244,-0.03589724,-0.4641585,1.431694,-0.2178999,-0.1061001,1.346667,0.2387745,-0.2393864,1.459245,NA,NA,NotTracked,Unknown,
-0.7250977,-0.7099609,-0.04150391,0.918457,0.265625,0.2055664,-7,-10,-10,16,-2,3,12,-23,1,3,-1,-2,2,-2,0,1,-4.3125,-4.3125,-4.3125,0.875,0.875,0.875,2.453468,6.213765,2.790421,6.572352,3.036564,1.470259,0.001767917,0.154467,1.364215,0.2373809,-0.4877451,1.361989,0.04001878,0.2704631,1.475759,0.0349317,0.12253,1.413273,0.2806117,-0.4782107,1.363123,0.04632131,-0.1736741,1.494501,0.0424034,-0.4762599,1.46979,-0.1070545,0.02556773,1.458249,-0.03594444,-0.4644425,1.431599,-0.2172792,-0.1056044,1.34608,0.2388481,-0.2394768,1.459559,NA,NA,Unknown,Unknown,
-0.7099609,-0.7587891,-0.02832031,0.9082031,0.2651367,0.2021484,5,-14,1,2,-1,0,7,0,-1,-1,-1,1,-2,-2,0,-2,1.625,1.625,1.625,-3.6875,-3.6875,-3.6875,2.46593,6.192473,2.816224,6.557237,3.036376,1.479367,-0.003911128,0.1540468,1.35925,0.2369878,-0.4882582,1.36125,0.03996665,0.2704247,1.475434,0.02876263,0.1232197,1.409775,0.279552,-0.4818292,1.36173,0.04678312,-0.1740009,1.494617,0.04248168,-0.4766253,1.469814,-0.1073495,0.02503845,1.459261,-0.03591458,-0.464783,1.431494,-0.2163867,-0.1051942,1.344586,0.2388149,-0.2396301,1.459753,NA,NA,Unknown,Unknown,
-0.5976563,-0.7285156,-0.06835938,0.925293,0.2651367,0.2089844,-4,-3,0,0,-3,-4,-3,13,-1,0,1,-1,-2,-3,-1,-1,4.9375,4.9375,4.9375,-0.9375,-0.9375,-0.9375,2.454998,6.192057,2.81843,6.544515,3.03267,1.488586,-0.01032541,0.1598151,1.347658,0.2354361,-0.4877106,1.36154,0.03978527,0.2701276,1.474531,0.02395766,0.129846,1.404729,0.2791184,-0.4878034,1.362914,0.04704065,-0.1741624,1.49471,0.04248201,-0.4767578,1.469845,-0.1085033,0.02398344,1.461422,-0.03593574,-0.4649078,1.431478,-0.2153889,-0.1049215,1.342879,0.2387221,-0.2396124,1.459964,NA,NA,Unknown,Unknown,
