ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.3334961,-0.8408203,0.5039063,0.2353516,0.6728516,0.7231445,-5,-2,3,1,-13,1,16,-5,2,2,-3,10,-26,2,-1,-4,-27.125,-27.125,-27.125,79.75,79.75,79.75,3.392674,4.487423,5.905385,6.176864,4.488039,2.48835,-0.01934366,-0.1998865,1.202483,0.1758848,-0.2547905,1.216569,0.1080411,0.2738879,1.455288,0.01822039,-0.2289972,1.248,0.1378518,-0.2410989,1.25075,0.09055745,-0.1557779,1.459815,0.08491432,-0.4497562,1.435599,-0.07409825,0.02474479,1.443866,0.01649437,-0.4380224,1.399598,-0.1508798,-0.1734964,1.430959,0.3445157,-0.1757604,1.414418,NA,NA,Closed,Unknown,
0.1069336,-0.8237305,0.5136719,-0.01220703,0.7026367,0.6879883,2,4,5,3,-15,-9,-11,0,1,-1,-8,-31,-9,7,4,1,-27,-27,-27,95.6875,95.6875,95.6875,3.367068,4.934441,5.768605,6.33559,4.880587,2.59426,-0.006122901,-0.1270897,1.197365,0.1768975,-0.1709102,1.21201,0.1070601,0.2745305,1.456941,0.03496586,-0.1650035,1.241333,0.1339779,-0.2120311,1.241167,0.09047238,-0.1548484,1.460795,0.08485173,-0.4480108,1.436805,-0.07466821,0.02594418,1.444529,0.01665456,-0.4363702,1.401074,-0.1767662,-0.1685449,1.399487,0.355253,-0.1657281,1.390925,NA,NA,NotTracked,NotTracked,
-0.1240234,-0.7651367,0.515625,-0.1259766,0.703125,0.5976563,-1,-2,-12,-1,-9,-20,3,-2,-2,7,-2,-16,0,5,1,2,-36.75,-36.75,-36.75,93.5,93.5,93.5,3.281225,5.308261,5.641551,6.482582,5.12703,2.662665,-0.0001059206,-0.06420282,1.202471,0.1714928,-0.1039573,1.212147,0.1061816,0.2749677,1.45889,0.05112687,-0.07620576,1.228889,0.1339289,-0.1517932,1.2275,0.09021275,-0.1544492,1.461682,0.08468514,-0.4472107,1.437771,-0.07500735,0.02710639,1.444866,0.01661888,-0.4357976,1.402176,-0.193108,-0.1691229,1.408329,0.3452976,-0.1516495,1.339863,NA,NA,NotTracked,NotTracked,
-0.1855469,-0.8110352,0.4780273,-0.1875,0.6962891,0.5737305,0,4,6,2,5,5,-13,-14,1,5,8,12,-3,-5,-4,4,-32.0625,-32.0625,-32.0625,80.5,80.5,80.5,3.200345,5.501111,5.561886,6.624121,5.318265,2.728361,0.002599106,-0.02088047,1.210086,0.1730425,-0.05107812,1.215738,0.1055271,0.2751241,1.460812,0.04891624,-0.03925875,1.205445,0.1255426,-0.0946074,1.236,0.08977704,-0.1541758,1.462484,0.08468121,-0.4467937,1.438262,-0.07796983,0.02964906,1.445336,0.01661607,-0.4355977,1.402591,-0.1969863,-0.1669492,1.409526,0.3485126,-0.1322732,1.321965,NA,NA,NotTracked,NotTracked,
-0.3598633,-0.7138672,0.3833008,-0.2485352,0.7397461,0.4375,-17,-2,-5,-5,-14,-34,-40,-13,-3,4,-2,-6,-4,-17,0,-1,-14.4375,-14.4375,-14.4375,65.875,65.875,65.875,3.15976,5.624428,5.485561,6.749159,5.455401,2.788751,0.001145566,0.002905217,1.219717,0.1440511,-0.01204989,1.219749,0.1047813,0.2756848,1.462687,0.03937847,-0.01367791,1.204111,0.1296673,-0.03688537,1.184761,0.08870291,-0.1542117,1.462934,0.084556,-0.4468963,1.438513,-0.07888426,0.03084669,1.445253,0.01628157,-0.4359826,1.402745,-0.1682721,-0.1486965,1.358799,0.3578664,-0.1149064,1.312626,NA,NA,NotTracked,NotTracked,
-0.3530273,-0.7993164,0.409668,-0.3212891,0.7573242,0.3608398,0,-7,-11,-3,-1,11,4,-4,-7,-24,-7,-8,-12,-6,-3,-4,6.4375,6.4375,6.4375,38.5625,38.5625,38.5625,3.108554,5.687891,5.428582,6.875324,5.549376,2.859252,0.01974657,0.02235269,1.22289,0.1509118,0.02594487,1.234007,0.1041238,0.2760198,1.464469,0.03777448,-0.005827362,1.2133,0.1506401,0.01546175,1.197921,0.08714539,-0.1548175,1.462807,0.08437526,-0.4476961,1.438482,-0.07962068,0.03125032,1.444953,0.01563101,-0.4372677,1.402583,-0.175177,-0.1469373,1.363271,0.3601157,-0.1007266,1.300473,NA,NA,NotTracked,NotTracked,
-0.293457,-0.7797852,0.3930664,-0.3076172,0.7949219,0.3051758,6,0,-4,-2,-4,-1,12,16,-2,-3,-1,-5,14,5,-4,1,-4.5625,-4.5625,-4.5625,30.8125,30.8125,30.8125,3.1125,5.695977,5.410904,6.940688,5.569096,2.888377,0.0586135,0.04045336,1.240622,0.1585474,0.03178922,1.230512,0.1036234,0.2763154,1.465573,0.07907005,0.03449838,1.223,0.1594729,0.0184747,1.194625,0.08598799,-0.1553546,1.462589,0.08422276,-0.4487047,1.438306,-0.07999028,0.0315555,1.444535,0.01510081,-0.4385737,1.402531,-0.1737333,-0.147107,1.361545,0.3622007,-0.08980441,1.291358,NA,NA,NotTracked,NotTracked,
-0.480957,-0.7807617,0.3300781,-0.3408203,0.8276367,0.2998047,-11,2,1,1,0,4,6,8,1,-11,-4,-14,6,-30,-3,-2,10.4375,10.4375,10.4375,17,17,17,3.133836,5.695513,5.39965,6.982423,5.569779,2.911491,0.009662667,0.01514337,1.226567,0.2308087,0.01747095,1.244179,0.1032289,0.2764865,1.465991,-0.01211151,0.04015064,1.204298,0.1814136,0.01443743,1.193263,0.08534983,-0.1557759,1.462268,0.08396634,-0.4497541,1.437817,-0.08047938,0.03166275,1.444157,0.01460699,-0.4396105,1.402255,-0.1725736,-0.1478587,1.361152,0.3637155,-0.08181583,1.284959,NA,NA,Unknown,NotTracked,
-0.4067383,-0.8583984,0.3837891,-0.3374023,0.840332,0.3017578,1,-3,5,-3,-8,0,-16,3,-11,-12,-4,5,4,8,-3,3,13.3125,13.3125,13.3125,1,1,1,3.145634,5.680176,5.406759,6.986511,5.552291,2.915179,0.1195794,0.02727684,1.233519,0.232434,0.01705044,1.243295,0.1030591,0.2764806,1.466123,0.09876588,0.03620202,1.241294,0.18241,0.01295201,1.193436,0.08488825,-0.1560432,1.461966,0.0839176,-0.4502768,1.437405,-0.08090034,0.03185585,1.443933,0.01445129,-0.4401045,1.402037,-0.1714584,-0.148488,1.361017,0.3627111,-0.0741019,1.277884,NA,NA,NotTracked,Unknown,
-0.4233398,-0.9272461,0.3603516,-0.3671875,0.9174805,0.2773438,-9,1,4,-7,-10,-27,41,-4,-2,-4,-7,-16,-27,2,5,-1,-0.5625,-0.5625,-0.5625,-4.1875,-4.1875,-4.1875,3.158289,5.666074,5.427948,6.987597,5.54039,2.915803,0.1222855,0.02511349,1.233301,0.2335182,0.01564601,1.243759,0.1028839,0.276355,1.466164,0.09880242,0.03468954,1.241323,0.1896735,0.01985582,1.194973,0.08445721,-0.1562795,1.461749,0.08376056,-0.4506494,1.437085,-0.08120801,0.0319366,1.443894,0.01423079,-0.4404913,1.401879,-0.1701868,-0.149358,1.361399,0.3625473,-0.07131846,1.27512,NA,NA,NotTracked,NotTracked,
