ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.934082,-0.3349609,0.07910156,0.9301758,0.2109375,0.215332,-3,-5,-1,-2,0,1,1,-2,1,-1,-4,0,1,0,5,1,-1.25,-1.25,-1.25,0.5,0.5,0.5,2.81248,3.066101,6.965965,6.327101,2.97531,6.310491,-0.1820036,-0.4799716,1.32255,0.206042,-0.4797304,1.310153,0.05047669,0.2691023,1.417269,-0.1420545,-0.4834787,1.305221,0.2398219,-0.4663255,1.307134,0.02716687,-0.1624772,1.423456,0.02463589,-0.4595475,1.402533,-0.1330991,0.02095725,1.404377,-0.04438758,-0.4481698,1.365309,-0.1801035,-0.2327673,1.402536,0.2165053,-0.2376785,1.407127,NA,NA,NotTracked,NotTracked,
0.9370117,-0.3261719,0.08007813,0.9404297,0.2138672,0.2119141,1,0,-2,-1,-1,-1,-1,-2,-2,-1,1,1,0,0,-1,-1,0.625,0.625,0.625,0.625,0.625,0.625,2.814424,3.065661,6.964866,6.328241,2.976124,6.308897,-0.1821229,-0.4800247,1.323301,0.2060907,-0.4797362,1.310608,0.0504846,0.2691182,1.417292,-0.1411876,-0.481937,1.309707,0.2377471,-0.4625583,1.300826,0.0271861,-0.1624787,1.423448,0.02463915,-0.459552,1.402516,-0.1332214,0.02085598,1.404559,-0.04438156,-0.4481727,1.365288,-0.1800867,-0.2326365,1.402569,0.2164665,-0.2377504,1.407184,NA,NA,NotTracked,NotTracked,
0.9321289,-0.3388672,0.07666016,0.9287109,0.2109375,0.2304688,-2,-1,-2,-1,-3,0,-3,0,-1,-2,2,-1,-2,-1,1,-2,-1.1875,-1.1875,-1.1875,1.5,1.5,1.5,2.812733,3.064711,6.964474,6.32493,2.977383,6.312989,-0.1823055,-0.481004,1.323146,0.2048212,-0.4831948,1.310699,0.05051276,0.2691489,1.417406,-0.1424965,-0.481757,1.305309,0.2352173,-0.4700096,1.29754,0.02721146,-0.1624753,1.42347,0.02463691,-0.4595408,1.40253,-0.1332437,0.02079036,1.404737,-0.04438173,-0.4481614,1.365307,-0.1799745,-0.2328148,1.402715,0.2165147,-0.237699,1.407474,NA,NA,NotTracked,NotTracked,
0.934082,-0.3364258,0.07910156,0.9262695,0.2026367,0.2338867,0,4,0,0,-2,-1,0,-2,-3,-8,-1,-1,-1,1,2,-1,-0.1875,-0.1875,-0.1875,-1.8125,-1.8125,-1.8125,2.814812,3.064853,6.963095,6.315803,2.98029,6.32037,-0.1817254,-0.4796476,1.323481,0.2049397,-0.482584,1.310222,0.05056635,0.2691945,1.417592,-0.141191,-0.4805292,1.310184,0.2353444,-0.4690384,1.297761,0.02723711,-0.1624679,1.42352,0.02463775,-0.4595388,1.402541,-0.1332698,0.02065477,1.404977,-0.04437985,-0.448161,1.365308,-0.1798597,-0.2328647,1.402883,0.2166305,-0.2376118,1.407742,NA,NA,NotTracked,NotTracked,
0.9404297,-0.3417969,0.08447266,0.9326172,0.2133789,0.2226563,4,13,3,-1,-2,-1,-1,1,-1,-1,1,-2,3,-1,-2,-3,-1.1875,-1.1875,-1.1875,1.25,1.25,1.25,2.816385,3.065233,6.960114,6.31331,2.98042,6.323358,-0.1814103,-0.4797811,1.324031,0.2053959,-0.4798792,1.311155,0.05062132,0.2692461,1.417761,-0.1417617,-0.4812738,1.30732,0.2363841,-0.4751706,1.299226,0.02728515,-0.162429,1.423604,0.02465629,-0.4595178,1.40256,-0.1331486,0.02055184,1.405183,-0.0443506,-0.4481325,1.365306,-0.1797497,-0.2327443,1.403154,0.2167389,-0.2376073,1.408016,NA,NA,NotTracked,NotTracked,
0.9375,-0.3359375,0.07861328,0.9404297,0.2055664,0.222168,3,-2,-1,-2,-2,-2,-1,0,0,-3,-3,-2,-1,3,2,2,-1.1875,-1.1875,-1.1875,-3.9375,-3.9375,-3.9375,2.816713,3.065161,6.959224,6.306497,2.980404,6.325679,-0.181401,-0.4806317,1.323041,0.2073491,-0.4738143,1.312999,0.05073742,0.2693225,1.418059,-0.141217,-0.4800988,1.310487,0.2366485,-0.4757391,1.2994,0.02732662,-0.1624023,1.423684,0.02466668,-0.4594886,1.40259,-0.1331329,0.02050258,1.405419,-0.04434399,-0.4480969,1.36534,-0.1797389,-0.2327077,1.403244,0.2168581,-0.2375996,1.408489,NA,NA,NotTracked,NotTracked,
0.9335938,-0.3383789,0.07910156,0.9345703,0.2416992,0.2421875,3,2,0,-2,1,-1,-2,-1,1,18,-1,-3,-2,-2,-1,-1,1,1,1,3,3,3,2.816513,3.066738,6.958151,6.289842,2.987595,6.343816,-0.1815226,-0.4804156,1.323487,0.2045696,-0.4834825,1.311266,0.05098329,0.2694297,1.418509,-0.1405533,-0.4773581,1.315988,0.2402771,-0.4708288,1.309636,0.02742394,-0.1623611,1.423855,0.02468382,-0.4594811,1.40262,-0.1331116,0.02038131,1.405926,-0.04432843,-0.4480798,1.36536,-0.1794825,-0.2327961,1.403429,0.2170431,-0.2372632,1.409346,NA,NA,NotTracked,NotTracked,
0.9287109,-0.3374023,0.08642578,0.9462891,0.2475586,0.2763672,-2,0,-1,0,-2,-1,0,-1,-3,-1,1,2,2,0,0,2,-0.625,-0.625,-0.625,-2.1875,-2.1875,-2.1875,2.818767,3.068779,6.957131,6.258638,3.007505,6.373704,-0.1814586,-0.4802847,1.323545,0.2044204,-0.4798009,1.309958,0.05122647,0.2695376,1.418962,-0.1470708,-0.4562494,1.337667,0.2368646,-0.4732619,1.300253,0.02751364,-0.1623269,1.424066,0.02473748,-0.4594696,1.402734,-0.1330239,0.02027641,1.406219,-0.04428502,-0.4480549,1.36546,-0.1793718,-0.2327305,1.403665,0.2171643,-0.2372095,1.410036,NA,NA,NotTracked,NotTracked,
0.9360352,-0.3286133,0.08496094,0.9897461,0.2773438,0.3554688,1,2,-1,-1,-2,-1,0,0,-3,7,-5,2,5,-2,4,2,1.6875,1.6875,1.6875,5.3125,5.3125,5.3125,2.822337,3.070125,6.956053,6.186986,3.054318,6.449674,-0.1810853,-0.4798262,1.323141,0.2038949,-0.4763466,1.301528,0.05134339,0.2695225,1.419253,-0.13999,-0.4781461,1.317312,0.2099708,-0.471925,1.26274,0.0275551,-0.1623025,1.424198,0.02472671,-0.459456,1.402747,-0.1329586,0.02016079,1.406584,-0.04430022,-0.4480358,1.365473,-0.1792171,-0.2328008,1.403857,0.2172511,-0.2370669,1.410148,NA,NA,NotTracked,NotTracked,
0.9267578,-0.3369141,0.08203125,1.047852,0.2895508,0.5322266,4,0,-1,-2,-2,1,-4,-1,-8,-9,7,-2,37,1,13,-10,-1.75,-1.75,-1.75,68.75,68.75,68.75,2.824557,3.070238,6.952435,6.014824,3.230642,6.748018,-0.1806226,-0.4790953,1.323136,0.1971311,-0.4599405,1.278522,0.05151918,0.2695711,1.419576,-0.1403405,-0.4790471,1.310074,0.2023671,-0.4578016,1.238539,0.02754641,-0.162284,1.424249,0.02442926,-0.4593265,1.402762,-0.1328623,0.02017966,1.407026,-0.04469562,-0.447745,1.365329,-0.1790683,-0.232734,1.404021,0.2173379,-0.2365519,1.409985,NA,NA,NotTracked,NotTracked,
