ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9213867,-0.3789063,0.09472656,0.9311523,0.2504883,0.2133789,0,-1,-2,0,1,1,-1,0,8,-2,0,-1,-1,-3,0,-1,-1.3125,-1.3125,-1.3125,-1.9375,-1.9375,-1.9375,2.823112,3.139077,6.391288,6.477953,3.02337,4.445635,-0.1337817,-0.4724274,1.289256,0.2557984,-0.4880195,1.26791,0.09299794,0.2755626,1.423961,-0.09410312,-0.4654555,1.277979,0.2187347,-0.4793994,1.262916,0.07675247,-0.1625593,1.421469,0.07461972,-0.4646764,1.393652,-0.09141636,0.01765765,1.397028,0.00452751,-0.4526101,1.357711,-0.1365167,-0.2236245,1.380576,0.2628929,-0.2439371,1.371671,NA,NA,NotTracked,Unknown,
0.9223633,-0.3720703,0.08935547,0.9228516,0.2553711,0.222168,0,-1,-2,0,-2,0,2,14,5,-2,1,-2,-1,0,-1,-1,0.875,0.875,0.875,0.1875,0.1875,0.1875,2.823261,3.139236,6.391685,6.476362,3.024141,4.447896,-0.1335311,-0.4723832,1.288285,0.2553881,-0.4877397,1.266773,0.0930127,0.2755476,1.423943,-0.0944407,-0.4651689,1.276655,0.2200437,-0.4779631,1.259024,0.07675836,-0.1625715,1.421447,0.07461035,-0.464684,1.39363,-0.09137958,0.01764178,1.396972,0.004516413,-0.4526193,1.357683,-0.1364407,-0.2236199,1.380601,0.2628248,-0.2438055,1.371514,NA,NA,NotTracked,Unknown,
0.9086914,-0.3754883,0.09130859,0.9179688,0.2431641,0.2202148,-2,-2,-2,0,-1,-1,-4,-6,3,-1,-1,-1,-2,-1,-1,0,-0.25,-0.25,-0.25,1.6875,1.6875,1.6875,2.823901,3.139481,6.390349,6.471438,3.024064,4.452785,-0.1339236,-0.4725528,1.288394,0.2552151,-0.4877468,1.266762,0.09307514,0.2755409,1.423836,-0.0945441,-0.4651014,1.277103,0.219393,-0.4786096,1.258349,0.07673471,-0.1626077,1.421326,0.07457666,-0.4647115,1.393569,-0.09140302,0.0176258,1.396957,0.004480381,-0.4526432,1.357612,-0.1364933,-0.2236799,1.380549,0.2627499,-0.2438264,1.371408,NA,NA,NotTracked,Unknown,
0.9150391,-0.3720703,0.08740234,0.9272461,0.2636719,0.2241211,0,1,1,-1,-1,0,-2,-2,3,-4,-3,1,0,-3,1,1,0.4375,0.4375,0.4375,0.125,0.125,0.125,2.823932,3.139031,6.390134,6.467788,3.024566,4.457629,-0.1336114,-0.4725306,1.288926,0.2548334,-0.4878215,1.26647,0.09308355,0.2755479,1.423819,-0.09439943,-0.465124,1.277361,0.2187172,-0.4791266,1.261394,0.07674142,-0.1626025,1.421283,0.07459071,-0.4647059,1.3935,-0.09137897,0.01763139,1.396913,0.004493857,-0.4526229,1.357549,-0.1364772,-0.223817,1.380611,0.2626886,-0.2438088,1.371262,NA,NA,NotTracked,Unknown,
0.921875,-0.3706055,0.09082031,0.9267578,0.2460938,0.2197266,-3,-2,-1,-1,-1,-2,-3,-9,1,-14,-3,-1,3,0,-1,0,1.625,1.625,1.625,1.375,1.375,1.375,2.823089,3.138235,6.392197,6.458488,3.027155,4.46794,-0.1338783,-0.4730479,1.288721,0.2543066,-0.4866999,1.265489,0.09312494,0.2755235,1.423776,-0.09459101,-0.4652415,1.277165,0.2187251,-0.4776747,1.259892,0.07679448,-0.1626242,1.421198,0.07456457,-0.4646991,1.393441,-0.09128414,0.01765054,1.396778,0.004466326,-0.4526086,1.357459,-0.1365216,-0.2237713,1.380485,0.2626315,-0.2437784,1.37122,NA,NA,NotTracked,Unknown,
0.925293,-0.3789063,0.09423828,0.9233398,0.269043,0.2338867,0,-1,-2,-1,0,-3,-2,-5,-4,-6,-1,-1,-1,-4,0,1,-1.125,-1.125,-1.125,3.1875,3.1875,3.1875,2.825119,3.138855,6.387999,6.431469,3.041859,4.505171,-0.134401,-0.4722786,1.288993,0.2531288,-0.486291,1.264171,0.09316496,0.2755241,1.423741,-0.09488741,-0.4645522,1.277362,0.2172301,-0.4775451,1.255985,0.07677507,-0.1626198,1.421161,0.07449427,-0.4647088,1.393345,-0.09127582,0.01764911,1.396761,0.004366173,-0.452611,1.357261,-0.1365574,-0.2237822,1.380556,0.2625673,-0.2438798,1.371141,NA,NA,NotTracked,Unknown,
0.9267578,-0.3896484,0.07275391,0.9638672,0.2758789,0.2324219,1,-1,-1,4,0,2,-5,-10,-7,-2,-1,3,-1,-2,0,-3,5,5,5,-8.25,-8.25,-8.25,2.839266,3.144977,6.3745,6.383314,3.068916,4.549712,-0.1330344,-0.4722733,1.286932,0.2510966,-0.4845074,1.260683,0.09319283,0.2755229,1.423725,-0.09448582,-0.4645262,1.277117,0.2149169,-0.4778879,1.24914,0.07665599,-0.1626161,1.42106,0.07435485,-0.4647011,1.393156,-0.0912803,0.01765302,1.396774,0.004246442,-0.4525943,1.357146,-0.1365464,-0.224056,1.380437,0.2625422,-0.2438571,1.371037,NA,NA,NotTracked,Unknown,
0.953125,-0.4160156,0.1152344,1.034668,0.3291016,0.2807617,1,-1,-1,-5,0,-2,-2,3,-37,-12,-1,-4,-3,1,-2,-2,-16.3125,-16.3125,-16.3125,1.1875,1.1875,1.1875,2.900012,3.175283,6.299115,6.289546,3.140919,4.649862,-0.1322004,-0.4686565,1.280014,0.2466029,-0.4806194,1.25186,0.09325298,0.2755318,1.423745,-0.0915774,-0.4595268,1.269143,0.2132435,-0.4744126,1.233605,0.07659442,-0.1626058,1.420976,0.07423346,-0.4646676,1.392961,-0.09131751,0.01768272,1.396791,0.004099112,-0.4525064,1.356892,-0.1368331,-0.2237212,1.38061,0.2625117,-0.2435041,1.371083,NA,NA,NotTracked,Unknown,
0.9858398,-0.4892578,0.1674805,0.921875,0.4057617,0.4838867,-3,1,-1,19,13,-2,-7,-14,1,-1,0,20,2,-4,-5,-1,17.8125,17.8125,17.8125,-0.375,-0.375,-0.375,3.020339,3.272259,6.17649,6.1351,3.364441,4.825953,-0.1258903,-0.4657727,1.255254,0.2374166,-0.4683222,1.230756,0.0933165,0.2756006,1.42367,-0.0859342,-0.4459088,1.248143,0.2000185,-0.4642613,1.221533,0.07659092,-0.1625986,1.4207,0.07403389,-0.4646597,1.392531,-0.09132595,0.01768702,1.396786,0.003858164,-0.452452,1.356504,-0.1381295,-0.2222754,1.380786,0.2633416,-0.2409441,1.371788,NA,NA,Open,Unknown,
0.8012695,-0.7294922,0.3105469,0.8071289,0.4804688,0.597168,-1,1,-3,20,14,9,8,-6,-14,-19,-2,13,-9,-3,-2,0,-37.1875,-37.1875,-37.1875,10.3125,10.3125,10.3125,3.109436,3.517914,5.995466,6.076888,3.602059,4.906326,-0.1151104,-0.4381579,1.217893,0.2263373,-0.4483993,1.19467,0.09335945,0.2755896,1.423642,-0.07372872,-0.4193875,1.216596,0.1851969,-0.43519,1.198773,0.07643574,-0.1624961,1.420356,0.07364339,-0.464302,1.39166,-0.0913423,0.01787068,1.396907,0.003382443,-0.4520809,1.355569,-0.1407606,-0.2140822,1.382222,0.2655783,-0.2358365,1.372209,NA,NA,Unknown,Unknown,
