ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9399414,-0.3291016,0.09619141,-0.4169922,0.5390625,0.7163086,1,-3,-1,-2,0,-1,0,-1,-12,-75,-13,6,-2,-1,0,-3,-0.3125,-0.3125,-0.3125,72.4375,72.4375,72.4375,2.90938,3.058761,0.7716791,6.147152,5.722126,9.846967,-0.1320654,-0.4829917,1.288457,0.1688628,-0.03581623,1.10065,0.07422258,0.2791931,1.415901,-0.1694702,-0.4830069,1.287143,0.1634972,-0.01359214,1.092429,0.05654775,-0.1657633,1.402999,0.04960917,-0.4714881,1.371063,-0.1088667,0.01237438,1.384588,-0.01993814,-0.4612351,1.337744,-0.1419199,-0.2425345,1.367118,0.2892347,-0.1654219,1.272334,NA,NA,NotTracked,Unknown,
0.9321289,-0.3305664,0.09423828,-0.5708008,0.5200195,0.5620117,0,-3,-1,0,0,-3,-1,0,-4,6,0,9,0,1,-1,-3,1.4375,1.4375,1.4375,77.75,77.75,77.75,2.916405,3.062875,0.764969,6.32363,6.065715,9.936432,-0.1326573,-0.4836081,1.288866,0.171242,0.04406844,1.129184,0.07378004,0.27853,1.416391,-0.1696383,-0.4810477,1.287082,0.1364599,0.04623863,1.160414,0.05611858,-0.1666663,1.403748,0.04972189,-0.4730906,1.371657,-0.1087991,0.01227015,1.384683,-0.02012255,-0.4638391,1.339837,-0.1423075,-0.2432335,1.367496,0.3179921,-0.1462592,1.245802,NA,NA,NotTracked,Unknown,
0.9399414,-0.331543,0.09667969,-0.6196289,0.4526367,0.4824219,-3,-6,-1,-2,-1,-2,-1,-1,-3,-41,-9,-1,-1,6,2,5,1.5,1.5,1.5,66.4375,66.4375,66.4375,2.928017,3.068269,0.7589971,6.519452,6.317257,0.05217939,-0.1319468,-0.4831763,1.288068,0.175222,0.1022297,1.155681,0.07301876,0.2812898,1.415413,-0.1696895,-0.4827715,1.287942,0.1534078,0.1033243,1.203546,0.05690509,-0.1652297,1.404032,0.04974036,-0.4724686,1.371895,-0.1086597,0.01276013,1.385364,-0.02038941,-0.4630602,1.340494,-0.1424327,-0.2428131,1.367956,0.3243042,-0.1207528,1.229034,NA,NA,NotTracked,Closed,
0.9384766,-0.3286133,0.09375,-0.6738281,0.4179688,0.3208008,-2,-3,-2,0,-1,-1,0,-2,11,34,-1,-5,-3,1,-2,3,2.25,2.25,2.25,32.625,32.625,32.625,2.93482,3.069645,0.7556895,6.727111,6.540658,0.2016232,-0.1316359,-0.4827842,1.288714,0.1716543,0.1427398,1.186769,0.07219446,0.2808774,1.415002,-0.1693458,-0.482529,1.287834,0.1439754,0.1447189,1.226117,0.05881189,-0.1629642,1.404417,0.05026444,-0.469553,1.3723,-0.1090189,0.01268662,1.386731,-0.02022955,-0.4597593,1.340334,-0.1424236,-0.239902,1.36869,0.3338258,-0.1049908,1.226742,NA,NA,NotTracked,Unknown,
0.9428711,-0.3447266,0.09814453,-0.8041992,0.4526367,0.2329102,0,-2,0,0,-1,-1,-1,1,-16,11,1,2,1,5,6,-5,3.4375,3.4375,3.4375,26.1875,26.1875,26.1875,2.939581,3.071464,0.7550702,6.874837,6.647979,0.3283765,-0.1313329,-0.4832773,1.288556,0.1764729,0.1693715,1.198677,0.07152097,0.2798351,1.414915,-0.1690688,-0.4815682,1.287467,0.1370341,0.1522441,1.225141,0.05939301,-0.1628135,1.404591,0.05066936,-0.468556,1.372413,-0.1041616,0.01203015,1.385526,-0.02005103,-0.4584554,1.340212,-0.1427313,-0.2376114,1.369844,0.3361725,-0.0938269,1.220395,NA,NA,NotTracked,Open,
0.9321289,-0.3442383,0.09619141,-0.8149414,0.4111328,0.1586914,0,-1,-1,-1,0,-1,-2,-2,3,-2,-2,2,-1,3,-12,6,-0.75,-0.75,-0.75,13.125,13.125,13.125,2.940323,3.071012,0.7571505,7.001852,6.721758,0.4454375,-0.1310086,-0.4831998,1.289407,0.1748575,0.1920466,1.211365,0.07118372,0.2782095,1.414659,-0.1686573,-0.4814582,1.28722,0.1422322,0.1675268,1.243445,0.05984698,-0.1627711,1.404767,0.05119314,-0.4677266,1.372481,-0.1046781,0.01190205,1.386513,-0.01963249,-0.4573553,1.339981,-0.1428928,-0.2363736,1.370226,0.3351565,-0.06405488,1.20214,NA,NA,NotTracked,Open,
0.9394531,-0.3505859,0.08984375,-0.8305664,0.3994141,0.1235352,-5,-6,-2,-2,-2,0,-1,0,9,6,-1,2,0,-4,6,-23,-2.9375,-2.9375,-2.9375,5.5,5.5,5.5,2.932633,3.068766,0.7611257,7.13083,6.781196,0.5683823,-0.1307153,-0.4835927,1.29094,0.1757438,0.205462,1.222387,0.07193246,0.2766055,1.414513,-0.1689947,-0.4831682,1.288656,0.1379375,0.1777872,1.250609,0.06037245,-0.1627807,1.405,0.0518648,-0.4670779,1.372706,-0.1049193,0.01177109,1.387278,-0.0191329,-0.456713,1.339986,-0.1429931,-0.2355434,1.370862,0.330895,-0.007560119,1.183431,NA,NA,NotTracked,Open,
0.9365234,-0.3349609,0.09423828,-0.8989258,0.4086914,0.07177734,2,-1,-1,-2,-2,0,-1,0,9,5,-6,-4,-4,11,-3,4,-2.125,-2.125,-2.125,-0.1875,-0.1875,-0.1875,2.926291,3.0662,0.7645295,7.207965,6.798357,0.65446,-0.1315809,-0.4825472,1.290179,0.1768197,0.2114007,1.226173,0.07247674,0.2759774,1.414167,-0.1690126,-0.4819829,1.287277,0.1387712,0.1827975,1.2565,0.06070835,-0.1627959,1.40512,0.05229307,-0.4667373,1.372788,-0.1050509,0.01169937,1.387634,-0.01876785,-0.4562785,1.339957,-0.143134,-0.2350783,1.37105,0.3305678,-0.002164379,1.182235,NA,NA,NotTracked,Open,
0.9375,-0.3408203,0.105957,-0.8496094,0.4277344,0.09570313,-1,-3,0,-1,-1,0,-5,0,-24,10,5,-2,-10,-34,-6,0,-3.625,-3.625,-3.625,-35.4375,-35.4375,-35.4375,2.919137,3.06407,0.766428,7.2384,6.784775,0.7245166,-0.131149,-0.48309,1.290393,0.1714421,0.2164794,1.231059,0.07368197,0.2747774,1.412889,-0.1695463,-0.482481,1.28859,0.1335847,0.184031,1.263379,0.06108954,-0.1628528,1.405208,0.05286836,-0.4663884,1.372915,-0.1050594,0.01168043,1.387771,-0.01827864,-0.4559205,1.340057,-0.143164,-0.2346572,1.371119,0.3310479,-0.00150379,1.181894,NA,NA,NotTracked,Open,
0.9379883,-0.3276367,0.09277344,-0.8759766,0.371582,0.046875,-1,-1,-2,-2,-1,-1,3,-3,27,-3,63,2,3,3,-16,-21,-2.5,-2.5,-2.5,-6.0625,-6.0625,-6.0625,2.915222,3.06153,0.7646185,7.25996,6.763922,0.7654795,-0.1315957,-0.4808615,1.290577,0.1666581,0.2150271,1.23427,0.07464412,0.2735373,1.410994,-0.1695449,-0.4791055,1.286911,0.143714,0.1824752,1.278928,0.06146524,-0.1628746,1.405235,0.05333772,-0.4660788,1.373013,-0.1050728,0.01167767,1.387861,-0.01786648,-0.455546,1.340066,-0.1432512,-0.2342992,1.371116,0.3317788,-0.001275598,1.181746,NA,NA,NotTracked,Open,
