ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9311523,-0.3496094,0.1210938,0.949707,0.2143555,0.1826172,-1,7,0,-1,-2,-1,0,-1,6,11,1,2,0,-2,-7,1,-0.1875,-0.1875,-0.1875,5,5,5,2.912974,3.085415,6.160273,6.344113,2.966839,2.042043,-0.140395,-0.4847708,1.323469,0.2683524,-0.4946407,1.310667,0.09109812,0.2755911,1.443385,-0.1640162,-0.4781505,1.302222,0.2344327,-0.4795908,1.319459,0.07428577,-0.1669279,1.442621,0.07311295,-0.4718533,1.419585,-0.09310064,0.01566698,1.417427,0.002995427,-0.4608796,1.385248,-0.1325129,-0.2336261,1.408658,0.2716366,-0.2495377,1.408006,NA,NA,NotTracked,NotTracked,
0.9326172,-0.3476563,0.1118164,0.9726563,0.2094727,0.2446289,-2,-2,-1,-2,-3,0,0,-1,-2,-6,1,0,2,-1,4,-3,2.75,2.75,2.75,16.25,16.25,16.25,2.916889,3.089079,6.161121,6.273419,2.988255,2.136075,-0.1411039,-0.4844487,1.323973,0.2648186,-0.4962908,1.306526,0.09095602,0.2756694,1.443556,-0.1649109,-0.4812216,1.302654,0.2318214,-0.4915075,1.287169,0.07420179,-0.1669175,1.44249,0.07293035,-0.4718316,1.419148,-0.09316169,0.01561693,1.417578,0.002805381,-0.4608564,1.384887,-0.1325564,-0.2337815,1.408894,0.2714627,-0.2497577,1.407208,NA,NA,NotTracked,NotTracked,
0.9291992,-0.3569336,0.1074219,1.010742,0.2246094,0.3623047,-2,-2,0,-1,-1,-1,-1,-2,3,-4,2,-10,-3,-4,-5,0,-0.75,-0.75,-0.75,49,49,49,2.917457,3.093844,6.161598,6.087177,3.085717,2.412816,-0.1413471,-0.484319,1.323191,0.2573605,-0.490429,1.297725,0.09092353,0.2757252,1.443921,-0.1768408,-0.477605,1.3235,0.2580323,-0.4937811,1.259159,0.07410235,-0.1669061,1.442389,0.07234804,-0.4717401,1.41858,-0.09316288,0.01562285,1.417642,0.002165196,-0.4606889,1.384322,-0.1325446,-0.2340074,1.408933,0.270977,-0.249487,1.406326,NA,NA,NotTracked,NotTracked,
0.9243164,-0.3525391,0.1108398,0.9521484,0.2802734,0.4516602,-1,-3,-1,-1,-1,-1,-1,0,-2,-6,-5,6,-5,3,5,-1,-2.75,-2.75,-2.75,51.75,51.75,51.75,2.914741,3.099427,6.162167,5.946638,3.237266,2.660185,-0.1412719,-0.4838285,1.321922,0.2392705,-0.4747768,1.279753,0.09095312,0.2760563,1.444617,-0.1679976,-0.4785357,1.304591,0.2061598,-0.4631298,1.261667,0.0738545,-0.1667299,1.442256,0.07081338,-0.4712136,1.417722,-0.09323677,0.01565981,1.418251,0.000484201,-0.4599838,1.383498,-0.1326118,-0.2340666,1.409038,0.2698428,-0.2480126,1.404995,NA,NA,NotTracked,Unknown,
0.9287109,-0.347168,0.112793,0.940918,0.3349609,0.5942383,4,-2,-1,-1,0,0,0,0,-2,1,-13,19,3,-3,-3,1,-6.1875,-6.1875,-6.1875,58.1875,58.1875,58.1875,2.908248,3.101781,6.161139,5.836137,3.457807,2.894957,-0.1417875,-0.4840031,1.321429,0.2089788,-0.4541578,1.253618,0.09102392,0.2763781,1.445702,-0.1736858,-0.4840922,1.29325,0.1769449,-0.4314753,1.235388,0.0728692,-0.1665918,1.442144,0.06717268,-0.4710334,1.416539,-0.09319396,0.01566579,1.418327,-0.003289112,-0.4593914,1.382702,-0.1326901,-0.2345006,1.408954,0.2678461,-0.2401951,1.402526,NA,NA,NotTracked,Unknown,
0.9399414,-0.3520508,0.1166992,0.8637695,0.4296875,0.7578125,-1,-5,-2,-2,-2,-1,0,-1,-2,0,17,-3,16,-20,-13,-12,-9.25,-9.25,-9.25,53.8125,53.8125,53.8125,2.905405,3.10218,6.146208,5.759925,3.769798,3.115416,-0.1410972,-0.4838378,1.320751,0.1530423,-0.4020453,1.243253,0.09180213,0.2769037,1.447602,-0.1701047,-0.4899395,1.297462,0.1387576,-0.3787486,1.206341,0.07231435,-0.1665936,1.442081,0.06471624,-0.4711273,1.415931,-0.09300147,0.01568378,1.418595,-0.005720942,-0.4589848,1.382164,-0.1327226,-0.2346521,1.408693,0.2662518,-0.2284191,1.395387,NA,NA,NotTracked,Unknown,
0.9204102,-0.3530273,0.1235352,0.456543,0.4492188,0.8833008,-2,-5,-1,1,-1,0,-1,-2,2,-5,-1,-13,8,6,-8,17,-9.375,-9.375,-9.375,17.6875,17.6875,17.6875,2.906415,3.10269,6.134832,5.684715,4.294899,3.363296,-0.1404703,-0.4821981,1.319758,0.09786415,-0.332289,1.218462,0.09261483,0.2772398,1.448747,-0.1609174,-0.4752144,1.294019,0.05937744,-0.3088732,1.24452,0.0723594,-0.1665457,1.442299,0.06496011,-0.4711966,1.416144,-0.09280001,0.01566115,1.418821,-0.005135003,-0.4589853,1.382506,-0.1328145,-0.2348758,1.408459,0.2637559,-0.2087263,1.382756,NA,NA,NotTracked,Unknown,
0.9375,-0.3481445,0.112793,0.1152344,0.3349609,0.8891602,-4,-7,-2,0,-1,-1,-1,-2,6,16,17,30,-6,-1,4,0,-8.625,-8.625,-8.625,24.5625,24.5625,24.5625,2.907339,3.10282,6.119785,5.656959,4.723977,3.536187,-0.1384207,-0.4830403,1.319137,0.0618063,-0.2285824,1.219448,0.09405558,0.2775862,1.450433,-0.1729644,-0.474121,1.316895,0.03784252,-0.1880651,1.24913,0.0725444,-0.1662945,1.442696,0.06530574,-0.4707733,1.4165,-0.09244253,0.01575341,1.418932,-0.00440007,-0.4586463,1.383233,-0.1314474,-0.2353549,1.406759,0.2596695,-0.2049352,1.358145,NA,NA,NotTracked,Unknown,
0.9248047,-0.3583984,0.1005859,-0.06591797,0.3881836,0.8710938,0,3,0,-1,-2,0,-1,-2,-12,-4,0,16,8,-3,-5,17,-3.5625,-3.5625,-3.5625,25.4375,25.4375,25.4375,2.910551,3.10697,6.099071,5.697874,5.111877,3.694996,-0.1364717,-0.4822718,1.316985,0.04040106,-0.1358323,1.226586,0.09545602,0.2778648,1.452255,-0.1581087,-0.475861,1.29609,0.05581037,-0.1117761,1.195331,0.07303631,-0.1654805,1.44362,0.0660745,-0.4691648,1.417322,-0.09148014,0.01615971,1.419393,-0.003282937,-0.4572288,1.384469,-0.1312731,-0.235945,1.406441,0.2741578,-0.2008135,1.350415,NA,NA,NotTracked,Unknown,
0.921875,-0.3569336,0.09521484,-0.2041016,0.440918,0.7631836,1,3,0,0,0,-1,-1,0,-22,-20,-2,7,-8,-9,-13,-23,-4.625,-4.625,-4.625,35.6875,35.6875,35.6875,2.915369,3.112267,6.088133,5.820544,5.493584,3.898469,-0.1345038,-0.4838518,1.313558,0.02198256,-0.06394192,1.240395,0.09695965,0.2780907,1.453311,-0.1641182,-0.4760848,1.29913,-0.002267043,-0.1047689,1.259556,0.07341556,-0.1652194,1.443829,0.06664994,-0.4687278,1.417439,-0.09071731,0.01625842,1.418791,-0.00257705,-0.4569519,1.384977,-0.1306161,-0.2367471,1.405691,0.2418828,-0.1870555,1.303858,NA,NA,NotTracked,Unknown,
