ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.859375,-0.484375,0.277832,1.00293,0.2919922,0.3427734,-2,-2,-3,1,-1,-1,-1,1,-15,-3,-9,-10,-2,6,9,-5,-19.375,-19.375,-19.375,12.125,12.125,12.125,3.314421,3.401759,0.1526357,6.043331,3.205046,9.278194,-0.08280452,-0.4443426,1.221069,0.2647446,-0.4701804,1.247327,0.1056161,0.2703525,1.39696,-0.05209237,-0.4190285,1.235636,0.3035439,-0.4749095,1.257833,0.08854711,-0.1695766,1.397872,0.08805578,-0.4743009,1.369318,-0.07821522,0.01388034,1.378467,0.01648339,-0.4644381,1.334412,-0.1164928,-0.2334829,1.372164,0.2828209,-0.249888,1.368142,NA,NA,Unknown,NotTracked,
0.8300781,-0.546875,0.3398438,0.9057617,0.3540039,0.5078125,-3,-3,-1,-2,0,1,0,0,3,-4,-14,-21,1,17,6,-10,-22.6875,-22.6875,-22.6875,13.0625,13.0625,13.0625,3.364913,3.519854,0.04918295,5.926821,3.462975,9.447122,-0.06754588,-0.4314894,1.192764,0.2485673,-0.4609275,1.218584,0.1052195,0.2705609,1.397466,-0.04658416,-0.3999417,1.168737,0.2335626,-0.5007419,1.226286,0.08872512,-0.1693107,1.39774,0.08879501,-0.4735115,1.368404,-0.07842677,0.01389021,1.378367,0.01697939,-0.463912,1.333527,-0.1156355,-0.2262706,1.36763,0.2853758,-0.2425561,1.373925,NA,NA,Unknown,Unknown,
0.7431641,-0.5820313,0.375,0.8120117,0.402832,0.671875,-3,0,0,2,0,-1,-2,-1,-20,1,-6,-1,2,-4,-12,-2,-16.4375,-16.4375,-16.4375,-9.5,-9.5,-9.5,3.408848,3.65475,9.951567,5.860954,3.723704,9.528415,-0.03403892,-0.4120359,1.173898,0.2345259,-0.4215646,1.193919,0.104626,0.2710998,1.398835,-0.03513786,-0.3869685,1.138909,0.2689432,-0.4229607,1.194625,0.08866638,-0.168997,1.397621,0.08901361,-0.472696,1.367535,-0.07862699,0.013987,1.378151,0.01701907,-0.463341,1.332606,-0.1153736,-0.2177853,1.362685,0.2883688,-0.2332282,1.37797,NA,NA,Lasso,Unknown,
0.7148438,-0.6416016,0.4355469,0.5600586,0.387207,0.8007813,-5,-12,4,1,-1,2,3,4,6,-2,5,-26,-3,2,-1,6,-28.125,-28.125,-28.125,-3.375,-3.375,-3.375,3.435657,3.801536,9.859217,5.798318,4.028223,9.608,-0.01606369,-0.377032,1.147258,0.2141516,-0.3594656,1.18091,0.1038457,0.2716023,1.400957,-0.02036336,-0.3592582,1.114444,0.1832004,-0.3973373,1.225786,0.0884468,-0.1687227,1.397778,0.0885393,-0.4721583,1.367241,-0.07810858,0.01426484,1.377526,0.01660386,-0.4628569,1.332347,-0.1169491,-0.20519,1.354018,0.2937262,-0.2164464,1.381637,NA,NA,Lasso,Unknown,
0.6098633,-0.71875,0.5136719,0.1782227,0.4106445,0.8789063,2,-3,-5,-3,-1,-1,-3,4,-4,-1,18,0,0,4,-4,1,-27.875,-27.875,-27.875,9.8125,9.8125,9.8125,3.45129,3.9622,9.759751,5.770097,4.488833,9.701717,0.006179304,-0.3407913,1.127455,0.2035796,-0.2787545,1.166913,0.102873,0.272437,1.404322,0.03107492,-0.3399966,1.18225,0.1592684,-0.2997233,1.209579,0.08773108,-0.1681715,1.398686,0.08756684,-0.4714921,1.367606,-0.07828716,0.0149412,1.377334,0.01611327,-0.4621865,1.332467,-0.1174067,-0.1963855,1.340235,0.2991927,-0.2010311,1.37948,NA,NA,Unknown,Unknown,
0.5307617,-0.7255859,0.5483398,-0.03759766,0.4282227,0.8837891,1,-5,0,0,-1,0,0,2,13,1,-13,-2,-2,1,0,4,-21.3125,-21.3125,-21.3125,7.25,7.25,7.25,3.472527,4.182251,9.641848,5.774818,4.838002,9.769603,0.02614515,-0.2996815,1.112763,0.1892685,-0.2061033,1.15739,0.1020436,0.2734026,1.407612,0.05186335,-0.2918689,1.174556,0.1425349,-0.2124321,1.208133,0.08722746,-0.1673732,1.400163,0.08702402,-0.4708,1.368361,-0.07819302,0.01535513,1.377005,0.01605571,-0.4613881,1.33296,-0.1187475,-0.1940482,1.326926,0.308845,-0.1971128,1.361075,NA,NA,Unknown,NotTracked,
0.4589844,-0.7270508,0.5825195,-0.3505859,0.5097656,0.9238281,-1,-10,2,-1,0,-1,2,-1,-2,-1,-9,0,1,11,1,-1,-29.3125,-29.3125,-29.3125,17.6875,17.6875,17.6875,3.475364,4.340552,9.551763,5.795452,5.175769,9.833901,0.04903476,-0.2609623,1.097283,0.1750253,-0.1353167,1.143639,0.1013105,0.2742249,1.411199,0.04680932,-0.2982033,1.111524,0.1296152,-0.1143837,1.182,0.08543389,-0.1664647,1.402326,0.08501893,-0.4698833,1.369851,-0.07808889,0.01529752,1.376584,0.01497778,-0.460254,1.333646,-0.1659969,-0.1777368,1.320874,0.3026572,-0.1907632,1.307646,NA,NA,NotTracked,NotTracked,
0.3564453,-0.7875977,0.6010742,-0.3530273,0.4838867,0.8530273,2,12,12,0,0,1,2,0,-8,0,-3,-4,-3,11,19,-8,-33.5625,-33.5625,-33.5625,18.625,18.625,18.625,3.451613,4.520799,9.431373,5.863973,5.593839,9.909578,0.0700715,-0.2244631,1.089457,0.1593275,-0.06687178,1.130992,0.1011847,0.2752175,1.414627,0.07883577,-0.2655235,1.106125,0.1300977,-0.1012647,1.131625,0.08606949,-0.1660774,1.402793,0.08421151,-0.4682214,1.37115,-0.07724778,0.0158504,1.376095,0.01447815,-0.4581749,1.334615,-0.1258178,-0.1823099,1.278564,0.2883013,-0.178533,1.275493,NA,NA,NotTracked,NotTracked,
0.2871094,-0.71875,0.5390625,-0.4741211,0.4750977,0.8178711,6,4,-1,-3,-2,-1,-3,-22,-4,-3,-3,0,4,33,-6,-26,-42.125,-42.125,-42.125,6.875,6.875,6.875,3.41892,4.630495,9.353238,5.895411,5.840107,9.946655,0.08352263,-0.1921587,1.087396,0.1500127,-0.005466784,1.121683,0.1013771,0.275867,1.4173,0.09601004,-0.2328307,1.102765,0.1141091,-0.03290918,1.123909,0.08659893,-0.1661056,1.403138,0.08383264,-0.4681755,1.371484,-0.07537968,0.01698119,1.374416,0.01396711,-0.4579554,1.335115,-0.1253601,-0.1751559,1.269626,0.2913368,-0.1729804,1.265572,NA,NA,NotTracked,NotTracked,
0.2265625,-0.7958984,0.5205078,-0.3286133,0.3901367,0.7456055,5,5,36,10,-1,2,-11,4,49,4,3,0,-4,-22,-29,-6,-20.25,-20.25,-20.25,6.9375,6.9375,6.9375,3.378128,4.705222,9.292117,5.909281,5.985758,9.963421,0.09203491,-0.1705537,1.083858,0.1442146,0.04003141,1.109629,0.1004543,0.2772358,1.420489,0.1177812,-0.2111463,1.103286,0.1070858,0.01813634,1.108304,0.08659027,-0.1662727,1.403166,0.08287128,-0.4693265,1.37177,-0.07490984,0.01761197,1.374022,0.0120606,-0.4594773,1.338222,-0.1229497,-0.1694909,1.262196,0.2948647,-0.1697751,1.25185,NA,NA,Unknown,Unknown,
