ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9458008,-0.3193359,0.1020508,-0.2133789,0.3979492,0.8647461,0,2,-1,0,-2,0,-2,0,7,25,77,100,28,4,0,0,-4.8125,-4.8125,-4.8125,27.6875,27.6875,27.6875,2.926736,3.053987,5.020553,5.599694,5.204895,2.832745,-0.1486771,-0.4838601,1.374624,0.1114414,-0.1257167,1.243632,0.06352508,0.2716595,1.488334,-0.1870527,-0.4770113,1.374853,0.1275917,-0.1043628,1.206709,0.04231904,-0.1657343,1.489586,0.03932902,-0.4679369,1.465468,-0.1206409,0.0161225,1.469439,-0.02986621,-0.4568979,1.429117,-0.1554222,-0.2372437,1.460491,0.2796049,-0.2025629,1.428731,NA,NA,NotTracked,Unknown,
0.9453125,-0.3208008,0.09375,-0.2983398,0.3530273,0.8261719,1,19,1,-2,-2,-2,-3,0,-2,-10,10,-21,3,51,11,8,-3.4375,-3.4375,-3.4375,68.6875,68.6875,68.6875,2.929907,3.059028,5.013145,5.73427,5.679592,2.977208,-0.149069,-0.4837132,1.373074,0.1041452,-0.02333807,1.270117,0.06343175,0.271602,1.488465,-0.1873656,-0.4746876,1.377083,0.1264901,-0.02315091,1.24488,0.04215922,-0.1658807,1.489662,0.03914573,-0.4681866,1.465579,-0.1217006,0.01633179,1.469407,-0.0302655,-0.4575776,1.429771,-0.1554726,-0.2373911,1.460051,0.2374079,-0.1943651,1.38854,NA,NA,NotTracked,Unknown,
0.9379883,-0.3188477,0.08935547,-0.5410156,0.2641602,0.6757813,0,3,0,-1,-2,-2,-1,1,4,-56,-45,-25,-34,-11,-14,-9,-0.1875,-0.1875,-0.1875,43.125,43.125,43.125,2.942468,3.072108,4.992244,5.928701,6.05272,3.198971,-0.1481414,-0.4830543,1.371123,0.1136169,0.01806801,1.303436,0.06299011,0.2718313,1.488615,-0.1876191,-0.4747922,1.376465,0.1310127,0.0529126,1.309,0.04132497,-0.1663058,1.489588,0.03856012,-0.4692145,1.465897,-0.1241078,0.0171182,1.470008,-0.0316275,-0.4600247,1.433135,-0.1556282,-0.237094,1.459645,0.2521052,-0.1937596,1.394243,NA,NA,NotTracked,Unknown,
0.9335938,-0.3339844,0.08789063,-0.5805664,0.3535156,0.4804688,-1,-3,0,0,-2,0,-1,-3,-17,6,-32,-25,-38,-19,-14,23,1.5625,1.5625,1.5625,25.6875,25.6875,25.6875,2.943187,3.078432,4.991174,6.26015,6.345754,3.543005,-0.1482844,-0.4831339,1.37008,0.09644907,0.07519141,1.331782,0.06121193,0.2698979,1.489278,-0.1868308,-0.4780867,1.375587,0.1276957,0.09179773,1.3386,0.03905768,-0.1689045,1.486712,0.03803812,-0.4699637,1.466085,-0.1253996,0.0174735,1.470374,-0.03245147,-0.4613213,1.435416,-0.1556279,-0.2369374,1.459217,0.249504,-0.1880842,1.373025,NA,NA,NotTracked,Unknown,
0.9355469,-0.3305664,0.08691406,-0.6611328,0.3920898,0.4511719,3,-2,-1,-1,-2,-2,0,-1,-24,1,3,-2,-14,18,12,-21,7.875,7.875,7.875,16.5625,16.5625,16.5625,2.94623,3.085182,5.002661,6.405681,6.41361,3.698986,-0.1493619,-0.4826119,1.369952,0.1079807,0.06561004,1.340182,0.06004115,0.2694334,1.489774,-0.1870773,-0.4737821,1.374226,0.1273142,0.09131514,1.343376,0.03799322,-0.1699626,1.485303,0.03784725,-0.470247,1.466191,-0.1260951,0.01760425,1.470675,-0.03272548,-0.4619443,1.437048,-0.1556607,-0.2369319,1.458936,0.2502618,-0.1823026,1.36136,NA,NA,NotTracked,Unknown,
0.9423828,-0.3286133,0.09179688,-0.7299805,0.4077148,0.402832,2,3,-1,-1,-1,-1,0,-1,-4,-32,1,36,24,16,3,-10,4.8125,4.8125,4.8125,-4.75,-4.75,-4.75,2.942305,3.083026,5.017014,6.457824,6.439605,3.769204,-0.1499829,-0.4829634,1.371548,0.1090002,0.06520979,1.343758,0.05949035,0.2692471,1.49025,-0.188018,-0.4729825,1.375889,0.1230654,0.1051364,1.351,0.03736195,-0.1705763,1.484474,0.03767833,-0.4704789,1.466278,-0.1266005,0.01775032,1.471053,-0.03288331,-0.4622802,1.438015,-0.1559272,-0.2366061,1.458868,0.2508766,-0.1798538,1.356818,NA,NA,NotTracked,Unknown,
0.9277344,-0.3515625,0.09082031,-0.8393555,0.512207,0.3662109,-1,8,0,-1,-1,-3,-2,-2,-18,-11,11,1,-43,-17,-18,-6,-2.5,-2.5,-2.5,-4.4375,-4.4375,-4.4375,2.924458,3.075727,5.034583,6.482066,6.469429,3.823663,-0.1501995,-0.4834684,1.373156,0.1080545,0.06537195,1.346001,0.05916483,0.269068,1.490352,-0.1874584,-0.4755096,1.375082,0.1222667,0.1024441,1.355615,0.03687803,-0.1710557,1.483666,0.03743091,-0.4706646,1.466307,-0.1268886,0.01783258,1.471276,-0.0330918,-0.4624448,1.438586,-0.1559449,-0.2366247,1.458885,0.2506844,-0.1784784,1.353485,NA,NA,NotTracked,Unknown,
0.9370117,-0.3505859,0.09814453,-0.7958984,0.5107422,0.3662109,-5,-12,-4,-1,-1,-1,-1,-2,8,0,-8,13,2,-7,-2,4,-1,-1,-1,-0.25,-0.25,-0.25,2.906429,3.067521,5.051906,6.508368,6.493394,3.858176,-0.1517599,-0.4831109,1.376101,0.1082791,0.06396659,1.350108,0.05894727,0.2687873,1.490534,-0.1880156,-0.4763126,1.375865,0.1043357,0.02941245,1.379476,0.03642801,-0.1714048,1.483337,0.03718074,-0.4708589,1.466457,-0.1271134,0.01789726,1.47151,-0.03329203,-0.4626044,1.439183,-0.1562323,-0.2362863,1.45919,0.2500038,-0.1777917,1.351278,NA,NA,NotTracked,NotTracked,
0.9311523,-0.3486328,0.08984375,-0.7402344,0.5253906,0.3740234,-2,-5,-2,-1,0,-1,1,-2,17,-14,-10,-16,-12,1,5,6,-3.0625,-3.0625,-3.0625,10.375,10.375,10.375,2.887342,3.060745,5.068272,6.513011,6.489323,3.858295,-0.1537735,-0.4841141,1.377807,0.1069795,0.0649213,1.352234,0.05886086,0.2685013,1.490653,-0.189484,-0.4732985,1.375352,0.1188951,0.1067894,1.372654,0.03610585,-0.1718179,1.483107,0.03688623,-0.4712805,1.466744,-0.1272275,0.01796012,1.471689,-0.03351408,-0.4629519,1.439952,-0.1568341,-0.2357736,1.459544,0.2487731,-0.1775338,1.349395,NA,NA,NotTracked,NotTracked,
0.9243164,-0.3549805,0.1005859,-0.800293,0.5473633,0.355957,-1,-1,-3,0,0,-3,-1,-1,-1,19,19,-16,-44,1,9,12,-0.5,-0.5,-0.5,21.0625,21.0625,21.0625,2.876661,3.061853,5.076241,6.517854,6.490488,3.82462,-0.153432,-0.4831245,1.378181,0.1077696,0.06729549,1.352089,0.05878381,0.268219,1.490797,-0.1909415,-0.4673279,1.378535,0.1238698,0.1027448,1.3686,0.03591219,-0.1721488,1.482984,0.03669243,-0.4715499,1.466965,-0.1273488,0.01801108,1.471845,-0.03363899,-0.4631665,1.440415,-0.1573635,-0.2353474,1.459883,0.2483614,-0.177396,1.348939,NA,NA,NotTracked,NotTracked,
