ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9365234,-0.3320313,0.09423828,0.9375,0.1811523,0.2553711,-1,-1,-2,-2,-2,-3,-1,-1,3,0,-3,0,-2,-2,-2,-1,0.375,0.375,0.375,-1.25,-1.25,-1.25,2.925262,3.057246,2.461541,5.991909,3.008029,1.787243,-0.1029791,-0.4853002,1.344401,0.2519058,-0.5132431,1.302173,0.1175247,0.2679622,1.462526,-0.06407513,-0.4763906,1.329175,0.2148886,-0.509045,1.28802,0.09065741,-0.1719264,1.462351,0.08487403,-0.4760194,1.440215,-0.0732342,0.01247472,1.439072,0.01404659,-0.4648079,1.406482,-0.1065336,-0.2411949,1.424657,0.2696023,-0.2535315,1.403044,NA,NA,NotTracked,Unknown,
0.940918,-0.3339844,0.08935547,0.9306641,0.1826172,0.2548828,-4,0,-1,-1,-1,0,1,1,2,-1,-1,-1,-2,1,-1,-1,1.25,1.25,1.25,-0.1875,-0.1875,-0.1875,2.927188,3.054428,2.461274,5.988697,3.006329,1.78889,-0.1025675,-0.4853188,1.345727,0.2522221,-0.5126572,1.302989,0.1175516,0.2679485,1.462471,-0.06421661,-0.4763482,1.329318,0.2142853,-0.5113593,1.288581,0.0906985,-0.1719189,1.462301,0.0849065,-0.476023,1.440164,-0.0732144,0.01246309,1.439046,0.01406569,-0.4648084,1.406467,-0.1065346,-0.2411659,1.424735,0.2696361,-0.2535023,1.402988,NA,NA,NotTracked,Unknown,
0.9394531,-0.331543,0.09521484,0.9296875,0.1801758,0.2558594,0,-1,0,-1,-1,0,-1,0,8,2,0,-1,-1,2,1,0,0.125,0.125,0.125,0.875,0.875,0.875,2.928297,3.0545,2.46138,5.986032,3.006085,1.793051,-0.1018819,-0.4858235,1.345157,0.2519142,-0.5130093,1.302134,0.1176468,0.2679354,1.462193,-0.06401589,-0.476068,1.32897,0.214809,-0.5087178,1.288671,0.09080819,-0.1718939,1.462201,0.08495334,-0.4760066,1.440108,-0.07320807,0.0124627,1.439088,0.01411733,-0.4647902,1.406398,-0.1064006,-0.2414317,1.42465,0.2696631,-0.2534694,1.402835,NA,NA,NotTracked,Unknown,
0.9384766,-0.3305664,0.09179688,0.9375,0.1855469,0.2504883,0,-3,-1,-1,-2,-2,-2,-2,2,2,1,0,-2,0,-2,-1,-1.3125,-1.3125,-1.3125,-1.6875,-1.6875,-1.6875,2.927538,3.05427,2.461287,5.97822,3.008122,1.80058,-0.1019976,-0.4859379,1.346382,0.2522401,-0.5131959,1.30324,0.1177295,0.267951,1.462128,-0.06391579,-0.4771136,1.329456,0.2150372,-0.5069374,1.288867,0.09081627,-0.1718706,1.462142,0.08497676,-0.4759844,1.440076,-0.07314187,0.01255177,1.439211,0.01413396,-0.4647519,1.406348,-0.1063601,-0.2412622,1.424764,0.2697228,-0.2535296,1.402818,NA,NA,NotTracked,Unknown,
0.9414063,-0.328125,0.09667969,0.9716797,0.2353516,0.230957,0,5,-2,-2,-3,1,0,0,-3,6,-1,0,1,-5,0,-1,0.75,0.75,0.75,-12.4375,-12.4375,-12.4375,2.927533,3.053886,2.460483,5.962454,3.023018,1.803944,-0.1019271,-0.4859678,1.346728,0.2517048,-0.5056959,1.303825,0.1178226,0.2679281,1.462061,-0.0641337,-0.4748883,1.329947,0.2149071,-0.5040495,1.287953,0.09088288,-0.1718766,1.462147,0.08500067,-0.4759926,1.440099,-0.07306959,0.01256503,1.439303,0.01416546,-0.4647544,1.406392,-0.1061157,-0.2414824,1.424979,0.2697845,-0.2534963,1.402906,NA,NA,NotTracked,Unknown,
0.9379883,-0.3256836,0.09472656,1.071777,0.3457031,0.3637695,-3,-3,-2,-1,-1,-1,-1,-2,-1,-6,0,43,2,25,23,6,0.875,0.875,0.875,-30.375,-30.375,-30.375,2.931136,3.05445,2.458277,5.881565,3.11566,1.844953,-0.1015853,-0.4841575,1.347286,0.2488612,-0.5018344,1.296192,0.1179367,0.2678874,1.462027,-0.06410888,-0.4755052,1.329736,0.2138052,-0.4943365,1.278436,0.09090166,-0.1718763,1.462145,0.08500338,-0.4759738,1.440113,-0.07293917,0.0125175,1.439478,0.01415397,-0.464732,1.406431,-0.1060678,-0.2413514,1.425079,0.2701097,-0.2527439,1.403446,NA,NA,NotTracked,Unknown,
0.9316406,-0.3295898,0.08789063,1.069336,0.3349609,0.6123047,-5,-5,-1,-2,0,-1,-1,-1,2,-9,-24,-14,0,71,24,5,3.375,3.375,3.375,-17.3125,-17.3125,-17.3125,2.940751,3.05914,2.454729,5.764333,3.340031,1.945849,-0.1010021,-0.4840782,1.347455,0.2400796,-0.4837469,1.266281,0.117935,0.267769,1.462102,-0.06399386,-0.4751943,1.329731,0.2050146,-0.4731733,1.24636,0.09091467,-0.1718448,1.462264,0.08488163,-0.4758723,1.440164,-0.07286877,0.01249382,1.439652,0.0139931,-0.4645965,1.406525,-0.1058605,-0.2414695,1.425346,0.2714593,-0.2496736,1.405979,NA,NA,NotTracked,Unknown,
0.9379883,-0.3266602,0.08740234,0.8012695,0.5224609,0.9580078,-2,-4,-1,-1,-1,-3,-1,-1,0,6,-36,-79,5,7,2,-2,-1.5625,-1.5625,-1.5625,4.6875,4.6875,4.6875,2.940212,3.061141,2.454539,5.724365,3.875471,1.993834,-0.1013722,-0.4835666,1.34719,0.2286346,-0.426631,1.207278,0.1179284,0.267606,1.462257,-0.06418335,-0.4741692,1.329235,0.2010964,-0.3986411,1.189608,0.09077343,-0.1717575,1.462439,0.08434416,-0.47557,1.440199,-0.07283155,0.01249325,1.439951,0.01328776,-0.4641239,1.406641,-0.1057814,-0.2416255,1.42567,0.2739193,-0.2403566,1.409262,NA,NA,NotTracked,Unknown,
0.9350586,-0.3291016,0.09033203,0.402832,0.4697266,1.026367,0,0,-1,-3,-1,-1,0,0,6,16,27,19,43,8,0,4,-5.25,-5.25,-5.25,-15.9375,-15.9375,-15.9375,2.93622,3.06115,2.451869,5.69276,4.423061,2.010929,-0.1013073,-0.484463,1.348087,0.2238027,-0.3087941,1.150442,0.1178963,0.2674045,1.46252,-0.06408611,-0.4738986,1.329356,0.223433,-0.283322,1.116546,0.09056468,-0.1716308,1.462624,0.08309872,-0.4749217,1.440212,-0.07277235,0.01250595,1.440541,0.01219048,-0.4635788,1.40685,-0.1058566,-0.2413716,1.426162,0.2786257,-0.2251641,1.360614,NA,NA,NotTracked,Unknown,
0.9360352,-0.3388672,0.09179688,-0.1586914,0.425293,0.9804688,-4,-5,-2,-1,0,-1,0,0,5,15,-36,38,4,2,0,-3,-3.3125,-3.3125,-3.3125,30.9375,30.9375,30.9375,2.930574,3.062406,2.445083,5.720606,5.241416,2.070123,-0.1016419,-0.4838765,1.348651,0.2140379,-0.1752573,1.116795,0.1177865,0.2669339,1.463018,-0.06400064,-0.4746936,1.330371,0.2114596,-0.1384496,1.097633,0.0904727,-0.1714434,1.46316,0.0829935,-0.4744305,1.440485,-0.07280065,0.01243414,1.441108,0.01214254,-0.4633017,1.407426,-0.1060288,-0.241583,1.426344,0.3159536,-0.1947405,1.354691,NA,NA,NotTracked,Unknown,
