ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9335938,-0.3305664,0.1108398,0.9350586,0.1972656,0.2285156,-1,0,-2,0,-2,-2,-1,-2,5,14,1,-2,-1,-3,-3,0,8.25,8.25,8.25,-8.25,-8.25,-8.25,2.980579,3.052218,9.608371,6.154732,2.996016,1.104703,-0.124556,-0.4836009,1.360028,0.2410406,-0.5058729,1.327272,0.07458101,0.2742119,1.475948,-0.08664319,-0.4794533,1.342496,0.2058724,-0.5054839,1.301043,0.06650415,-0.1664556,1.472036,0.06561195,-0.4713455,1.444665,-0.09838162,0.01579629,1.454597,-0.004408924,-0.4613822,1.411365,-0.1274823,-0.2424832,1.441796,0.2591711,-0.2466809,1.426696,NA,NA,NotTracked,NotTracked,
0.9467773,-0.324707,0.1152344,0.9213867,0.2036133,0.2358398,-2,-6,-2,-1,1,-1,-1,-1,3,5,0,-2,0,0,0,1,33.8125,33.8125,33.8125,-1.9375,-1.9375,-1.9375,3.004466,3.051519,9.627369,6.14506,2.995557,1.108269,-0.1239761,-0.4844631,1.360624,0.2407557,-0.5062572,1.32779,0.0749542,0.2741893,1.475567,-0.08538114,-0.4804382,1.34334,0.2056229,-0.507221,1.299631,0.06655545,-0.166441,1.471886,0.06565955,-0.4713452,1.444597,-0.09828847,0.0158553,1.454351,-0.004361905,-0.4613945,1.411261,-0.1274211,-0.241941,1.441656,0.25916,-0.2466203,1.426866,NA,NA,NotTracked,NotTracked,
0.9345703,-0.3041992,0.1201172,0.9057617,0.3076172,0.2597656,-3,1,-2,-1,-1,-2,0,0,0,-4,-2,-2,2,1,-1,-1,3.625,3.625,3.625,-4.25,-4.25,-4.25,3.040726,3.044414,9.628139,6.139678,3.003185,1.105171,-0.1226956,-0.4837752,1.361418,0.2406239,-0.5059984,1.327386,0.07535009,0.2740536,1.475214,-0.08574618,-0.4792205,1.341943,0.2055231,-0.5082926,1.2995,0.06670573,-0.1664585,1.471717,0.06574491,-0.4713218,1.444473,-0.09793,0.01596428,1.453992,-0.004277818,-0.4613583,1.411088,-0.1271728,-0.2419554,1.441652,0.2591219,-0.2463921,1.427041,NA,NA,NotTracked,NotTracked,
0.9438477,-0.3300781,0.109375,0.9912109,0.3427734,0.3505859,-6,-6,0,-1,0,-2,0,-2,-3,-12,-2,-7,1,-1,-1,0,-0.375,-0.375,-0.375,-47.6875,-47.6875,-47.6875,3.05683,3.042682,9.612577,6.116343,3.051964,1.066551,-0.1213871,-0.4836365,1.362795,0.2405595,-0.5045358,1.322318,0.07565568,0.2739521,1.475053,-0.08523171,-0.4782632,1.341028,0.2067554,-0.5049664,1.296077,0.06678851,-0.1664764,1.471653,0.0658313,-0.4713131,1.444389,-0.097869,0.01589985,1.453998,-0.004212941,-0.4613401,1.411035,-0.1267541,-0.2420024,1.441667,0.259098,-0.2463558,1.427001,NA,NA,NotTracked,NotTracked,
0.9384766,-0.3295898,0.09228516,1.04541,0.4086914,0.4042969,-3,-2,0,-1,-1,0,-1,-2,-1,2,1,5,-2,-3,-3,-1,-6.1875,-6.1875,-6.1875,-13.9375,-13.9375,-13.9375,3.061378,3.043429,9.599542,6.073374,3.175615,1.069828,-0.1204516,-0.4836721,1.364132,0.2438652,-0.4970752,1.297112,0.07618886,0.2737084,1.475027,-0.08438593,-0.4743249,1.341645,0.21095,-0.4845926,1.324562,0.06707396,-0.1665532,1.471637,0.06605817,-0.4713285,1.444293,-0.09773775,0.01591356,1.454019,-0.003971805,-0.4613115,1.41084,-0.1259719,-0.2419661,1.441911,0.2590123,-0.2467832,1.425683,NA,NA,NotTracked,Lasso,
0.925293,-0.3374023,0.1035156,0.980957,0.4111328,0.6508789,-3,-10,-2,-1,1,-1,-2,-2,-11,-20,-3,5,1,0,-3,-9,-4.125,-4.125,-4.125,-6.1875,-6.1875,-6.1875,3.056207,3.050136,9.593901,5.954161,3.504708,1.161712,-0.1190174,-0.4835651,1.361471,0.2424519,-0.4683245,1.241576,0.07690021,0.2736336,1.475163,-0.08402847,-0.4775646,1.33996,0.228229,-0.502366,1.2588,0.06730485,-0.1666166,1.471637,0.06639635,-0.4714034,1.444148,-0.09755808,0.0158485,1.454081,-0.003557825,-0.4613313,1.41051,-0.1256724,-0.2417818,1.441841,0.2594116,-0.2427209,1.420786,NA,NA,NotTracked,Lasso,
0.940918,-0.3261719,0.1230469,0.9208984,0.4472656,0.796875,0,4,0,-2,-1,1,0,-1,-11,-10,22,49,5,0,2,0,-5.5,-5.5,-5.5,28.5,28.5,28.5,3.041656,3.060135,9.595859,5.918723,3.882467,1.249067,-0.1194178,-0.4828124,1.360489,0.2373925,-0.4039729,1.178707,0.07816934,0.2731628,1.475859,-0.0839051,-0.4765692,1.339259,0.2280651,-0.4443537,1.2286,0.06762275,-0.1666629,1.471923,0.06651808,-0.4713684,1.444125,-0.09711474,0.01579675,1.454235,-0.003384619,-0.461206,1.410387,-0.1252737,-0.241371,1.441905,0.2616688,-0.2271804,1.409801,NA,NA,NotTracked,Unknown,
0.9487305,-0.3227539,0.1206055,0.5961914,0.5712891,0.909668,2,2,1,0,0,-1,2,-1,-1,4,24,28,2,-4,-3,-2,-8.0625,-8.0625,-8.0625,25.5,25.5,25.5,3.029255,3.069155,9.59723,5.919908,4.351824,1.334907,-0.119778,-0.4821594,1.35726,0.2228991,-0.3104414,1.108668,0.07990313,0.2719164,1.476522,-0.08391665,-0.4756216,1.335154,0.2505562,-0.3536485,1.1045,0.06774401,-0.1667328,1.472159,0.06654938,-0.4712184,1.44389,-0.09630307,0.01573343,1.454487,-0.003384878,-0.4610172,1.409996,-0.1248723,-0.2410337,1.441583,0.2676159,-0.2049612,1.395902,NA,NA,NotTracked,Unknown,
0.9389648,-0.3188477,0.1142578,0.1074219,0.534668,0.8920898,-3,-6,-2,-2,-2,0,-1,0,-2,5,-23,19,-8,0,2,3,-5.3125,-5.3125,-5.3125,25.0625,25.0625,25.0625,3.022911,3.080573,9.593704,5.938076,5.042541,1.454113,-0.1198826,-0.4823592,1.355511,0.211511,-0.1889855,1.073582,0.08221728,0.2692931,1.477704,-0.08275277,-0.4767272,1.333535,0.2159266,-0.2330268,1.05,0.06815168,-0.1672803,1.47304,0.06658655,-0.4712055,1.443768,-0.09525543,0.01524949,1.454846,-0.003417545,-0.461066,1.409979,-0.1243616,-0.2410351,1.441143,0.3172727,-0.1650481,1.332625,NA,NA,NotTracked,Unknown,
0.9291992,-0.3339844,0.1108398,-0.2832031,0.5043945,0.7783203,-2,-2,-2,-1,0,-1,0,-1,-8,-19,5,-22,-5,1,3,-8,1.75,1.75,1.75,37.25,37.25,37.25,3.024531,3.096926,9.58727,6.016005,5.544239,1.559995,-0.1183274,-0.4811955,1.35447,0.1940773,-0.04024917,1.08706,0.08502867,0.2673188,1.479121,-0.08263804,-0.4752206,1.332416,0.201018,-0.05341554,1.031208,0.06879929,-0.1678092,1.474303,0.06679559,-0.4712449,1.443761,-0.09344944,0.01452402,1.455574,-0.003252298,-0.4612571,1.41008,-0.1240276,-0.2411574,1.44076,0.2785186,-0.1559792,1.277681,NA,NA,NotTracked,Unknown,
