ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9379883,-0.3276367,0.09326172,-0.3818359,0.5449219,0.5932617,-1,0,-2,0,-2,-2,-2,-2,16,36,5,8,-4,-43,10,8,1.5625,1.5625,1.5625,15.875,15.875,15.875,2.958268,3.048076,8.088988,6.261954,5.801885,1.74578,-0.1107364,-0.4852293,1.327142,0.1575813,-0.02874929,1.10417,0.0942299,0.2736099,1.452168,-0.07395577,-0.4731795,1.308031,0.1175961,-0.05195551,1.077281,0.07480187,-0.1677794,1.442157,0.06971158,-0.4722355,1.416023,-0.09079757,0.01150057,1.419281,-0.0005572381,-0.4623505,1.383263,-0.1225163,-0.2431281,1.405486,0.2839968,-0.1502774,1.27107,NA,NA,NotTracked,Unknown,
0.9335938,-0.3217773,0.08789063,-0.4536133,0.4970703,0.5668945,0,0,-2,-1,-2,-1,-2,-2,7,27,-1,10,7,40,2,5,5.5625,5.5625,5.5625,2.625,2.625,2.625,2.955088,3.051664,8.100832,6.296237,5.863073,1.815352,-0.1109502,-0.4851249,1.328227,0.1554031,-0.01130198,1.127225,0.09411323,0.2725446,1.453183,-0.07418311,-0.47429,1.30848,0.1084348,-0.02121647,1.090064,0.07448447,-0.1682017,1.443338,0.06970999,-0.4722943,1.416272,-0.0906629,0.01135897,1.421058,-0.0006216918,-0.4627093,1.384069,-0.1227559,-0.243113,1.406145,0.2792354,-0.1414278,1.264453,NA,NA,NotTracked,Unknown,
0.9345703,-0.3266602,0.09277344,-0.4477539,0.512207,0.5180664,-2,-2,-2,-3,0,-1,0,-1,35,-5,-3,-2,0,-18,0,-2,-1.375,-1.375,-1.375,-3.3125,-3.3125,-3.3125,2.942221,3.049662,8.115509,6.306853,5.850025,1.854939,-0.11197,-0.4854129,1.329399,0.1396232,-0.003004217,1.126411,0.09393916,0.2717327,1.453847,-0.07410828,-0.4742813,1.309194,0.08496045,-0.03269517,1.1245,0.074366,-0.1685596,1.444142,0.06962495,-0.4723898,1.416405,-0.09076592,0.01140689,1.42195,-0.0008075169,-0.4631023,1.384735,-0.1230172,-0.2433979,1.406796,0.2773124,-0.1385434,1.260694,NA,NA,NotTracked,Unknown,
0.9291992,-0.3286133,0.09423828,-0.4179688,0.5854492,0.5297852,0,-3,-14,-2,-1,-1,-2,0,-15,-60,-42,5,0,27,8,13,-0.625,-0.625,-0.625,-19.3125,-19.3125,-19.3125,2.926591,3.046546,8.130005,6.263572,5.705624,1.850595,-0.1124927,-0.4858601,1.33077,0.1302353,-0.01755567,1.122459,0.0938481,0.2713459,1.454369,-0.07416856,-0.4749921,1.310026,0.08600577,-0.05089822,1.104,0.07417172,-0.1688252,1.444827,0.06949902,-0.4725271,1.416652,-0.0909057,0.01157591,1.423425,-0.001005747,-0.46341,1.3855,-0.1234781,-0.2435175,1.407559,0.2762568,-0.1388795,1.259026,NA,NA,NotTracked,Unknown,
0.9418945,-0.3305664,0.1030273,-0.3144531,0.4936523,0.5620117,-1,0,-4,-1,0,-1,2,0,24,-21,-9,-13,-12,-67,-11,-12,1.4375,1.4375,1.4375,-26.3125,-26.3125,-26.3125,2.923629,3.048899,8.134937,6.229389,5.575059,1.833584,-0.1140092,-0.4867285,1.330998,0.1153493,-0.05141257,1.099811,0.09373129,0.2708918,1.454868,-0.07423155,-0.4750118,1.311332,0.07601234,-0.09112329,1.092235,0.07394443,-0.1687883,1.445596,0.06935956,-0.4722305,1.417108,-0.09121821,0.01147514,1.42453,-0.001039215,-0.4632507,1.385785,-0.1238976,-0.2437785,1.408324,0.2858005,-0.1426494,1.253633,NA,NA,NotTracked,Unknown,
0.9355469,-0.3325195,0.09179688,-0.08691406,0.7958984,0.8125,-2,0,0,-1,-1,-1,1,-2,1,-26,-20,-5,4,-9,1,7,-0.0625,-0.0625,-0.0625,-16.125,-16.125,-16.125,2.927312,3.052423,8.134812,6.208108,5.27187,1.805947,-0.1149074,-0.4865737,1.331345,0.1084393,-0.09984838,1.092551,0.09402579,0.2724225,1.454384,-0.0749356,-0.4744603,1.311347,0.07102212,-0.1399603,1.088542,0.07538084,-0.1684379,1.445577,0.06920082,-0.471923,1.417228,-0.09140944,0.01139785,1.425352,-0.001068954,-0.4630152,1.38579,-0.1242901,-0.2440602,1.408966,0.2778393,-0.1533676,1.274239,NA,NA,NotTracked,Unknown,
0.9350586,-0.3388672,0.08789063,-0.09130859,0.8676758,0.8374023,-2,-2,-15,-2,-1,-1,0,-5,-128,-67,25,37,34,122,8,-1,-0.5,-0.5,-0.5,-10.5,-10.5,-10.5,2.926177,3.055084,8.135264,6.174536,5.102842,1.778823,-0.1146995,-0.4853203,1.330625,0.1117471,-0.1336018,1.095207,0.09377259,0.2715836,1.455069,-0.07481804,-0.4744159,1.30967,0.07124723,-0.1826497,1.093692,0.07602223,-0.1683535,1.445836,0.06887958,-0.4717581,1.417231,-0.09153514,0.01142378,1.425845,-0.001300811,-0.4628091,1.385743,-0.1243895,-0.2442944,1.409298,0.2876151,-0.1575487,1.276955,NA,NA,NotTracked,Unknown,
0.9326172,-0.3476563,0.09472656,-0.07080078,0.784668,0.8310547,-1,-1,1,-2,-1,-3,0,-1,116,13,-4,6,50,104,59,18,0.6875,0.6875,0.6875,-0.625,-0.625,-0.625,2.916303,3.060861,8.145752,6.160084,5.04843,1.768719,-0.1156122,-0.4856923,1.329936,0.1129709,-0.1525611,1.095233,0.09353501,0.2704507,1.455934,-0.07491846,-0.4739989,1.309533,0.073068,-0.1992774,1.091091,0.07500345,-0.1685387,1.446226,0.06850134,-0.4716402,1.417203,-0.09155843,0.01145654,1.426094,-0.001579184,-0.4626419,1.385694,-0.1248121,-0.2442394,1.409626,0.291535,-0.1620831,1.278035,NA,NA,NotTracked,Unknown,
0.9350586,-0.3305664,0.08349609,-0.04492188,0.7045898,0.7739258,0,-1,-1,-1,-3,0,0,2,60,-87,-70,-12,-7,-59,6,22,-1.625,-1.625,-1.625,-4.5,-4.5,-4.5,2.90913,3.061292,8.152784,6.155628,5.03279,1.765388,-0.1160692,-0.485301,1.329423,0.1151967,-0.158632,1.096393,0.09348874,0.2700677,1.456181,-0.07501423,-0.4741251,1.309298,0.07586054,-0.2146976,1.101375,0.07445397,-0.1685596,1.446472,0.06823694,-0.4714901,1.417187,-0.09148467,0.01148711,1.426253,-0.001777268,-0.4624667,1.385623,-0.1249093,-0.2442807,1.409553,0.2938004,-0.1638782,1.28089,NA,NA,NotTracked,Unknown,
0.9282227,-0.3398438,0.09228516,-0.04589844,0.640625,0.7817383,0,-2,-3,0,-1,-1,-5,-10,27,-83,-31,-16,-12,30,-30,-47,-5.875,-5.875,-5.875,1.5625,1.5625,1.5625,2.892898,3.061626,8.160961,6.150741,5.034941,1.751954,-0.1166505,-0.4856102,1.328398,0.1172205,-0.1608706,1.094993,0.09359824,0.2698195,1.456382,-0.07520026,-0.4742956,1.309788,0.08076242,-0.2171123,1.098556,0.07416673,-0.168666,1.446626,0.06807041,-0.471479,1.417169,-0.0914568,0.01149874,1.426314,-0.001898972,-0.4623918,1.385544,-0.1252646,-0.2441857,1.409531,0.294902,-0.1651847,1.281485,NA,NA,NotTracked,Unknown,
0.9399414,-0.3310547,0.09277344,-0.05957031,0.6713867,0.7841797,-1,-2,-3,-1,-1,-2,-1,-5,-59,-27,-1,-16,-9,-28,-9,-3,-3.5625,-3.5625,-3.5625,-4.75,-4.75,-4.75,2.881171,3.062457,8.164482,6.150557,5.038181,1.742871,-0.1169856,-0.4845272,1.326382,0.1187219,-0.1613935,1.092803,0.0936553,0.2694845,1.45658,-0.07534815,-0.4740731,1.308973,0.08250163,-0.216105,1.096684,0.07365995,-0.1688766,1.446696,0.06775199,-0.4715626,1.417032,-0.09145321,0.01148696,1.426316,-0.002201966,-0.4623925,1.385243,-0.1256424,-0.2439874,1.409336,0.2952325,-0.1656472,1.28116,NA,NA,NotTracked,Unknown,
0.9326172,-0.3227539,0.08984375,-0.02246094,0.6777344,0.7895508,0,-1,-1,-1,-2,-1,1,0,-18,-10,-20,-9,-1,16,-5,-4,-1.25,-1.25,-1.25,8.5,8.5,8.5,2.887365,3.066081,8.156112,6.150245,5.044649,1.73906,-0.1169481,-0.4845668,1.325741,0.119841,-0.1611434,1.092858,0.09373179,0.2692898,1.456715,-0.07532879,-0.4742664,1.309005,0.08216668,-0.2124175,1.094001,0.07336321,-0.168957,1.446799,0.0675782,-0.4715271,1.417031,-0.09145727,0.01153285,1.426349,-0.00235392,-0.4622872,1.385141,-0.1256739,-0.2438893,1.409125,0.2959993,-0.1659664,1.28181,NA,NA,NotTracked,Unknown,
0.9355469,-0.328125,0.08691406,-0.06982422,0.675293,0.8056641,-1,-1,-1,-2,0,3,0,1,17,23,36,9,-4,0,-5,-10,-1.6875,-1.6875,-1.6875,13.3125,13.3125,13.3125,2.890367,3.067106,8.150818,6.160598,5.074453,1.752005,-0.1170411,-0.4845423,1.325344,0.1177516,-0.1573413,1.091283,0.09381013,0.2692282,1.456804,-0.07543857,-0.4739554,1.308488,0.08175987,-0.210389,1.093877,0.07312527,-0.1689663,1.446896,0.06744742,-0.4714949,1.417015,-0.09145742,0.01160948,1.426413,-0.002461321,-0.4622267,1.385091,-0.1257075,-0.2436245,1.408808,0.2961975,-0.1661166,1.281675,NA,NA,NotTracked,Unknown,
0.9375,-0.331543,0.08886719,-0.09326172,0.7387695,0.7700195,0,-1,-1,-1,-2,-1,-2,3,4,-68,-9,-8,-7,13,4,1,0.375,0.375,0.375,48.625,48.625,48.625,2.903955,3.067754,8.138041,6.211498,5.100935,1.792979,-0.1171201,-0.4845209,1.324362,0.1151083,-0.1457844,1.088005,0.09385522,0.2691459,1.456887,-0.07600455,-0.4725272,1.307926,0.08629517,-0.1927988,1.079,0.0728207,-0.1690698,1.446858,0.06727425,-0.4715243,1.416941,-0.09144475,0.01162393,1.426433,-0.002620418,-0.4622112,1.384956,-0.1258186,-0.2435231,1.408569,0.2965231,-0.167089,1.276499,NA,NA,NotTracked,Unknown,
