ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9384766,-0.3359375,0.08789063,1.005859,0.269043,0.4306641,-2,-2,1,-1,1,-1,-1,-2,1,0,-9,3,0,1,1,1,-0.5625,-0.5625,-0.5625,-35.75,-35.75,-35.75,2.902281,3.060802,7.170425,5.999335,3.150097,0.4802473,-0.1061675,-0.4802683,1.380886,0.2536179,-0.4826378,1.313481,0.1056304,0.2750448,1.493277,-0.06801421,-0.4748878,1.357971,0.2338774,-0.4843934,1.3425,0.08776359,-0.1664455,1.48676,0.08328969,-0.4702055,1.460018,-0.07663278,0.01407127,1.472846,0.01269091,-0.460078,1.429441,-0.1092471,-0.2449635,1.459853,0.2739786,-0.2461827,1.429376,NA,NA,NotTracked,Unknown,
0.934082,-0.3334961,0.08300781,0.8974609,0.3491211,0.6489258,0,0,1,-1,-2,0,0,-1,-16,4,-2,48,18,-4,-17,2,-1.0625,-1.0625,-1.0625,-52.3125,-52.3125,-52.3125,2.901525,3.061426,7.170484,5.819538,3.454932,0.5860485,-0.1064025,-0.480031,1.380747,0.2383608,-0.4685867,1.270237,0.1054794,0.2750084,1.493445,-0.06666747,-0.4722759,1.361533,0.2249471,-0.4940149,1.294667,0.08735771,-0.1664301,1.486855,0.08288489,-0.4701586,1.460055,-0.07696378,0.01400806,1.47297,0.01225386,-0.4600565,1.429409,-0.1094635,-0.245098,1.459802,0.2736796,-0.244072,1.429247,NA,NA,NotTracked,Unknown,
0.9414063,-0.3393555,0.0859375,0.7734375,0.3793945,0.8603516,-1,0,-4,-2,-2,-1,0,0,-27,0,0,2,7,0,1,1,-1.125,-1.125,-1.125,-51.75,-51.75,-51.75,2.899155,3.064552,7.171749,5.701303,3.787111,0.6287297,-0.1074676,-0.4797038,1.38161,0.2209223,-0.4193995,1.212613,0.105142,0.2749475,1.493951,-0.06689497,-0.4723654,1.361925,0.2035269,-0.4398062,1.268111,0.08657077,-0.1664233,1.486962,0.08128808,-0.4699129,1.459865,-0.07740834,0.01400334,1.473413,0.0105274,-0.459717,1.429267,-0.1095964,-0.2451286,1.459829,0.2720711,-0.2374147,1.42695,NA,NA,NotTracked,Closed,
0.9428711,-0.347168,0.08935547,0.5683594,0.3427734,1.025879,-1,-2,2,-1,-1,-2,-2,-2,6,-3,7,-4,5,-2,2,-1,10.6875,10.6875,10.6875,-76.6875,-76.6875,-76.6875,2.901747,3.072039,7.179524,5.567294,4.193628,0.6565462,-0.1069872,-0.4796703,1.3797,0.2111955,-0.3267949,1.158405,0.104693,0.2749656,1.494789,-0.06674439,-0.4713891,1.361809,0.2005063,-0.3393072,1.203429,0.08586793,-0.1663577,1.487105,0.07905757,-0.4696233,1.459238,-0.07776496,0.01388537,1.473827,0.008510008,-0.4593529,1.428753,-0.1100072,-0.2451375,1.459897,0.2689376,-0.2138349,1.4193,NA,NA,NotTracked,Unknown,
0.9404297,-0.3530273,0.09130859,0.1821289,0.2641602,1.138672,0,-2,-3,-4,0,0,-2,-2,29,6,-11,-41,-4,-4,-2,-7,6.375,6.375,6.375,-65.25,-65.25,-65.25,2.904933,3.085549,7.195831,5.406649,4.823156,0.6786268,-0.1075861,-0.4792967,1.377569,0.1983621,-0.2170525,1.118021,0.1041689,0.2748947,1.496039,-0.06669675,-0.4710894,1.361494,0.1476731,-0.2377064,1.119526,0.08553156,-0.1662746,1.487503,0.07862386,-0.4695008,1.459283,-0.07812009,0.01370455,1.4745,0.008164532,-0.4593663,1.42898,-0.1101149,-0.2450372,1.459985,0.2766568,-0.2057107,1.394418,NA,NA,NotTracked,Unknown,
0.9291992,-0.3486328,0.09130859,-0.1572266,0.1723633,1.054688,-1,-2,-2,-2,0,-2,1,-2,-13,-9,-9,3,-12,-10,-2,-4,11.375,11.375,11.375,-49.25,-49.25,-49.25,2.906598,3.097563,7.210891,5.312894,5.328587,0.6957732,-0.1076806,-0.4786719,1.376247,0.1750977,-0.07280514,1.092741,0.1038742,0.2744355,1.49788,-0.06930152,-0.4754063,1.354077,0.1732328,-0.09441056,1.061278,0.08509971,-0.1660338,1.488281,0.07829893,-0.4688273,1.459492,-0.07816812,0.01354178,1.475099,0.007842174,-0.458985,1.429997,-0.1106109,-0.2448869,1.460195,0.2682177,-0.2014605,1.283242,NA,NA,NotTracked,Closed,
0.9257813,-0.3515625,0.08789063,-0.340332,0.07226563,0.9326172,-2,3,0,0,-2,-2,-2,-1,13,-9,2,-29,-51,-14,0,2,7.5,7.5,7.5,-47.4375,-47.4375,-47.4375,2.90521,3.10679,7.229149,5.224698,5.800918,0.6967503,-0.1088829,-0.4786503,1.375982,0.1918231,0.02314313,1.125463,0.1033354,0.274006,1.499755,-0.06742403,-0.4729604,1.359667,0.2156675,0.03468592,1.09574,0.08452479,-0.1666368,1.48921,0.07767891,-0.4695331,1.459742,-0.07813034,0.01326448,1.476203,0.006724445,-0.4604477,1.431921,-0.1107685,-0.2449015,1.460253,0.2493033,-0.1460163,1.261963,NA,NA,NotTracked,Unknown,
0.9194336,-0.3637695,0.09423828,-0.4536133,0.09716797,0.7285156,-1,-3,0,0,0,-1,-1,-1,16,-7,-7,-7,5,2,2,-10,5.1875,5.1875,5.1875,-48.5625,-48.5625,-48.5625,2.899317,3.11599,7.249546,5.113587,6.332741,0.6788139,-0.1099064,-0.4807689,1.374176,0.1960465,0.1164767,1.159046,0.1015746,0.2803459,1.498953,-0.06877063,-0.4734242,1.35833,0.2209861,0.142313,1.12825,0.08723614,-0.1631989,1.487269,0.07737193,-0.4659085,1.460131,-0.07781702,0.01359934,1.47782,0.006333403,-0.456682,1.434277,-0.111198,-0.2431084,1.460581,0.2487628,-0.1411462,1.263859,NA,NA,NotTracked,Unknown,
0.9150391,-0.3808594,0.1074219,-0.5429688,-0.01025391,0.5385742,-3,-1,-1,0,-1,0,1,-1,10,12,8,13,0,92,-4,6,10.875,10.875,10.875,-47.5,-47.5,-47.5,2.89359,3.122165,7.270614,5.001642,6.662258,0.6444104,-0.1107721,-0.4805434,1.374673,0.2049474,0.1693559,1.208742,0.09858054,0.2797064,1.500673,-0.07001641,-0.4707752,1.361233,0.230844,0.1692965,1.180489,0.08883961,-0.1611074,1.486143,0.07737771,-0.4638336,1.460185,-0.07377906,0.01276476,1.476829,0.006235213,-0.4537201,1.435507,-0.1120582,-0.2404262,1.461439,0.2245502,-0.1415657,1.271159,NA,NA,NotTracked,Open,
0.9091797,-0.3642578,0.08935547,-0.7041016,-0.06396484,0.3901367,-1,-2,-1,-3,-1,-1,-1,-2,37,32,11,2,13,29,9,13,14.6875,14.6875,14.6875,-17.1875,-17.1875,-17.1875,2.89374,3.125879,7.296179,4.81965,6.933148,0.5130307,-0.1114909,-0.480895,1.374071,0.2099711,0.2101806,1.270917,0.09696804,0.2789269,1.501245,-0.07226804,-0.473848,1.356079,0.2469583,0.2184058,1.250625,0.08929133,-0.1607318,1.485621,0.07731684,-0.4634772,1.46011,-0.07178925,0.01239218,1.476438,0.006067676,-0.453593,1.436089,-0.1125325,-0.2395524,1.461825,0.2238863,-0.03674716,1.230827,NA,NA,NotTracked,Unknown,
